Latitude (decimal degrees): 43.463
Longitude (decimal degrees): 11.880
Elevation (m): 266.0
Irradiance Time Offset (h): 0.1742
month,year
1,2021
2,2006
3,2008
4,2018
5,2016
6,2013
7,2009
8,2021
9,2005
10,2016
11,2005
12,2021
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20210101:0000,4.68,86.34,0.0,-0.0,0.0,272.29,1.41,132.0,96020.0
20210101:0100,3.8,88.69,0.0,-0.0,0.0,272.62,1.5,126.0,96000.0
20210101:0200,2.93,91.03,0.0,-0.0,0.0,272.94,1.59,121.0,96000.0
20210101:0300,2.05,93.38,0.0,-0.0,0.0,273.27,1.68,116.0,95990.0
20210101:0400,1.18,95.73,0.0,-0.0,0.0,273.59,1.77,122.0,95970.0
20210101:0500,0.3,98.07,0.0,-0.0,0.0,273.92,1.86,118.0,95970.0
20210101:0600,-0.57,100.0,0.0,-0.0,0.0,274.24,1.95,119.0,95960.0
20210101:0700,-1.45,100.0,14.0,0.0,14.0,274.56,2.04,119.0,95940.0
20210101:0800,2.71,92.15,77.0,20.82,73.0,285.85,1.72,115.0,95930.0
20210101:0900,4.9,92.25,118.0,13.26,114.0,289.5,1.66,122.0,95940.0
20210101:1000,6.02,88.9,173.0,32.25,161.0,288.95,2.14,132.0,95940.0
20210101:1100,6.61,85.7,78.0,0.0,78.0,301.9,2.48,134.0,95900.0
20210101:1200,6.63,85.7,128.0,2.63,127.0,298.05,2.76,143.0,95820.0
20210101:1300,6.4,88.95,27.0,0.0,27.0,312.95,2.97,152.0,95790.0
20210101:1400,6.26,88.95,87.0,23.3,82.0,314.1,3.38,156.0,95780.0
20210101:1500,6.07,92.3,23.0,12.69,22.0,309.85,3.1,151.0,95760.0
20210101:1600,5.43,92.25,0.0,-0.0,0.0,289.9,2.69,144.0,95760.0
20210101:1700,4.99,95.75,0.0,-0.0,0.0,289.1,2.55,137.0,95780.0
20210101:1800,4.68,92.25,0.0,-0.0,0.0,284.65,2.55,130.0,95800.0
20210101:1900,4.65,99.4,0.0,-0.0,0.0,302.1,2.34,131.0,95720.0
20210101:2000,4.62,99.4,0.0,-0.0,0.0,300.35,2.28,126.0,95730.0
20210101:2100,4.6,99.4,0.0,-0.0,0.0,296.3,2.28,122.0,95710.0
