Latitude (decimal degrees): 42.854
Longitude (decimal degrees): 13.575
Elevation (m): 169.0
Irradiance Time Offset (h): 0.1734
month,year
1,2011
2,2008
3,2016
4,2020
5,2018
6,2008
7,2012
8,2020
9,2009
10,2017
11,2017
12,2011
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20110101:0000,-0.47,84.49,0.0,-0.0,0.0,250.1,1.58,242.0,95750.0
20110101:0100,-0.73,86.95,0.0,-0.0,0.0,252.75,1.62,241.0,95720.0
20110101:0200,-1.0,89.4,0.0,-0.0,0.0,255.4,1.66,241.0,95720.0
20110101:0300,-1.27,91.85,0.0,-0.0,0.0,258.05,1.71,240.0,95650.0
20110101:0400,-1.54,94.3,0.0,-0.0,0.0,260.7,1.75,241.0,95610.0
20110101:0500,-1.8,96.76,0.0,-0.0,0.0,263.36,1.79,243.0,95580.0
20110101:0600,-2.07,99.21,0.0,-0.0,0.0,266.01,1.84,245.0,95610.0
20110101:0700,-2.34,100.0,27.0,0.0,27.0,268.66,1.88,245.0,95620.0
20110101:0800,0.41,92.0,158.0,341.17,85.0,265.1,1.38,243.0,95640.0
20110101:0900,3.17,82.2,265.0,440.05,124.0,269.95,0.9,242.0,95630.0
20110101:1000,5.37,70.85,183.0,33.6,170.0,265.5,0.41,235.0,95600.0
20110101:1100,6.31,70.95,228.0,78.26,196.0,279.05,0.34,125.0,95560.0
20110101:1200,6.5,70.95,234.0,122.1,187.0,275.95,0.62,109.0,95460.0
20110101:1300,6.65,73.7,174.0,85.28,147.0,265.3,0.69,100.0,95410.0
20110101:1400,6.29,73.7,123.0,148.61,92.0,281.95,0.62,90.0,95390.0
20110101:1500,5.39,79.4,21.0,0.0,21.0,267.45,0.34,124.0,95380.0
20110101:1600,3.39,85.45,0.0,-0.0,0.0,258.15,0.83,220.0,95350.0
20110101:1700,2.42,88.65,0.0,-0.0,0.0,269.0,1.24,237.0,95350.0
20110101:1800,1.47,88.6,0.0,-0.0,0.0,269.75,1.45,244.0,95330.0
20110101:1900,0.77,92.05,0.0,-0.0,0.0,265.1,1.45,245.0,95270.0
20110101:2000,0.42,95.65,0.0,-0.0,0.0,285.65,1.52,242.0,95270.0
20110101:2100,-0.13,99.4,0.0,-0.0,0.0,275.2,1.59,242.0,95240.0
20110101:2200,-0.15,95.6,0.0,-0.0,0.0,277.3,1.59,243.0,95220.0
20110101:2300,-0.08,99.4,0.0,-0.0,0.0,288.15,1.52,245.0,95190.0
20110102:0000,-0.05,99.4,0.0,-0.0,0.0,284.3,1.59,243.0,95140.0
20110102:0100,0.06,99.4,0.0,-0.0,0.0,290.0,1.59,243.0,95120.0
20110102:0200,0.09,99.4,0.0,-0.0,0.0,287.95,1.59,243.0,95120.0
20110102:0300,0.42,95.65,0.0,-0.0,0.0,301.3,1.45,244.0,95060.0
20110102:0400,0.25,95.65,0.0,-0.0,0.0,301.3,1.45,243.0,95030.0
20110102:0500,0.78,92.05,0.0,-0.0,0.0,305.75,1.38,243.0,95030.0
20110102:0600,0.78,92.05,0.0,-0.0,0.0,296.65,1.45,243.0,95030.0
20110102:0700,0.51,95.65,26.0,0.0,26.0,285.85,1.45,244.0,95010.0
20110102:0800,1.64,95.65,104.0,60.67,91.0,300.35,1.1,243.0,95010.0
20110102:0900,4.43,88.85,186.0,109.01,151.0,312.35,0.62,244.0,95020.0
20110102:1000,5.93,79.5,174.0,25.78,164.0,305.95,0.14,255.0,95010.0
20110102:1100,6.25,79.5,154.0,7.31,151.0,301.3,0.34,29.0,94980.0
20110102:1200,6.5,79.5,86.0,0.0,86.0,307.3,0.62,32.0,94940.0
20110102:1300,6.37,82.55,56.0,0.0,56.0,314.5,0.9,34.0,94900.0
20110102:1400,6.18,82.55,49.0,0.0,49.0,305.4,0.97,27.0,94930.0
20110102:1500,5.44,88.9,18.0,0.0,18.0,311.95,0.83,17.0,94970.0
20110102:1600,4.72,95.75,0.0,-0.0,0.0,316.2,0.83,342.0,95010.0
20110102:1700,4.06,95.75,0.0,-0.0,0.0,314.85,0.9,317.0,95030.0
20110102:1800,3.87,95.75,0.0,-0.0,0.0,326.1,0.97,308.0,95050.0
20110102:1900,3.73,99.4,0.0,-0.0,0.0,333.85,1.17,318.0,95020.0
20110102:2000,3.69,99.4,0.0,-0.0,0.0,333.85,1.17,314.0,95030.0
20110102:2100,3.65,99.4,0.0,-0.0,0.0,334.2,1.24,315.0,95050.0
20110102:2200,3.49,95.7,0.0,-0.0,0.0,330.95,1.31,314.0,95070.0
20110102:2300,3.39,95.7,0.0,-0.0,0.0,332.85,1.31,314.0,95070.0
20110103:0000,3.23,95.7,0.0,-0.0,0.0,330.35,1.38,315.0,95060.0
20110103:0100,3.01,95.7,0.0,-0.0,0.0,330.65,1.45,315.0,95060.0
20110103:0200,2.75,99.4,0.0,-0.0,0.0,326.1,1.45,312.0,95100.0
20110103:0300,2.5,95.7,0.0,-0.0,0.0,323.55,1.52,310.0,95100.0
20110103:0400,2.31,95.7,0.0,-0.0,0.0,321.25,1.52,310.0,95110.0
20110103:0500,2.04,95.65,0.0,-0.0,0.0,313.5,1.38,312.0,95180.0
20110103:0600,1.91,95.65,0.0,-0.0,0.0,318.75,1.24,317.0,95240.0
20110103:0700,1.9,95.65,20.0,0.0,20.0,313.9,1.59,335.0,95290.0
20110103:0800,1.89,95.65,66.0,0.0,66.0,293.4,1.31,341.0,95350.0
20110103:0900,2.24,95.65,120.0,6.21,118.0,281.95,1.38,1.0,95420.0
20110103:1000,2.52,82.15,138.0,2.57,137.0,271.5,1.66,17.0,95470.0
20110103:1100,3.23,76.1,163.0,9.71,159.0,258.55,1.86,24.0,95470.0
20110103:1200,3.31,70.5,249.0,149.31,191.0,246.55,1.86,28.0,95450.0
20110103:1300,3.32,70.5,132.0,15.59,127.0,249.05,1.72,29.0,95450.0
20110103:1400,2.9,67.7,70.0,4.69,69.0,253.15,1.45,29.0,95470.0
20110103:1500,2.34,67.6,25.0,0.0,25.0,240.75,1.17,33.0,95520.0
20110103:1600,1.44,75.85,0.0,-0.0,0.0,237.85,0.76,24.0,95550.0
20110103:1700,1.21,72.85,0.0,-0.0,0.0,237.25,0.55,347.0,95590.0
20110103:1800,0.64,75.7,0.0,-0.0,0.0,229.7,0.69,303.0,95610.0
20110103:1900,0.78,67.3,0.0,-0.0,0.0,235.5,0.62,314.0,95610.0
20110103:2000,-0.12,72.65,0.0,-0.0,0.0,229.15,0.76,287.0,95610.0
20110103:2100,-0.87,78.5,0.0,-0.0,0.0,228.55,0.83,276.0,95630.0
