Latitude (decimal degrees): 46.140
Longitude (decimal degrees): 12.218
Elevation (m): 396.0
Irradiance Time Offset (h): 0.1773
month,year
1,2019
2,2007
3,2012
4,2008
5,2008
6,2011
7,2019
8,2009
9,2010
10,2007
11,2013
12,2018
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20190101:0000,2.01,77.88,0.0,-0.0,0.0,268.91,0.39,14.0,92900.0
20190101:0100,1.83,78.25,0.0,-0.0,0.0,270.34,0.36,30.0,92910.0
20190101:0200,1.65,78.61,0.0,-0.0,0.0,271.77,0.33,14.0,92900.0
20190101:0300,1.46,78.97,0.0,-0.0,0.0,273.2,0.3,352.0,92870.0
20190101:0400,1.28,79.34,0.0,-0.0,0.0,274.63,0.28,328.0,92820.0
20190101:0500,1.09,79.7,0.0,-0.0,0.0,276.06,0.25,320.0,92810.0
20190101:0600,0.91,80.07,0.0,-0.0,0.0,277.49,0.22,318.0,92780.0
20190101:0700,0.73,80.43,7.0,0.0,7.0,278.92,0.19,275.0,92820.0
20190101:0800,1.53,75.85,123.0,415.13,56.0,281.75,0.21,265.0,92790.0
20190101:0900,2.06,78.95,252.0,754.76,52.0,279.45,0.21,233.0,92740.0
20190101:1000,3.24,73.3,330.0,824.0,57.0,272.1,0.41,198.0,92650.0
20190101:1100,4.73,73.45,332.0,643.53,103.0,265.1,0.83,195.0,92530.0
20190101:1200,5.17,73.45,323.0,721.21,80.0,264.95,0.97,186.0,92470.0
20190101:1300,5.14,76.3,274.0,848.3,40.0,271.9,0.97,176.0,92370.0
20190101:1400,4.71,76.3,152.0,644.95,38.0,280.8,0.9,171.0,92320.0
20190101:1500,3.64,88.75,25.0,344.72,9.0,285.45,0.62,162.0,92280.0
20190101:1600,3.34,82.25,0.0,-0.0,0.0,284.3,0.34,155.0,92230.0
20190101:1700,2.8,85.4,0.0,-0.0,0.0,268.4,0.07,170.0,92190.0
20190101:1800,2.31,85.35,0.0,-0.0,0.0,258.75,0.0,351.0,92150.0
20190101:1900,1.57,82.0,0.0,-0.0,0.0,251.95,0.21,3.0,92060.0
20190101:2000,1.27,82.0,0.0,-0.0,0.0,243.85,0.34,10.0,92000.0
20190101:2100,1.09,81.95,0.0,-0.0,0.0,248.65,0.48,2.0,91930.0
20190101:2200,1.01,78.8,0.0,-0.0,0.0,249.05,0.55,357.0,91860.0
20190101:2300,1.0,75.75,0.0,-0.0,0.0,247.9,0.69,349.0,91810.0
20190102:0000,0.98,72.85,0.0,-0.0,0.0,249.65,0.83,347.0,91780.0
20190102:0100,0.51,69.95,0.0,-0.0,0.0,247.8,0.83,340.0,91730.0
20190102:0200,0.75,64.65,0.0,-0.0,0.0,248.5,0.76,334.0,91720.0
20190102:0300,0.85,64.65,0.0,-0.0,0.0,232.05,0.69,336.0,91650.0
20190102:0400,0.79,64.65,0.0,-0.0,0.0,229.3,0.69,341.0,91630.0
20190102:0500,0.54,67.2,0.0,-0.0,0.0,228.95,0.9,342.0,91640.0
20190102:0600,-0.73,69.75,0.0,-0.0,0.0,236.3,1.31,342.0,91720.0
20190102:0700,-2.13,64.0,1.0,0.0,1.0,227.0,1.79,344.0,91810.0
20190102:0800,-1.59,56.7,143.0,667.59,35.0,222.95,1.59,337.0,91900.0
20190102:0900,1.03,44.85,246.0,651.15,73.0,217.9,1.17,321.0,91920.0
20190102:1000,2.72,31.25,272.0,391.15,142.0,220.05,1.31,322.0,91920.0
20190102:1100,3.15,28.75,322.0,540.27,129.0,223.9,1.45,324.0,91930.0
20190102:1200,3.29,26.5,333.0,750.11,79.0,219.85,1.59,328.0,91860.0
20190102:1300,3.15,26.4,262.0,694.75,69.0,222.55,1.38,326.0,91870.0
20190102:1400,2.7,28.75,121.0,257.12,75.0,222.15,1.1,327.0,91860.0
20190102:1500,1.69,47.05,21.0,123.25,15.0,218.85,0.9,335.0,91900.0
20190102:1600,1.25,27.1,0.0,-0.0,0.0,216.35,0.69,350.0,91960.0
20190102:1700,0.86,28.15,0.0,-0.0,0.0,216.35,0.69,348.0,92030.0
