Latitude (decimal degrees): 45.698
Longitude (decimal degrees): 9.677
Elevation (m): 260.0
Irradiance Time Offset (h): 0.1769
month,year
1,2017
2,2019
3,2019
4,2023
5,2010
6,2018
7,2021
8,2021
9,2015
10,2007
11,2013
12,2017
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20170101:0000,0.18,83.2,0.0,-0.0,0.0,268.33,1.21,5.0,99780.0
20170101:0100,-0.52,83.53,0.0,-0.0,0.0,263.68,1.28,3.0,99720.0
20170101:0200,-1.23,83.86,0.0,-0.0,0.0,259.04,1.36,8.0,99650.0
20170101:0300,-1.93,84.19,0.0,-0.0,0.0,254.39,1.43,10.0,99600.0
20170101:0400,-2.64,84.52,0.0,-0.0,0.0,249.74,1.51,9.0,99540.0
20170101:0500,-3.34,84.85,0.0,-0.0,0.0,245.09,1.59,5.0,99530.0
20170101:0600,-4.05,85.17,0.0,-0.0,0.0,240.44,1.66,5.0,99500.0
20170101:0700,-4.75,85.5,0.0,0.0,0.0,235.8,1.74,359.0,99560.0
20170101:0800,-2.24,81.55,122.0,581.98,37.0,251.4,1.24,1.0,99540.0
20170101:0900,0.51,81.9,244.0,737.69,55.0,247.15,0.76,358.0,99530.0
20170101:1000,3.49,70.5,327.0,782.22,69.0,245.2,0.14,281.0,99480.0
20170101:1100,5.02,55.95,367.0,817.86,71.0,244.05,0.41,247.0,99420.0
20170101:1200,5.8,56.2,352.0,807.93,69.0,235.15,0.76,244.0,99330.0
20170101:1300,6.1,60.75,288.0,767.66,61.0,232.2,0.76,251.0,99270.0
20170101:1400,5.8,68.2,177.0,619.08,52.0,236.5,0.69,249.0,99240.0
20170101:1500,4.74,79.3,42.0,225.77,25.0,233.75,0.55,275.0,99230.0
20170101:1600,3.92,73.4,0.0,-0.0,0.0,235.7,0.83,341.0,99240.0
20170101:1700,2.83,73.2,0.0,-0.0,0.0,229.15,1.24,357.0,99250.0
20170101:1800,1.02,78.8,0.0,-0.0,0.0,236.65,1.45,0.0,99270.0
20170101:1900,-1.42,88.35,0.0,-0.0,0.0,240.75,1.52,4.0,99270.0
20170101:2000,-2.08,88.3,0.0,-0.0,0.0,239.95,1.59,4.0,99290.0
20170101:2100,-2.34,88.3,0.0,-0.0,0.0,242.65,1.66,5.0,99280.0
20170101:2200,-2.17,88.3,0.0,-0.0,0.0,249.25,1.66,6.0,99270.0
20170101:2300,-2.28,84.85,0.0,-0.0,0.0,239.4,1.66,7.0,99250.0
20170102:0000,-2.25,84.85,0.0,-0.0,0.0,246.35,1.66,7.0,99230.0
20170102:0100,-2.54,84.85,0.0,-0.0,0.0,247.05,1.72,6.0,99200.0
20170102:0200,-2.35,81.55,0.0,-0.0,0.0,250.05,1.72,3.0,99190.0
20170102:0300,-2.04,81.55,0.0,-0.0,0.0,256.2,1.66,358.0,99160.0
20170102:0400,-1.91,78.35,0.0,-0.0,0.0,257.0,1.59,355.0,99120.0
20170102:0500,-2.05,78.35,0.0,-0.0,0.0,253.5,1.59,356.0,99090.0
20170102:0600,-1.98,78.35,0.0,-0.0,0.0,261.05,1.59,358.0,99080.0
20170102:0700,-2.5,84.85,0.0,0.0,0.0,254.65,1.66,355.0,99100.0
20170102:0800,-1.72,78.45,128.0,669.54,30.0,259.3,1.52,356.0,99090.0
20170102:0900,1.5,75.85,229.0,603.49,74.0,261.65,0.97,354.0,99070.0
20170102:1000,4.29,73.4,325.0,779.91,67.0,256.6,0.41,331.0,99020.0
20170102:1100,6.07,58.45,362.0,801.13,71.0,257.4,0.48,253.0,98970.0
20170102:1200,6.61,56.3,326.0,628.0,105.0,263.4,0.69,245.0,98870.0
20170102:1300,6.45,63.25,256.0,514.09,103.0,267.85,0.55,247.0,98790.0
20170102:1400,6.03,70.85,119.0,142.13,90.0,263.75,0.62,271.0,98760.0
20170102:1500,5.17,82.35,44.0,244.99,25.0,270.15,0.76,310.0,98720.0
20170102:1600,3.56,79.15,0.0,-0.0,0.0,251.6,1.17,354.0,98690.0
20170102:1700,2.42,79.0,0.0,-0.0,0.0,270.95,1.31,8.0,98680.0
20170102:1800,1.21,82.0,0.0,-0.0,0.0,283.1,1.45,18.0,98690.0
20170102:1900,0.99,85.2,0.0,-0.0,0.0,283.7,1.59,5.0,98630.0
20170102:2000,0.44,85.15,0.0,-0.0,0.0,272.1,1.79,11.0,98590.0
20170102:2100,0.32,81.9,0.0,-0.0,0.0,264.35,1.79,18.0,98590.0
20170102:2200,0.58,78.75,0.0,-0.0,0.0,256.6,1.66,30.0,98600.0
20170102:2300,0.34,78.75,0.0,-0.0,0.0,248.85,1.66,44.0,98620.0
20170103:0000,-0.6,81.75,0.0,-0.0,0.0,241.15,1.86,43.0,98620.0
20170103:0100,-1.62,84.95,0.0,-0.0,0.0,240.25,1.86,36.0,98640.0
20170103:0200,-2.04,88.3,0.0,-0.0,0.0,253.9,1.66,26.0,98690.0
20170103:0300,-1.85,88.3,0.0,-0.0,0.0,250.8,1.52,25.0,98740.0
20170103:0400,-1.68,84.95,0.0,-0.0,0.0,252.15,1.45,22.0,98790.0
20170103:0500,-2.33,84.85,0.0,-0.0,0.0,253.5,1.59,15.0,98840.0
20170103:0600,-2.51,88.25,0.0,-0.0,0.0,253.9,1.66,11.0,98930.0
20170103:0700,-2.15,81.55,0.0,0.0,0.0,243.85,1.86,19.0,98920.0
20170103:0800,-1.35,84.95,119.0,551.75,38.0,242.65,1.72,15.0,99050.0
