Latitude (decimal degrees): 45.563
Longitude (decimal degrees): 8.058
Elevation (m): 414.0
Irradiance Time Offset (h): 0.1768
month,year
1,2015
2,2007
3,2007
4,2023
5,2010
6,2018
7,2018
8,2012
9,2007
10,2020
11,2005
12,2018
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20150101:0000,0.19,76.88,0.0,-0.0,0.0,245.32,0.82,236.0,97700.0
20150101:0100,-0.46,76.93,0.0,-0.0,0.0,243.14,0.74,245.0,97680.0
20150101:0200,-1.12,76.98,0.0,-0.0,0.0,240.96,0.66,256.0,97610.0
20150101:0300,-1.77,77.03,0.0,-0.0,0.0,238.78,0.58,126.0,97530.0
20150101:0400,-2.42,77.08,0.0,-0.0,0.0,236.6,0.49,182.0,97460.0
20150101:0500,-3.07,77.14,0.0,-0.0,0.0,234.42,0.41,205.0,97440.0
20150101:0600,-3.73,77.19,0.0,-0.0,0.0,232.24,0.33,232.0,97450.0
20150101:0700,-4.38,77.24,0.0,-0.0,0.0,230.06,0.25,257.0,97540.0
20150101:0800,-2.35,72.3,92.0,343.53,46.0,232.6,0.48,343.0,97600.0
20150101:0900,-1.17,69.65,227.0,701.99,53.0,229.9,0.34,328.0,97620.0
20150101:1000,1.18,59.8,316.0,782.4,61.0,235.9,0.21,161.0,97600.0
20150101:1100,2.78,57.7,363.0,835.31,60.0,233.4,0.55,162.0,97570.0
20150101:1200,3.87,57.95,352.0,817.82,61.0,235.15,0.76,150.0,97530.0
20150101:1300,4.25,55.85,295.0,788.52,54.0,236.65,0.83,137.0,97520.0
20150101:1400,4.03,60.3,189.0,658.62,47.0,237.05,0.62,137.0,97540.0
20150101:1500,3.31,65.1,62.0,424.59,23.0,236.5,0.76,146.0,97560.0
20150101:1600,2.25,65.0,0.0,-0.0,0.0,233.75,0.62,159.0,97610.0
20150101:1700,1.78,67.5,0.0,-0.0,0.0,234.15,0.41,190.0,97650.0
20150101:1800,1.46,67.4,0.0,-0.0,0.0,233.2,0.34,221.0,97690.0
20150101:1900,1.46,64.8,0.0,-0.0,0.0,231.65,0.69,1.0,97710.0
20150101:2000,0.27,64.55,0.0,-0.0,0.0,230.85,1.31,8.0,97740.0
20150101:2100,1.67,57.6,0.0,-0.0,0.0,231.25,0.9,350.0,97740.0
20150101:2200,0.72,62.15,0.0,-0.0,0.0,234.35,0.9,291.0,97690.0
20150101:2300,-0.92,69.65,0.0,-0.0,0.0,238.8,0.97,284.0,97650.0
20150102:0000,-1.5,72.4,0.0,-0.0,0.0,238.6,0.97,306.0,97600.0
20150102:0100,-1.71,72.4,0.0,-0.0,0.0,239.3,1.03,315.0,97560.0
20150102:0200,-1.96,75.3,0.0,-0.0,0.0,238.05,1.17,308.0,97560.0
20150102:0300,-2.69,78.3,0.0,-0.0,0.0,238.8,1.45,304.0,97510.0
20150102:0400,-2.96,81.45,0.0,-0.0,0.0,239.6,1.66,305.0,97460.0
20150102:0500,-2.77,78.3,0.0,-0.0,0.0,240.55,1.59,305.0,97450.0
20150102:0600,-2.35,75.3,0.0,-0.0,0.0,237.85,1.38,301.0,97460.0
20150102:0700,-2.86,78.3,0.0,-0.0,0.0,248.3,1.66,295.0,97540.0
20150102:0800,-2.19,75.3,90.0,305.55,49.0,242.5,1.66,303.0,97550.0
20150102:0900,0.67,67.3,227.0,700.31,53.0,243.25,1.1,314.0,97530.0
20150102:1000,4.02,65.2,301.0,657.79,86.0,243.85,0.55,320.0,97500.0
20150102:1100,6.23,60.85,324.0,565.91,118.0,241.15,0.07,325.0,97430.0
20150102:1200,7.75,56.7,349.0,786.18,68.0,244.2,0.28,153.0,97340.0
20150102:1300,8.48,59.0,205.0,201.61,143.0,249.85,0.41,161.0,97250.0
20150102:1400,8.41,61.3,109.0,73.49,93.0,255.05,0.28,175.0,97220.0
20150102:1500,7.81,63.6,40.0,74.39,33.0,263.0,0.28,161.0,97210.0
20150102:1600,7.29,63.5,0.0,-0.0,0.0,279.45,0.34,249.0,97200.0
20150102:1700,6.87,63.35,0.0,-0.0,0.0,279.85,0.76,279.0,97200.0
20150102:1800,6.85,63.35,0.0,-0.0,0.0,285.05,1.03,287.0,97190.0
20150102:1900,3.59,76.1,0.0,-0.0,0.0,290.5,1.45,292.0,97180.0
20150102:2000,3.96,73.3,0.0,-0.0,0.0,277.7,1.31,294.0,97170.0
20150102:2100,4.14,70.6,0.0,-0.0,0.0,274.6,1.31,296.0,97180.0
20150102:2200,2.51,76.0,0.0,-0.0,0.0,265.7,1.66,288.0,97160.0
20150102:2300,1.23,75.85,0.0,-0.0,0.0,262.05,2.0,292.0,97150.0
20150103:0000,0.74,78.8,0.0,-0.0,0.0,259.3,2.0,296.0,97100.0
20150103:0100,0.74,78.8,0.0,-0.0,0.0,258.65,2.0,295.0,97110.0
20150103:0200,0.38,81.9,0.0,-0.0,0.0,262.2,2.0,293.0,97080.0
20150103:0300,-0.38,81.8,0.0,-0.0,0.0,260.85,2.14,298.0,97050.0
20150103:0400,-1.01,88.4,0.0,-0.0,0.0,252.55,2.21,301.0,97000.0
20150103:0500,-1.37,85.0,0.0,-0.0,0.0,252.55,2.21,305.0,97000.0
20150103:0600,-1.58,88.35,0.0,-0.0,0.0,250.2,2.14,306.0,97010.0
20150103:0700,-1.72,84.95,0.0,-0.0,0.0,246.75,1.72,320.0,96990.0
20150103:0800,-0.92,85.0,92.0,334.37,47.0,257.95,1.59,328.0,96990.0
