Latitude (decimal degrees): 44.495
Longitude (decimal degrees): 11.343
Elevation (m): 74.0
Irradiance Time Offset (h): 0.1754
month,year
1,2023
2,2010
3,2010
4,2018
5,2008
6,2010
7,2009
8,2009
9,2006
10,2020
11,2020
12,2013
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20230101:0000,5.54,94.98,0.0,-0.0,0.0,289.5,1.28,207.0,100960.0
20230101:0100,5.9,96.14,0.0,-0.0,0.0,295.33,1.29,256.0,100990.0
20230101:0200,6.27,97.31,0.0,-0.0,0.0,301.17,1.3,245.0,101000.0
20230101:0300,6.64,98.47,0.0,-0.0,0.0,307.0,1.31,219.0,101000.0
20230101:0400,7.01,99.63,0.0,-0.0,0.0,312.83,1.32,206.0,100960.0
20230101:0500,7.38,100.0,0.0,-0.0,0.0,318.66,1.34,199.0,100920.0
20230101:0600,7.75,100.0,0.0,-0.0,0.0,324.49,1.35,202.0,100900.0
20230101:0700,8.11,100.0,10.0,0.0,10.0,330.32,1.36,253.0,101010.0
20230101:0800,8.23,95.85,95.0,125.83,73.0,322.2,1.24,243.0,101070.0
20230101:0900,10.16,95.9,254.0,655.88,68.0,336.15,0.97,227.0,101070.0
20230101:1000,11.35,95.9,320.0,629.34,97.0,341.75,1.03,208.0,101030.0
20230101:1100,12.69,89.4,234.0,138.65,181.0,341.4,0.97,209.0,100980.0
20230101:1200,13.53,83.25,280.0,347.49,153.0,331.9,0.83,226.0,100900.0
20230101:1300,14.2,77.65,141.0,42.61,128.0,330.15,0.62,240.0,100870.0
20230101:1400,14.22,77.65,125.0,185.1,87.0,333.45,0.34,17.0,100860.0
20230101:1500,13.56,86.3,37.0,192.29,23.0,326.1,0.76,47.0,100870.0
20230101:1600,12.3,92.6,0.0,-0.0,0.0,326.3,0.76,83.0,100900.0
20230101:1700,10.85,92.55,0.0,-0.0,0.0,313.3,0.97,135.0,100920.0
20230101:1800,9.51,95.85,0.0,-0.0,0.0,304.8,1.31,171.0,100950.0
20230101:1900,8.75,95.85,0.0,-0.0,0.0,305.95,1.24,179.0,100960.0
20230101:2000,8.59,92.45,0.0,-0.0,0.0,309.65,1.1,197.0,100970.0
20230101:2100,8.12,95.85,0.0,-0.0,0.0,306.95,1.17,206.0,100970.0
20230101:2200,7.52,99.4,0.0,-0.0,0.0,304.8,1.31,205.0,100950.0
20230101:2300,7.06,99.4,0.0,-0.0,0.0,305.55,1.38,209.0,100930.0
20230102:0000,6.93,99.4,0.0,-0.0,0.0,315.45,1.38,214.0,100890.0
20230102:0100,7.11,95.8,0.0,-0.0,0.0,325.25,1.38,215.0,100860.0
20230102:0200,7.25,95.8,0.0,-0.0,0.0,326.3,1.31,213.0,100860.0
20230102:0300,7.06,95.8,0.0,-0.0,0.0,317.75,1.38,212.0,100850.0
20230102:0400,7.16,95.8,0.0,-0.0,0.0,326.65,1.31,213.0,100820.0
20230102:0500,7.23,95.8,0.0,-0.0,0.0,329.0,1.24,211.0,100830.0
20230102:0600,6.8,99.4,0.0,-0.0,0.0,314.3,1.31,203.0,100840.0
20230102:0700,6.85,99.4,7.0,0.0,7.0,321.05,1.38,208.0,100880.0
20230102:0800,7.51,99.4,79.0,51.38,70.0,311.2,1.03,211.0,100920.0
20230102:0900,9.78,92.5,113.0,17.59,108.0,297.85,0.69,211.0,100940.0
20230102:1000,11.46,89.3,148.0,19.7,141.0,312.15,0.21,202.0,100940.0
20230102:1100,12.56,83.15,162.0,20.85,154.0,312.35,0.55,216.0,100870.0
20230102:1200,13.48,77.5,265.0,272.37,165.0,301.5,0.76,222.0,100800.0
20230102:1300,14.07,74.85,173.0,104.22,141.0,304.6,0.69,233.0,100740.0
20230102:1400,14.06,74.85,121.0,154.26,89.0,314.5,0.28,249.0,100740.0
20230102:1500,13.51,77.5,26.0,39.96,23.0,335.75,0.28,53.0,100730.0
20230102:1600,11.95,86.15,0.0,-0.0,0.0,322.0,0.9,77.0,100760.0
20230102:1700,10.56,92.5,0.0,-0.0,0.0,329.2,1.03,105.0,100770.0
20230102:1800,9.56,92.45,0.0,-0.0,0.0,317.95,1.17,133.0,100800.0
20230102:1900,10.13,89.25,0.0,-0.0,0.0,324.35,0.41,167.0,100820.0
20230102:2000,9.57,92.45,0.0,-0.0,0.0,314.1,0.76,195.0,100840.0
20230102:2100,8.23,92.4,0.0,-0.0,0.0,314.85,1.31,196.0,100830.0
20230102:2200,7.26,95.8,0.0,-0.0,0.0,300.75,1.59,191.0,100810.0
