Latitude (decimal degrees): 46.498
Longitude (decimal degrees): 11.355
Elevation (m): 271.0
Irradiance Time Offset (h): 0.1777
month,year
1,2018
2,2010
3,2019
4,2023
5,2008
6,2021
7,2012
8,2012
9,2006
10,2016
11,2017
12,2015
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20180101:0000,-1.29,72.74,0.0,-0.0,0.0,266.19,0.46,96.0,88340.0
20180101:0100,-1.77,75.63,0.0,-0.0,0.0,268.15,0.47,91.0,88290.0
20180101:0200,-2.25,78.51,0.0,-0.0,0.0,270.11,0.47,85.0,88270.0
20180101:0300,-2.73,81.39,0.0,-0.0,0.0,272.08,0.47,82.0,88230.0
20180101:0400,-3.21,84.27,0.0,-0.0,0.0,274.04,0.48,76.0,88190.0
20180101:0500,-3.69,87.15,0.0,-0.0,0.0,276.0,0.48,69.0,88160.0
20180101:0600,-4.17,90.04,0.0,-0.0,0.0,277.97,0.49,59.0,88150.0
20180101:0700,-4.65,92.92,0.0,0.0,0.0,279.93,0.49,45.0,88160.0
20180101:0800,-1.57,88.35,25.0,0.0,25.0,296.3,0.55,28.0,88160.0
20180101:0900,-1.14,91.95,40.0,0.0,40.0,298.4,0.48,18.0,88190.0
20180101:1000,-0.24,91.95,66.0,0.0,66.0,294.15,0.55,17.0,88170.0
20180101:1100,0.97,85.2,82.0,0.0,82.0,292.05,0.69,17.0,88100.0
20180101:1200,1.78,82.0,79.0,0.0,79.0,278.1,0.69,34.0,87980.0
20180101:1300,2.38,76.0,58.0,0.0,58.0,267.25,0.55,20.0,87890.0
20180101:1400,2.48,76.0,80.0,50.39,71.0,258.35,0.34,18.0,87860.0
20180101:1500,2.18,78.95,12.0,0.0,12.0,240.55,0.21,49.0,87850.0
20180101:1600,1.15,81.95,0.0,-0.0,0.0,217.9,0.21,65.0,87830.0
20180101:1700,-0.38,88.45,0.0,-0.0,0.0,206.3,0.41,82.0,87780.0
20180101:1800,-2.01,91.85,0.0,-0.0,0.0,201.25,0.34,86.0,87740.0
20180101:1900,-4.09,95.5,0.0,-0.0,0.0,202.05,0.55,91.0,87810.0
20180101:2000,-5.1,91.75,0.0,-0.0,0.0,224.1,0.76,79.0,87780.0
20180101:2100,-5.68,91.7,0.0,-0.0,0.0,236.5,0.69,75.0,87760.0
20180101:2200,-6.13,88.0,0.0,-0.0,0.0,236.3,0.69,67.0,87720.0
20180101:2300,-6.67,84.45,0.0,-0.0,0.0,219.85,0.69,57.0,87740.0
20180102:0000,-6.88,84.4,0.0,-0.0,0.0,242.5,0.76,54.0,87710.0
20180102:0100,-6.08,81.1,0.0,-0.0,0.0,256.7,0.62,54.0,87700.0
20180102:0200,-5.72,81.1,0.0,-0.0,0.0,255.65,0.62,43.0,87740.0
20180102:0300,-5.4,77.9,0.0,-0.0,0.0,252.15,0.76,43.0,87790.0
20180102:0400,-5.21,77.9,0.0,-0.0,0.0,237.45,0.76,43.0,87820.0
20180102:0500,-5.09,74.9,0.0,-0.0,0.0,232.4,0.76,38.0,87860.0
20180102:0600,-4.89,71.85,0.0,-0.0,0.0,228.95,0.69,32.0,87930.0
20180102:0700,-5.19,71.85,0.0,0.0,0.0,228.95,0.62,44.0,88050.0
20180102:0800,-5.06,71.85,22.0,0.0,22.0,215.75,0.62,44.0,88150.0
20180102:0900,-4.07,66.35,28.0,0.0,28.0,198.75,0.48,40.0,88220.0
20180102:1000,-1.04,59.2,31.0,0.0,31.0,195.45,0.48,6.0,88250.0
20180102:1100,0.94,52.85,355.0,868.63,50.0,203.75,0.76,336.0,88270.0
20180102:1200,1.63,48.85,323.0,749.03,72.0,206.7,0.9,331.0,88270.0
20180102:1300,1.6,46.9,260.0,736.5,56.0,212.3,0.97,336.0,88250.0
20180102:1400,1.61,46.9,152.0,603.07,43.0,203.4,0.97,335.0,88300.0
20180102:1500,1.82,45.0,15.0,0.0,15.0,201.05,0.69,347.0,88370.0
20180102:1600,1.12,44.85,0.0,-0.0,0.0,193.7,0.55,22.0,88410.0
20180102:1700,-0.34,50.35,0.0,-0.0,0.0,190.6,0.55,29.0,88460.0
20180102:1800,-2.13,52.05,0.0,-0.0,0.0,187.9,0.62,46.0,88500.0
20180102:1900,-2.81,61.35,0.0,-0.0,0.0,187.3,0.62,44.0,88500.0
20180102:2000,-4.23,63.55,0.0,-0.0,0.0,197.0,0.41,66.0,88530.0
20180102:2100,-5.38,66.05,0.0,-0.0,0.0,202.4,0.55,82.0,88560.0
20180102:2200,-6.1,65.95,0.0,-0.0,0.0,240.55,0.62,73.0,88550.0
20180102:2300,-5.91,65.95,0.0,-0.0,0.0,263.2,0.55,74.0,88530.0
20180103:0000,-5.61,66.05,0.0,-0.0,0.0,268.2,0.55,75.0,88470.0
20180103:0100,-5.94,65.95,0.0,-0.0,0.0,263.7,0.55,72.0,88450.0
