Latitude (decimal degrees): 45.542
Longitude (decimal degrees): 10.212
Elevation (m): 151.0
Irradiance Time Offset (h): 0.1767
month,year
1,2016
2,2008
3,2007
4,2009
5,2020
6,2010
7,2017
8,2023
9,2018
10,2014
11,2017
12,2010
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20160101:0000,2.25,89.77,0.0,-0.0,0.0,248.31,0.71,246.0,99480.0
20160101:0100,2.17,90.19,0.0,-0.0,0.0,249.19,0.7,225.0,99450.0
20160101:0200,2.09,90.61,0.0,-0.0,0.0,250.07,0.7,223.0,99440.0
20160101:0300,2.02,91.03,0.0,-0.0,0.0,250.96,0.69,244.0,99440.0
20160101:0400,1.94,91.44,0.0,-0.0,0.0,251.84,0.69,255.0,99430.0
20160101:0500,1.86,91.86,0.0,-0.0,0.0,252.72,0.69,275.0,99430.0
20160101:0600,1.78,92.28,0.0,-0.0,0.0,253.6,0.68,270.0,99430.0
20160101:0700,1.71,92.7,0.0,0.0,0.0,254.49,0.68,225.0,99460.0
20160101:0800,1.32,92.05,121.0,505.06,44.0,237.25,0.21,229.0,99490.0
20160101:0900,2.3,88.65,240.0,680.08,62.0,247.9,0.28,224.0,99490.0
20160101:1000,3.9,82.25,319.0,724.2,77.0,235.9,0.69,209.0,99500.0
20160101:1100,4.79,76.3,357.0,775.76,74.0,240.55,0.97,208.0,99480.0
20160101:1200,5.32,73.55,343.0,779.36,69.0,249.65,0.9,203.0,99420.0
20160101:1300,5.64,73.55,277.0,717.75,65.0,244.6,0.69,189.0,99380.0
20160101:1400,5.71,70.85,168.0,569.94,54.0,245.0,0.55,164.0,99330.0
20160101:1500,5.15,79.3,32.0,111.06,24.0,244.05,0.97,181.0,99340.0
20160101:1600,3.66,85.45,0.0,-0.0,0.0,242.1,0.9,186.0,99340.0
20160101:1700,3.99,82.25,0.0,-0.0,0.0,248.1,0.55,175.0,99340.0
20160101:1800,3.59,85.4,0.0,-0.0,0.0,238.6,0.34,124.0,99310.0
20160101:1900,2.94,88.7,0.0,-0.0,0.0,244.05,0.48,148.0,99310.0
