Latitude (decimal degrees): 45.808
Longitude (decimal degrees): 9.085
Elevation (m): 216.0
Irradiance Time Offset (h): 0.177
month,year
1,2023
2,2010
3,2006
4,2023
5,2017
6,2009
7,2018
8,2012
9,2011
10,2008
11,2008
12,2018
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20230101:0000,7.67,74.8,0.0,-0.0,0.0,308.01,0.93,17.0,97580.0
20230101:0100,7.67,76.11,0.0,-0.0,0.0,316.65,0.95,16.0,97590.0
20230101:0200,7.67,77.42,0.0,-0.0,0.0,325.3,0.97,9.0,97580.0
20230101:0300,7.67,78.74,0.0,-0.0,0.0,333.95,1.0,6.0,97560.0
20230101:0400,7.68,80.05,0.0,-0.0,0.0,342.6,1.02,354.0,97520.0
20230101:0500,7.68,81.36,0.0,-0.0,0.0,351.25,1.04,350.0,97500.0
20230101:0600,7.68,82.68,0.0,-0.0,0.0,359.89,1.06,354.0,97490.0
20230101:0700,7.69,83.99,0.0,-0.0,0.0,368.54,1.08,2.0,97600.0
20230101:0800,7.87,85.85,60.0,57.26,52.0,347.4,0.83,352.0,97610.0
20230101:0900,8.43,89.1,89.0,7.97,87.0,348.55,0.62,330.0,97620.0
20230101:1000,9.3,82.9,61.0,0.0,61.0,343.3,0.62,324.0,97600.0
20230101:1100,9.81,82.95,127.0,5.56,125.0,341.2,0.69,320.0,97570.0
20230101:1200,10.1,80.05,210.0,134.36,163.0,349.5,0.69,314.0,97490.0
20230101:1300,10.32,80.05,110.0,10.1,107.0,351.85,0.69,319.0,97450.0
20230101:1400,10.29,83.0,60.0,0.0,60.0,352.0,0.62,319.0,97440.0
20230101:1500,10.03,86.0,24.0,0.0,24.0,343.9,0.62,320.0,97440.0
20230101:1600,9.4,89.15,0.0,-0.0,0.0,344.3,0.62,333.0,97460.0
20230101:1700,9.22,85.95,0.0,-0.0,0.0,342.15,0.62,347.0,97470.0
20230101:1800,9.21,85.95,0.0,-0.0,0.0,334.2,0.34,350.0,97500.0
20230101:1900,8.66,89.1,0.0,-0.0,0.0,351.85,0.62,14.0,97530.0
20230101:2000,9.19,85.95,0.0,-0.0,0.0,353.75,0.48,12.0,97540.0
20230101:2100,9.44,82.9,0.0,-0.0,0.0,355.5,0.41,4.0,97550.0
20230101:2200,9.54,82.9,0.0,-0.0,0.0,353.95,0.55,2.0,97520.0
20230101:2300,9.62,79.95,0.0,-0.0,0.0,347.95,0.62,359.0,97500.0
20230102:0000,9.35,82.9,0.0,-0.0,0.0,354.55,0.69,9.0,97460.0
20230102:0100,9.75,79.95,0.0,-0.0,0.0,350.4,0.62,14.0,97430.0
20230102:0200,9.83,79.95,0.0,-0.0,0.0,352.2,0.48,13.0,97430.0
20230102:0300,9.67,79.95,0.0,-0.0,0.0,343.1,0.34,355.0,97420.0
20230102:0400,9.56,82.9,0.0,-0.0,0.0,347.0,0.48,350.0,97380.0
20230102:0500,9.49,82.9,0.0,-0.0,0.0,353.75,0.48,0.0,97370.0
20230102:0600,9.43,82.9,0.0,-0.0,0.0,347.95,0.34,16.0,97380.0
20230102:0700,8.2,89.1,0.0,-0.0,0.0,340.4,0.69,37.0,97450.0
20230102:0800,8.27,89.1,27.0,0.0,27.0,346.0,0.62,62.0,97470.0
20230102:0900,8.8,89.1,20.0,0.0,20.0,327.45,0.34,62.0,97490.0
20230102:1000,9.26,89.15,28.0,0.0,28.0,330.15,0.28,76.0,97490.0
20230102:1100,9.67,86.0,58.0,0.0,58.0,342.15,0.28,53.0,97450.0
20230102:1200,10.01,89.2,83.0,0.0,83.0,336.35,0.41,41.0,97380.0
20230102:1300,10.04,89.2,125.0,23.42,118.0,344.3,0.34,34.0,97340.0
20230102:1400,10.09,86.05,56.0,0.0,56.0,342.55,0.28,28.0,97340.0
20230102:1500,9.84,89.2,20.0,0.0,20.0,349.5,0.14,339.0,97320.0
20230102:1600,9.42,92.45,0.0,-0.0,0.0,345.65,0.34,328.0,97330.0
20230102:1700,8.81,95.85,0.0,-0.0,0.0,349.7,0.69,354.0,97340.0
20230102:1800,8.61,92.45,0.0,-0.0,0.0,355.7,0.83,15.0,97360.0
20230102:1900,8.68,89.1,0.0,-0.0,0.0,348.75,0.55,7.0,97370.0
20230102:2000,8.94,89.1,0.0,-0.0,0.0,352.6,0.48,24.0,97370.0
20230102:2100,8.97,89.1,0.0,-0.0,0.0,352.8,0.48,24.0,97360.0
20230102:2200,8.71,89.1,0.0,-0.0,0.0,352.6,0.55,28.0,97350.0
20230102:2300,8.44,92.4,0.0,-0.0,0.0,350.1,0.69,29.0,97350.0
20230103:0000,8.08,92.4,0.0,-0.0,0.0,347.95,0.9,37.0,97320.0
20230103:0100,7.95,95.8,0.0,-0.0,0.0,349.4,0.97,47.0,97320.0
20230103:0200,7.92,95.8,0.0,-0.0,0.0,350.65,0.97,56.0,97320.0
20230103:0300,7.87,95.8,0.0,-0.0,0.0,351.05,0.9,62.0,97330.0
20230103:0400,7.74,95.8,0.0,-0.0,0.0,348.55,0.83,71.0,97300.0
20230103:0500,7.78,95.8,0.0,-0.0,0.0,351.25,0.69,82.0,97300.0
20230103:0600,7.58,95.8,0.0,-0.0,0.0,349.9,0.62,89.0,97310.0
20230103:0700,7.82,95.8,0.0,0.0,0.0,349.7,0.55,54.0,97380.0
20230103:0800,7.93,95.8,44.0,7.12,43.0,346.2,0.55,44.0,97440.0
20230103:0900,8.24,95.85,64.0,0.0,64.0,349.1,0.48,57.0,97460.0
20230103:1000,8.84,89.1,31.0,0.0,31.0,348.95,0.34,70.0,97470.0
20230103:1100,8.85,92.45,103.0,0.0,103.0,352.2,0.14,84.0,97450.0
20230103:1200,9.19,85.95,87.0,0.0,87.0,350.65,0.0,89.0,97420.0
20230103:1300,9.28,85.95,105.0,6.65,103.0,352.0,0.0,349.0,97370.0
20230103:1400,9.41,85.95,50.0,0.0,50.0,346.6,0.07,1.0,97350.0
20230103:1500,9.47,85.95,9.0,0.0,9.0,334.2,0.14,305.0,97350.0
20230103:1600,9.05,89.1,0.0,-0.0,0.0,319.5,0.28,249.0,97400.0
