Latitude (decimal degrees): 45.133
Longitude (decimal degrees): 10.023
Elevation (m): 49.0
Irradiance Time Offset (h): 0.1762
month,year
1,2011
2,2010
3,2010
4,2019
5,2009
6,2018
7,2006
8,2018
9,2016
10,2018
11,2016
12,2017
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20110101:0000,0.38,93.22,0.0,-0.0,0.0,299.59,1.37,75.0,101700.0
20110101:0100,-0.12,94.63,0.0,-0.0,0.0,294.88,1.35,28.0,101670.0
20110101:0200,-0.62,96.05,0.0,-0.0,0.0,290.18,1.33,353.0,101670.0
20110101:0300,-1.12,97.47,0.0,-0.0,0.0,285.47,1.31,324.0,101630.0
20110101:0400,-1.62,98.89,0.0,-0.0,0.0,280.77,1.29,300.0,101600.0
20110101:0500,-2.12,100.0,0.0,-0.0,0.0,276.06,1.27,287.0,101560.0
20110101:0600,-2.62,100.0,0.0,-0.0,0.0,271.35,1.25,287.0,101560.0
20110101:0700,-3.12,100.0,0.0,0.0,0.0,266.65,1.23,296.0,101580.0
20110101:0800,-0.81,100.0,85.0,121.89,66.0,293.75,1.59,301.0,101590.0
20110101:0900,-0.02,99.4,139.0,71.32,120.0,293.95,1.38,301.0,101580.0
20110101:1000,0.98,95.65,142.0,17.65,136.0,299.95,1.24,302.0,101530.0
20110101:1100,1.68,95.65,169.0,26.93,159.0,299.2,1.24,309.0,101490.0
20110101:1200,2.56,92.15,171.0,39.05,157.0,300.15,1.31,321.0,101390.0
20110101:1300,3.0,88.7,155.0,62.81,136.0,306.95,1.24,329.0,101310.0
20110101:1400,3.1,88.7,155.0,367.27,79.0,307.3,0.9,328.0,101260.0
20110101:1500,2.82,88.7,36.0,114.8,27.0,290.1,0.69,335.0,101230.0
20110101:1600,2.0,95.65,0.0,-0.0,0.0,291.45,0.69,1.0,101200.0
20110101:1700,1.36,95.65,0.0,-0.0,0.0,287.4,0.69,15.0,101190.0
20110101:1800,1.25,99.35,0.0,-0.0,0.0,281.0,0.55,31.0,101170.0
20110101:1900,0.54,99.4,0.0,-0.0,0.0,261.25,0.62,71.0,101130.0
20110101:2000,0.1,99.4,0.0,-0.0,0.0,278.85,0.28,120.0,101110.0
20110101:2100,-0.21,99.4,0.0,-0.0,0.0,280.4,0.34,118.0,101110.0
20110101:2200,-0.57,99.4,0.0,-0.0,0.0,275.75,0.41,111.0,101070.0
20110101:2300,-1.03,99.4,0.0,-0.0,0.0,293.2,0.41,94.0,101050.0
20110102:0000,-1.08,99.4,0.0,-0.0,0.0,299.55,0.69,74.0,101010.0
20110102:0100,-1.28,100.0,0.0,-0.0,0.0,296.6,0.69,64.0,101000.0
20110102:0200,-1.32,100.0,0.0,-0.0,0.0,301.3,0.62,63.0,101000.0
20110102:0300,-1.35,100.0,0.0,-0.0,0.0,308.3,0.62,62.0,100980.0
20110102:0400,-1.38,100.0,0.0,-0.0,0.0,307.7,0.55,53.0,100960.0
20110102:0500,-1.38,100.0,0.0,-0.0,0.0,304.05,0.55,50.0,100950.0
20110102:0600,-1.32,100.0,0.0,-0.0,0.0,310.4,0.69,50.0,100950.0
20110102:0700,-0.77,100.0,0.0,0.0,0.0,312.15,0.69,14.0,100900.0
20110102:0800,-0.69,99.4,66.0,38.41,60.0,314.65,0.76,30.0,100940.0
20110102:0900,-0.34,100.0,102.0,11.24,99.0,317.95,0.76,55.0,100980.0
20110102:1000,0.31,95.65,95.0,0.0,95.0,317.75,0.83,71.0,101000.0
20110102:1100,1.04,95.65,151.0,13.42,146.0,317.95,1.17,76.0,101010.0
20110102:1200,1.4,95.65,122.0,2.78,121.0,317.95,1.31,79.0,100970.0
20110102:1300,2.32,88.65,98.0,3.29,97.0,308.1,1.31,80.0,100930.0
20110102:1400,2.55,88.65,72.0,9.57,70.0,305.75,1.24,77.0,100950.0
20110102:1500,2.62,85.35,27.0,24.8,25.0,290.65,0.97,78.0,100990.0
20110102:1600,2.11,88.65,0.0,-0.0,0.0,284.3,0.28,68.0,101050.0
20110102:1700,1.6,92.05,0.0,-0.0,0.0,267.05,0.21,316.0,101090.0
20110102:1800,0.79,95.65,0.0,-0.0,0.0,258.75,0.69,300.0,101140.0
20110102:1900,1.12,99.35,0.0,-0.0,0.0,279.45,0.48,324.0,101110.0
20110102:2000,0.53,99.4,0.0,-0.0,0.0,275.6,0.76,305.0,101150.0
20110102:2100,-0.76,100.0,0.0,-0.0,0.0,284.3,1.03,297.0,101200.0
20110102:2200,-0.43,100.0,0.0,-0.0,0.0,301.5,1.17,292.0,101240.0
20110102:2300,-0.71,99.4,0.0,-0.0,0.0,284.85,1.45,291.0,101260.0
20110103:0000,-0.6,99.4,0.0,-0.0,0.0,287.4,1.72,297.0,101270.0
20110103:0100,-0.63,99.4,0.0,-0.0,0.0,287.3,1.66,301.0,101270.0
20110103:0200,-0.48,100.0,0.0,-0.0,0.0,298.8,1.59,304.0,101320.0
20110103:0300,-0.27,100.0,0.0,-0.0,0.0,311.4,1.52,308.0,101330.0
20110103:0400,-0.48,100.0,0.0,-0.0,0.0,295.3,1.59,307.0,101340.0
20110103:0500,-0.28,100.0,0.0,-0.0,0.0,310.8,1.52,314.0,101390.0
20110103:0600,-0.51,99.4,0.0,-0.0,0.0,289.5,1.45,319.0,101440.0
20110103:0700,-0.24,95.6,0.0,0.0,0.0,273.25,0.97,322.0,101440.0
20110103:0800,0.53,95.65,100.0,223.48,65.0,268.2,0.55,344.0,101500.0
20110103:0900,2.04,88.65,198.0,302.5,117.0,259.3,0.55,32.0,101570.0
20110103:1000,3.68,79.15,252.0,271.98,159.0,255.05,1.17,74.0,101600.0
20110103:1100,4.57,70.7,272.0,251.3,178.0,254.1,1.59,83.0,101610.0
20110103:1200,5.27,68.1,326.0,558.09,124.0,253.9,1.72,88.0,101560.0
20110103:1300,5.64,65.65,271.0,561.3,99.0,249.25,1.79,87.0,101520.0
20110103:1400,5.64,63.15,182.0,586.86,58.0,245.4,1.93,83.0,101520.0
20110103:1500,4.98,68.1,49.0,265.01,27.0,244.4,1.59,73.0,101550.0
20110103:1600,3.12,76.1,0.0,-0.0,0.0,229.15,2.07,57.0,101580.0
20110103:1700,0.86,81.95,0.0,-0.0,0.0,228.35,1.93,59.0,101620.0
20110103:1800,-1.06,85.0,0.0,-0.0,0.0,225.45,1.93,63.0,101630.0
20110103:1900,-1.72,78.45,0.0,-0.0,0.0,220.05,1.86,56.0,101630.0
20110103:2000,-1.82,81.55,0.0,-0.0,0.0,224.85,1.72,64.0,101640.0
20110103:2100,-2.07,78.35,0.0,-0.0,0.0,223.7,1.66,69.0,101690.0
20110103:2200,-2.3,81.5,0.0,-0.0,0.0,221.75,1.59,78.0,101720.0
