Latitude (decimal degrees): 44.385
Longitude (decimal degrees): 7.543
Elevation (m): 557.0
Irradiance Time Offset (h): 0.1754
month,year
1,2019
2,2009
3,2007
4,2016
5,2009
6,2012
7,2023
8,2009
9,2023
10,2021
11,2010
12,2009
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20190101:0000,0.75,81.35,0.0,-0.0,0.0,271.09,0.97,245.0,91580.0
20190101:0100,0.72,78.61,0.0,-0.0,0.0,268.24,0.99,243.0,91600.0
20190101:0200,0.7,75.87,0.0,-0.0,0.0,265.4,1.01,250.0,91640.0
20190101:0300,0.67,73.13,0.0,-0.0,0.0,262.55,1.03,271.0,91650.0
20190101:0400,0.65,70.39,0.0,-0.0,0.0,259.71,1.05,273.0,91640.0
20190101:0500,0.63,67.65,0.0,-0.0,0.0,256.86,1.06,249.0,91630.0
20190101:0600,0.6,64.92,0.0,-0.0,0.0,254.02,1.08,232.0,91610.0
20190101:0700,0.58,62.18,0.0,-0.0,0.0,251.17,1.1,229.0,91640.0
20190101:0800,-1.07,75.45,68.0,69.72,58.0,249.85,1.03,230.0,91650.0
20190101:0900,2.1,78.95,259.0,850.8,37.0,256.2,0.62,238.0,91650.0
20190101:1000,4.77,70.7,340.0,809.89,63.0,262.05,0.34,245.0,91570.0
20190101:1100,6.29,60.85,363.0,676.86,105.0,269.75,0.62,213.0,91480.0
20190101:1200,7.13,61.0,387.0,880.98,56.0,269.75,0.97,205.0,91370.0
20190101:1300,7.65,63.5,327.0,843.5,52.0,268.4,0.9,200.0,91250.0
20190101:1400,7.68,68.5,216.0,713.44,48.0,269.95,0.76,198.0,91180.0
20190101:1500,6.86,76.65,80.0,453.49,30.0,269.4,0.69,207.0,91140.0
20190101:1600,4.83,85.55,0.0,-0.0,0.0,263.95,1.03,226.0,91110.0
20190101:1700,2.35,88.65,0.0,-0.0,0.0,259.7,1.45,228.0,91110.0
20190101:1800,0.63,92.0,0.0,-0.0,0.0,262.6,1.72,229.0,91100.0
20190101:1900,0.13,95.6,0.0,-0.0,0.0,264.75,1.79,226.0,91040.0
20190101:2000,-0.26,88.45,0.0,-0.0,0.0,259.15,1.86,228.0,90980.0
20190101:2100,-0.47,85.05,0.0,-0.0,0.0,258.35,1.93,230.0,90920.0
20190101:2200,-0.5,75.55,0.0,-0.0,0.0,255.65,1.93,233.0,90850.0
20190101:2300,-0.56,67.0,0.0,-0.0,0.0,250.05,1.93,235.0,90790.0
20190102:0000,-0.25,59.45,0.0,-0.0,0.0,251.75,1.86,240.0,90730.0
20190102:0100,1.47,48.85,0.0,-0.0,0.0,244.55,1.72,248.0,90670.0
20190102:0200,2.75,37.0,0.0,-0.0,0.0,245.4,1.66,255.0,90670.0
20190102:0300,4.15,32.9,0.0,-0.0,0.0,251.95,1.52,266.0,90610.0
20190102:0400,6.28,27.2,0.0,-0.0,0.0,249.45,1.17,282.0,90600.0
20190102:0500,6.16,30.7,0.0,-0.0,0.0,251.2,1.03,310.0,90610.0
20190102:0600,5.5,34.6,0.0,-0.0,0.0,255.85,1.03,317.0,90670.0
20190102:0700,5.8,33.35,0.0,-0.0,0.0,252.95,1.17,354.0,90670.0
20190102:0800,4.59,42.3,120.0,598.64,34.0,266.5,1.1,6.0,90780.0
20190102:0900,3.96,60.4,253.0,776.34,50.0,267.85,0.97,343.0,90850.0
20190102:1000,4.96,62.95,354.0,877.75,53.0,274.8,1.45,8.0,90850.0
20190102:1100,4.96,62.95,398.0,881.22,61.0,261.65,1.86,21.0,90910.0
20190102:1200,4.64,60.5,395.0,901.14,55.0,261.85,1.93,20.0,90900.0
20190102:1300,4.41,58.2,329.0,829.54,57.0,254.3,1.66,21.0,90900.0
20190102:1400,4.09,60.4,224.0,745.02,47.0,260.3,1.52,22.0,90910.0
20190102:1500,3.4,60.3,85.0,497.76,29.0,262.05,1.38,14.0,90980.0
20190102:1600,2.13,70.2,0.0,-0.0,0.0,252.35,1.03,357.0,91050.0
20190102:1700,0.67,81.9,0.0,-0.0,0.0,252.15,0.83,328.0,91100.0
20190102:1800,0.35,78.75,0.0,-0.0,0.0,256.6,0.69,299.0,91140.0
20190102:1900,1.18,62.25,0.0,-0.0,0.0,262.2,0.76,343.0,91120.0
20190102:2000,0.6,64.55,0.0,-0.0,0.0,259.5,0.62,341.0,91190.0
20190102:2100,0.09,59.45,0.0,-0.0,0.0,246.15,0.48,309.0,91190.0
20190102:2200,-0.27,57.1,0.0,-0.0,0.0,252.55,0.48,268.0,91190.0
20190102:2300,-1.23,61.65,0.0,-0.0,0.0,246.75,0.83,241.0,91200.0
20190103:0000,-2.34,66.65,0.0,-0.0,0.0,247.5,1.03,231.0,91200.0
20190103:0100,-2.49,72.25,0.0,-0.0,0.0,253.45,1.03,230.0,91210.0
20190103:0200,-3.05,75.1,0.0,-0.0,0.0,234.55,1.03,229.0,91230.0
20190103:0300,-2.79,72.25,0.0,-0.0,0.0,251.2,0.97,229.0,91210.0
20190103:0400,-3.1,75.1,0.0,-0.0,0.0,242.85,1.03,226.0,91200.0
20190103:0500,-3.33,75.1,0.0,-0.0,0.0,243.25,1.17,224.0,91180.0
20190103:0600,-3.61,78.15,0.0,-0.0,0.0,239.6,1.24,224.0,91170.0
20190103:0700,-3.22,66.45,0.0,-0.0,0.0,230.85,1.17,235.0,91210.0
20190103:0800,-2.42,69.35,120.0,597.17,34.0,224.5,0.97,233.0,91250.0
20190103:0900,0.21,59.6,252.0,762.9,52.0,227.6,0.69,235.0,91250.0
20190103:1000,2.66,53.25,353.0,866.42,55.0,230.1,0.28,235.0,91270.0
20190103:1100,3.61,51.4,399.0,880.68,61.0,233.75,0.14,134.0,91220.0
20190103:1200,3.8,55.85,399.0,912.93,53.0,240.35,0.34,54.0,91190.0
20190103:1300,3.68,60.3,333.0,842.74,55.0,246.75,0.14,334.0,91160.0
20190103:1400,3.6,60.3,226.0,750.68,46.0,250.4,0.28,356.0,91160.0
20190103:1500,2.96,60.15,86.0,487.59,30.0,247.15,0.69,30.0,91210.0
20190103:1600,1.14,75.75,0.0,-0.0,0.0,255.25,0.83,35.0,91270.0
20190103:1700,0.29,72.75,0.0,-0.0,0.0,250.6,0.41,6.0,91310.0
20190103:1800,-0.43,75.55,0.0,-0.0,0.0,246.95,0.41,279.0,91350.0
20190103:1900,-1.14,72.5,0.0,-0.0,0.0,245.2,0.97,237.0,91290.0
20190103:2000,-2.35,81.5,0.0,-0.0,0.0,245.0,1.1,231.0,91290.0
20190103:2100,-2.71,81.5,0.0,-0.0,0.0,243.25,1.1,229.0,91300.0
20190103:2200,-2.68,78.3,0.0,-0.0,0.0,244.4,1.03,235.0,91340.0
20190103:2300,-2.67,78.3,0.0,-0.0,0.0,240.55,1.03,238.0,91330.0
20190104:0000,-2.69,75.2,0.0,-0.0,0.0,244.2,0.97,240.0,91340.0
20190104:0100,-2.78,72.25,0.0,-0.0,0.0,239.9,0.9,248.0,91340.0
20190104:0200,-2.32,69.45,0.0,-0.0,0.0,239.2,0.83,264.0,91400.0
20190104:0300,-2.57,66.6,0.0,-0.0,0.0,241.7,0.83,277.0,91400.0
20190104:0400,-2.51,63.9,0.0,-0.0,0.0,242.5,0.83,269.0,91380.0
20190104:0500,-3.23,63.8,0.0,-0.0,0.0,236.65,0.97,249.0,91360.0
20190104:0600,-3.68,63.7,0.0,-0.0,0.0,240.95,1.1,239.0,91340.0
20190104:0700,-4.04,63.55,0.0,-0.0,0.0,240.55,1.24,232.0,91360.0
20190104:0800,-3.61,66.35,124.0,657.53,29.0,232.2,1.17,230.0,91410.0
20190104:0900,-0.16,57.1,232.0,578.05,80.0,240.95,0.83,229.0,91430.0
20190104:1000,2.02,39.9,333.0,721.56,84.0,244.6,0.34,218.0,91460.0
20190104:1100,3.14,32.6,394.0,848.72,67.0,239.6,0.14,216.0,91450.0
20190104:1200,3.41,35.6,394.0,882.32,58.0,245.2,0.0,247.0,91420.0
20190104:1300,3.23,37.15,290.0,521.13,117.0,255.85,0.14,275.0,91430.0
20190104:1400,3.11,41.85,224.0,714.62,51.0,248.65,0.34,252.0,91420.0
20190104:1500,2.2,45.3,70.0,213.15,45.0,253.3,0.14,214.0,91420.0
20190104:1600,0.43,62.0,0.0,-0.0,0.0,249.05,0.76,212.0,91420.0
20190104:1700,-1.41,69.55,0.0,-0.0,0.0,249.85,1.1,220.0,91440.0
20190104:1800,-2.34,75.2,0.0,-0.0,0.0,247.9,1.31,221.0,91450.0
20190104:1900,-2.75,78.3,0.0,-0.0,0.0,235.5,1.45,222.0,91400.0
20190104:2000,-3.12,81.45,0.0,-0.0,0.0,235.9,1.52,223.0,91360.0
20190104:2100,-3.29,78.2,0.0,-0.0,0.0,235.9,1.66,219.0,91310.0
20190104:2200,-3.07,78.2,0.0,-0.0,0.0,243.05,1.59,220.0,91250.0
20190104:2300,-3.28,78.2,0.0,-0.0,0.0,241.5,1.45,225.0,91200.0
20190105:0000,-3.53,81.4,0.0,-0.0,0.0,239.4,1.38,232.0,91180.0
20190105:0100,-3.46,81.4,0.0,-0.0,0.0,240.65,1.31,239.0,91210.0
20190105:0200,-3.34,75.1,0.0,-0.0,0.0,233.4,1.31,244.0,91210.0
20190105:0300,-3.41,75.05,0.0,-0.0,0.0,231.05,1.31,243.0,91170.0
20190105:0400,-3.57,69.15,0.0,-0.0,0.0,234.55,1.31,240.0,91130.0
20190105:0500,-3.72,63.7,0.0,-0.0,0.0,233.6,1.38,235.0,91120.0
20190105:0600,-3.91,63.55,0.0,-0.0,0.0,233.2,1.52,231.0,91090.0
20190105:0700,-3.7,53.9,0.0,-0.0,0.0,236.1,1.66,230.0,91040.0
20190105:0800,-2.96,61.2,46.0,6.89,45.0,231.85,1.59,229.0,91030.0
20190105:0900,1.03,62.15,140.0,75.8,120.0,235.15,1.24,225.0,90980.0
20190105:1000,5.11,49.65,350.0,848.85,56.0,245.75,0.83,218.0,90950.0
20190105:1100,7.02,38.0,397.0,865.86,62.0,244.6,0.62,226.0,90890.0
20190105:1200,7.65,39.7,397.0,896.16,54.0,248.1,0.76,250.0,90800.0
20190105:1300,7.91,39.85,337.0,849.86,53.0,249.45,0.83,258.0,90740.0
20190105:1400,7.58,46.55,226.0,719.85,50.0,249.65,0.69,271.0,90730.0
20190105:1500,6.3,56.3,89.0,484.05,31.0,250.6,1.1,255.0,90730.0
20190105:1600,3.46,67.8,0.0,-0.0,0.0,248.3,1.38,244.0,90750.0
20190105:1700,0.77,67.3,0.0,-0.0,0.0,247.5,1.52,246.0,90770.0
20190105:1800,0.7,55.05,0.0,-0.0,0.0,246.75,1.52,256.0,90810.0
20190105:1900,1.55,57.45,0.0,-0.0,0.0,250.4,1.45,254.0,90800.0
20190105:2000,2.81,51.3,0.0,-0.0,0.0,250.4,1.31,257.0,90800.0
20190105:2100,3.83,49.55,0.0,-0.0,0.0,249.65,1.24,258.0,90830.0
20190105:2200,4.0,49.55,0.0,-0.0,0.0,248.5,1.17,263.0,90850.0
20190105:2300,2.92,55.55,0.0,-0.0,0.0,250.8,1.17,263.0,90860.0
20190106:0000,2.0,62.35,0.0,-0.0,0.0,247.5,1.31,259.0,90850.0
20190106:0100,1.77,64.9,0.0,-0.0,0.0,249.95,1.31,257.0,90830.0
20190106:0200,1.52,67.4,0.0,-0.0,0.0,250.6,1.38,255.0,90850.0
20190106:0300,0.81,67.3,0.0,-0.0,0.0,246.35,1.45,248.0,90830.0
20190106:0400,0.08,69.85,0.0,-0.0,0.0,243.85,1.59,241.0,90790.0
20190106:0500,0.25,67.2,0.0,-0.0,0.0,243.85,1.45,239.0,90760.0
20190106:0600,1.41,59.8,0.0,-0.0,0.0,246.35,1.31,240.0,90760.0
20190106:0700,4.5,47.7,0.0,-0.0,0.0,244.05,1.03,262.0,90800.0
20190106:0800,4.28,47.7,121.0,596.84,34.0,241.3,0.76,273.0,90850.0
20190106:0900,4.52,55.95,257.0,792.75,47.0,240.35,0.48,292.0,90930.0
20190106:1000,6.11,56.2,355.0,859.85,56.0,247.7,0.76,4.0,90970.0
20190106:1100,7.16,52.2,404.0,887.74,59.0,249.25,0.97,2.0,91000.0
20190106:1200,7.6,52.35,399.0,883.6,59.0,251.95,1.03,0.0,90960.0
20190106:1300,7.73,52.35,337.0,826.19,59.0,250.6,0.97,358.0,90940.0
20190106:1400,7.6,52.35,230.0,720.64,52.0,250.8,0.83,359.0,90950.0
20190106:1500,6.72,63.25,94.0,514.51,31.0,250.4,0.48,351.0,90980.0
20190106:1600,5.65,63.05,0.0,-0.0,0.0,247.5,0.69,272.0,90990.0
20190106:1700,3.23,65.2,0.0,-0.0,0.0,245.75,1.17,255.0,91030.0
20190106:1800,1.23,70.1,0.0,-0.0,0.0,244.6,1.38,250.0,91050.0
20190106:1900,2.47,62.5,0.0,-0.0,0.0,246.95,1.38,246.0,91060.0
20190106:2000,1.32,62.25,0.0,-0.0,0.0,246.15,1.52,244.0,91070.0
20190106:2100,0.33,64.55,0.0,-0.0,0.0,245.75,1.59,237.0,91080.0
20190106:2200,-0.68,67.0,0.0,-0.0,0.0,244.8,1.66,232.0,91100.0
20190106:2300,-1.23,66.9,0.0,-0.0,0.0,243.65,1.66,230.0,91110.0
20190107:0000,-1.44,66.8,0.0,-0.0,0.0,243.85,1.52,230.0,91120.0
20190107:0100,-1.86,69.45,0.0,-0.0,0.0,243.0,1.45,230.0,91140.0
20190107:0200,-2.07,69.45,0.0,-0.0,0.0,242.3,1.45,231.0,91150.0
20190107:0300,-2.18,69.45,0.0,-0.0,0.0,241.9,1.38,231.0,91160.0
20190107:0400,-1.92,66.65,0.0,-0.0,0.0,241.5,1.31,236.0,91170.0
20190107:0500,-1.52,64.1,0.0,-0.0,0.0,241.9,1.24,246.0,91210.0
20190107:0600,-1.67,64.1,0.0,-0.0,0.0,241.9,1.31,249.0,91230.0
20190107:0700,-0.67,52.45,0.0,-0.0,0.0,243.65,1.38,241.0,91250.0
20190107:0800,-0.42,56.95,123.0,620.79,32.0,243.65,1.31,239.0,91300.0
20190107:0900,3.0,57.8,254.0,763.01,51.0,244.6,0.76,253.0,91330.0
20190107:1000,6.01,46.1,354.0,853.29,56.0,247.5,0.69,324.0,91340.0
20190107:1100,7.07,42.85,399.0,857.94,64.0,250.05,0.97,352.0,91330.0
20190107:1200,7.36,44.75,397.0,865.75,62.0,251.0,0.97,1.0,91270.0
20190107:1300,7.4,46.55,337.0,820.3,59.0,252.15,0.83,5.0,91260.0
20190107:1400,7.2,48.25,232.0,729.14,50.0,252.15,0.55,2.0,91260.0
20190107:1500,6.32,63.25,97.0,535.32,30.0,251.6,0.34,17.0,91260.0
20190107:1600,5.22,60.5,0.0,-0.0,0.0,249.05,0.28,242.0,91300.0
20190107:1700,3.33,65.2,0.0,-0.0,0.0,246.75,1.03,228.0,91310.0
20190107:1800,0.1,81.8,0.0,-0.0,0.0,245.0,1.31,228.0,91310.0
20190107:1900,-1.45,88.35,0.0,-0.0,0.0,243.65,1.45,224.0,91290.0
20190107:2000,-1.92,88.3,0.0,-0.0,0.0,243.65,1.38,230.0,91300.0
20190107:2100,-2.21,88.3,0.0,-0.0,0.0,243.45,1.45,229.0,91310.0
20190107:2200,-2.48,88.25,0.0,-0.0,0.0,242.65,1.45,227.0,91270.0
20190107:2300,-2.6,88.25,0.0,-0.0,0.0,242.1,1.38,226.0,91250.0
20190108:0000,-2.76,84.85,0.0,-0.0,0.0,241.7,1.45,226.0,91200.0
20190108:0100,-3.04,88.25,0.0,-0.0,0.0,241.8,1.38,225.0,91150.0
20190108:0200,-3.08,88.25,0.0,-0.0,0.0,244.05,1.38,228.0,91100.0
20190108:0300,-3.26,84.8,0.0,-0.0,0.0,243.65,1.45,227.0,91060.0
20190108:0400,-3.42,88.2,0.0,-0.0,0.0,242.1,1.52,224.0,90980.0
20190108:0500,-3.25,84.8,0.0,-0.0,0.0,246.15,1.59,224.0,90900.0
20190108:0600,-3.22,84.8,0.0,-0.0,0.0,245.6,1.59,228.0,90840.0
20190108:0700,-3.05,75.1,0.0,-0.0,0.0,248.65,1.59,228.0,90760.0
20190108:0800,-2.17,75.3,82.0,135.57,62.0,250.05,1.45,231.0,90710.0
20190108:0900,1.62,75.85,137.0,63.59,120.0,246.75,1.24,225.0,90630.0
20190108:1000,5.73,58.3,337.0,723.94,83.0,254.1,1.1,217.0,90480.0
20190108:1100,7.24,52.2,370.0,652.34,114.0,269.6,0.76,213.0,90380.0
20190108:1200,7.52,54.4,234.0,110.48,191.0,273.05,0.41,240.0,90230.0
20190108:1300,7.14,61.0,80.0,0.0,80.0,281.2,0.55,327.0,90130.0
20190108:1400,6.13,73.65,247.0,832.3,37.0,292.05,0.76,354.0,90070.0
20190108:1500,5.06,82.35,105.0,633.0,24.0,291.65,0.62,350.0,90020.0
20190108:1600,4.22,79.3,0.0,-0.0,0.0,268.05,0.62,330.0,89990.0
20190108:1700,3.37,79.15,0.0,-0.0,0.0,269.95,0.55,309.0,89980.0
20190108:1800,2.61,82.15,0.0,-0.0,0.0,275.0,0.62,307.0,89990.0
20190108:1900,2.55,82.15,0.0,-0.0,0.0,279.45,0.76,325.0,89950.0
20190108:2000,1.92,85.3,0.0,-0.0,0.0,269.95,0.69,314.0,89960.0
20190108:2100,1.2,85.25,0.0,-0.0,0.0,265.3,0.69,295.0,89950.0
20190108:2200,0.7,88.55,0.0,-0.0,0.0,262.2,0.76,274.0,89940.0
20190108:2300,-0.55,91.95,0.0,-0.0,0.0,262.6,0.97,254.0,89900.0
20190109:0000,-0.89,95.6,0.0,-0.0,0.0,264.35,0.97,258.0,89900.0
20190109:0100,-0.84,95.6,0.0,-0.0,0.0,255.75,1.1,248.0,89850.0
20190109:0200,-1.25,91.95,0.0,-0.0,0.0,257.0,1.17,239.0,89810.0
20190109:0300,-1.82,88.35,0.0,-0.0,0.0,244.4,1.17,241.0,89790.0
20190109:0400,-2.06,88.3,0.0,-0.0,0.0,250.8,1.17,235.0,89740.0
20190109:0500,-2.13,88.3,0.0,-0.0,0.0,246.95,1.1,236.0,89690.0
20190109:0600,-2.05,84.85,0.0,-0.0,0.0,244.4,1.03,247.0,89700.0
20190109:0700,-0.24,64.45,0.0,0.0,0.0,237.05,0.9,291.0,89750.0
20190109:0800,0.01,64.45,128.0,646.16,32.0,241.7,0.76,283.0,89680.0
20190109:0900,0.83,57.35,262.0,785.23,51.0,244.2,0.83,338.0,89710.0
20190109:1000,2.69,43.45,366.0,887.71,53.0,243.45,1.38,359.0,89680.0
20190109:1100,3.19,40.15,386.0,714.82,104.0,248.85,1.93,359.0,89650.0
20190109:1200,3.3,32.75,329.0,418.8,165.0,247.9,3.24,353.0,89540.0
20190109:1300,3.01,30.0,196.0,90.1,165.0,248.1,3.38,355.0,89500.0
20190109:1400,2.61,31.15,248.0,799.65,44.0,230.3,3.03,357.0,89470.0
20190109:1500,1.99,32.35,107.0,596.1,29.0,221.6,2.55,358.0,89490.0
20190109:1600,0.8,32.05,0.0,-0.0,0.0,218.1,2.14,352.0,89520.0
20190109:1700,-1.1,46.2,0.0,-0.0,0.0,210.95,1.52,338.0,89530.0
20190109:1800,-1.61,40.55,0.0,-0.0,0.0,208.6,1.17,325.0,89550.0
20190109:1900,-2.35,33.9,0.0,-0.0,0.0,205.7,1.24,327.0,89580.0
20190109:2000,-2.62,35.4,0.0,-0.0,0.0,206.7,1.17,322.0,89630.0
20190109:2100,-2.99,36.8,0.0,-0.0,0.0,205.7,1.24,316.0,89670.0
20190109:2200,-3.25,38.45,0.0,-0.0,0.0,204.95,1.24,310.0,89690.0
