Latitude (decimal degrees): 43.160
Longitude (decimal degrees): 13.718
Elevation (m): 237.0
Irradiance Time Offset (h): 0.1738
month,year
1,2007
2,2005
3,2008
4,2008
5,2020
6,2010
7,2010
8,2023
9,2013
10,2013
11,2008
12,2018
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20070101:0000,7.17,78.15,0.0,-0.0,0.0,290.59,3.21,205.0,101700.0
20070101:0100,6.88,80.68,0.0,-0.0,0.0,289.21,3.08,214.0,101660.0
20070101:0200,6.58,83.21,0.0,-0.0,0.0,287.83,2.95,217.0,101630.0
20070101:0300,6.29,85.74,0.0,-0.0,0.0,286.44,2.82,219.0,101540.0
20070101:0400,5.99,88.27,0.0,-0.0,0.0,285.06,2.69,219.0,101480.0
20070101:0500,5.7,90.8,0.0,-0.0,0.0,283.68,2.56,211.0,101450.0
20070101:0600,5.4,93.33,0.0,-0.0,0.0,282.3,2.43,207.0,101380.0
20070101:0700,5.1,95.86,35.0,123.11,26.0,280.91,2.29,200.0,101360.0
20070101:0800,7.81,92.35,187.0,657.9,48.0,295.9,2.41,205.0,101360.0
20070101:0900,9.63,82.9,202.0,170.44,148.0,301.9,1.93,191.0,101290.0
20070101:1000,11.16,77.2,233.0,130.69,183.0,302.1,2.14,166.0,101200.0
20070101:1100,12.12,74.6,345.0,485.13,149.0,298.6,2.9,146.0,101080.0
20070101:1200,12.62,72.05,149.0,10.53,145.0,302.1,3.79,133.0,100940.0
20070101:1300,12.62,74.7,93.0,0.0,93.0,322.8,4.41,127.0,100880.0
20070101:1400,12.41,77.45,56.0,0.0,56.0,324.95,4.48,131.0,100820.0
20070101:1500,12.22,83.15,19.0,0.0,19.0,325.5,4.48,138.0,100760.0
20070101:1600,12.06,83.15,0.0,-0.0,0.0,328.6,4.41,149.0,100690.0
20070101:1700,11.89,80.2,0.0,-0.0,0.0,330.35,4.14,159.0,100660.0
20070101:1800,11.64,83.1,0.0,-0.0,0.0,332.65,3.86,166.0,100610.0
20070101:1900,11.44,80.15,0.0,-0.0,0.0,311.95,2.55,166.0,100550.0
20070101:2000,11.07,83.05,0.0,-0.0,0.0,305.75,2.55,169.0,100510.0
20070101:2100,10.92,80.1,0.0,-0.0,0.0,318.75,3.38,171.0,100430.0
20070101:2200,10.7,80.05,0.0,-0.0,0.0,303.05,3.72,179.0,100350.0
20070101:2300,10.5,80.05,0.0,-0.0,0.0,296.85,4.0,185.0,100250.0
20070102:0000,10.32,82.95,0.0,-0.0,0.0,292.4,3.79,187.0,100140.0
20070102:0100,10.13,82.95,0.0,-0.0,0.0,291.15,3.45,186.0,100070.0
20070102:0200,10.25,82.95,0.0,-0.0,0.0,294.75,3.86,181.0,99990.0
20070102:0300,10.28,82.95,0.0,-0.0,0.0,287.55,4.62,179.0,99810.0
20070102:0400,10.47,80.05,0.0,-0.0,0.0,290.65,5.24,184.0,99650.0
20070102:0500,11.03,74.45,0.0,-0.0,0.0,311.0,5.59,198.0,99520.0
20070102:0600,11.65,69.25,0.0,-0.0,0.0,317.55,5.72,218.0,99440.0
20070102:0700,11.1,74.45,49.0,396.51,20.0,293.55,4.07,270.0,99430.0
20070102:0800,10.91,69.15,192.0,689.96,46.0,297.45,7.38,266.0,99480.0
20070102:0900,11.07,64.25,68.0,0.0,68.0,296.1,8.48,262.0,99450.0
20070102:1000,10.62,64.1,38.0,0.0,38.0,277.9,8.97,277.0,99460.0
20070102:1100,10.38,66.55,82.0,0.0,82.0,303.05,9.03,281.0,99450.0
20070102:1200,10.35,64.0,106.0,0.0,106.0,290.65,10.76,290.0,99380.0
20070102:1300,9.57,66.35,98.0,0.0,98.0,286.4,12.34,302.0,99410.0
20070102:1400,8.53,71.35,86.0,29.18,80.0,295.5,13.93,308.0,99490.0
20070102:1500,8.56,71.35,22.0,0.0,22.0,302.85,13.24,314.0,99560.0
20070102:1600,8.49,71.35,0.0,-0.0,0.0,290.3,12.48,320.0,99680.0
20070102:1700,8.65,68.7,0.0,-0.0,0.0,300.95,11.24,323.0,99770.0
20070102:1800,7.8,76.7,0.0,-0.0,0.0,283.1,10.41,323.0,99890.0
20070102:1900,7.98,73.95,0.0,-0.0,0.0,286.6,10.62,328.0,99870.0
20070102:2000,7.62,76.7,0.0,-0.0,0.0,284.65,9.79,331.0,99960.0
20070102:2100,7.56,76.7,0.0,-0.0,0.0,285.45,9.17,330.0,100010.0
20070102:2200,7.69,73.9,0.0,-0.0,0.0,296.65,8.14,329.0,100080.0
20070102:2300,7.59,73.9,0.0,-0.0,0.0,292.05,7.24,324.0,100110.0
20070103:0000,7.39,71.15,0.0,-0.0,0.0,295.5,6.83,317.0,100170.0
20070103:0100,7.05,71.05,0.0,-0.0,0.0,302.95,6.83,305.0,100230.0
20070103:0200,6.85,68.4,0.0,-0.0,0.0,306.75,7.1,300.0,100300.0
20070103:0300,6.52,68.3,0.0,-0.0,0.0,286.6,7.38,302.0,100320.0
