Latitude (decimal degrees): 44.838
Longitude (decimal degrees): 11.620
Elevation (m): 13.0
Irradiance Time Offset (h): 0.1759
month,year
1,2022
2,2010
3,2006
4,2012
5,2006
6,2019
7,2015
8,2023
9,2015
10,2007
11,2018
12,2020
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20220101:0000,3.06,93.81,0.0,-0.0,0.0,287.33,1.31,289.0,102240.0
20220101:0100,2.96,94.34,0.0,-0.0,0.0,288.3,1.3,283.0,102250.0
20220101:0200,2.86,94.87,0.0,-0.0,0.0,289.27,1.28,261.0,102210.0
20220101:0300,2.76,95.4,0.0,-0.0,0.0,290.24,1.27,302.0,102250.0
20220101:0400,2.67,95.93,0.0,-0.0,0.0,291.21,1.25,324.0,102240.0
20220101:0500,2.57,96.46,0.0,-0.0,0.0,292.18,1.24,322.0,102270.0
20220101:0600,2.47,96.99,0.0,-0.0,0.0,293.15,1.22,4.0,102310.0
20220101:0700,2.38,97.53,5.0,0.0,5.0,294.13,1.2,313.0,102390.0
20220101:0800,2.51,95.7,83.0,63.63,72.0,290.1,0.9,311.0,102460.0
20220101:0900,4.4,95.75,123.0,28.54,115.0,283.1,1.1,325.0,102490.0
20220101:1000,5.82,95.75,103.0,0.0,103.0,294.55,0.97,307.0,102510.0
20220101:1100,7.22,95.8,116.0,0.0,116.0,302.5,0.97,285.0,102470.0
20220101:1200,8.97,85.95,132.0,5.57,130.0,288.15,0.9,286.0,102430.0
20220101:1300,10.01,82.95,107.0,6.7,105.0,275.95,0.76,302.0,102390.0
20220101:1400,10.34,82.95,61.0,5.04,60.0,275.2,0.55,279.0,102390.0
20220101:1500,9.91,82.95,18.0,15.07,17.0,269.4,0.97,247.0,102390.0
20220101:1600,8.13,92.4,0.0,-0.0,0.0,271.7,1.24,264.0,102390.0
20220101:1700,5.98,92.3,0.0,-0.0,0.0,266.1,1.31,307.0,102420.0
20220101:1800,4.18,99.4,0.0,-0.0,0.0,264.15,1.59,343.0,102430.0
20220101:1900,3.44,95.7,0.0,-0.0,0.0,266.3,1.72,345.0,102440.0
20220101:2000,2.62,99.4,0.0,-0.0,0.0,267.85,1.72,356.0,102490.0
20220101:2100,2.83,95.7,0.0,-0.0,0.0,263.75,0.97,338.0,102510.0
20220101:2200,2.0,95.65,0.0,-0.0,0.0,264.15,0.97,259.0,102540.0
20220101:2300,1.49,99.4,0.0,-0.0,0.0,266.65,0.83,260.0,102510.0
20220102:0000,0.99,99.35,0.0,-0.0,0.0,269.2,0.69,306.0,102490.0
20220102:0100,0.25,100.0,0.0,-0.0,0.0,280.35,0.76,325.0,102460.0
20220102:0200,0.72,100.0,0.0,-0.0,0.0,295.3,0.9,318.0,102470.0
20220102:0300,1.1,99.35,0.0,-0.0,0.0,302.65,0.9,306.0,102440.0
20220102:0400,1.33,99.4,0.0,-0.0,0.0,304.05,0.9,299.0,102410.0
20220102:0500,1.4,99.4,0.0,-0.0,0.0,302.85,1.38,300.0,102390.0
20220102:0600,1.35,99.4,0.0,-0.0,0.0,300.15,1.38,296.0,102390.0
20220102:0700,0.95,99.35,4.0,0.0,4.0,290.5,1.45,274.0,102470.0
20220102:0800,1.63,99.4,89.0,92.37,73.0,295.5,1.38,284.0,102440.0
20220102:0900,3.22,95.7,134.0,46.27,121.0,288.15,1.52,286.0,102440.0
20220102:1000,5.2,92.25,153.0,22.8,145.0,283.7,1.86,278.0,102400.0
20220102:1100,7.15,89.0,177.0,34.38,164.0,280.2,1.93,274.0,102360.0
20220102:1200,9.06,82.85,181.0,49.87,163.0,281.0,2.21,271.0,102240.0
20220102:1300,10.06,77.1,189.0,163.09,140.0,272.85,2.41,270.0,102200.0
20220102:1400,10.26,77.1,139.0,283.96,82.0,279.45,2.14,264.0,102170.0
20220102:1500,9.47,79.9,40.0,291.46,20.0,282.55,1.86,259.0,102130.0
20220102:1600,8.23,85.85,0.0,-0.0,0.0,281.0,1.79,263.0,102100.0
20220102:1700,6.76,89.0,0.0,-0.0,0.0,275.6,1.93,290.0,102130.0
20220102:1800,5.48,88.9,0.0,-0.0,0.0,281.0,1.72,300.0,102160.0
20220102:1900,4.95,95.75,0.0,-0.0,0.0,284.1,1.59,228.0,102140.0
20220102:2000,4.25,99.4,0.0,-0.0,0.0,280.8,1.79,247.0,102150.0
20220102:2100,4.18,95.75,0.0,-0.0,0.0,288.15,1.93,231.0,102120.0
20220102:2200,4.0,95.75,0.0,-0.0,0.0,285.25,1.72,236.0,102070.0
20220102:2300,3.54,95.7,0.0,-0.0,0.0,277.5,1.86,290.0,102100.0
20220103:0000,3.21,99.4,0.0,-0.0,0.0,286.2,1.52,270.0,102050.0
20220103:0100,2.52,95.7,0.0,-0.0,0.0,275.1,1.52,247.0,102010.0
20220103:0200,2.72,99.4,0.0,-0.0,0.0,287.0,1.1,248.0,101940.0
20220103:0300,2.49,95.7,0.0,-0.0,0.0,291.65,1.17,329.0,101920.0
