Latitude (decimal degrees): 43.770
Longitude (decimal degrees): 11.256
Elevation (m): 65.0
Irradiance Time Offset (h): 0.1746
month,year
1,2016
2,2006
3,2008
4,2006
5,2022
6,2020
7,2013
8,2022
9,2015
10,2022
11,2022
12,2015
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20160101:0000,1.81,88.91,0.0,-0.0,0.0,275.99,1.46,66.0,99780.0
20160101:0100,1.38,90.31,0.0,-0.0,0.0,273.52,1.47,67.0,99760.0
20160101:0200,0.95,91.7,0.0,-0.0,0.0,271.05,1.49,69.0,99760.0
20160101:0300,0.52,93.1,0.0,-0.0,0.0,268.59,1.51,69.0,99740.0
20160101:0400,0.09,94.49,0.0,-0.0,0.0,266.12,1.52,68.0,99710.0
20160101:0500,-0.34,95.89,0.0,-0.0,0.0,263.65,1.54,66.0,99710.0
20160101:0600,-0.77,97.28,0.0,-0.0,0.0,261.19,1.56,69.0,99740.0
20160101:0700,-1.2,98.68,12.0,0.0,12.0,258.72,1.58,76.0,99790.0
20160101:0800,0.35,88.5,154.0,557.08,52.0,269.4,1.45,80.0,99830.0
20160101:0900,2.32,79.0,276.0,698.66,71.0,260.5,1.38,86.0,99800.0
20160101:1000,4.69,68.0,360.0,769.2,79.0,249.25,1.17,91.0,99790.0
20160101:1100,6.34,58.55,391.0,771.79,87.0,248.65,0.69,110.0,99780.0
20160101:1200,7.39,54.4,377.0,797.99,76.0,248.5,0.55,138.0,99730.0
20160101:1300,8.07,54.55,304.0,739.64,70.0,243.45,0.76,132.0,99700.0
20160101:1400,8.2,52.6,186.0,584.53,60.0,242.1,1.03,117.0,99650.0
20160101:1500,7.75,58.9,50.0,294.02,26.0,239.2,1.03,140.0,99650.0
20160101:1600,6.03,73.65,0.0,-0.0,0.0,236.1,1.03,153.0,99650.0
20160101:1700,4.28,73.4,0.0,-0.0,0.0,241.5,1.31,119.0,99670.0
20160101:1800,2.27,79.0,0.0,-0.0,0.0,236.1,1.72,101.0,99650.0
20160101:1900,1.04,85.2,0.0,-0.0,0.0,240.75,1.86,95.0,99630.0
20160101:2000,0.57,88.5,0.0,-0.0,0.0,245.2,1.72,92.0,99630.0
20160101:2100,0.36,88.5,0.0,-0.0,0.0,248.85,1.72,90.0,99630.0
20160101:2200,0.14,88.5,0.0,-0.0,0.0,249.85,1.86,94.0,99590.0
