Latitude (decimal degrees): 44.223
Longitude (decimal degrees): 12.041
Elevation (m): 37.0
Irradiance Time Offset (h): 0.1751
month,year
1,2022
2,2006
3,2005
4,2007
5,2010
6,2011
7,2010
8,2022
9,2016
10,2013
11,2016
12,2012
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20220101:0000,0.93,94.55,0.0,-0.0,0.0,251.23,1.77,211.0,100820.0
20220101:0100,1.02,94.95,0.0,-0.0,0.0,254.11,1.78,211.0,100830.0
20220101:0200,1.11,95.36,0.0,-0.0,0.0,256.99,1.79,214.0,100800.0
20220101:0300,1.21,95.77,0.0,-0.0,0.0,259.87,1.8,215.0,100790.0
20220101:0400,1.3,96.17,0.0,-0.0,0.0,262.75,1.81,225.0,100800.0
20220101:0500,1.39,96.58,0.0,-0.0,0.0,265.63,1.82,226.0,100850.0
20220101:0600,1.48,96.98,0.0,-0.0,0.0,268.51,1.83,224.0,100870.0
20220101:0700,1.58,97.39,22.0,176.59,14.0,271.39,1.84,237.0,100960.0
20220101:0800,4.27,92.2,150.0,510.72,56.0,286.8,1.03,239.0,100990.0
20220101:0900,7.24,89.0,227.0,356.55,123.0,281.75,0.41,257.0,101030.0
20220101:1000,9.81,79.9,265.0,268.8,168.0,282.95,0.34,277.0,101070.0
20220101:1100,11.56,71.85,271.0,217.13,187.0,287.4,0.28,282.0,101020.0
20220101:1200,12.88,69.45,169.0,29.9,158.0,281.6,0.48,3.0,100980.0
20220101:1300,13.11,67.05,118.0,9.83,115.0,272.5,1.03,32.0,100940.0
20220101:1400,12.58,72.05,95.0,49.17,85.0,277.9,1.03,48.0,100960.0
20220101:1500,11.52,77.3,23.0,29.01,21.0,275.75,0.83,62.0,100970.0
20220101:1600,10.42,80.05,0.0,-0.0,0.0,269.0,0.07,148.0,100960.0
20220101:1700,9.58,85.95,0.0,-0.0,0.0,261.05,0.48,243.0,100980.0
20220101:1800,8.37,89.1,0.0,-0.0,0.0,260.3,0.55,223.0,101000.0
20220101:1900,4.5,92.25,0.0,-0.0,0.0,258.15,1.45,213.0,100980.0
20220101:2000,5.07,92.25,0.0,-0.0,0.0,258.15,0.97,213.0,101050.0
20220101:2100,4.04,92.2,0.0,-0.0,0.0,254.3,1.38,221.0,101090.0
20220101:2200,1.98,95.65,0.0,-0.0,0.0,259.1,2.0,222.0,101120.0
20220101:2300,1.13,99.35,0.0,-0.0,0.0,255.05,2.0,220.0,101080.0
20220102:0000,0.7,99.4,0.0,-0.0,0.0,264.75,1.72,216.0,101060.0
20220102:0100,0.62,99.4,0.0,-0.0,0.0,276.45,1.52,212.0,101020.0
20220102:0200,1.07,99.35,0.0,-0.0,0.0,285.05,1.45,216.0,101030.0
20220102:0300,1.43,95.65,0.0,-0.0,0.0,282.55,1.59,222.0,101000.0
20220102:0400,1.96,95.65,0.0,-0.0,0.0,289.1,1.66,221.0,100980.0
20220102:0500,2.36,92.15,0.0,-0.0,0.0,289.1,1.72,220.0,100940.0
20220102:0600,2.6,92.15,0.0,-0.0,0.0,288.35,1.79,232.0,100930.0
20220102:0700,2.28,92.1,19.0,110.28,14.0,281.95,1.52,241.0,101010.0
20220102:0800,3.34,88.75,154.0,547.79,53.0,282.55,1.17,233.0,100990.0
20220102:0900,6.63,79.55,276.0,714.92,67.0,284.3,0.76,236.0,101000.0
20220102:1000,9.11,74.15,358.0,784.82,74.0,279.45,0.83,238.0,100960.0
20220102:1100,11.18,69.15,387.0,790.79,80.0,274.6,0.83,254.0,100910.0
20220102:1200,12.43,64.55,365.0,776.51,78.0,273.45,0.83,278.0,100790.0
20220102:1300,12.94,64.65,280.0,637.85,84.0,284.85,1.03,290.0,100760.0
20220102:1400,12.87,66.95,104.0,77.85,88.0,276.15,0.83,305.0,100750.0
20220102:1500,11.79,74.55,44.0,336.96,20.0,283.9,0.41,19.0,100720.0
