Latitude (decimal degrees): 45.946
Longitude (decimal degrees): 13.626
Elevation (m): 97.0
Irradiance Time Offset (h): 0.177
month,year
1,2014
2,2016
3,2005
4,2010
5,2007
6,2012
7,2023
8,2023
9,2007
10,2008
11,2014
12,2013
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20140101:0000,3.36,92.32,0.0,-0.0,0.0,281.39,1.53,59.0,98380.0
20140101:0100,3.14,93.49,0.0,-0.0,0.0,281.09,1.5,63.0,98350.0
20140101:0200,2.93,94.66,0.0,-0.0,0.0,280.79,1.47,62.0,98340.0
20140101:0300,2.72,95.83,0.0,-0.0,0.0,280.48,1.44,53.0,98320.0
20140101:0400,2.51,96.99,0.0,-0.0,0.0,280.18,1.41,50.0,98290.0
20140101:0500,2.3,98.16,0.0,-0.0,0.0,279.88,1.38,53.0,98300.0
20140101:0600,2.09,99.33,0.0,-0.0,0.0,279.58,1.35,55.0,98310.0
20140101:0700,1.88,100.0,12.0,0.0,12.0,279.27,1.32,51.0,98330.0
20140101:0800,2.46,95.7,56.0,0.0,56.0,264.95,1.03,50.0,98360.0
20140101:0900,5.32,85.6,105.0,10.88,102.0,254.85,0.48,55.0,98380.0
20140101:1000,6.92,76.65,102.0,0.0,102.0,264.55,0.0,257.0,98380.0
20140101:1100,7.74,71.25,161.0,25.06,152.0,264.15,0.62,237.0,98340.0
20140101:1200,8.02,68.7,225.0,193.43,160.0,268.4,1.03,237.0,98310.0
20140101:1300,7.9,68.6,169.0,162.39,125.0,256.05,1.03,228.0,98300.0
20140101:1400,7.51,71.25,117.0,315.0,64.0,262.2,0.97,222.0,98300.0
20140101:1500,6.69,76.65,7.0,0.0,7.0,262.2,0.9,253.0,98340.0
20140101:1600,5.56,82.5,0.0,-0.0,0.0,255.85,0.62,291.0,98370.0
20140101:1700,4.79,85.55,0.0,-0.0,0.0,250.8,0.69,348.0,98390.0
20140101:1800,3.61,88.75,0.0,-0.0,0.0,251.0,0.97,12.0,98410.0
20140101:1900,3.21,92.15,0.0,-0.0,0.0,256.4,0.97,357.0,98410.0
20140101:2000,2.33,95.65,0.0,-0.0,0.0,250.6,1.03,22.0,98420.0
20140101:2100,1.52,95.65,0.0,-0.0,0.0,249.65,1.1,41.0,98380.0
20140101:2200,1.83,99.4,0.0,-0.0,0.0,276.35,0.9,47.0,98370.0
20140101:2300,2.07,95.65,0.0,-0.0,0.0,250.8,0.69,46.0,98310.0
20140102:0000,2.5,92.15,0.0,-0.0,0.0,251.6,0.55,61.0,98280.0
20140102:0100,2.35,95.65,0.0,-0.0,0.0,249.35,0.48,77.0,98210.0
20140102:0200,2.49,92.15,0.0,-0.0,0.0,276.55,0.28,82.0,98210.0
20140102:0300,2.53,92.15,0.0,-0.0,0.0,266.1,0.14,88.0,98160.0
20140102:0400,2.5,92.15,0.0,-0.0,0.0,276.95,0.07,147.0,98120.0
20140102:0500,2.54,92.15,0.0,-0.0,0.0,272.1,0.07,49.0,98110.0
20140102:0600,2.64,92.15,0.0,-0.0,0.0,283.1,0.07,33.0,98100.0
20140102:0700,2.9,92.15,10.0,0.0,10.0,315.45,0.34,333.0,98140.0
20140102:0800,3.29,92.15,75.0,0.0,75.0,320.1,0.34,336.0,98130.0
20140102:0900,3.64,92.15,114.0,18.09,109.0,317.55,0.28,345.0,98130.0
20140102:1000,4.5,88.85,87.0,0.0,87.0,323.2,0.28,316.0,98100.0
20140102:1100,5.3,85.6,171.0,36.06,158.0,325.5,0.34,288.0,98060.0
20140102:1200,5.71,82.5,109.0,2.96,108.0,325.1,0.34,265.0,97990.0
20140102:1300,5.96,79.5,50.0,0.0,50.0,312.15,0.55,252.0,97970.0
20140102:1400,5.84,85.65,42.0,0.0,42.0,328.05,0.14,280.0,97990.0
20140102:1500,5.47,85.65,9.0,0.0,9.0,331.5,0.21,23.0,98020.0
20140102:1600,4.93,95.75,0.0,-0.0,0.0,330.35,0.41,35.0,98040.0
20140102:1700,4.72,92.25,0.0,-0.0,0.0,328.8,0.41,36.0,98060.0
20140102:1800,4.75,95.75,0.0,-0.0,0.0,332.3,0.41,33.0,98100.0
20140102:1900,4.93,95.75,0.0,-0.0,0.0,334.4,0.34,319.0,98080.0
20140102:2000,4.71,95.75,0.0,-0.0,0.0,335.4,0.62,348.0,98100.0
20140102:2100,4.78,95.75,0.0,-0.0,0.0,337.5,0.69,3.0,98150.0
20140102:2200,4.84,95.75,0.0,-0.0,0.0,336.55,0.76,39.0,98170.0
20140102:2300,4.84,95.75,0.0,-0.0,0.0,333.45,0.9,60.0,98200.0
20140103:0000,4.74,95.75,0.0,-0.0,0.0,329.4,0.97,72.0,98200.0
20140103:0100,4.39,95.75,0.0,-0.0,0.0,318.05,1.1,77.0,98200.0
20140103:0200,4.28,95.75,0.0,-0.0,0.0,321.45,0.97,70.0,98240.0
20140103:0300,3.9,99.4,0.0,-0.0,0.0,315.25,0.97,57.0,98250.0
20140103:0400,3.81,99.4,0.0,-0.0,0.0,318.75,0.97,50.0,98260.0
20140103:0500,3.88,99.4,0.0,-0.0,0.0,319.9,1.03,52.0,98280.0
20140103:0600,3.7,95.7,0.0,-0.0,0.0,311.2,1.1,57.0,98320.0
20140103:0700,5.56,92.3,4.0,0.0,4.0,330.95,0.69,101.0,98340.0
20140103:0800,6.4,95.8,55.0,0.0,55.0,341.2,0.41,123.0,98390.0
20140103:0900,7.03,92.35,83.0,0.0,83.0,343.1,0.28,162.0,98400.0
20140103:1000,7.34,95.8,57.0,0.0,57.0,347.2,0.62,226.0,98390.0
20140103:1100,7.81,92.4,66.0,0.0,66.0,348.15,1.03,240.0,98400.0
20140103:1200,7.57,92.4,36.0,0.0,36.0,347.75,0.83,244.0,98340.0
20140103:1300,7.61,92.4,122.0,32.73,113.0,346.2,0.76,225.0,98340.0
20140103:1400,7.55,92.4,53.0,5.79,52.0,339.25,0.83,209.0,98350.0
20140103:1500,7.42,95.8,3.0,0.0,3.0,337.5,0.76,197.0,98370.0
20140103:1600,6.94,99.4,0.0,-0.0,0.0,329.55,0.76,189.0,98390.0
20140103:1700,6.7,95.8,0.0,-0.0,0.0,335.0,0.62,185.0,98410.0
20140103:1800,6.76,95.8,0.0,-0.0,0.0,346.2,0.62,216.0,98470.0
20140103:1900,6.93,95.8,0.0,-0.0,0.0,343.7,0.34,302.0,98500.0
20140103:2000,6.94,95.8,0.0,-0.0,0.0,346.8,0.14,237.0,98500.0
20140103:2100,6.6,95.8,0.0,-0.0,0.0,347.55,0.48,217.0,98530.0
20140103:2200,6.63,95.8,0.0,-0.0,0.0,347.55,0.48,215.0,98520.0
20140103:2300,6.72,95.8,0.0,-0.0,0.0,346.6,0.34,177.0,98530.0
20140104:0000,6.57,95.8,0.0,-0.0,0.0,345.65,0.41,162.0,98510.0
