Latitude (decimal degrees): 42.764
Longitude (decimal degrees): 11.112
Elevation (m): 15.0
Irradiance Time Offset (h): 0.1734
month,year
1,2006
2,2006
3,2007
4,2015
5,2007
6,2018
7,2014
8,2021
9,2020
10,2018
11,2016
12,2006
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20060101:0000,10.57,92.26,0.0,-0.0,0.0,324.22,3.88,203.0,99300.0
20060101:0100,10.48,93.15,0.0,-0.0,0.0,328.07,4.09,207.0,99240.0
20060101:0200,10.38,94.05,0.0,-0.0,0.0,331.93,4.3,214.0,99180.0
20060101:0300,10.29,94.94,0.0,-0.0,0.0,335.79,4.52,222.0,99110.0
20060101:0400,10.19,95.84,0.0,-0.0,0.0,339.65,4.73,226.0,99050.0
20060101:0500,10.1,96.73,0.0,-0.0,0.0,343.51,4.94,227.0,99040.0
20060101:0600,10.0,97.63,0.0,-0.0,0.0,347.36,5.16,220.0,99030.0
20060101:0700,9.91,98.52,12.0,0.0,12.0,351.22,5.37,217.0,99000.0
20060101:0800,10.49,95.9,41.0,0.0,41.0,348.35,5.1,213.0,99000.0
20060101:0900,10.67,92.5,77.0,0.0,77.0,348.95,5.72,212.0,99000.0
20060101:1000,10.91,95.9,75.0,0.0,75.0,341.95,7.03,213.0,98950.0
20060101:1100,10.8,92.5,58.0,0.0,58.0,338.65,6.41,220.0,98890.0
20060101:1200,10.46,92.5,107.0,0.0,107.0,346.8,4.48,250.0,98830.0
20060101:1300,9.68,92.45,95.0,0.0,95.0,348.55,3.93,314.0,98830.0
20060101:1400,9.12,82.9,61.0,0.0,61.0,351.25,4.34,354.0,98840.0
20060101:1500,8.63,82.85,26.0,10.63,25.0,337.9,3.45,21.0,98840.0
20060101:1600,8.11,85.9,0.0,-0.0,0.0,334.2,2.28,47.0,98850.0
20060101:1700,7.66,89.05,0.0,-0.0,0.0,332.85,1.31,68.0,98870.0
20060101:1800,7.44,92.35,0.0,-0.0,0.0,327.25,0.83,110.0,98900.0
20060101:1900,8.32,82.75,0.0,-0.0,0.0,322.8,0.48,44.0,98850.0
20060101:2000,8.36,82.75,0.0,-0.0,0.0,313.3,0.48,262.0,98860.0
20060101:2100,6.2,92.3,0.0,-0.0,0.0,295.7,2.41,286.0,98920.0
20060101:2200,6.44,95.8,0.0,-0.0,0.0,295.9,3.24,285.0,98960.0
20060101:2300,6.74,95.8,0.0,-0.0,0.0,309.45,2.97,284.0,98970.0
20060102:0000,6.96,95.8,0.0,-0.0,0.0,301.9,2.76,284.0,98960.0
20060102:0100,6.8,95.8,0.0,-0.0,0.0,298.7,2.34,285.0,98990.0
20060102:0200,6.36,95.8,0.0,-0.0,0.0,290.5,1.72,278.0,99010.0
20060102:0300,5.95,95.75,0.0,-0.0,0.0,291.85,1.38,266.0,99000.0
20060102:0400,6.19,92.3,0.0,-0.0,0.0,308.85,1.24,251.0,99000.0
20060102:0500,6.91,92.35,0.0,-0.0,0.0,293.95,0.9,207.0,99020.0
20060102:0600,6.52,89.0,0.0,-0.0,0.0,295.1,0.97,149.0,99050.0
20060102:0700,4.88,99.4,2.0,0.0,2.0,310.2,2.07,113.0,99000.0
20060102:0800,6.17,95.8,15.0,0.0,15.0,318.35,1.93,113.0,99050.0
20060102:0900,7.6,89.05,26.0,0.0,26.0,317.75,1.86,114.0,99100.0
20060102:1000,8.48,85.9,45.0,0.0,45.0,307.7,1.66,106.0,99140.0
20060102:1100,9.04,79.9,58.0,0.0,58.0,299.2,1.24,86.0,99110.0
20060102:1200,9.36,79.9,249.0,139.22,194.0,303.05,1.03,57.0,99090.0
20060102:1300,9.59,77.0,281.0,467.11,125.0,288.55,1.45,34.0,99070.0
20060102:1400,9.53,74.2,170.0,327.45,94.0,293.2,1.66,17.0,99100.0
20060102:1500,9.1,77.0,35.0,31.13,32.0,297.65,2.14,5.0,99140.0
20060102:1600,8.12,79.75,0.0,-0.0,0.0,283.3,2.69,21.0,99180.0
20060102:1700,7.42,85.8,0.0,-0.0,0.0,285.45,2.48,34.0,99210.0
20060102:1800,6.86,85.75,0.0,-0.0,0.0,282.75,2.34,38.0,99240.0
20060102:1900,6.71,85.75,0.0,-0.0,0.0,297.65,3.1,27.0,99240.0
20060102:2000,6.49,85.75,0.0,-0.0,0.0,301.3,3.59,26.0,99270.0
20060102:2100,6.19,85.7,0.0,-0.0,0.0,286.4,4.07,30.0,99310.0
20060102:2200,5.91,85.65,0.0,-0.0,0.0,284.65,4.41,36.0,99350.0
20060102:2300,5.58,85.65,0.0,-0.0,0.0,282.15,4.62,41.0,99340.0
20060103:0000,5.31,85.6,0.0,-0.0,0.0,283.9,4.69,42.0,99360.0
20060103:0100,4.96,82.4,0.0,-0.0,0.0,275.3,4.62,40.0,99390.0
20060103:0200,4.66,85.55,0.0,-0.0,0.0,272.65,4.69,39.0,99410.0
20060103:0300,4.58,82.35,0.0,-0.0,0.0,282.95,4.76,37.0,99420.0
20060103:0400,4.5,82.35,0.0,-0.0,0.0,285.25,4.9,38.0,99430.0
20060103:0500,4.39,85.5,0.0,-0.0,0.0,275.4,4.97,39.0,99460.0
20060103:0600,4.49,82.35,0.0,-0.0,0.0,285.05,5.03,37.0,99520.0
20060103:0700,4.67,85.55,6.0,0.0,6.0,282.15,4.69,38.0,99560.0
20060103:0800,5.09,85.6,15.0,0.0,15.0,277.3,4.83,37.0,99630.0
20060103:0900,6.07,82.55,184.0,123.33,146.0,283.1,4.83,34.0,99690.0
20060103:1000,6.86,79.55,205.0,67.99,179.0,280.4,5.17,30.0,99740.0
20060103:1100,7.32,76.7,240.0,96.94,200.0,280.05,5.45,29.0,99750.0
20060103:1200,7.43,76.7,266.0,183.96,193.0,293.2,5.24,26.0,99720.0
20060103:1300,7.21,76.7,102.0,0.0,102.0,290.85,5.31,22.0,99730.0
20060103:1400,7.07,76.7,131.0,115.22,104.0,297.05,5.59,21.0,99730.0
20060103:1500,6.84,76.65,18.0,0.0,18.0,289.3,5.45,23.0,99770.0
20060103:1600,6.43,79.5,0.0,-0.0,0.0,293.0,5.31,23.0,99770.0
20060103:1700,6.19,79.5,0.0,-0.0,0.0,290.3,5.17,27.0,99780.0
20060103:1800,6.0,79.5,0.0,-0.0,0.0,279.45,5.24,27.0,99780.0
20060103:1900,5.66,79.4,0.0,-0.0,0.0,266.5,5.17,21.0,99840.0
20060103:2000,5.64,79.4,0.0,-0.0,0.0,276.75,5.45,28.0,99820.0
20060103:2100,5.56,79.4,0.0,-0.0,0.0,262.6,5.66,32.0,99830.0
20060103:2200,5.54,79.4,0.0,-0.0,0.0,263.4,5.79,33.0,99840.0
20060103:2300,5.45,82.4,0.0,-0.0,0.0,260.85,6.0,33.0,99810.0
20060104:0000,5.52,79.4,0.0,-0.0,0.0,265.1,6.28,36.0,99790.0
