Latitude (decimal degrees): 43.890
Longitude (decimal degrees): 8.040
Elevation (m): 9.0
Irradiance Time Offset (h): 0.1748
month,year
1,2019
2,2008
3,2015
4,2019
5,2013
6,2007
7,2010
8,2009
9,2021
10,2007
11,2018
12,2014
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20190101:0000,11.28,70.78,0.0,-0.0,0.0,17.31,1.53,301.0,102600.0
20190101:0100,11.8,71.69,0.0,-0.0,0.0,18.52,1.84,63.0,102650.0
20190101:0200,12.33,72.6,0.0,-0.0,0.0,19.72,2.15,69.0,102740.0
20190101:0300,12.86,73.5,0.0,-0.0,0.0,20.93,2.46,64.0,102740.0
20190101:0400,13.39,74.41,0.0,-0.0,0.0,22.14,2.78,64.0,102720.0
20190101:0500,13.92,75.31,0.0,-0.0,0.0,23.34,3.09,69.0,102740.0
20190101:0600,14.45,76.22,0.0,-0.0,0.0,24.55,3.4,69.0,102770.0
20190101:0700,14.97,77.13,0.0,0.0,0.0,25.75,3.71,73.0,102840.0
20190101:0800,13.21,72.1,114.0,422.88,49.0,0.75,3.66,78.0,102890.0
20190101:0900,13.21,72.1,238.0,604.89,74.0,3.05,3.38,88.0,102910.0
20190101:1000,13.37,64.75,314.0,594.43,105.0,0.95,3.79,77.0,102890.0
20190101:1100,13.38,64.75,377.0,762.24,80.0,17.6,3.1,93.0,102830.0
20190101:1200,13.28,67.05,334.0,538.33,128.0,-5.6,2.69,123.0,102740.0
20190101:1300,13.29,69.55,308.0,703.63,75.0,0.75,3.03,155.0,102630.0
20190101:1400,13.41,69.65,177.0,360.46,91.0,8.9,3.52,182.0,102540.0
20190101:1500,13.42,72.2,57.0,134.76,42.0,1.35,3.93,192.0,102490.0
20190101:1600,13.41,74.85,0.0,-0.0,0.0,-3.65,4.34,203.0,102450.0
20190101:1700,13.45,77.6,0.0,-0.0,0.0,-4.25,5.1,215.0,102410.0
20190101:1800,13.37,77.6,0.0,-0.0,0.0,24.15,5.93,225.0,102360.0
20190101:1900,13.2,83.25,0.0,-0.0,0.0,-12.15,6.76,231.0,102280.0
20190101:2000,13.03,83.25,0.0,-0.0,0.0,-2.9,7.24,234.0,102200.0
20190101:2100,12.88,83.25,0.0,-0.0,0.0,5.8,7.38,235.0,102090.0
20190101:2200,12.78,83.25,0.0,-0.0,0.0,-5.6,6.55,233.0,102040.0
20190101:2300,12.69,83.25,0.0,-0.0,0.0,-16.25,6.34,226.0,101940.0
20190102:0000,12.59,83.25,0.0,-0.0,0.0,9.65,5.79,221.0,101890.0
20190102:0100,12.42,83.25,0.0,-0.0,0.0,285.95,5.03,220.0,101830.0
20190102:0200,12.3,83.25,0.0,-0.0,0.0,-3.65,4.76,216.0,101790.0
20190102:0300,12.24,86.2,0.0,-0.0,0.0,4.45,4.76,218.0,101680.0
20190102:0400,12.21,86.2,0.0,-0.0,0.0,-3.05,4.62,220.0,101600.0
20190102:0500,12.34,83.25,0.0,-0.0,0.0,20.3,3.38,215.0,101600.0
20190102:0600,12.69,80.3,0.0,-0.0,0.0,-7.35,1.72,194.0,101620.0
20190102:0700,13.05,74.75,0.0,0.0,0.0,7.35,1.59,87.0,101710.0
20190102:0800,13.49,72.2,123.0,526.18,42.0,9.25,4.34,61.0,101810.0
20190102:0900,14.09,62.55,253.0,710.4,60.0,-32.9,6.62,51.0,101850.0
20190102:1000,13.9,46.5,347.0,791.49,68.0,-3.85,3.86,28.0,101830.0
20190102:1100,13.52,44.65,394.0,828.87,70.0,-10.05,4.0,40.0,101770.0
20190102:1200,13.12,44.5,388.0,835.39,67.0,3.85,7.17,49.0,101820.0
20190102:1300,12.97,44.5,327.0,795.75,62.0,-6.55,9.17,44.0,101870.0
20190102:1400,13.02,42.8,216.0,660.6,57.0,1.15,10.0,42.0,101890.0
20190102:1500,13.02,41.2,79.0,396.27,34.0,2.3,9.79,43.0,101950.0
20190102:1600,12.76,39.5,0.0,-0.0,0.0,-2.3,10.07,43.0,102050.0
20190102:1700,12.42,38.0,0.0,-0.0,0.0,-0.95,10.34,45.0,102180.0
20190102:1800,12.12,37.9,0.0,-0.0,0.0,1.7,10.0,48.0,102280.0
20190102:1900,11.88,37.9,0.0,-0.0,0.0,-1.7,9.1,49.0,102320.0
20190102:2000,11.65,39.25,0.0,-0.0,0.0,-0.55,8.34,48.0,102400.0
20190102:2100,11.44,37.75,0.0,-0.0,0.0,-2.5,7.86,46.0,102450.0
20190102:2200,11.47,36.3,0.0,-0.0,0.0,1.35,9.03,49.0,102460.0
20190102:2300,11.19,36.15,0.0,-0.0,0.0,-0.95,8.07,45.0,102440.0
20190103:0000,10.9,36.15,0.0,-0.0,0.0,-1.5,6.07,49.0,102470.0
20190103:0100,10.65,37.45,0.0,-0.0,0.0,261.35,6.14,58.0,102490.0
20190103:0200,10.42,36.0,0.0,-0.0,0.0,-2.3,6.76,54.0,102560.0
20190103:0300,10.21,37.3,0.0,-0.0,0.0,5.4,6.9,49.0,102540.0
20190103:0400,10.07,35.85,0.0,-0.0,0.0,19.5,6.69,46.0,102520.0
20190103:0500,9.94,34.45,0.0,-0.0,0.0,-15.25,6.07,44.0,102530.0
20190103:0600,9.87,34.45,0.0,-0.0,0.0,-1.35,5.03,47.0,102560.0
20190103:0700,9.91,34.45,0.0,0.0,0.0,-13.15,3.86,54.0,102610.0
20190103:0800,9.99,34.45,124.0,537.96,41.0,1.5,2.9,67.0,102670.0
20190103:0900,10.2,34.45,253.0,704.97,61.0,5.0,2.62,80.0,102700.0
20190103:1000,10.42,37.45,347.0,786.37,69.0,-6.55,2.28,48.0,102690.0
20190103:1100,10.35,37.45,394.0,825.96,70.0,2.7,0.69,17.0,102640.0
20190103:1200,10.3,37.45,382.0,795.42,75.0,11.4,0.07,311.0,102610.0
20190103:1300,10.36,36.0,300.0,588.04,103.0,5.6,0.83,206.0,102550.0
20190103:1400,10.47,37.45,213.0,621.65,62.0,-1.5,1.31,180.0,102560.0
20190103:1500,10.61,37.45,80.0,379.61,36.0,4.8,1.52,174.0,102550.0
20190103:1600,10.7,38.95,0.0,-0.0,0.0,21.65,1.03,179.0,102590.0
20190103:1700,10.76,40.55,0.0,-0.0,0.0,-7.35,0.41,188.0,102620.0
20190103:1800,10.81,40.65,0.0,-0.0,0.0,-11.6,0.41,226.0,102620.0
20190103:1900,10.88,42.3,0.0,-0.0,0.0,-10.45,0.34,200.0,102640.0
20190103:2000,10.9,43.95,0.0,-0.0,0.0,4.05,0.41,212.0,102640.0
20190103:2100,10.86,43.95,0.0,-0.0,0.0,3.05,0.28,42.0,102650.0
20190103:2200,11.13,49.3,0.0,-0.0,0.0,-5.4,3.86,50.0,102640.0
20190103:2300,10.98,45.7,0.0,-0.0,0.0,7.9,4.9,40.0,102650.0
20190104:0000,10.86,42.3,0.0,-0.0,0.0,13.9,4.48,38.0,102660.0
20190104:0100,10.75,38.95,0.0,-0.0,0.0,283.45,5.38,44.0,102680.0
20190104:0200,10.69,34.6,0.0,-0.0,0.0,-4.6,6.34,48.0,102740.0
20190104:0300,10.51,33.25,0.0,-0.0,0.0,4.45,6.0,53.0,102730.0
20190104:0400,10.3,33.25,0.0,-0.0,0.0,-1.35,5.24,57.0,102720.0
20190104:0500,10.06,35.85,0.0,-0.0,0.0,-14.5,4.97,62.0,102720.0
20190104:0600,9.86,37.3,0.0,-0.0,0.0,3.45,4.14,65.0,102740.0
20190104:0700,9.71,38.7,0.0,0.0,0.0,-8.7,3.45,67.0,102740.0
20190104:0800,9.69,40.25,120.0,478.19,46.0,-4.05,3.1,74.0,102830.0
20190104:0900,9.8,42.0,253.0,702.93,61.0,4.25,2.97,87.0,102900.0
20190104:1000,10.62,43.8,345.0,772.56,71.0,-0.35,2.97,79.0,102940.0
20190104:1100,10.56,45.55,381.0,739.01,90.0,0.55,2.34,75.0,102970.0
20190104:1200,10.58,45.55,385.0,807.16,72.0,8.1,1.93,102.0,102860.0
20190104:1300,10.68,45.55,313.0,670.4,87.0,13.35,2.28,119.0,102860.0
20190104:1400,10.81,45.7,219.0,656.57,58.0,-5.2,2.07,136.0,102880.0
20190104:1500,10.93,47.45,74.0,261.93,43.0,7.5,1.93,171.0,102870.0
20190104:1600,11.02,49.3,0.0,-0.0,0.0,0.35,2.34,193.0,102850.0
20190104:1700,11.05,53.25,0.0,-0.0,0.0,11.6,2.83,197.0,102870.0
20190104:1800,10.99,57.4,0.0,-0.0,0.0,-8.9,3.59,202.0,102850.0
20190104:1900,11.07,59.6,0.0,-0.0,0.0,-27.05,4.41,212.0,102870.0
20190104:2000,11.22,59.6,0.0,-0.0,0.0,3.85,5.52,224.0,102830.0
20190104:2100,11.44,59.7,0.0,-0.0,0.0,4.25,6.55,228.0,102780.0
20190104:2200,11.13,61.85,0.0,-0.0,0.0,7.7,5.45,226.0,102660.0
20190104:2300,11.29,59.7,0.0,-0.0,0.0,6.95,4.9,231.0,102630.0
20190105:0000,11.43,62.0,0.0,-0.0,0.0,10.6,5.66,219.0,102550.0
20190105:0100,11.5,62.0,0.0,-0.0,0.0,310.9,6.48,228.0,102520.0
20190105:0200,11.37,64.35,0.0,-0.0,0.0,-19.35,6.0,234.0,102480.0
20190105:0300,11.26,66.65,0.0,-0.0,0.0,-7.9,5.79,234.0,102430.0
20190105:0400,11.22,66.65,0.0,-0.0,0.0,-2.9,5.52,234.0,102400.0
20190105:0500,11.24,69.15,0.0,-0.0,0.0,-1.9,4.69,232.0,102390.0
20190105:0600,11.24,69.15,0.0,-0.0,0.0,0.0,4.34,229.0,102380.0
20190105:0700,11.42,66.75,0.0,0.0,0.0,2.5,4.28,227.0,102360.0
20190105:0800,11.44,66.75,66.0,45.07,59.0,-1.15,4.9,227.0,102370.0
20190105:0900,11.57,66.75,244.0,645.86,67.0,-2.1,5.79,232.0,102360.0
20190105:1000,11.54,69.25,324.0,632.14,99.0,16.8,6.34,241.0,102320.0
20190105:1100,11.49,69.25,389.0,801.76,72.0,-3.85,6.9,231.0,102220.0
20190105:1200,11.46,69.25,382.0,798.02,71.0,-6.55,7.86,226.0,102110.0
20190105:1300,11.6,69.25,298.0,571.73,104.0,-2.3,8.07,228.0,101990.0
20190105:1400,11.78,69.25,220.0,670.37,54.0,-10.05,7.31,224.0,101970.0
20190105:1500,11.91,69.35,82.0,363.98,38.0,-0.35,7.17,223.0,101950.0
