Latitude (decimal degrees): 44.102
Longitude (decimal degrees): 9.824
Elevation (m): 1.0
Irradiance Time Offset (h): 0.1751
month,year
1,2023
2,2008
3,2017
4,2014
5,2009
6,2013
7,2009
8,2023
9,2013
10,2014
11,2017
12,2015
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20230101:0000,10.2,90.55,0.0,-0.0,0.0,323.06,1.97,109.0,101000.0
20230101:0100,10.65,92.32,0.0,-0.0,0.0,327.09,2.17,107.0,101030.0
20230101:0200,11.11,94.09,0.0,-0.0,0.0,331.12,2.37,108.0,101030.0
20230101:0300,11.56,95.85,0.0,-0.0,0.0,335.15,2.58,113.0,101030.0
20230101:0400,12.01,97.62,0.0,-0.0,0.0,339.18,2.78,118.0,100980.0
20230101:0500,12.47,99.39,0.0,-0.0,0.0,343.21,2.98,118.0,100950.0
20230101:0600,12.92,100.0,0.0,-0.0,0.0,347.24,3.18,116.0,100950.0
20230101:0700,13.38,100.0,0.0,0.0,0.0,351.28,3.38,124.0,101050.0
20230101:0800,12.59,99.4,80.0,77.95,67.0,356.1,3.38,124.0,101080.0
20230101:0900,12.8,95.95,61.0,0.0,61.0,341.75,3.52,124.0,101080.0
20230101:1000,13.12,89.4,129.0,8.45,126.0,351.05,3.31,130.0,101070.0
20230101:1100,13.37,86.3,151.0,10.32,147.0,342.95,3.03,132.0,101040.0
20230101:1200,13.34,86.3,241.0,173.13,176.0,345.65,2.83,133.0,100970.0
20230101:1300,13.39,83.25,162.0,65.83,141.0,356.1,2.97,132.0,100930.0
20230101:1400,13.25,83.25,80.0,13.5,77.0,353.0,3.1,132.0,100920.0
20230101:1500,13.1,86.25,32.0,0.0,32.0,346.2,3.31,131.0,100920.0
20230101:1600,12.84,86.25,0.0,-0.0,0.0,349.7,3.24,130.0,100950.0
20230101:1700,12.6,89.35,0.0,-0.0,0.0,342.95,3.03,127.0,100970.0
20230101:1800,12.46,89.35,0.0,-0.0,0.0,345.65,2.9,121.0,101000.0
20230101:1900,12.36,89.35,0.0,-0.0,0.0,339.45,2.83,117.0,101000.0
20230101:2000,12.24,89.35,0.0,-0.0,0.0,333.65,2.97,116.0,101010.0
20230101:2100,12.19,86.2,0.0,-0.0,0.0,334.4,3.1,114.0,101000.0
20230101:2200,12.14,86.2,0.0,-0.0,0.0,337.1,3.1,115.0,100970.0
20230101:2300,11.97,89.3,0.0,-0.0,0.0,315.05,3.03,115.0,100960.0
20230102:0000,11.78,89.3,0.0,-0.0,0.0,317.75,3.1,114.0,100910.0
20230102:0100,11.76,89.3,0.0,-0.0,0.0,333.15,3.1,113.0,100880.0
20230102:0200,11.62,89.3,0.0,-0.0,0.0,320.85,3.17,109.0,100880.0
20230102:0300,11.54,92.55,0.0,-0.0,0.0,324.75,3.17,108.0,100870.0
20230102:0400,11.5,92.55,0.0,-0.0,0.0,330.95,3.24,109.0,100840.0
20230102:0500,11.45,92.55,0.0,-0.0,0.0,330.15,3.45,111.0,100850.0
20230102:0600,11.4,92.55,0.0,-0.0,0.0,329.75,3.72,111.0,100850.0
20230102:0700,11.39,89.3,0.0,0.0,0.0,338.85,4.07,111.0,100890.0
20230102:0800,11.51,92.55,45.0,0.0,45.0,338.3,4.14,110.0,100930.0
20230102:0900,12.02,89.3,96.0,7.13,94.0,347.55,4.21,114.0,100950.0
20230102:1000,12.37,86.2,151.0,22.47,143.0,351.65,4.41,119.0,100950.0
20230102:1100,12.56,89.35,143.0,7.71,140.0,347.95,4.41,124.0,100910.0
20230102:1200,12.77,83.25,169.0,29.17,158.0,358.6,4.48,127.0,100840.0
20230102:1300,12.84,83.25,119.0,9.35,116.0,352.2,4.41,127.0,100800.0
20230102:1400,12.94,83.25,96.0,35.65,88.0,356.65,4.28,123.0,100800.0
20230102:1500,12.78,83.25,27.0,0.0,27.0,346.8,4.0,118.0,100780.0
20230102:1600,12.52,86.2,0.0,-0.0,0.0,336.35,3.72,110.0,100800.0
20230102:1700,12.29,83.15,0.0,-0.0,0.0,334.8,3.66,101.0,100800.0
20230102:1800,12.14,83.15,0.0,-0.0,0.0,329.2,3.79,97.0,100830.0
20230102:1900,12.11,80.2,0.0,-0.0,0.0,331.9,4.0,93.0,100830.0
20230102:2000,11.98,83.1,0.0,-0.0,0.0,319.3,4.21,95.0,100830.0
20230102:2100,11.9,83.1,0.0,-0.0,0.0,323.55,4.34,96.0,100820.0
20230102:2200,11.82,86.15,0.0,-0.0,0.0,323.4,4.48,97.0,100800.0
20230102:2300,11.77,86.15,0.0,-0.0,0.0,326.65,4.62,98.0,100810.0
20230103:0000,11.72,86.15,0.0,-0.0,0.0,336.95,4.9,100.0,100780.0
20230103:0100,11.87,89.3,0.0,-0.0,0.0,328.5,5.03,100.0,100770.0
20230103:0200,11.88,89.3,0.0,-0.0,0.0,339.65,5.03,98.0,100770.0
20230103:0300,11.9,89.3,0.0,-0.0,0.0,342.35,5.03,95.0,100780.0
20230103:0400,11.85,89.3,0.0,-0.0,0.0,336.55,5.03,95.0,100750.0
20230103:0500,11.88,86.15,0.0,-0.0,0.0,338.65,4.97,94.0,100740.0
20230103:0600,11.98,89.3,0.0,-0.0,0.0,349.7,4.97,95.0,100740.0
20230103:0700,12.02,89.3,0.0,0.0,0.0,331.3,4.62,98.0,100800.0
20230103:0800,12.17,89.35,63.0,23.89,59.0,333.85,4.48,97.0,100840.0
20230103:0900,12.64,86.25,153.0,96.06,126.0,348.55,4.28,98.0,100870.0
20230103:1000,13.01,89.4,133.0,8.4,130.0,350.3,4.55,105.0,100880.0
20230103:1100,13.41,86.3,188.0,43.53,171.0,350.65,4.41,109.0,100840.0
20230103:1200,13.79,80.4,85.0,0.0,85.0,343.9,4.14,114.0,100790.0
20230103:1300,13.8,83.35,188.0,123.87,148.0,329.0,3.86,117.0,100750.0
20230103:1400,13.87,83.35,116.0,88.25,96.0,328.2,3.59,117.0,100740.0
20230103:1500,13.64,80.4,31.0,0.0,31.0,324.75,3.31,114.0,100730.0
20230103:1600,13.33,86.3,0.0,-0.0,0.0,337.5,3.1,115.0,100790.0
20230103:1700,13.06,89.4,0.0,-0.0,0.0,338.1,3.17,113.0,100810.0
20230103:1800,12.86,89.4,0.0,-0.0,0.0,336.55,3.24,109.0,100850.0
20230103:1900,12.69,89.4,0.0,-0.0,0.0,340.0,3.1,108.0,100870.0
20230103:2000,12.6,92.6,0.0,-0.0,0.0,343.3,3.03,105.0,100880.0
20230103:2100,12.47,92.6,0.0,-0.0,0.0,338.1,2.97,100.0,100890.0
20230103:2200,12.37,92.6,0.0,-0.0,0.0,342.15,2.83,97.0,100890.0
20230103:2300,12.21,89.35,0.0,-0.0,0.0,341.55,2.48,95.0,100900.0
20230104:0000,12.08,92.55,0.0,-0.0,0.0,342.75,2.21,93.0,100890.0
20230104:0100,11.78,92.55,0.0,-0.0,0.0,336.45,2.0,90.0,100870.0
20230104:0200,11.6,95.9,0.0,-0.0,0.0,333.85,2.0,87.0,100890.0
20230104:0300,11.49,95.9,0.0,-0.0,0.0,336.35,2.0,86.0,100890.0
20230104:0400,11.44,95.9,0.0,-0.0,0.0,333.85,1.93,83.0,100870.0
20230104:0500,11.34,92.55,0.0,-0.0,0.0,335.55,1.72,79.0,100880.0
20230104:0600,11.09,92.55,0.0,-0.0,0.0,331.1,1.66,79.0,100880.0
20230104:0700,11.1,92.55,0.0,0.0,0.0,330.55,1.72,96.0,100950.0
20230104:0800,11.74,92.55,81.0,77.4,68.0,340.2,1.72,109.0,100970.0
20230104:0900,13.01,89.4,244.0,588.82,78.0,330.55,1.45,122.0,101000.0
20230104:1000,13.36,86.3,332.0,686.48,86.0,320.85,1.31,139.0,101010.0
20230104:1100,13.68,83.35,388.0,816.25,68.0,340.4,1.38,155.0,100970.0
20230104:1200,13.8,83.35,376.0,816.96,65.0,332.85,1.45,171.0,100900.0
20230104:1300,13.62,86.3,302.0,716.8,69.0,336.55,1.38,181.0,100830.0
20230104:1400,13.49,89.4,201.0,659.51,50.0,330.35,0.97,199.0,100780.0
20230104:1500,13.09,92.6,33.0,0.0,33.0,332.65,0.41,218.0,100790.0
20230104:1600,12.43,95.95,0.0,-0.0,0.0,310.6,0.34,169.0,100770.0
20230104:1700,12.07,95.9,0.0,-0.0,0.0,323.95,0.62,157.0,100780.0
20230104:1800,11.8,95.9,0.0,-0.0,0.0,326.65,0.76,162.0,100780.0
20230104:1900,10.5,95.9,0.0,-0.0,0.0,303.45,1.38,196.0,100780.0
20230104:2000,11.06,92.55,0.0,-0.0,0.0,310.4,1.1,205.0,100770.0
20230104:2100,11.89,95.9,0.0,-0.0,0.0,317.55,0.83,220.0,100770.0
20230104:2200,11.82,95.9,0.0,-0.0,0.0,311.4,0.69,226.0,100720.0
20230104:2300,11.6,99.35,0.0,-0.0,0.0,321.25,0.41,220.0,100690.0
20230105:0000,11.48,95.9,0.0,-0.0,0.0,320.3,0.21,217.0,100630.0
20230105:0100,10.91,92.55,0.0,-0.0,0.0,335.5,0.21,205.0,100600.0
20230105:0200,10.91,92.55,0.0,-0.0,0.0,331.3,0.34,173.0,100530.0
20230105:0300,10.85,89.3,0.0,-0.0,0.0,330.35,0.55,170.0,100520.0
20230105:0400,10.13,92.5,0.0,-0.0,0.0,341.55,0.76,163.0,100450.0
20230105:0500,9.3,95.85,0.0,-0.0,0.0,322.05,1.03,156.0,100420.0
20230105:0600,9.41,92.45,0.0,-0.0,0.0,319.5,1.03,162.0,100400.0
20230105:0700,10.39,86.05,0.0,0.0,0.0,326.3,0.76,183.0,100450.0
20230105:0800,10.7,86.1,104.0,213.56,68.0,321.85,0.48,170.0,100450.0
20230105:0900,11.22,89.3,190.0,229.78,125.0,328.6,0.69,181.0,100450.0
20230105:1000,11.81,83.1,250.0,236.33,165.0,317.0,1.03,200.0,100450.0
20230105:1100,12.04,83.1,187.0,38.1,172.0,320.5,1.17,215.0,100400.0
20230105:1200,12.14,80.2,228.0,120.21,182.0,300.95,0.97,222.0,100340.0
20230105:1300,12.23,77.35,227.0,247.48,146.0,319.7,0.69,218.0,100280.0
20230105:1400,12.08,80.15,197.0,600.72,58.0,307.5,0.55,229.0,100250.0
20230105:1500,11.8,77.3,36.0,0.0,36.0,306.75,0.69,252.0,100250.0
20230105:1600,11.13,83.05,0.0,-0.0,0.0,303.05,0.83,257.0,100250.0
20230105:1700,10.81,80.1,0.0,-0.0,0.0,305.2,0.69,262.0,100280.0
20230105:1800,10.97,80.1,0.0,-0.0,0.0,305.55,0.48,276.0,100270.0
20230105:1900,10.47,83.0,0.0,-0.0,0.0,315.25,0.76,284.0,100310.0
20230105:2000,10.35,83.0,0.0,-0.0,0.0,312.35,0.76,324.0,100340.0
20230105:2100,9.13,89.15,0.0,-0.0,0.0,311.95,0.97,2.0,100360.0
20230105:2200,8.05,95.8,0.0,-0.0,0.0,307.3,1.31,22.0,100380.0
20230105:2300,7.9,95.8,0.0,-0.0,0.0,307.7,1.52,32.0,100360.0
20230106:0000,7.85,95.8,0.0,-0.0,0.0,306.95,1.66,39.0,100360.0
20230106:0100,7.99,95.8,0.0,-0.0,0.0,310.5,1.72,47.0,100350.0
20230106:0200,8.15,92.4,0.0,-0.0,0.0,308.85,1.93,54.0,100350.0
20230106:0300,8.16,92.4,0.0,-0.0,0.0,303.25,1.93,60.0,100370.0
20230106:0400,8.1,92.4,0.0,-0.0,0.0,301.5,2.0,64.0,100340.0
20230106:0500,7.9,95.8,0.0,-0.0,0.0,294.95,1.93,67.0,100330.0
20230106:0600,7.7,95.8,0.0,-0.0,0.0,295.7,1.79,68.0,100360.0
20230106:0700,7.75,95.8,0.0,0.0,0.0,305.4,1.86,54.0,100400.0
20230106:0800,8.28,95.85,101.0,177.19,71.0,301.3,1.59,65.0,100450.0
20230106:0900,9.94,92.5,157.0,98.61,129.0,288.35,1.17,86.0,100490.0
20230106:1000,11.7,86.15,252.0,235.4,167.0,283.1,1.1,144.0,100510.0
20230106:1100,12.28,80.2,376.0,710.55,95.0,287.6,1.24,181.0,100480.0
20230106:1200,12.46,80.2,328.0,488.64,140.0,298.4,1.17,202.0,100420.0
20230106:1300,12.55,83.15,285.0,546.05,105.0,305.95,1.17,219.0,100380.0
20230106:1400,12.43,83.15,202.0,619.87,57.0,295.5,1.31,224.0,100350.0
20230106:1500,11.98,86.15,31.0,0.0,31.0,293.4,1.17,231.0,100350.0
20230106:1600,11.14,89.3,0.0,-0.0,0.0,278.65,0.97,233.0,100370.0
20230106:1700,10.94,89.3,0.0,-0.0,0.0,279.65,0.55,233.0,100400.0
20230106:1800,10.82,89.3,0.0,-0.0,0.0,283.5,0.28,221.0,100420.0
20230106:1900,10.42,89.25,0.0,-0.0,0.0,280.05,0.21,301.0,100430.0
20230106:2000,10.32,89.25,0.0,-0.0,0.0,293.4,0.28,341.0,100450.0
20230106:2100,10.21,89.25,0.0,-0.0,0.0,305.75,0.14,342.0,100440.0
20230106:2200,10.15,86.05,0.0,-0.0,0.0,295.3,0.0,243.0,100440.0
20230106:2300,10.14,86.05,0.0,-0.0,0.0,289.5,0.21,156.0,100420.0
20230107:0000,10.17,86.05,0.0,-0.0,0.0,293.0,0.28,148.0,100380.0
20230107:0100,10.56,89.25,0.0,-0.0,0.0,288.25,0.41,138.0,100360.0
20230107:0200,10.53,86.05,0.0,-0.0,0.0,290.65,0.48,121.0,100350.0
20230107:0300,10.5,86.05,0.0,-0.0,0.0,310.4,0.69,110.0,100370.0
20230107:0400,10.17,83.0,0.0,-0.0,0.0,294.15,0.9,102.0,100310.0
20230107:0500,8.16,89.1,0.0,-0.0,0.0,308.85,1.24,94.0,100300.0
20230107:0600,7.26,92.35,0.0,-0.0,0.0,306.15,1.86,93.0,100280.0
20230107:0700,8.85,89.1,1.0,0.0,1.0,328.6,2.69,88.0,100320.0
20230107:0800,9.96,89.2,55.0,5.88,54.0,340.0,2.76,98.0,100330.0
20230107:0900,10.73,83.05,56.0,0.0,56.0,345.25,2.69,112.0,100330.0
20230107:1000,11.45,86.1,65.0,0.0,65.0,344.65,2.62,134.0,100340.0
20230107:1100,11.81,83.1,61.0,0.0,61.0,341.75,2.62,146.0,100310.0
20230107:1200,11.94,86.15,88.0,0.0,88.0,350.1,2.55,151.0,100230.0
20230107:1300,11.98,86.15,43.0,0.0,43.0,350.65,2.48,158.0,100180.0
20230107:1400,12.11,83.15,82.0,8.45,80.0,333.85,2.07,156.0,100150.0
20230107:1500,11.9,86.15,13.0,0.0,13.0,333.45,1.79,150.0,100140.0
20230107:1600,11.37,89.3,0.0,-0.0,0.0,316.6,1.52,147.0,100140.0
20230107:1700,10.4,92.5,0.0,-0.0,0.0,302.85,1.45,146.0,100140.0
20230107:1800,9.79,92.5,0.0,-0.0,0.0,323.0,1.45,153.0,100140.0
20230107:1900,9.71,89.2,0.0,-0.0,0.0,314.5,2.21,136.0,100140.0
20230107:2000,9.8,92.5,0.0,-0.0,0.0,327.65,2.14,148.0,100140.0
20230107:2100,10.0,95.9,0.0,-0.0,0.0,336.75,1.93,167.0,100130.0
20230107:2200,10.3,92.5,0.0,-0.0,0.0,341.95,2.28,189.0,100090.0
20230107:2300,10.66,92.55,0.0,-0.0,0.0,339.65,2.62,208.0,100060.0
20230108:0000,10.86,92.55,0.0,-0.0,0.0,331.5,3.1,223.0,100000.0
20230108:0100,11.16,92.55,0.0,-0.0,0.0,331.05,3.52,230.0,99960.0
20230108:0200,11.42,92.55,0.0,-0.0,0.0,344.1,3.24,226.0,99890.0
20230108:0300,11.46,95.9,0.0,-0.0,0.0,339.45,3.17,218.0,99880.0
