Latitude (decimal degrees): 41.468
Longitude (decimal degrees): 12.904
Elevation (m): 24.0
Irradiance Time Offset (h): 0.1717
month,year
1,2015
2,2016
3,2015
4,2007
5,2007
6,2005
7,2017
8,2012
9,2013
10,2011
11,2022
12,2016
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20150101:0000,3.02,76.9,0.0,-0.0,0.0,232.06,1.73,17.0,102660.0
20150101:0100,2.16,77.83,0.0,-0.0,0.0,229.02,1.89,28.0,102740.0
20150101:0200,1.3,78.76,0.0,-0.0,0.0,225.97,2.04,35.0,102790.0
20150101:0300,0.45,79.69,0.0,-0.0,0.0,222.93,2.2,30.0,102780.0
20150101:0400,-0.41,80.63,0.0,-0.0,0.0,219.88,2.35,25.0,102770.0
20150101:0500,-1.27,81.56,0.0,-0.0,0.0,216.84,2.51,32.0,102810.0
20150101:0600,-2.13,82.49,0.0,-0.0,0.0,213.79,2.66,42.0,102860.0
20150101:0700,-2.99,83.42,58.0,426.26,23.0,210.75,2.82,30.0,102820.0
20150101:0800,0.81,78.8,207.0,660.26,58.0,219.05,2.07,35.0,102860.0
20150101:0900,4.15,70.6,335.0,773.33,75.0,218.1,1.72,42.0,102900.0
20150101:1000,6.36,63.25,421.0,837.03,81.0,221.95,1.31,58.0,102870.0
20150101:1100,7.77,52.45,448.0,837.85,87.0,228.15,1.1,76.0,102860.0
20150101:1200,8.64,50.6,420.0,822.46,84.0,231.25,1.31,86.0,102850.0
20150101:1300,9.14,48.8,340.0,786.57,72.0,234.55,1.52,92.0,102860.0
20150101:1400,9.24,48.95,214.0,680.9,56.0,238.05,1.38,98.0,102870.0
20150101:1500,8.61,68.7,65.0,455.96,24.0,239.0,0.97,103.0,102930.0
20150101:1600,8.17,61.3,0.0,-0.0,0.0,237.25,0.83,86.0,103000.0
20150101:1700,7.64,65.95,0.0,-0.0,0.0,236.5,0.97,60.0,103100.0
20150101:1800,6.76,71.05,0.0,-0.0,0.0,236.3,1.17,43.0,103170.0
20150101:1900,3.73,79.15,0.0,-0.0,0.0,239.75,1.79,2.0,103140.0
20150101:2000,2.65,79.0,0.0,-0.0,0.0,236.1,2.0,8.0,103190.0
20150101:2100,2.02,78.95,0.0,-0.0,0.0,239.95,2.0,22.0,103240.0
20150101:2200,1.53,82.0,0.0,-0.0,0.0,235.7,2.07,38.0,103280.0
20150101:2300,0.95,81.95,0.0,-0.0,0.0,233.4,2.14,49.0,103290.0
20150102:0000,0.62,81.95,0.0,-0.0,0.0,235.5,2.21,52.0,103280.0
20150102:0100,0.33,85.15,0.0,-0.0,0.0,236.6,2.21,49.0,103320.0
20150102:0200,0.27,85.15,0.0,-0.0,0.0,238.6,2.14,44.0,103360.0
20150102:0300,0.26,85.15,0.0,-0.0,0.0,238.6,2.14,43.0,103360.0
20150102:0400,0.24,85.15,0.0,-0.0,0.0,245.6,2.07,45.0,103340.0
20150102:0500,0.48,88.5,0.0,-0.0,0.0,241.5,1.93,46.0,103390.0
20150102:0600,0.68,85.2,0.0,-0.0,0.0,242.85,1.86,40.0,103430.0
20150102:0700,1.38,82.0,55.0,377.72,24.0,243.25,1.79,22.0,103410.0
20150102:0800,2.72,85.35,204.0,655.07,56.0,246.15,1.52,17.0,103450.0
20150102:0900,5.8,82.5,328.0,754.11,74.0,249.05,1.03,5.0,103470.0
20150102:1000,8.49,66.15,412.0,815.37,80.0,252.95,0.9,335.0,103460.0
20150102:1100,9.75,55.05,439.0,819.05,85.0,256.05,1.24,303.0,103430.0
20150102:1200,10.38,53.1,417.0,826.41,78.0,258.95,1.45,285.0,103380.0
