Latitude (decimal degrees): 45.857
Longitude (decimal degrees): 9.398
Elevation (m): 223.0
Irradiance Time Offset (h): 0.1771
month,year
1,2017
2,2012
3,2007
4,2006
5,2021
6,2011
7,2010
8,2019
9,2006
10,2008
11,2020
12,2012
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20170101:0000,-1.35,88.23,0.0,-0.0,0.0,234.96,1.6,20.0,97010.0
20170101:0100,-1.86,89.41,0.0,-0.0,0.0,234.96,1.66,20.0,96940.0
20170101:0200,-2.38,90.59,0.0,-0.0,0.0,234.95,1.73,22.0,96870.0
20170101:0300,-2.89,91.78,0.0,-0.0,0.0,234.95,1.79,23.0,96820.0
20170101:0400,-3.4,92.96,0.0,-0.0,0.0,234.94,1.86,23.0,96760.0
20170101:0500,-3.91,94.15,0.0,-0.0,0.0,234.94,1.92,20.0,96750.0
20170101:0600,-4.42,95.33,0.0,-0.0,0.0,234.94,1.98,19.0,96720.0
20170101:0700,-4.93,96.51,0.0,0.0,0.0,234.93,2.05,16.0,96780.0
20170101:0800,-1.5,84.95,30.0,0.0,30.0,232.2,1.52,19.0,96740.0
20170101:0900,1.41,85.25,253.0,812.79,48.0,229.3,0.97,22.0,96730.0
20170101:1000,5.67,58.3,343.0,888.58,53.0,229.9,0.28,48.0,96680.0
20170101:1100,6.88,36.5,383.0,910.48,56.0,232.8,0.28,188.0,96630.0
20170101:1200,7.08,42.85,370.0,901.4,56.0,228.95,0.55,214.0,96540.0
20170101:1300,6.71,48.15,297.0,800.84,61.0,229.15,0.62,221.0,96490.0
20170101:1400,6.12,54.05,184.0,663.9,50.0,231.65,0.55,223.0,96470.0
20170101:1500,5.36,56.05,46.0,262.77,26.0,227.4,0.21,256.0,96460.0
20170101:1600,4.59,60.4,0.0,-0.0,0.0,227.95,0.76,5.0,96470.0
20170101:1700,2.19,65.0,0.0,-0.0,0.0,222.95,1.45,12.0,96480.0
20170101:1800,0.54,75.7,0.0,-0.0,0.0,227.0,1.59,13.0,96500.0
20170101:1900,-1.63,88.35,0.0,-0.0,0.0,228.55,1.59,16.0,96510.0
20170101:2000,-1.95,91.85,0.0,-0.0,0.0,228.95,1.59,15.0,96520.0
20170101:2100,-2.11,88.3,0.0,-0.0,0.0,228.15,1.59,15.0,96510.0
20170101:2200,-2.51,91.85,0.0,-0.0,0.0,239.95,1.59,17.0,96500.0
20170101:2300,-3.15,91.8,0.0,-0.0,0.0,236.85,1.66,19.0,96490.0
20170102:0000,-3.16,95.55,0.0,-0.0,0.0,242.85,1.66,20.0,96470.0
20170102:0100,-3.21,95.55,0.0,-0.0,0.0,240.65,1.66,21.0,96440.0
