Latitude (decimal degrees): 43.548
Longitude (decimal degrees): 10.311
Elevation (m): 10.0
Irradiance Time Offset (h): 0.1744
month,year
1,2022
2,2006
3,2005
4,2018
5,2018
6,2021
7,2010
8,2020
9,2022
10,2008
11,2016
12,2016
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20220101:0000,8.95,85.1,0.0,-0.0,0.0,299.5,0.9,258.0,101200.0
20220101:0100,9.1,87.88,0.0,-0.0,0.0,307.89,0.96,265.0,101200.0
20220101:0200,9.25,90.67,0.0,-0.0,0.0,316.29,1.01,276.0,101190.0
20220101:0300,9.4,93.46,0.0,-0.0,0.0,324.68,1.07,258.0,101190.0
20220101:0400,9.55,96.25,0.0,-0.0,0.0,333.07,1.12,254.0,101140.0
20220101:0500,9.71,99.03,0.0,-0.0,0.0,341.47,1.18,264.0,101140.0
20220101:0600,9.86,100.0,0.0,-0.0,0.0,349.86,1.23,260.0,101150.0
20220101:0700,10.01,100.0,4.0,0.0,4.0,358.26,1.28,277.0,101290.0
20220101:0800,9.35,99.4,82.0,56.27,72.0,326.65,0.69,274.0,101340.0
20220101:0900,10.33,95.9,153.0,75.69,131.0,332.1,1.24,273.0,101360.0
20220101:1000,10.78,92.5,183.0,49.26,165.0,345.05,1.45,285.0,101400.0
20220101:1100,11.23,89.3,201.0,50.38,181.0,335.0,1.45,292.0,101360.0
20220101:1200,11.43,86.15,97.0,0.0,97.0,334.2,1.59,294.0,101300.0
20220101:1300,11.63,86.15,66.0,0.0,66.0,320.3,1.72,294.0,101230.0
20220101:1400,11.58,86.15,62.0,0.0,62.0,317.95,1.93,290.0,101240.0
20220101:1500,11.24,86.1,38.0,53.57,33.0,315.25,1.86,289.0,101250.0
20220101:1600,10.68,89.25,0.0,-0.0,0.0,316.8,1.72,285.0,101260.0
20220101:1700,10.14,92.5,0.0,-0.0,0.0,309.65,1.52,280.0,101290.0
20220101:1800,9.75,95.85,0.0,-0.0,0.0,320.3,1.24,280.0,101300.0
20220101:1900,9.06,95.85,0.0,-0.0,0.0,302.3,1.59,269.0,101360.0
20220101:2000,9.1,95.85,0.0,-0.0,0.0,321.05,1.52,276.0,101390.0
20220101:2100,8.5,95.85,0.0,-0.0,0.0,303.25,1.17,273.0,101400.0
20220101:2200,8.36,95.85,0.0,-0.0,0.0,307.5,1.1,263.0,101410.0
20220101:2300,7.91,95.8,0.0,-0.0,0.0,317.95,1.24,257.0,101400.0
20220102:0000,7.83,99.4,0.0,-0.0,0.0,309.65,1.17,258.0,101380.0
20220102:0100,8.44,95.85,0.0,-0.0,0.0,325.25,0.9,250.0,101340.0
20220102:0200,8.76,99.4,0.0,-0.0,0.0,318.35,0.69,243.0,101330.0
20220102:0300,8.55,95.85,0.0,-0.0,0.0,331.1,0.76,251.0,101300.0
20220102:0400,8.49,95.85,0.0,-0.0,0.0,330.95,0.76,246.0,101280.0
20220102:0500,8.68,99.4,0.0,-0.0,0.0,336.15,0.76,246.0,101270.0
20220102:0600,8.66,99.4,0.0,-0.0,0.0,315.05,0.76,232.0,101270.0
20220102:0700,7.96,95.8,2.0,0.0,2.0,329.75,1.03,228.0,101380.0
20220102:0800,8.73,95.85,58.0,5.62,57.0,335.95,0.97,232.0,101360.0
20220102:0900,10.12,86.0,94.0,3.43,93.0,339.65,1.72,253.0,101380.0
20220102:1000,10.69,83.0,139.0,8.19,136.0,342.75,2.69,264.0,101370.0
20220102:1100,11.08,80.1,75.0,0.0,75.0,351.85,2.62,264.0,101330.0
20220102:1200,11.38,80.1,47.0,0.0,47.0,354.15,2.83,266.0,101250.0
20220102:1300,11.46,77.3,34.0,0.0,34.0,342.75,3.17,271.0,101210.0
20220102:1400,11.61,77.3,35.0,0.0,35.0,348.35,2.97,272.0,101180.0
20220102:1500,11.42,77.3,10.0,0.0,10.0,342.15,2.48,271.0,101160.0
20220102:1600,11.04,80.1,0.0,-0.0,0.0,331.7,2.28,262.0,101120.0
20220102:1700,10.93,83.05,0.0,-0.0,0.0,342.15,2.07,261.0,101130.0
20220102:1800,10.91,83.05,0.0,-0.0,0.0,336.95,1.93,268.0,101140.0
20220102:1900,10.93,80.1,0.0,-0.0,0.0,350.5,2.14,263.0,101180.0
20220102:2000,10.89,83.05,0.0,-0.0,0.0,341.55,2.28,260.0,101170.0
20220102:2100,10.93,83.05,0.0,-0.0,0.0,338.65,2.07,255.0,101140.0
20220102:2200,10.98,83.05,0.0,-0.0,0.0,340.4,1.79,234.0,101070.0
20220102:2300,11.0,86.1,0.0,-0.0,0.0,346.4,1.79,239.0,101050.0
20220103:0000,10.96,86.1,0.0,-0.0,0.0,337.1,2.21,239.0,101040.0
20220103:0100,10.92,86.1,0.0,-0.0,0.0,343.4,2.21,220.0,100970.0
20220103:0200,10.91,89.3,0.0,-0.0,0.0,344.1,2.21,204.0,100890.0
20220103:0300,10.95,89.3,0.0,-0.0,0.0,341.75,2.55,193.0,100860.0
20220103:0400,10.86,89.25,0.0,-0.0,0.0,334.6,2.83,180.0,100760.0
20220103:0500,10.8,89.25,0.0,-0.0,0.0,334.0,2.62,181.0,100750.0
20220103:0600,10.67,89.25,0.0,-0.0,0.0,329.55,2.97,168.0,100740.0
20220103:0700,10.96,86.1,6.0,0.0,6.0,350.3,2.62,186.0,100780.0
20220103:0800,11.14,86.1,62.0,11.21,60.0,344.3,2.69,177.0,100800.0
20220103:0900,11.63,86.15,170.0,123.3,134.0,333.85,3.31,167.0,100750.0
20220103:1000,12.05,83.15,134.0,5.44,132.0,340.6,3.1,164.0,100760.0
20220103:1100,12.59,80.3,150.0,7.51,147.0,335.95,3.45,161.0,100740.0
20220103:1200,12.93,77.5,253.0,178.54,184.0,336.55,3.59,159.0,100620.0
20220103:1300,13.23,77.5,205.0,158.21,153.0,324.35,3.66,162.0,100550.0
20220103:1400,13.35,77.5,105.0,47.77,94.0,326.65,3.66,161.0,100480.0
20220103:1500,13.08,77.5,29.0,10.21,28.0,315.05,3.31,154.0,100460.0
20220103:1600,12.58,80.3,0.0,-0.0,0.0,318.55,3.45,151.0,100440.0
