Latitude (decimal degrees): 45.310
Longitude (decimal degrees): 9.504
Elevation (m): 81.0
Irradiance Time Offset (h): 0.1765
month,year
1,2016
2,2010
3,2010
4,2022
5,2010
6,2016
7,2020
8,2012
9,2007
10,2005
11,2023
12,2013
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20160101:0000,1.17,88.89,0.0,-0.0,0.0,250.3,0.82,151.0,101810.0
20160101:0100,0.92,89.84,0.0,-0.0,0.0,251.4,0.77,163.0,101770.0
20160101:0200,0.68,90.8,0.0,-0.0,0.0,252.5,0.72,176.0,101770.0
20160101:0300,0.44,91.76,0.0,-0.0,0.0,253.6,0.67,353.0,101770.0
20160101:0400,0.19,92.71,0.0,-0.0,0.0,254.69,0.62,5.0,101750.0
20160101:0500,-0.05,93.67,0.0,-0.0,0.0,255.79,0.57,2.0,101750.0
20160101:0600,-0.3,94.62,0.0,-0.0,0.0,256.89,0.52,195.0,101760.0
20160101:0700,-0.54,95.58,0.0,0.0,0.0,257.99,0.47,234.0,101780.0
20160101:0800,-0.08,95.6,84.0,140.63,63.0,251.6,0.55,241.0,101810.0
20160101:0900,1.13,92.05,138.0,76.73,118.0,247.15,0.48,250.0,101820.0
20160101:1000,3.55,88.7,155.0,32.81,144.0,243.25,0.62,240.0,101830.0
20160101:1100,5.07,79.3,162.0,21.73,154.0,248.5,0.55,230.0,101810.0
20160101:1200,6.01,73.65,159.0,25.22,150.0,254.85,0.28,168.0,101730.0
20160101:1300,6.57,70.95,127.0,19.84,121.0,253.3,0.69,115.0,101670.0
20160101:1400,6.64,70.95,100.0,57.57,88.0,256.2,0.97,109.0,101630.0
20160101:1500,6.13,73.65,41.0,159.88,28.0,256.05,1.03,115.0,101650.0
20160101:1600,4.65,79.3,0.0,-0.0,0.0,251.2,1.45,108.0,101630.0
20160101:1700,3.06,85.4,0.0,-0.0,0.0,255.05,1.72,107.0,101640.0
20160101:1800,1.53,88.6,0.0,-0.0,0.0,246.15,1.72,110.0,101610.0
20160101:1900,0.72,88.55,0.0,-0.0,0.0,257.0,1.31,95.0,101610.0
20160101:2000,0.17,92.0,0.0,-0.0,0.0,266.1,1.38,99.0,101600.0
20160101:2100,-0.37,92.0,0.0,-0.0,0.0,260.5,1.52,107.0,101580.0
20160101:2200,-0.69,95.6,0.0,-0.0,0.0,259.9,1.52,110.0,101530.0
20160101:2300,-0.86,95.6,0.0,-0.0,0.0,260.85,1.52,106.0,101520.0
20160102:0000,-0.88,91.95,0.0,-0.0,0.0,264.75,1.45,100.0,101440.0
20160102:0100,-0.56,95.6,0.0,-0.0,0.0,280.9,1.31,99.0,101390.0
20160102:0200,-0.62,95.6,0.0,-0.0,0.0,275.75,1.31,98.0,101310.0
20160102:0300,0.02,92.0,0.0,-0.0,0.0,297.25,1.1,96.0,101280.0
20160102:0400,0.26,92.0,0.0,-0.0,0.0,299.0,1.1,74.0,101210.0
20160102:0500,0.67,88.55,0.0,-0.0,0.0,307.7,1.1,71.0,101160.0
20160102:0600,1.22,88.6,0.0,-0.0,0.0,318.35,0.97,92.0,101120.0
20160102:0700,1.16,88.6,0.0,0.0,0.0,316.2,1.17,106.0,101150.0
