Latitude (decimal degrees): 43.843
Longitude (decimal degrees): 10.503
Elevation (m): 22.0
Irradiance Time Offset (h): 0.1747
month,year
1,2006
2,2006
3,2018
4,2017
5,2022
6,2012
7,2020
8,2020
9,2010
10,2021
11,2017
12,2010
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20060101:0000,3.4,94.87,0.0,-0.0,0.0,302.6,1.23,50.0,98940.0
20060101:0100,3.41,95.64,0.0,-0.0,0.0,308.91,1.22,50.0,98880.0
20060101:0200,3.43,96.41,0.0,-0.0,0.0,315.21,1.2,46.0,98820.0
20060101:0300,3.44,97.18,0.0,-0.0,0.0,321.51,1.19,52.0,98740.0
20060101:0400,3.46,97.95,0.0,-0.0,0.0,327.81,1.17,62.0,98670.0
20060101:0500,3.47,98.72,0.0,-0.0,0.0,334.12,1.16,68.0,98650.0
20060101:0600,3.49,99.49,0.0,-0.0,0.0,340.42,1.14,64.0,98630.0
20060101:0700,3.5,100.0,6.0,0.0,6.0,346.72,1.12,44.0,98640.0
20060101:0800,3.9,99.4,37.0,0.0,37.0,329.55,0.97,35.0,98640.0
20060101:0900,4.55,95.75,119.0,20.85,113.0,331.5,0.83,17.0,98670.0
20060101:1000,5.27,95.75,80.0,0.0,80.0,336.55,0.76,351.0,98660.0
20060101:1100,5.6,95.75,64.0,0.0,64.0,335.4,0.69,331.0,98620.0
20060101:1200,6.21,95.8,76.0,0.0,76.0,332.65,0.48,294.0,98560.0
20060101:1300,6.46,95.8,120.0,9.39,117.0,330.55,0.14,235.0,98510.0
20060101:1400,6.85,95.8,76.0,9.07,74.0,319.9,0.21,129.0,98480.0
20060101:1500,6.49,95.8,26.0,11.34,25.0,302.3,0.34,134.0,98480.0
20060101:1600,6.07,95.8,0.0,-0.0,0.0,312.95,0.28,124.0,98510.0
20060101:1700,5.52,95.75,0.0,-0.0,0.0,317.2,0.55,51.0,98530.0
20060101:1800,4.42,100.0,0.0,-0.0,0.0,321.65,0.97,39.0,98560.0
20060101:1900,4.23,99.4,0.0,-0.0,0.0,309.05,0.9,29.0,98510.0
20060101:2000,4.14,99.4,0.0,-0.0,0.0,315.65,0.83,5.0,98510.0
20060101:2100,3.8,99.4,0.0,-0.0,0.0,312.55,0.9,349.0,98550.0
20060101:2200,4.01,95.75,0.0,-0.0,0.0,313.3,0.76,6.0,98570.0
20060101:2300,4.14,95.75,0.0,-0.0,0.0,298.4,0.41,39.0,98570.0
20060102:0000,3.96,92.2,0.0,-0.0,0.0,301.7,0.14,58.0,98570.0
20060102:0100,3.89,95.7,0.0,-0.0,0.0,304.9,0.14,65.0,98600.0
20060102:0200,3.51,95.7,0.0,-0.0,0.0,288.95,0.48,73.0,98630.0
20060102:0300,2.16,95.65,0.0,-0.0,0.0,279.05,0.9,78.0,98620.0
20060102:0400,1.05,99.35,0.0,-0.0,0.0,272.65,1.17,82.0,98630.0
20060102:0500,0.17,99.4,0.0,-0.0,0.0,268.6,1.38,71.0,98660.0
20060102:0600,-0.48,99.4,0.0,-0.0,0.0,269.95,1.45,56.0,98710.0
20060102:0700,-0.09,99.4,9.0,0.0,9.0,266.65,1.45,59.0,98670.0
20060102:0800,1.57,99.4,119.0,266.96,72.0,279.05,1.03,56.0,98720.0
20060102:0900,4.56,95.75,196.0,221.98,132.0,268.6,0.97,68.0,98780.0
20060102:1000,6.7,89.0,297.0,419.27,145.0,282.15,1.1,77.0,98830.0
20060102:1100,7.84,79.7,250.0,149.87,191.0,278.85,1.38,82.0,98840.0
20060102:1200,8.57,71.4,333.0,529.52,132.0,271.3,1.45,76.0,98820.0
20060102:1300,8.92,68.8,306.0,740.86,68.0,269.2,1.38,73.0,98820.0
20060102:1400,8.88,66.25,176.0,453.66,75.0,264.75,1.38,70.0,98860.0
20060102:1500,8.1,68.7,44.0,132.66,32.0,264.15,1.24,77.0,98900.0
20060102:1600,6.2,76.55,0.0,-0.0,0.0,255.85,1.45,77.0,98950.0
20060102:1700,3.82,85.45,0.0,-0.0,0.0,249.65,1.66,71.0,99020.0
20060102:1800,2.13,88.65,0.0,-0.0,0.0,247.7,1.66,61.0,99080.0
20060102:1900,2.45,88.65,0.0,-0.0,0.0,263.0,1.38,51.0,99100.0
20060102:2000,1.77,88.6,0.0,-0.0,0.0,245.4,1.31,53.0,99130.0
20060102:2100,1.28,92.05,0.0,-0.0,0.0,257.6,1.31,52.0,99180.0
20060102:2200,1.08,88.55,0.0,-0.0,0.0,259.9,1.24,53.0,99230.0
20060102:2300,1.1,88.55,0.0,-0.0,0.0,267.45,1.17,59.0,99220.0
20060103:0000,1.05,88.55,0.0,-0.0,0.0,263.0,1.1,62.0,99240.0
20060103:0100,1.12,88.55,0.0,-0.0,0.0,266.2,1.03,65.0,99270.0
20060103:0200,1.26,88.55,0.0,-0.0,0.0,260.1,0.97,59.0,99290.0
20060103:0300,1.18,88.55,0.0,-0.0,0.0,265.3,0.97,55.0,99290.0
20060103:0400,0.72,88.5,0.0,-0.0,0.0,265.7,1.03,51.0,99320.0
20060103:0500,1.01,88.55,0.0,-0.0,0.0,278.1,0.9,40.0,99360.0
20060103:0600,1.04,88.55,0.0,-0.0,0.0,275.75,0.83,24.0,99420.0
20060103:0700,1.61,85.25,8.0,0.0,8.0,261.85,0.48,22.0,99440.0
20060103:0800,1.65,88.6,146.0,538.39,51.0,247.15,0.55,33.0,99510.0
20060103:0900,3.72,88.75,285.0,799.19,54.0,252.15,0.48,18.0,99590.0
