Latitude (decimal degrees): 43.298
Longitude (decimal degrees): 13.454
Elevation (m): 276.0
Irradiance Time Offset (h): 0.1739
month,year
1,2011
2,2011
3,2005
4,2011
5,2007
6,2013
7,2017
8,2023
9,2010
10,2011
11,2015
12,2018
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20110101:0000,3.95,83.88,0.0,-0.0,0.0,289.61,1.65,250.0,99710.0
20110101:0100,3.34,85.8,0.0,-0.0,0.0,287.64,1.73,251.0,99680.0
20110101:0200,2.74,87.73,0.0,-0.0,0.0,285.68,1.8,250.0,99680.0
20110101:0300,2.13,89.65,0.0,-0.0,0.0,283.72,1.87,251.0,99610.0
20110101:0400,1.53,91.58,0.0,-0.0,0.0,281.75,1.94,256.0,99570.0
20110101:0500,0.93,93.5,0.0,-0.0,0.0,279.79,2.02,260.0,99560.0
20110101:0600,0.32,95.43,0.0,-0.0,0.0,277.83,2.09,259.0,99570.0
20110101:0700,-0.28,97.35,24.0,0.0,24.0,275.87,2.16,261.0,99580.0
20110101:0800,2.24,95.65,121.0,139.86,92.0,277.1,1.38,259.0,99590.0
20110101:0900,5.63,88.9,192.0,140.44,148.0,298.2,0.97,266.0,99590.0
20110101:1000,6.87,85.75,241.0,150.14,184.0,285.25,0.55,283.0,99550.0
20110101:1100,7.84,79.7,232.0,94.57,194.0,292.2,0.07,90.0,99500.0
20110101:1200,8.28,79.7,184.0,42.29,168.0,293.4,0.55,120.0,99400.0
20110101:1300,8.68,76.85,128.0,19.3,122.0,270.55,0.69,116.0,99340.0
20110101:1400,8.67,76.85,68.0,4.9,67.0,286.6,0.62,108.0,99320.0
20110101:1500,8.05,79.7,18.0,15.44,17.0,282.15,0.83,100.0,99300.0
20110101:1600,6.9,89.0,0.0,-0.0,0.0,278.85,0.62,122.0,99280.0
20110101:1700,6.75,88.95,0.0,-0.0,0.0,285.05,0.41,183.0,99280.0
20110101:1800,6.51,85.7,0.0,-0.0,0.0,296.5,0.62,240.0,99260.0
20110101:1900,4.01,92.2,0.0,-0.0,0.0,290.3,1.24,264.0,99200.0
20110101:2000,3.85,92.2,0.0,-0.0,0.0,313.3,1.24,257.0,99190.0
20110101:2100,3.0,92.15,0.0,-0.0,0.0,285.45,1.45,258.0,99170.0
20110101:2200,3.21,95.7,0.0,-0.0,0.0,307.5,1.24,261.0,99150.0
20110101:2300,3.49,92.15,0.0,-0.0,0.0,317.55,1.17,263.0,99120.0
20110102:0000,3.17,95.7,0.0,-0.0,0.0,302.5,1.38,261.0,99070.0
20110102:0100,3.59,92.15,0.0,-0.0,0.0,323.9,1.17,259.0,99050.0
20110102:0200,3.93,92.2,0.0,-0.0,0.0,326.3,1.17,258.0,99040.0
20110102:0300,4.15,92.2,0.0,-0.0,0.0,328.05,1.17,258.0,98990.0
20110102:0400,3.94,92.2,0.0,-0.0,0.0,315.65,1.24,257.0,98960.0
20110102:0500,3.96,92.2,0.0,-0.0,0.0,319.9,1.24,258.0,98950.0
20110102:0600,3.93,92.2,0.0,-0.0,0.0,319.1,1.24,257.0,98950.0
20110102:0700,3.88,88.8,23.0,0.0,23.0,310.8,1.24,265.0,98930.0
20110102:0800,4.9,88.85,81.0,19.26,77.0,314.3,0.9,268.0,98920.0
20110102:0900,6.93,85.75,97.0,0.0,97.0,323.2,0.76,306.0,98940.0
20110102:1000,7.81,82.65,82.0,0.0,82.0,319.7,1.1,353.0,98940.0
20110102:1100,7.93,82.7,92.0,0.0,92.0,330.55,1.38,2.0,98920.0
20110102:1200,8.14,82.7,96.0,0.0,96.0,323.75,1.59,3.0,98870.0
20110102:1300,7.97,85.85,49.0,0.0,49.0,341.0,1.79,1.0,98830.0
20110102:1400,7.59,89.0,49.0,0.0,49.0,339.85,1.93,355.0,98860.0
20110102:1500,7.09,95.8,13.0,0.0,13.0,340.6,2.0,348.0,98900.0
20110102:1600,6.75,99.4,0.0,-0.0,0.0,339.45,2.14,341.0,98950.0
20110102:1700,6.49,95.8,0.0,-0.0,0.0,340.4,2.28,336.0,98980.0
20110102:1800,6.27,95.8,0.0,-0.0,0.0,340.6,2.41,334.0,99000.0
20110102:1900,5.88,92.3,0.0,-0.0,0.0,337.1,2.62,318.0,98980.0
20110102:2000,5.6,95.75,0.0,-0.0,0.0,334.8,2.69,313.0,98980.0
20110102:2100,5.3,92.3,0.0,-0.0,0.0,333.85,2.9,310.0,99020.0
20110102:2200,5.03,95.75,0.0,-0.0,0.0,331.9,3.17,307.0,99040.0
20110102:2300,4.72,95.75,0.0,-0.0,0.0,329.2,3.31,305.0,99050.0
20110103:0000,4.5,92.25,0.0,-0.0,0.0,327.65,3.31,303.0,99050.0
20110103:0100,4.39,92.25,0.0,-0.0,0.0,327.35,3.38,303.0,99040.0
20110103:0200,4.33,88.85,0.0,-0.0,0.0,321.85,3.24,304.0,99080.0
20110103:0300,4.23,92.2,0.0,-0.0,0.0,318.15,3.03,311.0,99080.0
20110103:0400,4.33,88.85,0.0,-0.0,0.0,318.35,2.69,323.0,99100.0
20110103:0500,4.15,88.8,0.0,-0.0,0.0,305.4,2.21,339.0,99170.0
20110103:0600,4.16,88.8,0.0,-0.0,0.0,313.3,2.0,358.0,99240.0
20110103:0700,4.23,85.5,24.0,0.0,24.0,310.05,2.0,14.0,99290.0
20110103:0800,4.42,82.35,106.0,72.07,91.0,276.55,2.0,21.0,99360.0
20110103:0900,5.28,70.8,263.0,451.15,121.0,258.35,2.62,37.0,99420.0
20110103:1000,5.64,60.75,366.0,686.23,104.0,248.65,3.24,48.0,99470.0
20110103:1100,5.93,56.3,398.0,736.36,100.0,245.6,3.17,53.0,99470.0
20110103:1200,5.91,54.15,380.0,780.36,82.0,239.95,2.9,53.0,99450.0
20110103:1300,5.76,54.05,174.0,85.74,147.0,248.1,2.55,52.0,99450.0
20110103:1400,5.34,51.95,191.0,700.81,45.0,244.6,2.28,50.0,99470.0
20110103:1500,4.76,55.95,18.0,0.0,18.0,235.3,1.72,45.0,99520.0
20110103:1600,3.62,62.7,0.0,-0.0,0.0,230.85,1.38,34.0,99560.0
20110103:1700,2.81,65.1,0.0,-0.0,0.0,227.2,0.97,4.0,99600.0
20110103:1800,2.44,65.0,0.0,-0.0,0.0,227.75,0.97,318.0,99630.0
20110103:1900,2.26,67.5,0.0,-0.0,0.0,234.35,1.1,13.0,99630.0
20110103:2000,2.28,65.0,0.0,-0.0,0.0,234.95,0.97,345.0,99630.0
20110103:2100,2.22,67.5,0.0,-0.0,0.0,238.4,0.97,323.0,99650.0
20110103:2200,1.75,70.1,0.0,-0.0,0.0,249.85,1.03,306.0,99690.0
20110103:2300,0.6,72.75,0.0,-0.0,0.0,239.75,1.24,291.0,99720.0
20110104:0000,-0.4,75.55,0.0,-0.0,0.0,233.6,1.31,276.0,99680.0
20110104:0100,-1.49,81.65,0.0,-0.0,0.0,234.25,1.52,267.0,99660.0
20110104:0200,-2.51,84.85,0.0,-0.0,0.0,221.6,1.66,262.0,99650.0
20110104:0300,-3.02,84.8,0.0,-0.0,0.0,226.6,1.72,259.0,99600.0
20110104:0400,-3.51,88.2,0.0,-0.0,0.0,219.85,1.79,255.0,99560.0
20110104:0500,-3.63,84.7,0.0,-0.0,0.0,226.05,1.79,253.0,99560.0
20110104:0600,-3.89,88.15,0.0,-0.0,0.0,220.4,1.86,250.0,99570.0
20110104:0700,-3.55,88.2,22.0,0.0,22.0,221.75,1.79,245.0,99570.0
20110104:0800,-1.58,88.35,197.0,728.38,45.0,222.15,1.38,245.0,99580.0
20110104:0900,2.38,70.3,321.0,833.19,58.0,225.65,0.97,242.0,99580.0
20110104:1000,3.58,57.95,338.0,498.62,147.0,236.1,0.55,204.0,99570.0
20110104:1100,4.12,55.85,399.0,721.14,106.0,249.85,0.48,138.0,99560.0
20110104:1200,4.37,53.8,258.0,177.18,190.0,259.1,0.69,107.0,99490.0
20110104:1300,4.42,55.95,179.0,91.46,150.0,263.95,0.97,98.0,99470.0
20110104:1400,4.31,55.95,107.0,75.94,91.0,282.35,1.17,104.0,99460.0
20110104:1500,3.99,60.4,23.0,13.91,22.0,280.6,1.03,116.0,99490.0
20110104:1600,3.09,67.7,0.0,-0.0,0.0,281.2,1.17,133.0,99480.0
20110104:1700,2.27,76.0,0.0,-0.0,0.0,291.25,1.17,158.0,99500.0
20110104:1800,1.57,78.9,0.0,-0.0,0.0,282.15,1.31,175.0,99500.0
20110104:1900,1.63,82.0,0.0,-0.0,0.0,292.6,1.38,167.0,99470.0
20110104:2000,1.85,78.95,0.0,-0.0,0.0,300.15,1.17,181.0,99480.0
20110104:2100,1.89,82.05,0.0,-0.0,0.0,301.9,1.03,208.0,99480.0
20110104:2200,1.63,85.25,0.0,-0.0,0.0,302.5,1.17,229.0,99500.0
20110104:2300,1.43,85.25,0.0,-0.0,0.0,301.1,1.31,240.0,99500.0
