Latitude (decimal degrees): 45.156
Longitude (decimal degrees): 10.791
Elevation (m): 26.0
Irradiance Time Offset (h): 0.1762
month,year
1,2012
2,2009
3,2016
4,2019
5,2012
6,2012
7,2018
8,2017
9,2014
10,2020
11,2019
12,2005
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20120101:0000,-0.17,84.47,0.0,-0.0,0.0,275.87,1.03,192.0,102020.0
20120101:0100,-0.23,85.35,0.0,-0.0,0.0,271.3,0.96,183.0,102030.0
20120101:0200,-0.29,86.23,0.0,-0.0,0.0,266.73,0.88,159.0,102070.0
20120101:0300,-0.34,87.1,0.0,-0.0,0.0,262.16,0.8,133.0,102080.0
20120101:0400,-0.4,87.98,0.0,-0.0,0.0,257.59,0.72,120.0,102090.0
20120101:0500,-0.46,88.85,0.0,-0.0,0.0,253.02,0.64,106.0,102120.0
20120101:0600,-0.52,89.73,0.0,-0.0,0.0,248.45,0.56,117.0,102160.0
20120101:0700,-0.58,90.61,0.0,0.0,0.0,243.87,0.48,191.0,102260.0
20120101:0800,0.04,92.0,128.0,506.03,46.0,258.55,0.48,196.0,102320.0
20120101:0900,1.73,85.25,202.0,339.76,110.0,253.7,0.41,183.0,102360.0
20120101:1000,4.08,76.25,220.0,169.51,162.0,253.9,0.34,188.0,102370.0
20120101:1100,5.85,68.3,242.0,175.04,177.0,258.15,0.34,211.0,102340.0
20120101:1200,7.13,65.85,243.0,213.28,167.0,262.2,0.28,266.0,102290.0
20120101:1300,7.86,65.95,274.0,684.19,70.0,264.95,0.48,306.0,102260.0
20120101:1400,7.97,66.05,157.0,458.22,65.0,266.85,0.28,314.0,102270.0
20120101:1500,7.72,63.5,36.0,183.56,23.0,268.4,0.34,129.0,102290.0
20120101:1600,4.74,79.3,0.0,-0.0,0.0,266.1,1.31,116.0,102320.0
20120101:1700,1.95,85.3,0.0,-0.0,0.0,261.25,2.07,111.0,102380.0
20120101:1800,0.73,92.0,0.0,-0.0,0.0,260.1,2.0,101.0,102420.0
20120101:1900,0.57,88.5,0.0,-0.0,0.0,260.5,1.72,84.0,102490.0
20120101:2000,0.19,92.0,0.0,-0.0,0.0,258.15,1.72,76.0,102520.0
20120101:2100,0.08,92.0,0.0,-0.0,0.0,260.65,1.59,91.0,102520.0
20120101:2200,-0.27,91.95,0.0,-0.0,0.0,257.2,1.59,111.0,102490.0
20120101:2300,-0.29,91.95,0.0,-0.0,0.0,261.05,1.38,116.0,102450.0
20120102:0000,0.01,92.0,0.0,-0.0,0.0,253.15,1.1,104.0,102430.0
20120102:0100,-0.04,92.0,0.0,-0.0,0.0,255.35,1.1,98.0,102400.0
20120102:0200,-1.0,91.95,0.0,-0.0,0.0,257.95,1.45,101.0,102410.0
