Latitude (decimal degrees): 44.035
Longitude (decimal degrees): 10.139
Elevation (m): 56.0
Irradiance Time Offset (h): 0.1749
month,year
1,2018
2,2007
3,2017
4,2014
5,2012
6,2009
7,2011
8,2021
9,2020
10,2008
11,2016
12,2016
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20180101:0000,7.99,90.37,0.0,-0.0,0.0,306.74,3.12,109.0,97450.0
20180101:0100,8.1,91.9,0.0,-0.0,0.0,315.53,3.49,107.0,97380.0
20180101:0200,8.21,93.42,0.0,-0.0,0.0,324.32,3.86,108.0,97300.0
20180101:0300,8.31,94.94,0.0,-0.0,0.0,333.11,4.23,105.0,97230.0
20180101:0400,8.42,96.46,0.0,-0.0,0.0,341.91,4.6,98.0,97120.0
20180101:0500,8.53,97.98,0.0,-0.0,0.0,350.7,4.97,100.0,97050.0
20180101:0600,8.64,99.51,0.0,-0.0,0.0,359.49,5.34,103.0,96970.0
20180101:0700,8.75,100.0,1.0,0.0,1.0,368.28,5.71,116.0,96960.0
20180101:0800,8.83,99.4,84.0,76.33,71.0,353.55,4.83,132.0,96890.0
20180101:0900,9.39,99.4,47.0,0.0,47.0,348.35,4.21,153.0,96870.0
20180101:1000,9.05,95.85,153.0,19.59,146.0,359.55,0.55,342.0,96800.0
20180101:1100,8.24,92.4,278.0,239.04,185.0,353.55,5.72,8.0,96800.0
20180101:1200,7.71,85.85,268.0,242.17,177.0,336.15,5.1,13.0,96790.0
20180101:1300,8.01,76.85,299.0,706.73,74.0,313.7,4.76,327.0,96850.0
20180101:1400,8.66,76.85,188.0,575.32,61.0,302.5,3.93,333.0,96880.0
20180101:1500,8.77,76.85,47.0,156.31,33.0,284.65,2.76,326.0,96890.0
20180101:1600,8.4,79.75,0.0,-0.0,0.0,262.05,3.93,275.0,96940.0
20180101:1700,8.25,79.75,0.0,-0.0,0.0,258.75,3.86,270.0,96940.0
20180101:1800,7.52,85.85,0.0,-0.0,0.0,278.65,1.03,250.0,96890.0
20180101:1900,7.0,85.8,0.0,-0.0,0.0,281.95,1.93,215.0,96920.0
20180101:2000,8.17,82.75,0.0,-0.0,0.0,304.05,5.79,247.0,96910.0
20180101:2100,8.99,79.85,0.0,-0.0,0.0,326.3,8.69,252.0,96820.0
20180101:2200,9.13,79.85,0.0,-0.0,0.0,304.8,9.45,259.0,96670.0
20180101:2300,9.15,76.95,0.0,-0.0,0.0,315.45,7.59,271.0,96630.0
20180102:0000,8.79,79.75,0.0,-0.0,0.0,302.5,4.34,292.0,96520.0
20180102:0100,8.29,79.75,0.0,-0.0,0.0,294.45,2.83,342.0,96490.0
20180102:0200,7.43,82.7,0.0,-0.0,0.0,280.6,2.83,6.0,96500.0
20180102:0300,6.84,92.35,0.0,-0.0,0.0,278.1,2.97,1.0,96550.0
20180102:0400,6.42,92.35,0.0,-0.0,0.0,270.95,3.17,360.0,96620.0
20180102:0500,6.3,92.3,0.0,-0.0,0.0,269.0,3.1,358.0,96690.0
20180102:0600,6.17,88.95,0.0,-0.0,0.0,258.75,3.24,350.0,96780.0
20180102:0700,5.81,88.9,7.0,0.0,7.0,258.55,3.52,3.0,96920.0
20180102:0800,6.18,85.7,146.0,592.08,45.0,255.25,3.59,2.0,97040.0
20180102:0900,7.75,73.95,274.0,748.31,62.0,247.5,3.38,350.0,97120.0
20180102:1000,9.51,63.9,362.0,809.45,72.0,246.95,3.59,323.0,97180.0
20180102:1100,10.73,53.1,400.0,832.56,75.0,248.1,4.55,300.0,97220.0
20180102:1200,11.2,49.3,382.0,810.79,76.0,250.05,6.0,291.0,97230.0
20180102:1300,11.22,47.45,325.0,839.89,56.0,250.6,6.28,287.0,97250.0
20180102:1400,11.04,45.7,178.0,430.73,82.0,254.3,6.21,284.0,97290.0
20180102:1500,10.67,47.35,51.0,185.12,34.0,255.25,6.14,285.0,97360.0
20180102:1600,10.14,52.95,0.0,-0.0,0.0,257.2,5.79,281.0,97410.0
20180102:1700,9.73,59.25,0.0,-0.0,0.0,254.5,5.1,283.0,97460.0
20180102:1800,9.36,61.45,0.0,-0.0,0.0,253.15,3.86,292.0,97480.0
20180102:1900,8.82,71.35,0.0,-0.0,0.0,249.45,2.0,324.0,97490.0
