Latitude (decimal degrees): 45.464
Longitude (decimal degrees): 9.190
Elevation (m): 131.0
Irradiance Time Offset (h): 0.1766
month,year
1,2018
2,2005
3,2010
4,2019
5,2011
6,2012
7,2020
8,2021
9,2018
10,2005
11,2007
12,2013
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20180101:0000,1.99,87.86,0.0,-0.0,0.0,286.65,1.15,79.0,100370.0
20180101:0100,2.07,88.57,0.0,-0.0,0.0,294.52,1.13,195.0,100310.0
20180101:0200,2.14,89.27,0.0,-0.0,0.0,302.38,1.11,225.0,100230.0
20180101:0300,2.22,89.98,0.0,-0.0,0.0,310.25,1.09,284.0,100180.0
20180101:0400,2.29,90.68,0.0,-0.0,0.0,318.12,1.07,294.0,100120.0
20180101:0500,2.37,91.39,0.0,-0.0,0.0,325.98,1.05,275.0,100100.0
20180101:0600,2.44,92.09,0.0,-0.0,0.0,333.85,1.03,235.0,100070.0
20180101:0700,2.52,92.8,0.0,0.0,0.0,341.71,1.01,227.0,100090.0
20180101:0800,2.99,95.7,54.0,20.72,51.0,312.35,2.0,218.0,100050.0
20180101:0900,3.74,95.7,58.0,0.0,58.0,292.05,2.28,241.0,100070.0
20180101:1000,4.99,88.85,194.0,114.56,156.0,298.2,2.55,245.0,100040.0
20180101:1100,6.04,82.55,39.0,0.0,39.0,302.3,3.03,244.0,100000.0
20180101:1200,7.18,82.65,108.0,0.0,108.0,303.65,3.38,249.0,99940.0
20180101:1300,7.83,79.7,75.0,0.0,75.0,289.3,3.03,241.0,99860.0
20180101:1400,8.19,76.85,75.0,9.58,73.0,288.95,2.21,234.0,99790.0
20180101:1500,7.71,79.7,5.0,0.0,5.0,284.3,1.38,211.0,99740.0
20180101:1600,6.06,85.7,0.0,-0.0,0.0,254.85,2.0,178.0,99680.0
20180101:1700,4.13,92.2,0.0,-0.0,0.0,266.1,1.66,142.0,99610.0
20180101:1800,3.04,95.7,0.0,-0.0,0.0,283.1,1.59,64.0,99580.0
20180101:1900,3.64,95.7,0.0,-0.0,0.0,283.9,0.41,286.0,99600.0
20180101:2000,3.32,95.7,0.0,-0.0,0.0,281.6,0.28,223.0,99530.0
20180101:2100,2.75,95.7,0.0,-0.0,0.0,279.85,0.62,183.0,99530.0
20180101:2200,2.24,99.4,0.0,-0.0,0.0,259.5,0.76,236.0,99500.0
20180101:2300,0.13,100.0,0.0,-0.0,0.0,271.5,1.59,278.0,99530.0
20180102:0000,-0.26,100.0,0.0,-0.0,0.0,270.55,1.79,281.0,99520.0
20180102:0100,0.05,99.4,0.0,-0.0,0.0,277.8,2.07,260.0,99540.0
20180102:0200,0.23,100.0,0.0,-0.0,0.0,269.75,2.62,245.0,99580.0
20180102:0300,0.66,99.4,0.0,-0.0,0.0,281.6,3.17,246.0,99650.0
20180102:0400,0.68,99.4,0.0,-0.0,0.0,285.45,3.52,251.0,99720.0
20180102:0500,0.51,99.4,0.0,-0.0,0.0,268.6,3.45,253.0,99790.0
20180102:0600,0.52,99.4,0.0,-0.0,0.0,278.65,3.31,258.0,99890.0
20180102:0700,0.35,92.0,0.0,0.0,0.0,239.0,2.76,254.0,100020.0
20180102:0800,0.71,92.0,117.0,537.61,39.0,242.3,2.62,255.0,100110.0
20180102:0900,2.55,82.15,239.0,707.89,57.0,238.05,2.48,263.0,100190.0
20180102:1000,5.62,70.85,329.0,799.58,63.0,235.3,2.55,276.0,100250.0
20180102:1100,8.61,61.3,360.0,763.66,80.0,242.5,2.76,294.0,100280.0
20180102:1200,10.8,53.1,352.0,784.91,72.0,244.6,2.48,307.0,100230.0
20180102:1300,11.69,47.6,286.0,701.64,73.0,253.5,2.69,320.0,100200.0
20180102:1400,11.24,49.3,182.0,602.44,55.0,249.85,2.0,321.0,100230.0
20180102:1500,9.86,52.85,51.0,294.97,26.0,253.1,2.14,276.0,100250.0
20180102:1600,7.28,58.8,0.0,-0.0,0.0,245.2,2.9,262.0,100330.0
20180102:1700,5.11,65.55,0.0,-0.0,0.0,241.15,2.69,265.0,100360.0
20180102:1800,3.48,73.3,0.0,-0.0,0.0,241.15,2.55,272.0,100390.0
20180102:1900,3.45,76.15,0.0,-0.0,0.0,285.25,2.0,286.0,100380.0
20180102:2000,3.16,79.1,0.0,-0.0,0.0,290.85,1.72,291.0,100390.0
20180102:2100,2.72,76.0,0.0,-0.0,0.0,278.3,1.59,285.0,100380.0
20180102:2200,1.95,78.95,0.0,-0.0,0.0,271.5,1.59,281.0,100360.0
20180102:2300,1.46,78.9,0.0,-0.0,0.0,285.05,1.72,293.0,100360.0
20180103:0000,1.38,78.9,0.0,-0.0,0.0,282.15,1.72,308.0,100330.0
20180103:0100,1.19,75.75,0.0,-0.0,0.0,258.45,1.59,311.0,100300.0
20180103:0200,1.9,67.5,0.0,-0.0,0.0,253.15,1.17,284.0,100270.0
20180103:0300,1.66,70.1,0.0,-0.0,0.0,280.6,1.24,268.0,100210.0
20180103:0400,0.31,81.8,0.0,-0.0,0.0,274.05,1.72,278.0,100150.0
20180103:0500,0.01,78.65,0.0,-0.0,0.0,260.3,1.66,274.0,100100.0
20180103:0600,-0.69,85.0,0.0,-0.0,0.0,246.55,1.66,257.0,100100.0
20180103:0700,-0.43,72.6,0.0,0.0,0.0,241.7,1.24,249.0,100070.0
20180103:0800,-0.6,81.75,32.0,0.0,32.0,246.15,1.24,188.0,99860.0
20180103:0900,2.05,82.05,214.0,488.68,88.0,247.15,0.62,290.0,99810.0
20180103:1000,5.02,65.55,300.0,596.24,101.0,256.05,0.76,177.0,99540.0
20180103:1100,6.74,56.45,183.0,46.19,166.0,257.75,0.34,285.0,99430.0
20180103:1200,7.9,54.55,72.0,0.0,72.0,272.5,1.03,337.0,99180.0
20180103:1300,8.49,54.65,81.0,0.0,81.0,270.95,1.66,334.0,99160.0
20180103:1400,8.0,59.0,22.0,0.0,22.0,275.6,2.07,318.0,99230.0
20180103:1500,7.02,63.5,24.0,11.48,23.0,284.65,2.21,310.0,99280.0
20180103:1600,5.53,68.2,0.0,-0.0,0.0,278.85,2.0,271.0,99330.0
20180103:1700,3.87,76.15,0.0,-0.0,0.0,268.4,2.28,252.0,99410.0
20180103:1800,3.29,79.1,0.0,-0.0,0.0,277.5,2.62,252.0,99540.0
20180103:1900,2.38,88.65,0.0,-0.0,0.0,254.85,2.76,259.0,99590.0
20180103:2000,2.05,88.65,0.0,-0.0,0.0,260.1,2.62,261.0,99610.0
20180103:2100,2.05,88.65,0.0,-0.0,0.0,270.75,2.83,273.0,99680.0
20180103:2200,2.02,88.65,0.0,-0.0,0.0,271.5,2.41,269.0,99720.0
20180103:2300,1.55,88.6,0.0,-0.0,0.0,272.5,1.93,269.0,99720.0
20180104:0000,0.93,92.05,0.0,-0.0,0.0,269.4,2.0,282.0,99680.0
20180104:0100,0.91,92.05,0.0,-0.0,0.0,278.2,1.79,283.0,99620.0
20180104:0200,0.87,92.05,0.0,-0.0,0.0,282.35,1.66,295.0,99630.0
20180104:0300,1.89,85.3,0.0,-0.0,0.0,289.9,1.24,292.0,99620.0
20180104:0400,2.5,85.35,0.0,-0.0,0.0,290.3,1.1,232.0,99550.0
20180104:0500,1.53,92.05,0.0,-0.0,0.0,292.2,1.93,235.0,99560.0
20180104:0600,1.05,92.05,0.0,-0.0,0.0,284.5,1.93,271.0,99570.0
20180104:0700,0.15,99.4,0.0,0.0,0.0,264.55,1.93,281.0,99550.0
20180104:0800,1.02,95.65,120.0,602.57,32.0,276.35,1.79,278.0,99580.0
20180104:0900,3.91,88.8,195.0,363.36,101.0,277.7,1.72,272.0,99590.0
20180104:1000,6.44,82.6,306.0,659.78,85.0,271.3,1.72,276.0,99610.0
20180104:1100,8.13,79.75,358.0,779.17,70.0,280.2,1.66,278.0,99620.0
20180104:1200,9.12,76.95,347.0,771.52,69.0,282.35,1.45,283.0,99540.0
20180104:1300,9.61,74.2,285.0,714.96,65.0,279.25,1.38,273.0,99470.0
20180104:1400,9.71,77.0,193.0,705.82,41.0,276.75,1.38,274.0,99450.0
20180104:1500,9.02,79.85,59.0,413.17,22.0,283.5,1.24,254.0,99450.0
20180104:1600,7.19,85.8,0.0,-0.0,0.0,272.65,1.45,247.0,99430.0
20180104:1700,5.47,88.9,0.0,-0.0,0.0,268.4,1.03,251.0,99420.0
20180104:1800,5.39,92.25,0.0,-0.0,0.0,276.35,0.76,303.0,99430.0
20180104:1900,5.46,88.9,0.0,-0.0,0.0,268.4,0.76,123.0,99400.0
20180104:2000,4.28,95.75,0.0,-0.0,0.0,274.2,1.03,141.0,99360.0
20180104:2100,4.35,99.4,0.0,-0.0,0.0,272.3,0.48,340.0,99400.0
20180104:2200,3.7,99.4,0.0,-0.0,0.0,272.5,0.83,336.0,99430.0
20180104:2300,2.44,95.7,0.0,-0.0,0.0,272.1,1.1,191.0,99390.0
20180105:0000,1.47,99.4,0.0,-0.0,0.0,286.05,1.1,217.0,99360.0
20180105:0100,1.22,100.0,0.0,-0.0,0.0,298.35,0.83,220.0,99320.0
20180105:0200,1.18,100.0,0.0,-0.0,0.0,302.85,0.55,201.0,99330.0
20180105:0300,0.94,99.35,0.0,-0.0,0.0,297.85,0.69,172.0,99360.0
20180105:0400,0.82,100.0,0.0,-0.0,0.0,298.2,0.76,144.0,99370.0
20180105:0500,0.97,99.35,0.0,-0.0,0.0,305.75,0.9,118.0,99420.0
20180105:0600,0.87,99.35,0.0,-0.0,0.0,298.4,1.1,114.0,99470.0
20180105:0700,0.34,100.0,0.0,0.0,0.0,295.5,0.97,154.0,99560.0
20180105:0800,0.79,100.0,91.0,238.59,56.0,297.85,1.1,149.0,99610.0
20180105:0900,1.86,99.4,101.0,15.4,97.0,305.55,0.69,127.0,99690.0
20180105:1000,3.03,92.15,131.0,11.89,127.0,302.1,1.03,81.0,99710.0
20180105:1100,4.58,85.55,124.0,2.69,123.0,306.55,1.24,85.0,99700.0
20180105:1200,5.76,82.5,139.0,11.04,135.0,306.35,1.1,86.0,99650.0
20180105:1300,6.56,76.65,49.0,0.0,49.0,291.65,1.31,98.0,99610.0
20180105:1400,7.13,76.7,17.0,0.0,17.0,279.25,1.45,113.0,99620.0
20180105:1500,6.77,79.55,26.0,10.86,25.0,291.65,1.1,113.0,99610.0
20180105:1600,5.76,85.65,0.0,-0.0,0.0,277.7,1.31,86.0,99640.0
20180105:1700,4.6,88.85,0.0,-0.0,0.0,296.3,1.59,70.0,99670.0
20180105:1800,3.98,88.8,0.0,-0.0,0.0,299.2,1.59,77.0,99720.0
