Latitude (decimal degrees): 44.647
Longitude (decimal degrees): 10.925
Elevation (m): 43.0
Irradiance Time Offset (h): 0.1756
month,year
1,2023
2,2006
3,2011
4,2009
5,2016
6,2007
7,2009
8,2015
9,2023
10,2018
11,2020
12,2015
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20230101:0000,5.96,88.74,0.0,-0.0,0.0,298.71,0.92,167.0,102230.0
20230101:0100,6.26,90.39,0.0,-0.0,0.0,301.8,0.95,233.0,102260.0
20230101:0200,6.57,92.03,0.0,-0.0,0.0,304.9,0.97,213.0,102270.0
20230101:0300,6.87,93.67,0.0,-0.0,0.0,307.99,0.99,201.0,102260.0
20230101:0400,7.18,95.31,0.0,-0.0,0.0,311.09,1.02,197.0,102210.0
20230101:0500,7.48,96.96,0.0,-0.0,0.0,314.18,1.04,195.0,102170.0
20230101:0600,7.79,98.6,0.0,-0.0,0.0,317.27,1.07,205.0,102160.0
20230101:0700,8.09,100.0,6.0,0.0,6.0,320.37,1.09,270.0,102290.0
20230101:0800,8.43,95.85,130.0,454.37,53.0,326.1,0.9,251.0,102330.0
20230101:0900,9.93,95.9,239.0,570.14,80.0,340.8,0.48,237.0,102320.0
20230101:1000,11.37,92.55,290.0,462.11,128.0,343.1,0.28,246.0,102280.0
20230101:1100,12.48,89.35,217.0,100.09,179.0,342.15,0.21,322.0,102240.0
20230101:1200,12.81,86.25,181.0,52.18,162.0,340.0,0.48,359.0,102160.0
20230101:1300,13.18,86.3,105.0,6.56,103.0,348.95,0.62,23.0,102130.0
20230101:1400,13.16,86.3,82.0,24.21,77.0,352.4,0.69,36.0,102120.0
20230101:1500,12.79,89.4,27.0,39.91,24.0,344.5,0.69,41.0,102120.0
20230101:1600,11.85,99.4,0.0,-0.0,0.0,338.5,0.62,65.0,102150.0
20230101:1700,11.56,99.35,0.0,-0.0,0.0,323.75,0.48,156.0,102160.0
20230101:1800,10.22,95.9,0.0,-0.0,0.0,318.35,0.97,198.0,102200.0
20230101:1900,9.87,95.9,0.0,-0.0,0.0,309.85,0.76,187.0,102220.0
20230101:2000,9.7,92.5,0.0,-0.0,0.0,309.25,0.76,208.0,102230.0
20230101:2100,9.16,95.85,0.0,-0.0,0.0,306.75,0.83,211.0,102230.0
20230101:2200,8.46,95.85,0.0,-0.0,0.0,303.25,0.97,203.0,102200.0
20230101:2300,7.75,95.8,0.0,-0.0,0.0,305.0,1.1,206.0,102190.0
20230102:0000,7.25,95.8,0.0,-0.0,0.0,311.4,1.17,211.0,102150.0
20230102:0100,7.13,95.8,0.0,-0.0,0.0,320.0,1.1,211.0,102120.0
20230102:0200,7.04,99.4,0.0,-0.0,0.0,322.6,1.03,208.0,102120.0
20230102:0300,6.71,95.8,0.0,-0.0,0.0,315.65,1.03,206.0,102120.0
20230102:0400,6.61,95.8,0.0,-0.0,0.0,319.5,1.03,204.0,102080.0
20230102:0500,6.62,95.8,0.0,-0.0,0.0,325.7,1.03,200.0,102090.0
20230102:0600,6.06,95.8,0.0,-0.0,0.0,307.5,1.17,191.0,102090.0
20230102:0700,6.4,95.8,4.0,0.0,4.0,307.3,1.03,204.0,102150.0
20230102:0800,7.93,92.4,89.0,106.02,71.0,300.75,0.62,203.0,102190.0
20230102:0900,9.68,92.5,120.0,28.62,112.0,291.45,0.14,191.0,102200.0
20230102:1000,11.63,86.15,153.0,25.6,144.0,301.9,0.41,43.0,102200.0
20230102:1100,12.4,86.2,157.0,15.75,151.0,301.3,0.62,52.0,102130.0
20230102:1200,13.1,83.25,177.0,46.48,160.0,306.75,0.76,53.0,102060.0
20230102:1300,13.54,83.25,131.0,26.06,123.0,314.3,0.83,44.0,102000.0
20230102:1400,13.55,83.25,90.0,38.34,82.0,325.7,1.1,39.0,102000.0
20230102:1500,13.03,86.25,22.0,12.91,21.0,343.9,1.1,39.0,101980.0
20230102:1600,11.81,92.55,0.0,-0.0,0.0,323.95,1.38,56.0,102000.0
20230102:1700,10.86,92.55,0.0,-0.0,0.0,328.6,1.24,90.0,102020.0
20230102:1800,9.75,95.9,0.0,-0.0,0.0,318.35,1.24,124.0,102040.0
20230102:1900,9.86,95.9,0.0,-0.0,0.0,320.65,0.28,149.0,102080.0
20230102:2000,8.94,95.85,0.0,-0.0,0.0,307.9,0.9,181.0,102090.0
20230102:2100,7.71,95.8,0.0,-0.0,0.0,311.0,1.45,184.0,102080.0
20230102:2200,6.81,95.8,0.0,-0.0,0.0,296.1,1.59,181.0,102060.0
20230102:2300,6.4,99.4,0.0,-0.0,0.0,295.9,1.45,181.0,102060.0
20230103:0000,6.33,95.8,0.0,-0.0,0.0,298.6,1.31,183.0,102030.0
20230103:0100,6.63,92.35,0.0,-0.0,0.0,307.8,1.17,186.0,102030.0
20230103:0200,6.77,92.35,0.0,-0.0,0.0,308.5,1.17,184.0,102030.0
20230103:0300,6.75,92.35,0.0,-0.0,0.0,304.8,1.17,182.0,102050.0
20230103:0400,6.77,92.35,0.0,-0.0,0.0,310.4,1.17,177.0,102020.0
20230103:0500,6.71,92.35,0.0,-0.0,0.0,310.2,1.17,172.0,102030.0
20230103:0600,6.74,92.35,0.0,-0.0,0.0,313.9,1.1,168.0,102030.0
20230103:0700,8.26,92.4,4.0,0.0,4.0,320.5,0.83,177.0,102060.0
20230103:0800,8.77,92.45,22.0,0.0,22.0,316.4,0.55,178.0,102110.0
20230103:0900,9.54,92.45,44.0,0.0,44.0,323.0,0.21,112.0,102140.0
20230103:1000,10.94,86.1,42.0,0.0,42.0,315.05,0.62,59.0,102170.0
20230103:1100,11.69,86.15,126.0,2.61,125.0,327.25,1.03,62.0,102130.0
20230103:1200,12.16,83.15,183.0,51.69,164.0,324.75,1.03,74.0,102070.0
20230103:1300,12.72,83.25,97.0,3.24,96.0,322.2,1.1,68.0,102010.0
20230103:1400,12.64,83.25,35.0,0.0,35.0,341.55,1.38,48.0,102010.0
20230103:1500,12.11,86.2,11.0,0.0,11.0,340.0,1.24,35.0,102010.0
20230103:1600,11.32,92.55,0.0,-0.0,0.0,346.4,1.17,24.0,102070.0
20230103:1700,10.35,95.9,0.0,-0.0,0.0,333.85,0.83,16.0,102090.0
20230103:1800,10.04,95.9,0.0,-0.0,0.0,328.0,0.62,10.0,102140.0
20230103:1900,9.67,95.9,0.0,-0.0,0.0,336.75,0.62,68.0,102160.0
20230103:2000,9.72,95.9,0.0,-0.0,0.0,337.5,0.48,52.0,102180.0
20230103:2100,9.33,99.4,0.0,-0.0,0.0,324.15,0.21,40.0,102200.0
20230103:2200,9.04,99.4,0.0,-0.0,0.0,328.2,0.07,324.0,102210.0
20230103:2300,8.83,99.4,0.0,-0.0,0.0,333.65,0.21,243.0,102220.0
20230104:0000,8.38,99.4,0.0,-0.0,0.0,335.4,0.48,253.0,102200.0
20230104:0100,8.07,95.85,0.0,-0.0,0.0,345.75,0.62,258.0,102180.0
20230104:0200,8.1,99.4,0.0,-0.0,0.0,347.4,0.76,244.0,102200.0
20230104:0300,8.23,99.4,0.0,-0.0,0.0,347.95,0.76,228.0,102200.0
20230104:0400,8.56,99.4,0.0,-0.0,0.0,354.15,0.62,231.0,102180.0
20230104:0500,8.69,95.85,0.0,-0.0,0.0,349.7,0.62,265.0,102190.0
20230104:0600,8.95,99.4,0.0,-0.0,0.0,354.15,0.55,251.0,102190.0
20230104:0700,9.4,95.85,2.0,0.0,2.0,351.85,0.55,235.0,102240.0
20230104:0800,9.93,92.5,58.0,11.71,56.0,346.6,0.41,215.0,102260.0
20230104:0900,10.23,95.9,131.0,42.68,119.0,342.75,0.34,306.0,102280.0
20230104:1000,11.01,92.55,205.0,107.38,167.0,342.35,0.69,335.0,102280.0
20230104:1100,11.29,92.55,141.0,7.81,138.0,349.1,0.62,343.0,102240.0
20230104:1200,11.73,89.3,95.0,0.0,95.0,346.2,0.55,339.0,102150.0
20230104:1300,11.95,92.55,103.0,3.21,102.0,341.4,0.69,350.0,102070.0
20230104:1400,12.0,92.55,79.0,14.07,76.0,327.65,0.97,354.0,102000.0
20230104:1500,11.67,92.55,22.0,12.16,21.0,319.5,0.76,352.0,102000.0
20230104:1600,11.26,95.9,0.0,-0.0,0.0,332.65,0.07,253.0,101980.0
20230104:1700,10.7,92.55,0.0,-0.0,0.0,312.75,0.62,196.0,101970.0
20230104:1800,10.55,95.9,0.0,-0.0,0.0,313.3,0.41,228.0,101960.0
20230104:1900,10.43,92.5,0.0,-0.0,0.0,316.4,0.9,201.0,101920.0
20230104:2000,9.47,95.85,0.0,-0.0,0.0,305.4,1.1,223.0,101910.0
20230104:2100,7.76,95.8,0.0,-0.0,0.0,308.1,1.66,222.0,101890.0
20230104:2200,6.93,99.4,0.0,-0.0,0.0,299.2,1.72,220.0,101840.0
20230104:2300,6.47,99.4,0.0,-0.0,0.0,295.3,1.72,222.0,101800.0
20230105:0000,6.49,99.4,0.0,-0.0,0.0,304.6,1.72,227.0,101740.0
20230105:0100,6.5,99.4,0.0,-0.0,0.0,305.7,1.72,226.0,101710.0
20230105:0200,6.32,95.8,0.0,-0.0,0.0,299.55,1.79,220.0,101640.0
20230105:0300,6.43,95.8,0.0,-0.0,0.0,305.95,1.59,222.0,101620.0
20230105:0400,6.63,92.35,0.0,-0.0,0.0,298.8,1.38,228.0,101550.0
20230105:0500,6.55,95.8,0.0,-0.0,0.0,285.65,1.24,226.0,101520.0
20230105:0600,6.59,92.35,0.0,-0.0,0.0,297.65,1.17,229.0,101490.0
20230105:0700,6.37,92.3,3.0,0.0,3.0,302.65,1.24,232.0,101520.0
20230105:0800,7.8,89.05,76.0,46.67,68.0,298.2,0.9,250.0,101530.0
20230105:0900,9.56,92.45,141.0,63.8,123.0,315.25,0.55,269.0,101510.0
20230105:1000,11.31,83.05,212.0,121.05,169.0,294.55,0.55,281.0,101490.0
20230105:1100,12.63,77.45,387.0,829.69,67.0,294.35,0.55,294.0,101430.0
20230105:1200,13.87,74.85,364.0,783.45,73.0,298.05,0.83,291.0,101350.0
20230105:1300,14.46,72.3,297.0,743.33,64.0,294.35,0.9,331.0,101320.0
20230105:1400,14.44,72.3,189.0,644.44,50.0,294.55,0.97,15.0,101300.0
