Latitude (decimal degrees): 45.447
Longitude (decimal degrees): 8.622
Elevation (m): 169.0
Irradiance Time Offset (h): 0.1766
month,year
1,2014
2,2013
3,2005
4,2019
5,2012
6,2018
7,2005
8,2012
9,2007
10,2021
11,2005
12,2014
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20140101:0000,-1.41,88.04,0.0,-0.0,0.0,251.37,1.42,306.0,100610.0
20140101:0100,-1.53,89.14,0.0,-0.0,0.0,248.5,1.29,302.0,100540.0
20140101:0200,-1.66,90.24,0.0,-0.0,0.0,245.63,1.16,286.0,100560.0
20140101:0300,-1.79,91.34,0.0,-0.0,0.0,242.76,1.02,279.0,100530.0
20140101:0400,-1.92,92.44,0.0,-0.0,0.0,239.89,0.89,301.0,100510.0
20140101:0500,-2.05,93.54,0.0,-0.0,0.0,237.02,0.75,315.0,100510.0
20140101:0600,-2.17,94.64,0.0,-0.0,0.0,234.15,0.62,341.0,100540.0
20140101:0700,-2.3,95.74,0.0,-0.0,0.0,231.28,0.49,346.0,100580.0
20140101:0800,-3.14,95.55,102.0,378.17,49.0,236.85,0.97,360.0,100610.0
20140101:0900,-0.48,91.95,234.0,691.36,59.0,242.1,0.55,353.0,100650.0
20140101:1000,2.33,82.05,325.0,785.16,66.0,243.05,0.21,323.0,100630.0
20140101:1100,4.65,68.0,330.0,572.36,121.0,242.5,0.28,228.0,100580.0
20140101:1200,6.06,56.3,340.0,692.71,93.0,246.95,0.41,237.0,100520.0
20140101:1300,6.72,50.2,275.0,607.14,90.0,250.05,0.14,240.0,100470.0
20140101:1400,6.87,50.2,190.0,666.36,48.0,248.65,0.21,27.0,100480.0
20140101:1500,6.32,65.75,59.0,386.44,25.0,245.2,0.69,50.0,100490.0
20140101:1600,5.66,54.05,0.0,-0.0,0.0,240.75,0.62,58.0,100510.0
20140101:1700,4.59,58.2,0.0,-0.0,0.0,250.2,0.55,41.0,100530.0
20140101:1800,3.49,62.7,0.0,-0.0,0.0,251.4,1.03,29.0,100540.0
20140101:1900,0.23,81.8,0.0,-0.0,0.0,276.55,2.0,0.0,100540.0
20140101:2000,0.31,85.1,0.0,-0.0,0.0,282.35,2.0,5.0,100560.0
20140101:2100,0.88,85.15,0.0,-0.0,0.0,299.95,1.93,11.0,100540.0
20140101:2200,1.38,85.2,0.0,-0.0,0.0,318.15,1.31,13.0,100530.0
20140101:2300,1.83,85.25,0.0,-0.0,0.0,324.75,0.83,3.0,100500.0
