Latitude (decimal degrees): 45.406
Longitude (decimal degrees): 11.877
Elevation (m): 23.0
Irradiance Time Offset (h): 0.1765
month,year
1,2018
2,2007
3,2017
4,2017
5,2010
6,2019
7,2015
8,2018
9,2006
10,2015
11,2007
12,2017
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20180101:0000,3.55,87.68,0.0,-0.0,0.0,319.96,2.07,36.0,101440.0
20180101:0100,3.69,87.58,0.0,-0.0,0.0,324.45,2.1,36.0,101360.0
20180101:0200,3.82,87.49,0.0,-0.0,0.0,328.95,2.13,36.0,101300.0
20180101:0300,3.95,87.39,0.0,-0.0,0.0,333.44,2.16,34.0,101240.0
20180101:0400,4.08,87.29,0.0,-0.0,0.0,337.93,2.19,31.0,101160.0
20180101:0500,4.21,87.2,0.0,-0.0,0.0,342.42,2.22,31.0,101110.0
20180101:0600,4.35,87.1,0.0,-0.0,0.0,346.91,2.25,36.0,101070.0
20180101:0700,4.48,87.0,5.0,0.0,5.0,351.41,2.27,47.0,101070.0
20180101:0800,4.68,92.25,63.0,17.87,60.0,337.5,2.55,41.0,101020.0
20180101:0900,4.99,88.85,91.0,3.65,90.0,338.65,2.69,35.0,101020.0
20180101:1000,5.19,88.85,42.0,0.0,42.0,341.95,2.83,26.0,100960.0
20180101:1100,5.41,88.9,32.0,0.0,32.0,339.65,2.9,16.0,100890.0
20180101:1200,5.69,88.9,62.0,0.0,62.0,337.9,2.48,4.0,100810.0
20180101:1300,5.88,92.3,93.0,3.46,92.0,335.4,1.72,346.0,100740.0
20180101:1400,5.92,88.95,28.0,0.0,28.0,330.15,1.79,298.0,100700.0
20180101:1500,5.82,92.3,4.0,0.0,4.0,329.95,2.62,282.0,100730.0
20180101:1600,5.43,88.9,0.0,-0.0,0.0,315.45,2.48,274.0,100680.0
20180101:1700,4.77,92.25,0.0,-0.0,0.0,303.05,2.0,277.0,100650.0
20180101:1800,3.76,95.7,0.0,-0.0,0.0,289.1,1.52,268.0,100650.0
20180101:1900,3.1,95.7,0.0,-0.0,0.0,293.75,1.86,270.0,100700.0
20180101:2000,2.84,95.7,0.0,-0.0,0.0,297.05,0.9,286.0,100650.0
20180101:2100,3.24,92.15,0.0,-0.0,0.0,274.2,0.55,22.0,100590.0
20180101:2200,2.67,95.7,0.0,-0.0,0.0,251.4,0.55,300.0,100540.0
20180101:2300,0.2,100.0,0.0,-0.0,0.0,249.45,1.24,266.0,100530.0
20180102:0000,-0.65,99.4,0.0,-0.0,0.0,274.05,1.31,260.0,100460.0
20180102:0100,-0.72,100.0,0.0,-0.0,0.0,286.35,1.03,280.0,100470.0
20180102:0200,-0.53,99.4,0.0,-0.0,0.0,286.2,1.17,287.0,100480.0
20180102:0300,-0.15,99.4,0.0,-0.0,0.0,294.95,1.1,285.0,100510.0
