Latitude (decimal degrees): 44.801
Longitude (decimal degrees): 10.328
Elevation (m): 69.0
Irradiance Time Offset (h): 0.1759
month,year
1,2015
2,2006
3,2010
4,2019
5,2011
6,2023
7,2006
8,2016
9,2018
10,2006
11,2020
12,2015
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20150101:0000,-0.85,78.7,0.0,-0.0,0.0,240.26,1.53,271.0,102550.0
20150101:0100,-1.58,78.27,0.0,-0.0,0.0,234.4,1.58,274.0,102580.0
20150101:0200,-2.32,77.83,0.0,-0.0,0.0,228.55,1.63,267.0,102570.0
20150101:0300,-3.05,77.4,0.0,-0.0,0.0,222.69,1.68,252.0,102500.0
20150101:0400,-3.79,76.96,0.0,-0.0,0.0,216.84,1.73,237.0,102440.0
20150101:0500,-4.52,76.52,0.0,-0.0,0.0,210.98,1.78,223.0,102400.0
20150101:0600,-5.26,76.09,0.0,-0.0,0.0,205.13,1.83,217.0,102400.0
20150101:0700,-5.99,75.65,0.0,0.0,0.0,199.27,1.88,236.0,102490.0
20150101:0800,-0.52,59.35,128.0,479.9,50.0,226.4,0.41,262.0,102520.0
20150101:0900,0.77,59.7,250.0,652.0,72.0,230.3,0.34,4.0,102570.0
20150101:1000,2.65,53.25,339.0,765.67,74.0,233.2,0.55,17.0,102540.0
20150101:1100,3.9,51.4,377.0,798.74,76.0,237.45,0.48,25.0,102500.0
20150101:1200,4.76,51.7,366.0,820.64,68.0,240.35,0.69,22.0,102440.0
20150101:1300,5.12,55.95,296.0,758.41,64.0,242.5,1.1,22.0,102400.0
20150101:1400,4.96,60.5,182.0,621.83,52.0,243.65,1.1,23.0,102410.0
20150101:1500,4.22,67.9,47.0,277.79,25.0,244.4,1.24,28.0,102450.0
20150101:1600,2.6,76.0,0.0,-0.0,0.0,241.7,0.83,44.0,102510.0
20150101:1700,2.31,70.3,0.0,-0.0,0.0,239.95,0.48,119.0,102540.0
20150101:1800,1.68,73.0,0.0,-0.0,0.0,241.15,0.34,206.0,102540.0
20150101:1900,1.02,72.85,0.0,-0.0,0.0,243.05,0.48,268.0,102590.0
20150101:2000,0.88,70.05,0.0,-0.0,0.0,243.45,0.97,262.0,102600.0
20150101:2100,-0.5,75.55,0.0,-0.0,0.0,243.25,1.24,251.0,102570.0
20150101:2200,-0.62,75.55,0.0,-0.0,0.0,243.25,1.24,245.0,102530.0
20150101:2300,-0.53,75.55,0.0,-0.0,0.0,243.65,1.17,232.0,102460.0
20150102:0000,-0.58,75.55,0.0,-0.0,0.0,243.65,1.03,247.0,102400.0
20150102:0100,-1.24,78.5,0.0,-0.0,0.0,244.35,1.17,267.0,102360.0
20150102:0200,-1.32,75.45,0.0,-0.0,0.0,244.2,1.24,265.0,102350.0
20150102:0300,-1.42,78.45,0.0,-0.0,0.0,244.4,1.31,250.0,102300.0
