Latitude (decimal degrees): 43.913
Longitude (decimal degrees): 12.915
Elevation (m): 5.0
Irradiance Time Offset (h): 0.1747
month,year
1,2013
2,2005
3,2008
4,2007
5,2012
6,2013
7,2009
8,2022
9,2020
10,2009
11,2015
12,2015
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20130101:0000,8.28,72.44,0.0,-0.0,0.0,14.51,6.55,270.0,102070.0
20130101:0100,8.27,74.24,0.0,-0.0,0.0,15.61,5.67,272.0,102020.0
20130101:0200,8.27,76.05,0.0,-0.0,0.0,16.71,4.78,267.0,102000.0
20130101:0300,8.26,77.86,0.0,-0.0,0.0,17.81,3.89,263.0,101940.0
20130101:0400,8.25,79.66,0.0,-0.0,0.0,18.91,3.01,242.0,101890.0
20130101:0500,8.25,81.47,0.0,-0.0,0.0,20.01,2.12,229.0,101870.0
20130101:0600,8.24,83.28,0.0,-0.0,0.0,21.11,1.23,221.0,101870.0
20130101:0700,8.24,85.08,30.0,227.03,17.0,22.22,0.35,215.0,101850.0
20130101:0800,8.18,82.75,165.0,578.97,52.0,-0.35,3.45,217.0,101850.0
20130101:0900,8.7,79.85,284.0,726.83,65.0,-1.15,3.38,224.0,101890.0
20130101:1000,9.17,77.0,359.0,773.54,74.0,2.3,3.17,239.0,101900.0
20130101:1100,9.85,69.0,388.0,798.5,75.0,3.05,2.83,256.0,101880.0
20130101:1200,10.36,66.55,370.0,826.27,64.0,2.7,2.28,268.0,101810.0
20130101:1300,10.8,66.65,290.0,747.58,62.0,-0.15,1.45,266.0,101760.0
20130101:1400,11.16,64.35,168.0,578.93,52.0,5.0,0.76,262.0,101790.0
20130101:1500,11.33,66.75,21.0,31.43,19.0,-0.35,0.83,213.0,101750.0
20130101:1600,11.31,66.75,0.0,-0.0,0.0,9.45,1.59,188.0,101760.0
20130101:1700,11.08,71.75,0.0,-0.0,0.0,-0.15,2.48,184.0,101790.0
20130101:1800,10.71,71.75,0.0,-0.0,0.0,3.85,3.59,182.0,101780.0
20130101:1900,10.37,74.4,0.0,-0.0,0.0,-0.75,4.28,180.0,101790.0
20130101:2000,10.13,74.4,0.0,-0.0,0.0,-1.35,4.69,182.0,101780.0
20130101:2100,10.0,77.1,0.0,-0.0,0.0,0.75,4.9,185.0,101780.0
20130101:2200,9.73,77.1,0.0,-0.0,0.0,0.0,4.97,196.0,101760.0
20130101:2300,9.66,77.1,0.0,-0.0,0.0,11.95,4.83,198.0,101740.0
20130102:0000,9.63,77.1,0.0,-0.0,0.0,-5.4,4.55,200.0,101720.0
20130102:0100,9.64,77.1,0.0,-0.0,0.0,284.0,4.28,203.0,101710.0
20130102:0200,9.62,77.1,0.0,-0.0,0.0,4.6,3.66,208.0,101730.0
20130102:0300,9.66,77.1,0.0,-0.0,0.0,4.45,3.1,220.0,101740.0
20130102:0400,9.71,77.1,0.0,-0.0,0.0,9.25,2.83,232.0,101730.0
20130102:0500,9.84,77.1,0.0,-0.0,0.0,8.7,2.62,238.0,101760.0
20130102:0600,9.95,79.95,0.0,-0.0,0.0,2.1,2.21,243.0,101770.0
20130102:0700,10.04,79.95,25.0,122.16,18.0,-8.1,1.93,250.0,101810.0
20130102:0800,10.18,77.15,73.0,15.34,70.0,-2.3,1.52,259.0,101850.0
20130102:0900,10.46,77.15,133.0,33.12,123.0,-1.15,0.76,273.0,101940.0
20130102:1000,9.94,86.0,153.0,18.95,146.0,5.2,0.69,354.0,102000.0
20130102:1100,10.4,83.0,175.0,27.96,164.0,4.05,1.45,20.0,101990.0
20130102:1200,10.77,80.1,171.0,34.94,158.0,6.35,2.34,28.0,101970.0
20130102:1300,11.13,77.3,71.0,0.0,71.0,6.55,3.24,27.0,101970.0
20130102:1400,11.42,77.3,99.0,74.06,84.0,-0.55,3.79,21.0,102090.0
20130102:1500,11.6,77.3,16.0,0.0,16.0,2.9,3.79,17.0,102130.0
20130102:1600,11.79,77.3,0.0,-0.0,0.0,1.5,3.66,26.0,102240.0
20130102:1700,11.92,77.3,0.0,-0.0,0.0,-4.8,3.59,37.0,102300.0
20130102:1800,11.74,77.3,0.0,-0.0,0.0,-0.55,3.93,49.0,102400.0
20130102:1900,11.57,77.3,0.0,-0.0,0.0,5.95,4.28,57.0,102490.0
20130102:2000,11.16,80.15,0.0,-0.0,0.0,-0.15,4.14,64.0,102560.0
20130102:2100,10.72,83.05,0.0,-0.0,0.0,2.7,4.07,72.0,102640.0
20130102:2200,11.33,86.15,0.0,-0.0,0.0,3.45,2.76,86.0,102760.0
20130102:2300,11.2,86.15,0.0,-0.0,0.0,-4.6,1.59,69.0,102800.0
20130103:0000,11.24,83.1,0.0,-0.0,0.0,7.9,1.45,40.0,102870.0
20130103:0100,11.13,83.1,0.0,-0.0,0.0,328.9,1.52,14.0,102930.0
20130103:0200,11.13,83.1,0.0,-0.0,0.0,4.6,2.41,338.0,103030.0
20130103:0300,11.3,83.1,0.0,-0.0,0.0,-1.7,3.24,328.0,103030.0
20130103:0400,11.36,80.15,0.0,-0.0,0.0,6.55,4.0,327.0,103060.0
20130103:0500,11.22,80.15,0.0,-0.0,0.0,3.85,4.55,327.0,103140.0
20130103:0600,10.95,80.1,0.0,-0.0,0.0,3.45,4.76,326.0,103200.0
20130103:0700,10.48,83.0,10.0,0.0,10.0,-8.1,4.83,323.0,103290.0
20130103:0800,10.1,83.0,58.0,5.1,57.0,0.35,4.76,316.0,103340.0
20130103:0900,9.71,86.0,79.0,0.0,79.0,-7.9,5.1,306.0,103390.0
20130103:1000,9.94,86.0,62.0,0.0,62.0,-11.2,6.62,303.0,103430.0
20130103:1100,9.89,86.0,76.0,0.0,76.0,6.55,5.79,308.0,103400.0
20130103:1200,10.05,82.95,136.0,8.02,133.0,1.35,4.97,317.0,103380.0
20130103:1300,10.29,80.05,137.0,32.36,127.0,-5.2,4.83,325.0,103350.0
20130103:1400,10.48,77.15,147.0,361.33,73.0,-0.35,4.34,326.0,103330.0
20130103:1500,10.62,74.45,33.0,175.73,21.0,-3.65,3.79,324.0,103330.0
20130103:1600,10.75,74.45,0.0,-0.0,0.0,-3.25,3.31,323.0,103360.0
20130103:1700,10.85,74.45,0.0,-0.0,0.0,-7.15,2.69,317.0,103380.0
20130103:1800,10.87,74.45,0.0,-0.0,0.0,-16.25,2.28,314.0,103380.0
20130103:1900,10.84,74.45,0.0,-0.0,0.0,-5.2,1.86,290.0,103360.0
20130103:2000,10.72,74.45,0.0,-0.0,0.0,-11.6,2.14,272.0,103330.0
20130103:2100,10.31,80.05,0.0,-0.0,0.0,1.5,2.28,273.0,103330.0
20130103:2200,9.96,86.0,0.0,-0.0,0.0,11.4,2.28,276.0,103380.0
20130103:2300,9.75,86.0,0.0,-0.0,0.0,0.15,2.48,270.0,103330.0
20130104:0000,9.23,92.45,0.0,-0.0,0.0,11.2,2.97,261.0,103300.0
20130104:0100,8.75,95.85,0.0,-0.0,0.0,303.95,3.17,249.0,103240.0
20130104:0200,8.27,95.85,0.0,-0.0,0.0,9.45,3.38,242.0,103170.0
20130104:0300,7.95,99.4,0.0,-0.0,0.0,-4.25,2.97,266.0,103140.0
20130104:0400,7.84,95.8,0.0,-0.0,0.0,-2.1,2.97,266.0,103070.0
