Latitude (decimal degrees): 45.053
Longitude (decimal degrees): 9.694
Elevation (m): 69.0
Irradiance Time Offset (h): 0.1761
month,year
1,2016
2,2006
3,2009
4,2021
5,2019
6,2016
7,2019
8,2012
9,2018
10,2020
11,2018
12,2012
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20160101:0000,1.33,90.86,0.0,-0.0,0.0,247.79,0.89,147.0,101340.0
20160101:0100,1.03,90.78,0.0,-0.0,0.0,248.29,0.87,158.0,101310.0
20160101:0200,0.72,90.7,0.0,-0.0,0.0,248.79,0.85,162.0,101290.0
20160101:0300,0.42,90.62,0.0,-0.0,0.0,249.29,0.84,163.0,101290.0
20160101:0400,0.12,90.54,0.0,-0.0,0.0,249.79,0.82,170.0,101280.0
20160101:0500,-0.18,90.46,0.0,-0.0,0.0,250.29,0.8,186.0,101290.0
20160101:0600,-0.49,90.39,0.0,-0.0,0.0,250.79,0.78,178.0,101300.0
20160101:0700,-0.79,90.31,0.0,0.0,0.0,251.29,0.77,218.0,101320.0
20160101:0800,0.31,88.5,78.0,90.86,64.0,240.15,0.55,222.0,101350.0
20160101:0900,1.44,92.05,122.0,37.67,112.0,239.0,0.21,292.0,101350.0
20160101:1000,3.84,79.15,119.0,2.94,118.0,238.2,0.28,351.0,101360.0
20160101:1100,5.1,76.3,133.0,5.37,131.0,245.95,0.28,61.0,101330.0
20160101:1200,5.96,70.85,139.0,8.32,136.0,249.85,0.76,74.0,101250.0
20160101:1300,6.42,68.3,127.0,19.65,121.0,249.45,1.24,79.0,101190.0
20160101:1400,6.43,68.3,100.0,57.01,88.0,252.55,1.38,81.0,101150.0
20160101:1500,5.77,73.65,36.0,84.93,29.0,255.85,1.31,72.0,101170.0
20160101:1600,4.39,79.2,0.0,-0.0,0.0,256.6,1.66,81.0,101160.0
20160101:1700,3.05,85.4,0.0,-0.0,0.0,260.65,1.45,106.0,101170.0
20160101:1800,1.81,88.65,0.0,-0.0,0.0,248.65,1.31,124.0,101140.0
20160101:1900,1.96,88.65,0.0,-0.0,0.0,275.2,1.03,99.0,101130.0
20160101:2000,2.14,85.35,0.0,-0.0,0.0,282.15,0.83,96.0,101130.0
20160101:2100,1.88,88.65,0.0,-0.0,0.0,276.95,0.97,112.0,101110.0
20160101:2200,1.53,92.05,0.0,-0.0,0.0,274.4,1.03,118.0,101060.0
20160101:2300,1.46,92.05,0.0,-0.0,0.0,275.0,0.97,122.0,101040.0
20160102:0000,1.37,92.05,0.0,-0.0,0.0,275.95,0.9,118.0,100960.0
20160102:0100,1.38,92.05,0.0,-0.0,0.0,293.7,0.9,117.0,100920.0
20160102:0200,1.03,95.65,0.0,-0.0,0.0,290.85,1.03,114.0,100840.0
20160102:0300,1.37,92.05,0.0,-0.0,0.0,310.2,0.97,107.0,100800.0
20160102:0400,1.43,92.05,0.0,-0.0,0.0,309.45,1.1,87.0,100720.0
20160102:0500,1.81,88.65,0.0,-0.0,0.0,318.95,1.17,79.0,100680.0
20160102:0600,1.92,92.1,0.0,-0.0,0.0,322.8,1.17,82.0,100650.0
20160102:0700,1.25,92.05,0.0,0.0,0.0,319.3,1.38,90.0,100660.0
20160102:0800,1.26,92.05,53.0,12.96,51.0,321.45,1.59,85.0,100660.0
20160102:0900,1.35,92.05,0.0,0.0,0.0,321.05,2.07,83.0,100610.0
20160102:1000,1.61,92.05,36.0,0.0,36.0,320.3,2.34,87.0,100580.0
20160102:1100,1.71,92.1,125.0,2.68,124.0,319.9,2.28,80.0,100520.0
20160102:1200,1.63,92.1,40.0,0.0,40.0,319.1,2.48,84.0,100390.0
20160102:1300,1.67,92.1,80.0,0.0,80.0,317.2,2.48,82.0,100320.0
20160102:1400,1.51,95.65,62.0,0.0,62.0,316.05,2.34,70.0,100260.0
20160102:1500,1.12,95.65,29.0,35.43,26.0,317.4,1.79,53.0,100260.0
20160102:1600,0.92,99.35,0.0,-0.0,0.0,317.55,1.66,58.0,100230.0
20160102:1700,0.89,95.65,0.0,-0.0,0.0,317.55,1.38,59.0,100210.0
20160102:1800,0.86,95.65,0.0,-0.0,0.0,317.4,1.17,51.0,100160.0
20160102:1900,0.51,95.65,0.0,-0.0,0.0,317.55,0.97,37.0,100100.0
20160102:2000,0.44,95.65,0.0,-0.0,0.0,315.05,1.1,12.0,100050.0
20160102:2100,0.33,95.65,0.0,-0.0,0.0,313.9,0.97,356.0,99990.0
20160102:2200,0.23,95.65,0.0,-0.0,0.0,305.55,1.03,334.0,99960.0
20160102:2300,0.14,95.65,0.0,-0.0,0.0,301.5,1.17,314.0,99920.0
20160103:0000,0.19,95.65,0.0,-0.0,0.0,304.4,1.1,286.0,99890.0
20160103:0100,0.41,95.65,0.0,-0.0,0.0,309.95,1.1,270.0,99860.0
20160103:0200,0.18,95.65,0.0,-0.0,0.0,303.45,1.03,275.0,99830.0
20160103:0300,-0.08,95.6,0.0,-0.0,0.0,292.6,1.1,274.0,99810.0
20160103:0400,-0.39,92.0,0.0,-0.0,0.0,287.2,1.24,266.0,99760.0
20160103:0500,-0.73,95.6,0.0,-0.0,0.0,279.85,1.52,260.0,99740.0
20160103:0600,-0.72,95.6,0.0,-0.0,0.0,287.6,1.59,259.0,99720.0
20160103:0700,-0.55,95.6,0.0,0.0,0.0,278.1,1.45,257.0,99660.0
20160103:0800,0.29,92.0,78.0,90.44,64.0,278.5,1.17,265.0,99690.0
20160103:0900,1.88,92.1,108.0,18.74,103.0,284.85,0.76,273.0,99710.0
20160103:1000,3.53,88.7,136.0,11.7,132.0,278.1,0.41,91.0,99690.0
20160103:1100,3.72,88.75,143.0,8.0,140.0,294.15,1.03,94.0,99680.0
20160103:1200,2.67,88.7,145.0,10.99,141.0,289.3,1.45,84.0,99640.0
20160103:1300,3.4,92.15,85.0,0.0,85.0,288.75,2.34,83.0,99560.0
20160103:1400,3.6,92.15,109.0,79.12,92.0,282.35,2.69,89.0,99520.0
20160103:1500,3.28,92.15,27.0,11.49,26.0,282.95,2.48,89.0,99520.0
20160103:1600,2.79,92.15,0.0,-0.0,0.0,288.75,2.48,92.0,99520.0
20160103:1700,2.47,95.7,0.0,-0.0,0.0,289.9,2.69,97.0,99490.0
20160103:1800,1.96,95.65,0.0,-0.0,0.0,270.55,2.48,102.0,99490.0
20160103:1900,1.61,95.65,0.0,-0.0,0.0,286.6,2.28,98.0,99430.0
20160103:2000,1.25,92.05,0.0,-0.0,0.0,284.3,2.34,99.0,99390.0
20160103:2100,1.3,92.05,0.0,-0.0,0.0,297.45,2.62,96.0,99290.0
20160103:2200,1.39,88.6,0.0,-0.0,0.0,304.2,2.69,97.0,99250.0
20160103:2300,1.65,85.3,0.0,-0.0,0.0,317.95,2.83,97.0,99170.0
20160104:0000,1.47,88.6,0.0,-0.0,0.0,320.1,2.9,97.0,99090.0
20160104:0100,1.1,92.05,0.0,-0.0,0.0,320.6,2.83,95.0,98980.0
20160104:0200,0.87,92.05,0.0,-0.0,0.0,318.15,2.9,91.0,98910.0
20160104:0300,0.66,92.05,0.0,-0.0,0.0,316.2,2.97,89.0,98790.0
20160104:0400,0.43,95.65,0.0,-0.0,0.0,313.3,0.0,0.0,98690.0
20160104:0500,0.26,92.0,0.0,-0.0,0.0,316.8,0.0,0.0,98680.0
20160104:0600,0.06,95.6,0.0,-0.0,0.0,315.05,2.07,83.0,98680.0
20160104:0700,0.38,92.0,0.0,0.0,0.0,319.1,1.31,92.0,98630.0
20160104:0800,0.56,95.65,55.0,12.88,53.0,316.4,0.76,107.0,98650.0
20160104:0900,0.94,92.05,136.0,63.5,119.0,310.6,1.1,103.0,98630.0
20160104:1000,1.5,88.6,93.0,0.0,93.0,306.55,0.62,81.0,98620.0
20160104:1100,2.18,85.35,102.0,0.0,102.0,318.75,0.34,44.0,98590.0
20160104:1200,2.66,82.2,126.0,2.73,125.0,312.15,0.34,13.0,98510.0
20160104:1300,2.88,82.2,86.0,0.0,86.0,297.85,0.62,340.0,98480.0
20160104:1400,2.35,85.35,82.0,13.81,79.0,305.75,0.9,345.0,98450.0
20160104:1500,2.07,88.65,63.0,447.0,23.0,303.25,0.97,327.0,98470.0
20160104:1600,3.1,85.4,0.0,-0.0,0.0,303.65,0.69,347.0,98470.0
20160104:1700,2.8,85.4,0.0,-0.0,0.0,288.55,0.28,306.0,98480.0
20160104:1800,2.61,88.65,0.0,-0.0,0.0,282.95,0.69,274.0,98510.0
20160104:1900,2.12,88.65,0.0,-0.0,0.0,283.3,0.34,245.0,98500.0
20160104:2000,1.91,88.65,0.0,-0.0,0.0,269.2,0.48,293.0,98510.0
20160104:2100,1.72,88.65,0.0,-0.0,0.0,282.95,0.28,299.0,98500.0
20160104:2200,1.44,92.05,0.0,-0.0,0.0,270.15,0.07,162.0,98510.0
20160104:2300,0.89,95.65,0.0,-0.0,0.0,265.9,0.41,135.0,98520.0
20160105:0000,0.61,92.05,0.0,-0.0,0.0,276.55,0.97,133.0,98500.0
20160105:0100,0.28,95.65,0.0,-0.0,0.0,295.25,1.03,130.0,98470.0
20160105:0200,-0.6,95.6,0.0,-0.0,0.0,306.55,1.17,129.0,98500.0
20160105:0300,-0.67,95.6,0.0,-0.0,0.0,307.1,1.17,107.0,98500.0
20160105:0400,-0.09,95.6,0.0,-0.0,0.0,312.75,1.38,93.0,98470.0
20160105:0500,0.24,95.65,0.0,-0.0,0.0,318.55,1.52,93.0,98480.0
20160105:0600,0.34,95.65,0.0,-0.0,0.0,320.3,1.38,85.0,98520.0
20160105:0700,0.59,99.4,0.0,0.0,0.0,323.0,2.0,87.0,98640.0
20160105:0800,0.73,95.65,110.0,339.79,57.0,323.2,1.79,93.0,98690.0
20160105:0900,1.03,99.35,53.0,0.0,53.0,322.05,1.66,93.0,98740.0
20160105:1000,1.48,95.65,54.0,0.0,54.0,324.75,1.38,89.0,98780.0
20160105:1100,1.7,92.1,231.0,126.87,183.0,326.65,1.24,79.0,98770.0
20160105:1200,2.0,95.65,35.0,0.0,35.0,319.3,0.97,65.0,98730.0
20160105:1300,2.58,92.15,101.0,3.19,100.0,318.15,0.9,67.0,98710.0
20160105:1400,3.18,88.7,23.0,0.0,23.0,320.65,0.83,86.0,98710.0
20160105:1500,3.23,88.7,24.0,0.0,24.0,321.45,0.9,105.0,98720.0
20160105:1600,3.08,88.7,0.0,-0.0,0.0,313.7,0.9,100.0,98730.0
20160105:1700,2.99,92.15,0.0,-0.0,0.0,305.95,0.97,77.0,98780.0
20160105:1800,2.84,92.15,0.0,-0.0,0.0,310.05,0.9,59.0,98800.0
20160105:1900,2.13,92.15,0.0,-0.0,0.0,292.6,0.62,50.0,98830.0
20160105:2000,1.93,95.65,0.0,-0.0,0.0,295.5,0.76,27.0,98850.0
20160105:2100,2.15,92.15,0.0,-0.0,0.0,306.55,0.62,40.0,98860.0
20160105:2200,2.5,92.15,0.0,-0.0,0.0,304.6,0.21,110.0,98860.0
20160105:2300,2.43,92.15,0.0,-0.0,0.0,311.4,0.48,205.0,98860.0
20160106:0000,2.07,95.65,0.0,-0.0,0.0,312.75,0.9,198.0,98830.0
20160106:0100,2.29,92.15,0.0,-0.0,0.0,312.85,0.69,216.0,98790.0
20160106:0200,2.4,92.15,0.0,-0.0,0.0,302.5,0.62,262.0,98790.0
20160106:0300,1.93,95.65,0.0,-0.0,0.0,299.0,0.76,296.0,98800.0
20160106:0400,2.07,95.65,0.0,-0.0,0.0,314.3,0.69,285.0,98790.0
20160106:0500,1.94,95.65,0.0,-0.0,0.0,309.05,0.9,264.0,98800.0
20160106:0600,1.9,95.65,0.0,-0.0,0.0,308.1,1.1,256.0,98790.0
20160106:0700,2.32,95.7,0.0,0.0,0.0,314.65,1.1,265.0,98800.0
20160106:0800,2.71,92.15,104.0,267.94,62.0,315.45,0.9,273.0,98800.0
20160106:0900,3.38,95.7,212.0,392.9,106.0,325.9,0.9,270.0,98840.0
20160106:1000,4.73,85.55,306.0,549.17,116.0,317.95,1.1,268.0,98850.0
20160106:1100,5.31,85.6,368.0,731.33,90.0,317.55,1.24,281.0,98850.0
20160106:1200,5.65,85.6,360.0,754.23,81.0,315.25,1.38,286.0,98790.0
20160106:1300,6.23,79.5,308.0,778.41,62.0,319.7,1.31,279.0,98760.0
20160106:1400,5.71,79.4,200.0,675.24,50.0,308.5,1.24,265.0,98740.0
20160106:1500,6.36,79.5,63.0,380.3,27.0,283.1,1.03,286.0,98760.0
20160106:1600,4.87,85.55,0.0,-0.0,0.0,274.8,1.38,297.0,98770.0
20160106:1700,3.64,88.75,0.0,-0.0,0.0,258.55,1.52,282.0,98770.0
20160106:1800,1.84,88.65,0.0,-0.0,0.0,248.1,1.72,256.0,98790.0
20160106:1900,-0.4,95.6,0.0,-0.0,0.0,236.5,2.28,248.0,98730.0
20160106:2000,-0.98,99.4,0.0,-0.0,0.0,234.15,2.34,249.0,98770.0
20160106:2100,-1.32,95.6,0.0,-0.0,0.0,234.35,2.21,243.0,98790.0
20160106:2200,-0.96,95.6,0.0,-0.0,0.0,232.6,2.0,234.0,98800.0
20160106:2300,-1.27,91.95,0.0,-0.0,0.0,232.4,1.86,244.0,98830.0
20160107:0000,-1.37,91.95,0.0,-0.0,0.0,230.65,1.72,250.0,98870.0
20160107:0100,-1.52,95.6,0.0,-0.0,0.0,231.35,1.72,245.0,98870.0
20160107:0200,-1.62,91.9,0.0,-0.0,0.0,230.5,1.66,238.0,98910.0
20160107:0300,-2.06,91.85,0.0,-0.0,0.0,233.4,1.79,242.0,98940.0
20160107:0400,-1.44,91.9,0.0,-0.0,0.0,239.0,1.45,248.0,98960.0
20160107:0500,-0.28,92.0,0.0,-0.0,0.0,259.5,1.03,249.0,98960.0
20160107:0600,-0.3,92.0,0.0,-0.0,0.0,264.15,0.97,231.0,98990.0
20160107:0700,0.19,88.5,0.0,0.0,0.0,272.65,0.83,240.0,99040.0
20160107:0800,0.88,88.55,88.0,133.22,67.0,282.15,0.76,229.0,99060.0
20160107:0900,2.57,92.15,133.0,51.66,119.0,289.5,0.41,218.0,99060.0
20160107:1000,5.3,85.6,152.0,23.02,144.0,267.85,0.07,255.0,99080.0
20160107:1100,6.55,82.55,194.0,52.35,174.0,293.0,0.41,73.0,99000.0
20160107:1200,7.56,76.7,180.0,40.31,165.0,291.65,0.48,55.0,98910.0
20160107:1300,7.97,76.8,113.0,6.28,111.0,300.15,0.76,44.0,98860.0
20160107:1400,7.53,79.65,95.0,31.14,88.0,299.2,1.17,47.0,98830.0
20160107:1500,7.39,82.65,70.0,472.35,24.0,314.65,1.17,24.0,98860.0
20160107:1600,6.24,88.95,0.0,-0.0,0.0,311.55,0.9,0.0,98930.0
20160107:1700,5.7,88.9,0.0,-0.0,0.0,323.4,0.76,314.0,99000.0
20160107:1800,5.18,92.25,0.0,-0.0,0.0,328.4,0.9,227.0,99050.0
20160107:1900,5.16,92.25,0.0,-0.0,0.0,323.4,0.69,211.0,99060.0
20160107:2000,4.43,95.75,0.0,-0.0,0.0,326.3,1.24,222.0,99070.0
20160107:2100,4.28,95.75,0.0,-0.0,0.0,320.85,1.45,230.0,99090.0
20160107:2200,3.47,99.4,0.0,-0.0,0.0,294.75,1.79,243.0,99120.0
20160107:2300,2.8,92.15,0.0,-0.0,0.0,286.6,1.52,262.0,99160.0
20160108:0000,2.23,95.7,0.0,-0.0,0.0,274.05,1.31,277.0,99170.0
20160108:0100,1.44,95.65,0.0,-0.0,0.0,254.4,1.24,265.0,99190.0
20160108:0200,1.42,95.65,0.0,-0.0,0.0,252.15,1.17,242.0,99230.0
20160108:0300,0.09,95.6,0.0,-0.0,0.0,250.6,1.72,212.0,99250.0
20160108:0400,-0.07,95.6,0.0,-0.0,0.0,265.3,1.79,200.0,99290.0
20160108:0500,0.61,92.05,0.0,-0.0,0.0,283.9,1.38,179.0,99330.0
20160108:0600,1.17,92.05,0.0,-0.0,0.0,289.1,1.03,125.0,99350.0
20160108:0700,0.52,95.65,0.0,0.0,0.0,291.65,0.97,134.0,99410.0
20160108:0800,1.1,95.65,78.0,81.95,65.0,296.3,1.03,102.0,99470.0
20160108:0900,2.52,95.7,104.0,11.02,101.0,300.75,1.38,78.0,99540.0
20160108:1000,3.8,92.15,181.0,63.0,159.0,307.5,1.59,88.0,99580.0
20160108:1100,5.01,88.85,181.0,36.45,167.0,302.65,1.72,87.0,99590.0
20160108:1200,5.64,88.85,190.0,56.08,169.0,298.6,1.93,86.0,99550.0
20160108:1300,6.02,82.5,117.0,6.23,115.0,312.35,1.86,95.0,99520.0
20160108:1400,6.21,79.5,56.0,0.0,56.0,316.8,1.79,88.0,99550.0
20160108:1500,5.94,82.5,20.0,0.0,20.0,316.2,1.52,83.0,99530.0
20160108:1600,5.34,85.6,0.0,-0.0,0.0,323.2,1.24,80.0,99570.0
20160108:1700,5.02,88.85,0.0,-0.0,0.0,333.25,1.1,84.0,99600.0
20160108:1800,4.78,88.85,0.0,-0.0,0.0,331.3,0.9,72.0,99620.0
20160108:1900,4.2,92.2,0.0,-0.0,0.0,336.55,0.55,62.0,99630.0
20160108:2000,4.14,92.2,0.0,-0.0,0.0,334.0,0.55,38.0,99640.0
20160108:2100,4.05,99.4,0.0,-0.0,0.0,334.6,0.41,31.0,99600.0
20160108:2200,4.07,99.4,0.0,-0.0,0.0,335.75,0.34,346.0,99610.0
20160108:2300,4.07,99.4,0.0,-0.0,0.0,337.7,0.28,295.0,99610.0
20160109:0000,4.02,99.4,0.0,-0.0,0.0,335.4,0.34,273.0,99580.0
20160109:0100,4.0,99.4,0.0,-0.0,0.0,337.4,0.41,270.0,99550.0
20160109:0200,4.11,99.4,0.0,-0.0,0.0,339.25,0.41,260.0,99530.0
20160109:0300,4.17,95.75,0.0,-0.0,0.0,338.3,0.48,266.0,99510.0
20160109:0400,4.21,95.75,0.0,-0.0,0.0,335.55,0.55,264.0,99480.0
20160109:0500,4.21,95.75,0.0,-0.0,0.0,334.8,0.34,247.0,99470.0
20160109:0600,4.29,95.75,0.0,-0.0,0.0,334.6,0.07,251.0,99450.0
20160109:0700,3.68,95.7,0.0,0.0,0.0,337.1,0.21,100.0,99480.0
20160109:0800,3.88,95.7,65.0,31.3,60.0,338.65,0.07,112.0,99490.0
20160109:0900,4.06,99.4,64.0,0.0,64.0,338.3,0.34,36.0,99500.0
20160109:1000,4.22,95.75,41.0,0.0,41.0,340.8,0.34,31.0,99470.0
20160109:1100,4.39,95.75,54.0,0.0,54.0,341.95,0.41,27.0,99430.0
20160109:1200,4.71,95.75,70.0,0.0,70.0,342.75,0.55,19.0,99330.0
20160109:1300,4.78,95.75,56.0,0.0,56.0,342.15,0.48,12.0,99290.0
20160109:1400,4.9,95.75,36.0,0.0,36.0,341.0,0.48,8.0,99260.0
20160109:1500,4.77,95.75,17.0,0.0,17.0,340.4,0.34,0.0,99250.0
20160109:1600,4.63,99.4,0.0,-0.0,0.0,342.95,0.34,310.0,99250.0
20160109:1700,4.51,99.4,0.0,-0.0,0.0,342.35,0.07,258.0,99220.0
20160109:1800,4.5,99.4,0.0,-0.0,0.0,341.75,0.34,264.0,99220.0
20160109:1900,4.31,99.4,0.0,-0.0,0.0,338.5,0.41,252.0,99220.0
20160109:2000,4.38,99.4,0.0,-0.0,0.0,339.65,0.48,224.0,99190.0
20160109:2100,4.52,99.4,0.0,-0.0,0.0,339.05,0.48,229.0,99190.0
20160109:2200,4.71,95.75,0.0,-0.0,0.0,339.45,0.41,250.0,99180.0
20160109:2300,4.69,99.4,0.0,-0.0,0.0,333.45,0.55,297.0,99160.0
20160110:0000,4.78,99.4,0.0,-0.0,0.0,338.65,0.9,309.0,99120.0
20160110:0100,5.03,99.4,0.0,-0.0,0.0,340.7,0.55,329.0,99060.0
20160110:0200,5.04,99.4,0.0,-0.0,0.0,333.25,0.41,316.0,99030.0
20160110:0300,4.95,99.4,0.0,-0.0,0.0,336.35,0.83,280.0,99030.0
20160110:0400,4.82,99.4,0.0,-0.0,0.0,335.4,0.76,275.0,99010.0
