Latitude (decimal degrees): 43.723
Longitude (decimal degrees): 10.402
Elevation (m): 7.0
Irradiance Time Offset (h): 0.1746
month,year
1,2016
2,2016
3,2015
4,2006
5,2015
6,2010
7,2010
8,2014
9,2011
10,2010
11,2008
12,2015
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20160101:0000,4.01,86.36,0.0,-0.0,0.0,288.29,1.37,74.0,102070.0
20160101:0100,3.63,87.23,0.0,-0.0,0.0,286.93,1.36,82.0,102050.0
20160101:0200,3.25,88.1,0.0,-0.0,0.0,285.57,1.36,86.0,102050.0
20160101:0300,2.88,88.96,0.0,-0.0,0.0,284.21,1.35,86.0,102030.0
20160101:0400,2.5,89.83,0.0,-0.0,0.0,282.85,1.35,82.0,102010.0
20160101:0500,2.12,90.7,0.0,-0.0,0.0,281.49,1.34,82.0,102020.0
20160101:0600,1.75,91.56,0.0,-0.0,0.0,280.12,1.34,91.0,102030.0
20160101:0700,1.37,92.43,10.0,0.0,10.0,278.76,1.33,92.0,102070.0
20160101:0800,2.37,88.65,146.0,544.27,50.0,267.65,1.38,98.0,102110.0
20160101:0900,4.7,82.35,262.0,630.25,80.0,271.3,1.59,102.0,102090.0
20160101:1000,6.42,73.7,350.0,724.36,87.0,266.85,1.45,99.0,102110.0
20160101:1100,7.75,66.05,387.0,760.99,87.0,267.25,1.45,103.0,102110.0
20160101:1200,8.81,59.15,368.0,734.03,89.0,268.4,1.52,104.0,102030.0
20160101:1300,9.32,57.05,299.0,677.75,81.0,264.35,1.86,103.0,101980.0
20160101:1400,9.44,59.25,184.0,507.0,71.0,263.75,1.86,108.0,101930.0
20160101:1500,8.88,63.8,45.0,143.64,32.0,262.05,1.52,114.0,101960.0
20160101:1600,7.69,68.6,0.0,-0.0,0.0,258.15,1.66,104.0,101940.0
20160101:1700,6.16,76.55,0.0,-0.0,0.0,256.4,1.72,94.0,101950.0
20160101:1800,4.76,82.35,0.0,-0.0,0.0,251.75,1.72,84.0,101930.0
20160101:1900,4.05,88.75,0.0,-0.0,0.0,268.4,1.72,79.0,101910.0
20160101:2000,3.48,88.7,0.0,-0.0,0.0,269.75,1.59,69.0,101920.0
20160101:2100,3.09,88.7,0.0,-0.0,0.0,280.05,1.72,67.0,101900.0
20160101:2200,3.16,85.4,0.0,-0.0,0.0,290.85,1.79,71.0,101840.0
20160101:2300,3.44,85.4,0.0,-0.0,0.0,298.2,1.86,71.0,101810.0
20160102:0000,3.74,82.25,0.0,-0.0,0.0,306.15,1.86,70.0,101720.0
20160102:0100,4.4,82.3,0.0,-0.0,0.0,329.1,1.93,69.0,101660.0
20160102:0200,4.73,79.3,0.0,-0.0,0.0,329.95,2.0,70.0,101570.0
20160102:0300,5.22,79.35,0.0,-0.0,0.0,342.35,2.07,70.0,101520.0
20160102:0400,5.57,85.6,0.0,-0.0,0.0,342.95,2.21,71.0,101430.0
20160102:0500,5.95,85.65,0.0,-0.0,0.0,345.45,2.28,72.0,101360.0
20160102:0600,6.16,92.3,0.0,-0.0,0.0,346.4,2.41,72.0,101310.0
20160102:0700,6.08,92.3,0.0,0.0,0.0,344.65,2.69,76.0,101320.0
20160102:0800,6.46,92.3,66.0,16.98,63.0,344.3,2.62,76.0,101300.0
20160102:0900,7.0,92.35,0.0,0.0,0.0,348.55,2.69,74.0,101220.0
20160102:1000,7.55,92.35,46.0,0.0,46.0,350.5,2.69,79.0,101170.0
20160102:1100,8.36,92.4,57.0,0.0,57.0,344.5,2.55,80.0,101060.0
20160102:1200,8.71,92.45,39.0,0.0,39.0,351.85,2.34,77.0,100930.0
20160102:1300,8.87,92.45,36.0,0.0,36.0,354.55,2.21,72.0,100860.0
20160102:1400,8.94,95.85,17.0,0.0,17.0,351.85,1.93,75.0,100780.0
20160102:1500,8.93,95.85,43.0,107.79,33.0,357.45,1.79,73.0,100740.0
20160102:1600,8.65,95.85,0.0,-0.0,0.0,352.2,1.93,78.0,100700.0
20160102:1700,8.49,95.85,0.0,-0.0,0.0,351.65,1.72,85.0,100660.0
20160102:1800,8.55,95.85,0.0,-0.0,0.0,358.6,1.52,95.0,100600.0
20160102:1900,8.64,95.85,0.0,-0.0,0.0,356.85,0.62,99.0,100480.0
20160102:2000,8.49,92.4,0.0,-0.0,0.0,354.75,0.21,51.0,100420.0
20160102:2100,8.12,95.8,0.0,-0.0,0.0,343.5,0.28,69.0,100370.0
20160102:2200,7.65,99.4,0.0,-0.0,0.0,342.15,0.41,172.0,100330.0
20160102:2300,7.71,95.8,0.0,-0.0,0.0,342.95,0.41,210.0,100290.0
20160103:0000,7.86,92.4,0.0,-0.0,0.0,324.15,0.21,41.0,100270.0
20160103:0100,7.27,92.35,0.0,-0.0,0.0,327.35,0.55,50.0,100240.0
20160103:0200,6.66,95.8,0.0,-0.0,0.0,317.55,0.62,90.0,100200.0
20160103:0300,5.97,95.75,0.0,-0.0,0.0,322.6,0.97,83.0,100200.0
20160103:0400,5.61,95.75,0.0,-0.0,0.0,314.5,1.59,59.0,100190.0
20160103:0500,5.27,95.75,0.0,-0.0,0.0,308.1,1.66,72.0,100260.0
20160103:0600,4.96,95.75,0.0,-0.0,0.0,307.3,1.31,101.0,100290.0
20160103:0700,5.36,92.25,9.0,0.0,9.0,311.95,1.31,67.0,100220.0
20160103:0800,5.74,95.75,154.0,632.6,42.0,307.7,0.83,77.0,100270.0
20160103:0900,7.05,89.0,270.0,696.31,68.0,294.35,0.76,91.0,100340.0
20160103:1000,8.17,82.7,357.0,769.63,76.0,292.2,1.1,116.0,100370.0
20160103:1100,9.24,74.2,398.0,813.68,75.0,293.0,1.24,148.0,100380.0
20160103:1200,9.8,74.3,378.0,782.3,78.0,288.55,1.17,177.0,100380.0
20160103:1300,10.15,74.3,308.0,724.82,72.0,286.2,1.1,155.0,100320.0
20160103:1400,10.26,71.7,199.0,629.26,56.0,291.85,1.66,138.0,100280.0
20160103:1500,9.73,74.3,61.0,336.35,29.0,270.15,1.72,150.0,100280.0
20160103:1600,8.59,82.75,0.0,-0.0,0.0,268.8,1.79,147.0,100300.0
20160103:1700,7.69,82.7,0.0,-0.0,0.0,283.9,2.0,119.0,100290.0
20160103:1800,6.84,85.75,0.0,-0.0,0.0,274.4,2.07,106.0,100280.0
20160103:1900,6.31,82.55,0.0,-0.0,0.0,278.5,1.86,110.0,100230.0
20160103:2000,5.52,88.85,0.0,-0.0,0.0,286.6,1.31,97.0,100220.0
20160103:2100,5.51,85.6,0.0,-0.0,0.0,305.0,1.24,94.0,100150.0
20160103:2200,6.16,79.5,0.0,-0.0,0.0,316.4,0.83,94.0,100080.0
20160103:2300,6.12,79.4,0.0,-0.0,0.0,312.35,0.55,87.0,100040.0
20160104:0000,5.78,85.65,0.0,-0.0,0.0,327.45,0.83,100.0,99970.0
20160104:0100,5.73,88.9,0.0,-0.0,0.0,332.4,0.97,97.0,99850.0
20160104:0200,5.86,88.9,0.0,-0.0,0.0,335.0,1.24,105.0,99780.0
20160104:0300,5.77,88.9,0.0,-0.0,0.0,336.55,1.59,99.0,99630.0
20160104:0400,5.86,88.9,0.0,-0.0,0.0,336.95,0.0,0.0,99460.0
20160104:0500,6.16,88.95,0.0,-0.0,0.0,337.7,0.0,0.0,99350.0
20160104:0600,6.45,92.3,0.0,-0.0,0.0,341.0,1.03,100.0,99280.0
20160104:0700,6.67,92.35,2.0,0.0,2.0,341.95,0.83,72.0,99240.0
20160104:0800,7.36,89.0,64.0,16.9,61.0,339.45,0.07,60.0,99230.0
20160104:0900,7.88,92.4,33.0,0.0,33.0,341.4,0.55,304.0,99230.0
20160104:1000,8.85,92.45,32.0,0.0,32.0,339.65,0.69,300.0,99220.0
20160104:1100,10.04,89.2,209.0,62.73,184.0,330.95,1.17,282.0,99200.0
20160104:1200,11.32,86.15,204.0,67.47,178.0,329.4,1.72,268.0,99120.0
20160104:1300,11.55,86.15,184.0,97.64,152.0,318.55,2.34,267.0,99090.0
20160104:1400,11.7,83.1,104.0,43.56,94.0,310.4,2.07,263.0,99080.0
20160104:1500,11.2,83.05,45.0,92.22,36.0,316.4,1.66,261.0,99090.0
20160104:1600,10.46,86.05,0.0,-0.0,0.0,324.15,1.52,245.0,99130.0
20160104:1700,9.64,89.15,0.0,-0.0,0.0,313.1,1.66,240.0,99160.0
20160104:1800,8.79,89.1,0.0,-0.0,0.0,300.15,1.66,256.0,99190.0
20160104:1900,9.19,89.15,0.0,-0.0,0.0,304.05,0.55,100.0,99180.0
20160104:2000,8.34,92.4,0.0,-0.0,0.0,299.75,0.83,133.0,99200.0
20160104:2100,8.0,92.4,0.0,-0.0,0.0,311.2,0.9,158.0,99220.0
20160104:2200,8.92,89.1,0.0,-0.0,0.0,303.05,0.41,135.0,99260.0
20160104:2300,8.95,89.1,0.0,-0.0,0.0,311.55,0.34,70.0,99270.0
20160105:0000,9.01,89.1,0.0,-0.0,0.0,327.25,0.34,119.0,99260.0
20160105:0100,8.48,89.1,0.0,-0.0,0.0,321.35,0.83,204.0,99260.0
20160105:0200,8.08,92.4,0.0,-0.0,0.0,328.8,1.52,227.0,99270.0
20160105:0300,8.42,92.4,0.0,-0.0,0.0,338.3,1.79,233.0,99240.0
20160105:0400,8.88,92.45,0.0,-0.0,0.0,341.75,1.72,223.0,99180.0
20160105:0500,9.06,92.45,0.0,-0.0,0.0,343.5,1.93,208.0,99180.0
20160105:0600,9.33,92.45,0.0,-0.0,0.0,341.95,2.48,214.0,99210.0
20160105:0700,9.12,92.45,9.0,0.0,9.0,338.3,1.17,209.0,99320.0
20160105:0800,9.22,92.45,79.0,44.9,71.0,346.2,1.45,203.0,99370.0
20160105:0900,10.15,95.9,120.0,20.55,114.0,341.55,1.17,204.0,99400.0
20160105:1000,11.43,89.3,236.0,160.49,177.0,347.55,1.17,208.0,99400.0
20160105:1100,12.12,89.35,133.0,2.5,132.0,335.0,1.38,218.0,99360.0
20160105:1200,12.68,86.25,160.0,15.49,154.0,336.95,2.41,228.0,99310.0
20160105:1300,12.22,83.25,180.0,84.85,152.0,335.75,2.76,239.0,99290.0
20160105:1400,12.05,83.15,135.0,137.92,103.0,339.05,2.83,246.0,99290.0
20160105:1500,11.75,83.15,62.0,289.59,33.0,317.4,2.41,244.0,99340.0
20160105:1600,11.13,86.1,0.0,-0.0,0.0,320.1,2.0,245.0,99380.0
20160105:1700,10.35,89.25,0.0,-0.0,0.0,310.6,1.45,242.0,99430.0
20160105:1800,10.13,89.2,0.0,-0.0,0.0,313.3,0.9,228.0,99450.0
20160105:1900,8.71,92.45,0.0,-0.0,0.0,299.55,1.17,179.0,99490.0
20160105:2000,8.46,95.85,0.0,-0.0,0.0,304.05,1.1,169.0,99500.0
20160105:2100,8.28,95.85,0.0,-0.0,0.0,310.2,1.03,163.0,99520.0
20160105:2200,8.34,95.85,0.0,-0.0,0.0,293.95,0.83,151.0,99530.0
20160105:2300,7.73,95.8,0.0,-0.0,0.0,307.1,0.41,153.0,99540.0
20160106:0000,7.19,95.8,0.0,-0.0,0.0,325.7,0.28,88.0,99530.0
20160106:0100,6.68,95.8,0.0,-0.0,0.0,322.5,0.62,80.0,99490.0
20160106:0200,5.98,99.4,0.0,-0.0,0.0,320.85,0.48,137.0,99500.0
20160106:0300,5.59,99.4,0.0,-0.0,0.0,323.75,0.21,138.0,99500.0
20160106:0400,5.33,99.4,0.0,-0.0,0.0,325.1,0.34,27.0,99480.0
20160106:0500,5.28,99.4,0.0,-0.0,0.0,323.2,0.55,66.0,99490.0
20160106:0600,5.09,99.4,0.0,-0.0,0.0,316.05,1.03,90.0,99470.0
20160106:0700,6.15,95.75,5.0,0.0,5.0,319.7,1.31,94.0,99380.0
20160106:0800,6.02,99.4,29.0,0.0,29.0,303.25,1.17,116.0,99410.0
20160106:0900,7.3,95.8,65.0,0.0,65.0,315.45,0.69,124.0,99450.0
20160106:1000,8.33,92.4,158.0,18.97,151.0,309.45,0.34,153.0,99480.0
20160106:1100,9.55,85.95,270.0,186.59,195.0,304.6,0.48,213.0,99490.0
20160106:1200,10.11,77.1,285.0,264.49,182.0,303.25,0.55,247.0,99450.0
20160106:1300,10.58,71.7,35.0,0.0,35.0,311.75,1.1,270.0,99430.0
20160106:1400,10.17,77.1,216.0,711.97,49.0,304.8,1.24,260.0,99470.0
20160106:1500,9.8,79.95,68.0,360.01,31.0,306.35,1.1,245.0,99500.0
20160106:1600,9.09,85.95,0.0,-0.0,0.0,302.65,1.1,248.0,99520.0
20160106:1700,7.95,89.05,0.0,-0.0,0.0,282.55,0.97,258.0,99530.0
20160106:1800,8.48,82.75,0.0,-0.0,0.0,275.0,0.62,261.0,99550.0
20160106:1900,7.02,95.8,0.0,-0.0,0.0,278.1,0.83,89.0,99520.0
20160106:2000,5.81,95.75,0.0,-0.0,0.0,274.6,0.97,76.0,99560.0
20160106:2100,4.61,99.4,0.0,-0.0,0.0,268.6,1.17,64.0,99600.0
20160106:2200,4.12,99.4,0.0,-0.0,0.0,288.55,1.17,58.0,99640.0
20160106:2300,4.11,99.4,0.0,-0.0,0.0,292.8,1.1,63.0,99650.0
20160107:0000,4.46,95.75,0.0,-0.0,0.0,299.6,1.03,68.0,99710.0
20160107:0100,4.55,95.75,0.0,-0.0,0.0,290.2,0.97,78.0,99720.0
20160107:0200,4.11,95.7,0.0,-0.0,0.0,283.1,1.17,85.0,99790.0
20160107:0300,3.15,95.7,0.0,-0.0,0.0,269.6,1.45,89.0,99820.0
20160107:0400,2.82,95.7,0.0,-0.0,0.0,280.8,1.66,85.0,99870.0
20160107:0500,3.05,95.7,0.0,-0.0,0.0,289.9,1.79,88.0,99860.0
20160107:0600,3.53,99.4,0.0,-0.0,0.0,301.7,1.79,86.0,99920.0
20160107:0700,3.03,95.7,9.0,0.0,9.0,298.4,1.59,84.0,100040.0
20160107:0800,3.8,95.7,107.0,166.87,77.0,325.3,2.0,90.0,100010.0
20160107:0900,5.15,88.85,96.0,3.4,95.0,309.85,2.48,92.0,100060.0
20160107:1000,6.58,88.95,228.0,132.21,179.0,318.15,2.28,96.0,100040.0
20160107:1100,8.08,85.85,337.0,433.33,162.0,315.85,2.14,107.0,99990.0
20160107:1200,9.45,79.9,93.0,0.0,93.0,312.15,1.1,148.0,99900.0
