Latitude (decimal degrees): 43.933
Longitude (decimal degrees): 10.917
Elevation (m): 77.0
Irradiance Time Offset (h): 0.1748
month,year
1,2014
2,2008
3,2019
4,2005
5,2022
6,2020
7,2009
8,2023
9,2015
10,2010
11,2022
12,2009
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20140101:0000,3.56,96.36,0.0,-0.0,0.0,283.55,1.29,19.0,99070.0
20140101:0100,2.51,95.85,0.0,-0.0,0.0,273.61,1.26,13.0,99060.0
20140101:0200,1.46,95.34,0.0,-0.0,0.0,263.67,1.23,19.0,99070.0
20140101:0300,0.41,94.83,0.0,-0.0,0.0,253.73,1.2,27.0,99050.0
20140101:0400,-0.65,94.32,0.0,-0.0,0.0,243.78,1.17,25.0,99020.0
20140101:0500,-1.7,93.81,0.0,-0.0,0.0,233.84,1.14,20.0,99020.0
20140101:0600,-2.75,93.3,0.0,-0.0,0.0,223.9,1.11,20.0,99050.0
20140101:0700,-3.8,92.79,9.0,0.0,9.0,213.96,1.08,20.0,99070.0
20140101:0800,0.35,95.6,140.0,448.92,60.0,235.5,0.9,22.0,99110.0
20140101:0900,3.49,88.75,263.0,626.29,82.0,237.65,0.41,40.0,99120.0
20140101:1000,6.36,76.55,354.0,749.4,83.0,243.25,0.21,114.0,99090.0
20140101:1100,7.63,71.25,383.0,738.91,94.0,245.6,0.48,177.0,99070.0
20140101:1200,8.36,68.7,371.0,772.35,81.0,248.85,0.76,191.0,99000.0
20140101:1300,8.69,66.25,301.0,725.22,72.0,251.4,0.97,191.0,98970.0
20140101:1400,8.53,66.25,189.0,620.21,55.0,252.35,1.1,192.0,98960.0
20140101:1500,7.82,71.25,54.0,348.81,25.0,249.65,0.97,197.0,98990.0
20140101:1600,6.5,76.65,0.0,-0.0,0.0,248.85,0.69,197.0,99030.0
20140101:1700,6.34,79.5,0.0,-0.0,0.0,249.85,0.34,164.0,99050.0
20140101:1800,5.79,82.5,0.0,-0.0,0.0,248.85,0.34,80.0,99090.0
20140101:1900,5.33,85.6,0.0,-0.0,0.0,247.7,0.48,55.0,99080.0
20140101:2000,4.57,85.55,0.0,-0.0,0.0,253.5,0.9,66.0,99080.0
20140101:2100,3.87,88.75,0.0,-0.0,0.0,248.5,0.9,48.0,99070.0
20140101:2200,3.4,92.15,0.0,-0.0,0.0,245.75,0.83,31.0,99090.0
20140101:2300,3.07,88.7,0.0,-0.0,0.0,257.75,0.83,33.0,99040.0
20140102:0000,2.89,92.15,0.0,-0.0,0.0,242.5,0.69,34.0,99000.0
20140102:0100,2.93,92.15,0.0,-0.0,0.0,260.0,0.62,43.0,98940.0
20140102:0200,3.02,88.7,0.0,-0.0,0.0,278.1,0.41,56.0,98950.0
20140102:0300,3.08,88.7,0.0,-0.0,0.0,286.8,0.28,79.0,98920.0
20140102:0400,2.98,88.7,0.0,-0.0,0.0,286.4,0.41,99.0,98870.0
20140102:0500,2.94,85.4,0.0,-0.0,0.0,283.9,0.62,96.0,98850.0
20140102:0600,2.82,88.65,0.0,-0.0,0.0,289.5,0.76,97.0,98830.0
20140102:0700,3.51,79.15,7.0,0.0,7.0,319.9,0.76,110.0,98850.0
20140102:0800,3.59,82.25,62.0,11.2,60.0,326.1,0.69,116.0,98820.0
20140102:0900,4.28,88.8,50.0,0.0,50.0,331.9,0.48,130.0,98840.0
20140102:1000,5.36,85.6,144.0,13.79,139.0,335.2,0.69,138.0,98800.0
