Latitude (decimal degrees): 45.956
Longitude (decimal degrees): 12.660
Elevation (m): 29.0
Irradiance Time Offset (h): 0.1771
month,year
1,2019
2,2022
3,2011
4,2020
5,2008
6,2014
7,2022
8,2016
9,2010
10,2015
11,2022
12,2015
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20190101:0000,4.09,73.04,0.0,-0.0,0.0,280.26,0.38,134.0,103160.0
20190101:0100,4.37,74.21,0.0,-0.0,0.0,283.28,0.37,130.0,103190.0
20190101:0200,4.65,75.39,0.0,-0.0,0.0,286.3,0.35,103.0,103190.0
20190101:0300,4.93,76.56,0.0,-0.0,0.0,289.32,0.33,332.0,103160.0
20190101:0400,5.2,77.74,0.0,-0.0,0.0,292.34,0.31,293.0,103110.0
20190101:0500,5.48,78.91,0.0,-0.0,0.0,295.36,0.29,295.0,103100.0
20190101:0600,5.76,80.08,0.0,-0.0,0.0,298.38,0.28,300.0,103070.0
20190101:0700,6.03,81.26,7.0,0.0,7.0,301.41,0.26,328.0,103130.0
20190101:0800,4.58,79.3,133.0,502.23,49.0,301.5,0.55,298.0,103090.0
20190101:0900,5.36,85.6,260.0,792.06,46.0,309.45,0.28,226.0,103030.0
20190101:1000,6.55,76.55,307.0,637.76,93.0,294.75,0.9,194.0,102930.0
20190101:1100,7.41,73.9,325.0,601.83,109.0,287.6,1.59,207.0,102780.0
20190101:1200,7.87,73.95,280.0,445.88,129.0,286.6,1.93,210.0,102710.0
20190101:1300,7.92,73.95,206.0,333.12,114.0,294.55,1.93,206.0,102600.0
20190101:1400,7.7,76.7,66.0,17.07,63.0,305.75,1.66,200.0,102540.0
20190101:1500,7.08,79.55,11.0,22.64,10.0,310.05,1.31,175.0,102510.0
20190101:1600,6.22,85.65,0.0,-0.0,0.0,312.55,1.24,170.0,102450.0
20190101:1700,5.1,92.25,0.0,-0.0,0.0,300.75,1.1,170.0,102410.0
20190101:1800,5.25,88.85,0.0,-0.0,0.0,292.4,0.76,166.0,102370.0
20190101:1900,4.48,85.55,0.0,-0.0,0.0,275.75,0.34,138.0,102290.0
20190101:2000,4.07,88.8,0.0,-0.0,0.0,271.3,0.62,72.0,102230.0
20190101:2100,3.63,92.15,0.0,-0.0,0.0,268.2,0.76,58.0,102150.0
20190101:2200,3.43,88.75,0.0,-0.0,0.0,273.85,0.83,52.0,102070.0
20190101:2300,3.55,88.75,0.0,-0.0,0.0,275.0,0.62,44.0,102000.0
20190102:0000,3.52,88.75,0.0,-0.0,0.0,268.8,0.62,20.0,101960.0
20190102:0100,3.64,92.15,0.0,-0.0,0.0,261.15,0.62,341.0,101910.0
20190102:0200,3.51,88.75,0.0,-0.0,0.0,259.3,0.83,315.0,101890.0
20190102:0300,2.93,88.7,0.0,-0.0,0.0,242.65,1.1,313.0,101820.0
20190102:0400,1.81,88.65,0.0,-0.0,0.0,247.9,1.24,309.0,101800.0
20190102:0500,1.45,88.6,0.0,-0.0,0.0,247.3,1.31,313.0,101810.0
20190102:0600,0.25,88.5,0.0,-0.0,0.0,252.35,1.72,332.0,101880.0
20190102:0700,-1.05,85.0,9.0,0.0,9.0,242.1,2.14,333.0,101960.0
20190102:0800,0.33,81.9,140.0,554.77,47.0,237.65,1.79,334.0,102070.0
20190102:0900,4.7,70.7,252.0,682.94,67.0,231.85,1.45,329.0,102100.0
20190102:1000,8.42,50.6,341.0,840.77,58.0,231.25,1.66,325.0,102090.0
20190102:1100,9.59,31.7,349.0,718.87,90.0,232.4,2.41,326.0,102090.0
20190102:1200,9.85,29.35,186.0,73.45,161.0,233.75,2.34,321.0,102020.0
20190102:1300,9.83,29.35,280.0,859.3,41.0,234.75,1.93,312.0,102030.0
20190102:1400,9.27,31.7,122.0,281.08,72.0,238.4,1.79,310.0,102040.0
20190102:1500,7.6,38.1,14.0,43.07,12.0,235.5,1.79,323.0,102090.0
20190102:1600,6.6,32.15,0.0,-0.0,0.0,231.85,1.52,334.0,102160.0
20190102:1700,6.21,29.45,0.0,-0.0,0.0,226.05,1.52,332.0,102250.0
20190102:1800,4.04,32.9,0.0,-0.0,0.0,225.05,1.72,326.0,102320.0
20190102:1900,1.6,45.0,0.0,-0.0,0.0,225.05,1.93,1.0,102350.0
20190102:2000,1.37,45.0,0.0,-0.0,0.0,225.65,1.79,360.0,102450.0
20190102:2100,0.86,46.75,0.0,-0.0,0.0,223.7,1.79,351.0,102500.0
20190102:2200,1.88,39.9,0.0,-0.0,0.0,222.55,1.59,340.0,102550.0
20190102:2300,2.55,33.9,0.0,-0.0,0.0,216.35,1.52,337.0,102590.0
20190103:0000,2.29,31.15,0.0,-0.0,0.0,213.25,1.45,343.0,102610.0
20190103:0100,1.45,35.05,0.0,-0.0,0.0,211.25,1.59,353.0,102640.0
20190103:0200,-0.16,37.7,0.0,-0.0,0.0,210.15,1.79,3.0,102680.0
20190103:0300,-0.54,40.85,0.0,-0.0,0.0,209.6,1.79,3.0,102650.0
20190103:0400,-0.82,42.6,0.0,-0.0,0.0,208.8,1.72,6.0,102670.0
20190103:0500,-1.16,44.3,0.0,-0.0,0.0,208.6,1.66,2.0,102700.0
20190103:0600,-1.31,46.2,0.0,-0.0,0.0,208.8,1.66,354.0,102740.0
20190103:0700,3.03,30.0,9.0,0.0,9.0,209.4,1.31,35.0,102720.0
20190103:0800,1.98,35.2,70.0,23.79,66.0,211.15,1.38,28.0,102830.0
20190103:0900,3.55,47.45,201.0,287.06,123.0,214.2,0.9,38.0,102870.0
20190103:1000,5.74,40.9,326.0,686.86,94.0,217.3,1.03,68.0,102920.0
20190103:1100,6.63,30.85,373.0,848.55,66.0,222.15,1.59,73.0,102910.0
20190103:1200,6.78,28.5,345.0,800.8,71.0,223.9,1.31,60.0,102880.0
20190103:1300,7.0,28.5,273.0,767.31,58.0,226.6,1.03,21.0,102850.0
20190103:1400,6.96,27.35,160.0,655.05,42.0,242.85,0.21,334.0,102840.0
