Latitude (decimal degrees): 43.878
Longitude (decimal degrees): 11.102
Elevation (m): 62.0
Irradiance Time Offset (h): 0.1747
month,year
1,2015
2,2018
3,2019
4,2006
5,2022
6,2020
7,2020
8,2013
9,2010
10,2010
11,2022
12,2021
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20150101:0000,1.55,76.46,0.0,-0.0,0.0,237.22,1.81,17.0,100260.0
20150101:0100,0.21,75.83,0.0,-0.0,0.0,229.82,1.94,22.0,100310.0
20150101:0200,-1.13,75.2,0.0,-0.0,0.0,222.42,2.08,26.0,100340.0
20150101:0300,-2.47,74.57,0.0,-0.0,0.0,215.01,2.21,30.0,100310.0
20150101:0400,-3.81,73.93,0.0,-0.0,0.0,207.61,2.35,32.0,100290.0
20150101:0500,-5.15,73.3,0.0,-0.0,0.0,200.21,2.48,33.0,100320.0
20150101:0600,-6.49,72.67,0.0,-0.0,0.0,192.8,2.62,31.0,100360.0
20150101:0700,-7.83,72.04,11.0,0.0,11.0,185.4,2.75,25.0,100360.0
20150101:0800,-2.0,64.0,141.0,432.22,63.0,212.3,2.07,24.0,100400.0
20150101:0900,0.47,54.95,271.0,673.69,75.0,217.5,2.14,23.0,100450.0
20150101:1000,2.47,45.3,363.0,793.13,75.0,223.7,2.48,20.0,100440.0
20150101:1100,3.92,43.75,388.0,760.02,90.0,232.2,2.9,19.0,100410.0
20150101:1200,4.75,44.05,371.0,760.87,85.0,233.95,2.9,19.0,100370.0
20150101:1300,5.18,44.15,304.0,741.45,70.0,237.65,2.76,18.0,100330.0
20150101:1400,5.11,49.65,191.0,640.85,53.0,240.55,2.41,15.0,100350.0
20150101:1500,4.19,51.55,52.0,341.71,24.0,249.45,2.14,15.0,100410.0
20150101:1600,2.6,57.7,0.0,-0.0,0.0,253.9,1.86,18.0,100480.0
20150101:1700,1.22,64.8,0.0,-0.0,0.0,259.7,1.72,24.0,100540.0
20150101:1800,0.01,72.65,0.0,-0.0,0.0,258.75,1.72,27.0,100550.0
20150101:1900,-0.71,67.0,0.0,-0.0,0.0,253.5,1.93,32.0,100530.0
20150101:2000,-1.13,69.65,0.0,-0.0,0.0,246.35,2.07,32.0,100550.0
20150101:2100,-1.56,72.4,0.0,-0.0,0.0,240.75,2.0,33.0,100530.0
20150101:2200,-1.69,72.4,0.0,-0.0,0.0,244.4,2.0,32.0,100500.0
20150101:2300,-1.88,72.4,0.0,-0.0,0.0,240.75,1.93,36.0,100490.0
20150102:0000,-1.88,72.4,0.0,-0.0,0.0,241.7,1.79,42.0,100450.0
20150102:0100,-1.61,75.35,0.0,-0.0,0.0,243.75,1.66,47.0,100430.0
20150102:0200,-1.46,75.35,0.0,-0.0,0.0,243.65,1.52,53.0,100430.0
20150102:0300,-1.38,72.5,0.0,-0.0,0.0,244.8,1.45,58.0,100430.0
20150102:0400,-1.22,75.45,0.0,-0.0,0.0,245.0,1.38,63.0,100400.0
20150102:0500,-1.1,75.45,0.0,-0.0,0.0,245.6,1.31,66.0,100410.0
20150102:0600,-1.35,75.45,0.0,-0.0,0.0,246.15,1.31,66.0,100440.0
20150102:0700,-1.55,78.45,12.0,0.0,12.0,245.0,1.52,62.0,100490.0
