Latitude (decimal degrees): 44.418
Longitude (decimal degrees): 12.204
Elevation (m): 7.0
Irradiance Time Offset (h): 0.1753
month,year
1,2012
2,2017
3,2016
4,2010
5,2005
6,2018
7,2009
8,2018
9,2018
10,2010
11,2018
12,2018
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20120101:0000,2.49,85.91,0.0,-0.0,0.0,260.49,2.19,260.0,101720.0
20120101:0100,1.81,85.58,0.0,-0.0,0.0,259.84,2.16,256.0,101740.0
20120101:0200,1.13,85.25,0.0,-0.0,0.0,259.19,2.13,249.0,101770.0
20120101:0300,0.45,84.92,0.0,-0.0,0.0,258.54,2.11,252.0,101770.0
20120101:0400,-0.23,84.59,0.0,-0.0,0.0,257.89,2.08,255.0,101780.0
20120101:0500,-0.91,84.27,0.0,-0.0,0.0,257.24,2.06,257.0,101800.0
20120101:0600,-1.59,83.94,0.0,-0.0,0.0,256.59,2.03,266.0,101850.0
20120101:0700,-2.27,83.61,23.0,222.43,13.0,255.94,2.01,290.0,101940.0
20120101:0800,0.57,88.5,148.0,508.33,55.0,256.6,1.45,283.0,102010.0
20120101:0900,3.98,76.25,268.0,683.14,70.0,255.45,1.24,276.0,102060.0
20120101:1000,5.93,68.3,347.0,750.72,78.0,257.75,1.03,278.0,102070.0
20120101:1100,7.38,61.1,380.0,789.57,77.0,261.05,0.83,289.0,102040.0
20120101:1200,8.43,56.8,359.0,784.89,73.0,264.15,0.48,336.0,102000.0
20120101:1300,9.01,56.9,280.0,696.43,70.0,266.1,0.76,57.0,101990.0
20120101:1400,9.07,59.15,168.0,576.44,53.0,266.5,1.38,74.0,101990.0
20120101:1500,8.33,66.05,31.0,168.65,20.0,265.9,1.86,80.0,102040.0
20120101:1600,7.12,71.05,0.0,-0.0,0.0,263.95,2.28,94.0,102070.0
20120101:1700,6.25,76.55,0.0,-0.0,0.0,264.15,2.34,111.0,102120.0
20120101:1800,5.38,82.5,0.0,-0.0,0.0,264.15,2.41,134.0,102130.0
20120101:1900,4.57,85.55,0.0,-0.0,0.0,261.85,1.66,147.0,102150.0
20120101:2000,6.29,76.55,0.0,-0.0,0.0,261.85,1.03,160.0,102180.0
20120101:2100,5.64,76.5,0.0,-0.0,0.0,260.85,0.69,194.0,102200.0
20120101:2200,5.03,79.35,0.0,-0.0,0.0,260.1,0.97,217.0,102200.0
20120101:2300,2.67,88.65,0.0,-0.0,0.0,258.95,1.38,215.0,102170.0
20120102:0000,1.7,92.05,0.0,-0.0,0.0,258.55,1.59,210.0,102120.0
20120102:0100,1.44,92.05,0.0,-0.0,0.0,261.75,1.59,220.0,102070.0
20120102:0200,1.24,92.05,0.0,-0.0,0.0,259.7,1.59,245.0,102090.0
20120102:0300,1.23,92.05,0.0,-0.0,0.0,265.9,1.52,257.0,102050.0
20120102:0400,1.37,92.05,0.0,-0.0,0.0,268.6,1.45,249.0,102010.0
20120102:0500,1.54,92.05,0.0,-0.0,0.0,277.5,1.38,233.0,101990.0
20120102:0600,2.13,92.1,0.0,-0.0,0.0,314.85,1.24,225.0,101980.0
20120102:0700,4.59,82.35,11.0,22.22,10.0,326.1,0.62,198.0,102050.0
20120102:0800,5.11,82.4,80.0,43.65,72.0,324.35,0.62,166.0,102050.0
20120102:0900,5.97,82.55,171.0,127.37,134.0,327.05,0.69,147.0,102050.0
20120102:1000,7.34,79.55,120.0,2.78,119.0,338.1,0.9,143.0,102000.0
20120102:1100,8.56,76.85,92.0,0.0,92.0,338.5,1.1,143.0,101900.0
20120102:1200,9.72,77.0,101.0,0.0,101.0,334.4,1.17,137.0,101770.0
20120102:1300,10.73,77.15,97.0,3.3,96.0,321.45,1.38,131.0,101690.0
20120102:1400,11.54,74.55,124.0,188.44,86.0,316.6,1.72,127.0,101620.0
