Latitude (decimal degrees): 44.698
Longitude (decimal degrees): 10.631
Elevation (m): 67.0
Irradiance Time Offset (h): 0.1757
month,year
1,2014
2,2016
3,2008
4,2010
5,2007
6,2020
7,2010
8,2020
9,2023
10,2018
11,2017
12,2013
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20140101:0000,-0.13,93.46,0.0,-0.0,0.0,251.92,1.47,219.0,98980.0
20140101:0100,-0.64,93.69,0.0,-0.0,0.0,251.12,1.52,222.0,98960.0
20140101:0200,-1.15,93.93,0.0,-0.0,0.0,250.31,1.57,219.0,98960.0
20140101:0300,-1.66,94.16,0.0,-0.0,0.0,249.5,1.62,217.0,98930.0
20140101:0400,-2.17,94.4,0.0,-0.0,0.0,248.7,1.68,220.0,98900.0
20140101:0500,-2.68,94.63,0.0,-0.0,0.0,247.89,1.73,223.0,98910.0
20140101:0600,-3.19,94.87,0.0,-0.0,0.0,247.08,1.78,227.0,98940.0
20140101:0700,-3.7,95.1,6.0,0.0,6.0,246.27,1.83,221.0,98960.0
20140101:0800,-0.63,95.6,123.0,378.7,60.0,237.05,1.24,220.0,98990.0
20140101:0900,2.74,92.15,247.0,600.7,81.0,239.75,0.69,240.0,99020.0
20140101:1000,5.67,79.4,339.0,748.36,78.0,245.2,0.69,307.0,99020.0
20140101:1100,6.71,76.65,373.0,768.47,82.0,249.45,0.76,338.0,98990.0
20140101:1200,7.37,73.9,357.0,769.14,77.0,255.65,0.76,355.0,98920.0
20140101:1300,7.83,71.25,288.0,709.45,71.0,255.25,0.69,28.0,98870.0
20140101:1400,7.83,71.25,173.0,528.55,63.0,271.5,1.17,32.0,98870.0
20140101:1500,6.88,76.65,34.0,90.39,27.0,256.05,1.38,36.0,98900.0
20140101:1600,5.25,85.6,0.0,-0.0,0.0,257.2,1.1,44.0,98940.0
20140101:1700,5.06,85.6,0.0,-0.0,0.0,257.0,0.34,78.0,98970.0
20140101:1800,4.76,85.55,0.0,-0.0,0.0,253.1,0.83,193.0,98990.0
20140101:1900,3.25,92.15,0.0,-0.0,0.0,266.65,1.17,186.0,98960.0
20140101:2000,1.59,95.65,0.0,-0.0,0.0,274.8,1.45,188.0,98950.0
20140101:2100,0.74,95.65,0.0,-0.0,0.0,266.65,1.45,199.0,98950.0
20140101:2200,-0.01,95.6,0.0,-0.0,0.0,260.85,1.38,193.0,98940.0
20140101:2300,0.01,95.6,0.0,-0.0,0.0,279.05,1.31,191.0,98880.0
20140102:0000,-0.36,95.6,0.0,-0.0,0.0,266.5,1.31,192.0,98830.0
20140102:0100,-0.32,95.6,0.0,-0.0,0.0,271.05,1.31,189.0,98750.0
20140102:0200,0.37,99.4,0.0,-0.0,0.0,290.65,1.24,188.0,98740.0
20140102:0300,0.75,95.65,0.0,-0.0,0.0,290.65,1.17,191.0,98700.0
20140102:0400,1.09,95.65,0.0,-0.0,0.0,291.65,1.17,192.0,98630.0
20140102:0500,1.55,92.05,0.0,-0.0,0.0,299.4,1.1,196.0,98600.0
20140102:0600,2.06,92.1,0.0,-0.0,0.0,313.1,1.03,204.0,98590.0
20140102:0700,3.58,85.45,5.0,0.0,5.0,319.9,0.62,200.0,98640.0
20140102:0800,3.6,88.75,56.0,12.0,54.0,321.85,0.69,158.0,98610.0
20140102:0900,4.24,92.2,99.0,7.22,97.0,326.65,0.41,125.0,98620.0
20140102:1000,5.08,85.6,132.0,8.58,129.0,334.2,0.41,72.0,98590.0
20140102:1100,5.82,82.5,104.0,0.0,104.0,329.2,0.62,39.0,98580.0
20140102:1200,6.03,82.55,137.0,8.2,134.0,328.8,0.9,21.0,98510.0
