Latitude (decimal degrees): 42.404
Longitude (decimal degrees): 12.857
Elevation (m): 400.0
Irradiance Time Offset (h): 0.1728
month,year
1,2017
2,2006
3,2006
4,2022
5,2009
6,2009
7,2018
8,2020
9,2020
10,2007
11,2020
12,2017
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20170101:0000,2.07,72.79,0.0,-0.0,0.0,265.7,1.25,76.0,93400.0
20170101:0100,1.45,69.29,0.0,-0.0,0.0,256.89,1.27,77.0,93380.0
20170101:0200,0.83,65.79,0.0,-0.0,0.0,248.09,1.3,79.0,93350.0
20170101:0300,0.2,62.3,0.0,-0.0,0.0,239.28,1.33,80.0,93310.0
20170101:0400,-0.42,58.8,0.0,-0.0,0.0,230.47,1.36,80.0,93260.0
20170101:0500,-1.04,55.3,0.0,-0.0,0.0,221.67,1.38,80.0,93260.0
20170101:0600,-1.67,51.8,0.0,-0.0,0.0,212.86,1.41,80.0,93240.0
20170101:0700,-2.29,48.3,23.0,0.0,23.0,204.06,1.44,78.0,93280.0
20170101:0800,-0.7,59.35,192.0,641.38,55.0,221.95,1.17,79.0,93270.0
20170101:0900,3.22,53.5,316.0,756.35,72.0,223.7,0.34,86.0,93280.0
20170101:1000,5.29,34.6,397.0,804.28,82.0,227.6,0.41,215.0,93270.0
20170101:1100,5.95,36.2,428.0,834.03,81.0,230.65,0.76,232.0,93220.0
20170101:1200,6.07,40.9,406.0,842.36,74.0,231.65,0.97,235.0,93180.0
20170101:1300,5.71,46.0,318.0,739.18,76.0,233.0,0.9,238.0,93150.0
20170101:1400,5.02,53.8,196.0,626.2,58.0,232.8,0.69,237.0,93150.0
20170101:1500,3.81,73.4,49.0,298.59,25.0,230.65,0.48,225.0,93150.0
20170101:1600,3.4,57.95,0.0,-0.0,0.0,228.55,0.34,126.0,93160.0
20170101:1700,2.82,57.8,0.0,-0.0,0.0,227.6,0.76,92.0,93170.0
20170101:1800,2.25,60.05,0.0,-0.0,0.0,226.05,0.97,85.0,93180.0
20170101:1900,0.89,70.05,0.0,-0.0,0.0,225.25,1.1,77.0,93160.0
20170101:2000,1.35,67.4,0.0,-0.0,0.0,224.65,1.03,76.0,93160.0
20170101:2100,1.87,64.9,0.0,-0.0,0.0,224.1,1.03,78.0,93170.0
20170101:2200,1.88,62.35,0.0,-0.0,0.0,226.4,1.03,77.0,93170.0
20170101:2300,1.72,59.95,0.0,-0.0,0.0,230.65,1.03,78.0,93170.0
20170102:0000,1.96,59.95,0.0,-0.0,0.0,233.0,1.03,76.0,93150.0
20170102:0100,2.21,57.7,0.0,-0.0,0.0,248.2,0.97,76.0,93130.0
20170102:0200,2.52,55.45,0.0,-0.0,0.0,272.5,0.9,75.0,93130.0
20170102:0300,2.9,55.55,0.0,-0.0,0.0,257.75,0.76,76.0,93100.0
20170102:0400,2.96,55.55,0.0,-0.0,0.0,259.3,0.76,74.0,93080.0
20170102:0500,3.06,57.8,0.0,-0.0,0.0,270.75,0.76,77.0,93070.0
20170102:0600,3.16,60.15,0.0,-0.0,0.0,275.4,0.69,77.0,93090.0
20170102:0700,1.58,70.1,20.0,0.0,20.0,274.2,0.97,77.0,93120.0
20170102:0800,2.11,73.0,116.0,98.18,95.0,275.95,0.83,84.0,93120.0
20170102:0900,3.77,76.25,199.0,139.22,154.0,265.7,0.07,112.0,93120.0
20170102:1000,5.25,70.8,253.0,152.81,193.0,268.8,0.41,243.0,93130.0
20170102:1100,5.86,73.65,218.0,55.1,195.0,269.4,0.69,235.0,93090.0
20170102:1200,6.39,70.95,191.0,37.9,176.0,268.2,0.97,228.0,93040.0
20170102:1300,6.28,70.95,140.0,21.25,133.0,264.15,1.03,212.0,92980.0
20170102:1400,5.97,76.5,37.0,0.0,37.0,265.7,0.97,197.0,92960.0
20170102:1500,5.16,82.35,11.0,0.0,11.0,276.95,0.9,168.0,92930.0
20170102:1600,3.59,85.45,0.0,-0.0,0.0,279.05,1.1,139.0,92930.0
20170102:1700,2.73,88.7,0.0,-0.0,0.0,306.35,1.31,133.0,92920.0
20170102:1800,2.46,92.15,0.0,-0.0,0.0,311.75,1.38,133.0,92910.0
20170102:1900,2.59,95.7,0.0,-0.0,0.0,325.7,1.38,137.0,92880.0
20170102:2000,2.71,92.15,0.0,-0.0,0.0,329.95,1.38,137.0,92850.0
20170102:2100,2.25,95.7,0.0,-0.0,0.0,310.8,1.52,134.0,92820.0
20170102:2200,2.19,99.4,0.0,-0.0,0.0,313.9,1.52,138.0,92780.0
20170102:2300,2.04,95.65,0.0,-0.0,0.0,309.05,1.52,151.0,92760.0
20170103:0000,1.66,99.4,0.0,-0.0,0.0,300.35,1.52,147.0,92690.0
20170103:0100,1.57,99.4,0.0,-0.0,0.0,304.5,1.52,153.0,92650.0
20170103:0200,1.83,95.65,0.0,-0.0,0.0,312.15,1.31,144.0,92610.0
20170103:0300,2.0,99.4,0.0,-0.0,0.0,319.7,1.31,154.0,92560.0
20170103:0400,2.58,99.4,0.0,-0.0,0.0,335.55,1.31,162.0,92480.0
20170103:0500,2.91,95.7,0.0,-0.0,0.0,335.0,1.31,174.0,92460.0
20170103:0600,3.12,99.4,0.0,-0.0,0.0,335.4,1.38,169.0,92450.0
20170103:0700,3.05,99.4,25.0,0.0,25.0,322.2,1.03,129.0,92410.0
20170103:0800,3.13,99.4,34.0,0.0,34.0,331.1,0.97,97.0,92410.0
20170103:0900,4.02,95.75,129.0,12.35,125.0,325.5,0.97,96.0,92420.0
20170103:1000,4.98,99.4,247.0,142.22,191.0,311.4,1.1,120.0,92450.0
20170103:1100,6.19,95.75,179.0,16.71,172.0,323.75,0.76,106.0,92410.0
