Latitude (decimal degrees): 44.068
Longitude (decimal degrees): 12.569
Elevation (m): 2.0
Irradiance Time Offset (h): 0.1749
month,year
1,2005
2,2019
3,2008
4,2009
5,2007
6,2009
7,2012
8,2011
9,2020
10,2009
11,2016
12,2005
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20050101:0000,4.42,78.82,0.0,-0.0,0.0,254.02,2.93,287.0,101520.0
20050101:0100,4.25,76.28,0.0,-0.0,0.0,244.84,3.15,285.0,101500.0
20050101:0200,4.08,73.75,0.0,-0.0,0.0,235.66,3.38,284.0,101480.0
20050101:0300,3.91,71.22,0.0,-0.0,0.0,226.48,3.6,284.0,101420.0
20050101:0400,3.74,68.69,0.0,-0.0,0.0,217.3,3.82,286.0,101380.0
20050101:0500,3.57,66.15,0.0,-0.0,0.0,208.12,4.04,288.0,101400.0
20050101:0600,3.4,63.62,0.0,-0.0,0.0,198.93,4.27,289.0,101420.0
20050101:0700,3.23,61.09,0.0,0.0,0.0,189.75,4.49,287.0,101490.0
20050101:0800,4.37,67.9,79.0,89.3,62.0,256.6,4.07,293.0,101550.0
20050101:0900,5.58,65.55,249.0,639.63,59.0,251.95,4.0,298.0,101580.0
20050101:1000,6.67,58.65,330.0,682.29,81.0,254.1,4.14,302.0,101580.0
20050101:1100,7.47,56.55,337.0,513.54,137.0,251.4,4.07,305.0,101560.0
20050101:1200,7.95,54.55,362.0,726.5,94.0,261.85,4.07,307.0,101510.0
20050101:1300,8.38,52.6,281.0,548.14,114.0,257.2,3.66,306.0,101480.0
20050101:1400,8.52,52.6,199.0,641.31,70.0,257.6,3.03,307.0,101460.0
20050101:1500,8.21,52.6,67.0,428.14,39.0,254.1,2.76,309.0,101480.0
20050101:1600,7.65,54.55,0.0,-0.0,0.0,254.1,2.69,303.0,101480.0
20050101:1700,7.02,58.65,0.0,-0.0,0.0,253.7,2.62,292.0,101510.0
20050101:1800,6.27,60.85,0.0,-0.0,0.0,254.3,2.55,284.0,101520.0
20050101:1900,5.55,68.1,0.0,-0.0,0.0,254.1,2.69,273.0,101580.0
20050101:2000,5.03,73.45,0.0,-0.0,0.0,253.9,2.69,264.0,101570.0
20050101:2100,4.61,76.3,0.0,-0.0,0.0,254.1,2.62,251.0,101560.0
