Latitude (decimal degrees): 45.070
Longitude (decimal degrees): 11.790
Elevation (m): 10.0
Irradiance Time Offset (h): 0.1761
month,year
1,2018
2,2007
3,2012
4,2017
5,2007
6,2019
7,2018
8,2018
9,2021
10,2005
11,2005
12,2021
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20180101:0000,4.63,94.74,0.0,-0.0,0.0,305.27,1.92,20.0,101800.0
20180101:0100,4.59,94.65,0.0,-0.0,0.0,310.71,1.96,19.0,101720.0
20180101:0200,4.54,94.57,0.0,-0.0,0.0,316.14,1.99,23.0,101650.0
20180101:0300,4.49,94.48,0.0,-0.0,0.0,321.58,2.03,26.0,101590.0
20180101:0400,4.44,94.4,0.0,-0.0,0.0,327.01,2.06,25.0,101520.0
20180101:0500,4.4,94.31,0.0,-0.0,0.0,332.44,2.1,29.0,101470.0
20180101:0600,4.35,94.22,0.0,-0.0,0.0,337.88,2.13,38.0,101400.0
20180101:0700,4.3,94.14,6.0,0.0,6.0,343.31,2.17,45.0,101410.0
20180101:0800,5.74,95.75,33.0,0.0,33.0,337.7,2.41,37.0,101350.0
20180101:0900,6.27,95.8,43.0,0.0,43.0,336.55,2.48,19.0,101340.0
20180101:1000,6.4,95.8,33.0,0.0,33.0,337.3,2.76,355.0,101290.0
20180101:1100,6.39,95.8,43.0,0.0,43.0,338.5,3.03,340.0,101240.0
20180101:1200,6.06,92.3,48.0,0.0,48.0,340.4,3.1,328.0,101180.0
20180101:1300,5.77,92.3,28.0,0.0,28.0,342.35,2.9,310.0,101150.0
20180101:1400,5.62,92.3,69.0,10.3,67.0,336.55,3.45,292.0,101130.0
20180101:1500,5.4,92.3,3.0,0.0,3.0,340.2,4.0,285.0,101160.0
20180101:1600,5.19,92.25,0.0,-0.0,0.0,329.2,3.24,280.0,101120.0
20180101:1700,4.71,95.75,0.0,-0.0,0.0,309.85,2.69,272.0,101080.0
20180101:1800,4.14,95.75,0.0,-0.0,0.0,296.85,2.69,264.0,101080.0
20180101:1900,3.66,95.7,0.0,-0.0,0.0,298.2,2.62,274.0,101120.0
20180101:2000,3.18,95.7,0.0,-0.0,0.0,289.3,1.52,287.0,101060.0
20180101:2100,2.12,95.65,0.0,-0.0,0.0,265.9,1.17,255.0,101020.0
20180101:2200,0.52,99.4,0.0,-0.0,0.0,250.4,1.45,232.0,100960.0
20180101:2300,0.9,99.35,0.0,-0.0,0.0,256.8,0.21,305.0,100930.0
20180102:0000,0.19,100.0,0.0,-0.0,0.0,278.65,0.69,11.0,100860.0
20180102:0100,-0.23,100.0,0.0,-0.0,0.0,285.0,0.9,350.0,100860.0
20180102:0200,-0.29,100.0,0.0,-0.0,0.0,278.3,1.31,316.0,100890.0
20180102:0300,0.11,99.4,0.0,-0.0,0.0,283.1,1.72,293.0,100940.0
20180102:0400,0.73,100.0,0.0,-0.0,0.0,293.0,1.93,277.0,100970.0
20180102:0500,1.02,99.35,0.0,-0.0,0.0,293.95,2.14,265.0,101020.0
20180102:0600,1.18,100.0,0.0,-0.0,0.0,288.35,2.62,261.0,101100.0
20180102:0700,2.27,99.4,1.0,0.0,1.0,312.95,3.45,270.0,101220.0
20180102:0800,3.09,95.7,91.0,104.82,73.0,307.5,3.31,271.0,101310.0
20180102:0900,4.13,88.8,77.0,0.0,77.0,286.8,3.17,272.0,101380.0
20180102:1000,5.83,82.5,174.0,48.87,157.0,282.75,3.17,275.0,101420.0
20180102:1100,7.64,71.25,354.0,672.92,102.0,256.05,3.1,276.0,101430.0
20180102:1200,9.13,63.8,366.0,860.34,59.0,253.9,3.1,277.0,101420.0
20180102:1300,9.98,59.35,289.0,783.58,57.0,253.5,2.69,275.0,101410.0
20180102:1400,10.04,61.65,164.0,555.14,55.0,256.05,2.28,264.0,101420.0
20180102:1500,8.85,68.7,28.0,108.62,21.0,254.5,2.55,258.0,101510.0
20180102:1600,6.64,71.05,0.0,-0.0,0.0,248.1,2.83,253.0,101560.0
20180102:1700,5.14,76.4,0.0,-0.0,0.0,245.75,2.97,254.0,101630.0
20180102:1800,4.28,79.2,0.0,-0.0,0.0,243.65,2.97,259.0,101690.0
20180102:1900,3.19,85.4,0.0,-0.0,0.0,245.75,1.86,251.0,101710.0
20180102:2000,1.59,88.6,0.0,-0.0,0.0,241.3,2.0,270.0,101770.0
20180102:2100,0.43,85.15,0.0,-0.0,0.0,240.75,2.0,284.0,101820.0
20180102:2200,1.6,78.9,0.0,-0.0,0.0,240.95,1.1,282.0,101810.0
20180102:2300,1.45,78.9,0.0,-0.0,0.0,238.4,0.97,256.0,101800.0
20180103:0000,-0.89,88.4,0.0,-0.0,0.0,241.9,1.52,258.0,101760.0
20180103:0100,-0.98,88.4,0.0,-0.0,0.0,257.3,1.38,280.0,101750.0
20180103:0200,-0.84,88.4,0.0,-0.0,0.0,252.55,1.03,297.0,101730.0
