Latitude (decimal degrees): 44.309
Longitude (decimal degrees): 8.477
Elevation (m): 11.0
Irradiance Time Offset (h): 0.1753
month,year
1,2015
2,2019
3,2014
4,2007
5,2010
6,2007
7,2009
8,2021
9,2021
10,2021
11,2015
12,2006
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20150101:0000,7.24,43.38,0.0,-0.0,0.0,15.3,5.66,339.0,103320.0
20150101:0100,6.51,49.71,0.0,-0.0,0.0,16.45,6.0,340.0,103250.0
20150101:0200,5.78,56.05,0.0,-0.0,0.0,17.61,6.33,338.0,103230.0
20150101:0300,5.04,62.38,0.0,-0.0,0.0,18.76,6.67,336.0,103190.0
20150101:0400,4.31,68.71,0.0,-0.0,0.0,19.91,7.0,335.0,103160.0
20150101:0500,3.58,75.05,0.0,-0.0,0.0,21.07,7.34,335.0,103150.0
20150101:0600,2.84,81.38,0.0,-0.0,0.0,22.22,7.67,336.0,103160.0
20150101:0700,2.11,87.71,0.0,0.0,0.0,23.37,8.01,340.0,103200.0
20150101:0800,5.46,70.8,120.0,504.69,43.0,-0.35,4.69,342.0,103230.0
20150101:0900,6.55,63.25,252.0,734.61,55.0,8.5,4.07,345.0,103250.0
20150101:1000,7.74,52.45,339.0,781.24,68.0,-5.0,4.28,344.0,103320.0
20150101:1100,8.51,48.65,385.0,829.51,67.0,2.7,4.55,349.0,103320.0
20150101:1200,9.15,46.95,373.0,813.12,68.0,2.7,4.9,345.0,103270.0
20150101:1300,9.65,47.05,304.0,722.11,71.0,6.0,5.66,341.0,103220.0
20150101:1400,9.9,45.4,205.0,674.97,50.0,-5.2,5.93,343.0,103220.0
20150101:1500,9.77,49.05,70.0,390.79,30.0,0.95,5.72,345.0,103230.0
20150101:1600,8.66,59.0,0.0,-0.0,0.0,0.15,5.38,344.0,103280.0
20150101:1700,7.86,63.6,0.0,-0.0,0.0,0.15,4.69,340.0,103280.0
20150101:1800,7.61,68.5,0.0,-0.0,0.0,0.15,4.0,338.0,103290.0
20150101:1900,7.37,71.15,0.0,-0.0,0.0,3.85,3.59,341.0,103320.0
20150101:2000,7.3,71.15,0.0,-0.0,0.0,0.75,3.52,343.0,103330.0
20150101:2100,7.39,71.15,0.0,-0.0,0.0,0.15,3.52,336.0,103320.0
20150101:2200,8.28,66.15,0.0,-0.0,0.0,-0.15,4.28,332.0,103330.0
20150101:2300,8.16,68.7,0.0,-0.0,0.0,-0.95,4.62,338.0,103360.0
20150102:0000,7.9,71.25,0.0,-0.0,0.0,-0.75,5.31,334.0,103290.0
20150102:0100,7.93,71.25,0.0,-0.0,0.0,261.35,5.31,334.0,103260.0
20150102:0200,8.08,71.25,0.0,-0.0,0.0,0.95,4.9,332.0,103230.0
20150102:0300,8.37,71.35,0.0,-0.0,0.0,0.75,4.48,331.0,103190.0
20150102:0400,8.46,71.35,0.0,-0.0,0.0,0.0,4.14,331.0,103150.0
20150102:0500,8.58,74.05,0.0,-0.0,0.0,0.35,3.79,327.0,103160.0
20150102:0600,8.55,74.05,0.0,-0.0,0.0,-0.35,3.17,324.0,103160.0
20150102:0700,8.63,76.85,0.0,0.0,0.0,-1.9,2.41,324.0,103180.0
20150102:0800,9.72,71.6,108.0,346.81,55.0,1.5,1.38,307.0,103200.0
20150102:0900,10.88,71.75,244.0,658.62,67.0,2.7,1.38,235.0,103200.0
20150102:1000,12.03,62.1,336.0,750.41,75.0,2.7,1.72,222.0,103210.0
20150102:1100,12.61,64.55,373.0,746.17,86.0,1.15,2.41,156.0,103160.0
20150102:1200,12.67,66.95,272.0,254.85,176.0,1.5,3.24,149.0,103080.0
20150102:1300,12.45,69.45,251.0,351.25,137.0,3.65,3.24,150.0,103020.0
20150102:1400,12.19,71.95,121.0,81.98,102.0,-1.7,3.52,150.0,103000.0
20150102:1500,12.05,74.6,33.0,9.56,32.0,0.55,3.52,164.0,102980.0
20150102:1600,11.14,80.1,0.0,-0.0,0.0,-0.15,3.31,173.0,102980.0
