Latitude (decimal degrees): 43.319
Longitude (decimal degrees): 11.331
Elevation (m): 342.0
Irradiance Time Offset (h): 0.174
month,year
1,2016
2,2008
3,2006
4,2017
5,2015
6,2009
7,2010
8,2020
9,2023
10,2011
11,2017
12,2015
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20160101:0000,2.31,92.64,0.0,-0.0,0.0,281.39,0.95,73.0,99110.0
20160101:0100,1.9,93.65,0.0,-0.0,0.0,281.27,0.91,77.0,99090.0
20160101:0200,1.49,94.67,0.0,-0.0,0.0,281.15,0.88,85.0,99100.0
20160101:0300,1.08,95.68,0.0,-0.0,0.0,281.03,0.84,86.0,99080.0
20160101:0400,0.67,96.7,0.0,-0.0,0.0,280.91,0.8,85.0,99050.0
20160101:0500,0.26,97.71,0.0,-0.0,0.0,280.79,0.76,84.0,99050.0
20160101:0600,-0.15,98.73,0.0,-0.0,0.0,280.67,0.73,76.0,99070.0
20160101:0700,-0.56,99.74,26.0,297.01,12.0,280.55,0.69,84.0,99130.0
20160101:0800,0.81,95.65,158.0,554.67,53.0,295.5,1.03,91.0,99170.0
20160101:0900,1.85,92.1,278.0,669.35,77.0,292.2,1.17,97.0,99160.0
20160101:1000,3.31,92.15,355.0,695.22,96.0,289.1,1.17,100.0,99150.0
20160101:1100,4.98,85.55,394.0,752.87,92.0,286.6,0.97,103.0,99140.0
20160101:1200,6.19,79.5,373.0,741.98,88.0,285.05,0.9,104.0,99080.0
20160101:1300,7.15,79.55,301.0,681.89,81.0,264.15,1.03,101.0,99050.0
20160101:1400,7.46,76.7,187.0,561.34,63.0,253.1,1.38,100.0,99000.0
20160101:1500,7.03,79.55,29.0,0.0,29.0,249.05,1.17,108.0,99020.0
20160101:1600,5.87,85.65,0.0,-0.0,0.0,245.0,1.38,111.0,99010.0
20160101:1700,4.02,95.7,0.0,-0.0,0.0,247.15,1.38,110.0,99030.0
20160101:1800,2.65,92.15,0.0,-0.0,0.0,243.45,1.45,106.0,99000.0
20160101:1900,1.74,95.65,0.0,-0.0,0.0,245.0,1.45,105.0,98980.0
20160101:2000,1.28,95.65,0.0,-0.0,0.0,246.55,1.31,108.0,98980.0
20160101:2100,1.12,95.65,0.0,-0.0,0.0,255.05,1.24,110.0,98970.0
20160101:2200,0.69,95.65,0.0,-0.0,0.0,260.3,1.31,109.0,98940.0
20160101:2300,0.55,95.65,0.0,-0.0,0.0,267.65,1.38,109.0,98910.0
20160102:0000,0.56,99.4,0.0,-0.0,0.0,278.65,1.45,107.0,98830.0
20160102:0100,1.08,99.35,0.0,-0.0,0.0,294.65,1.38,107.0,98770.0
20160102:0200,1.34,95.65,0.0,-0.0,0.0,292.6,1.45,108.0,98700.0
20160102:0300,2.54,95.7,0.0,-0.0,0.0,325.3,1.45,111.0,98650.0
20160102:0400,3.13,95.7,0.0,-0.0,0.0,318.35,1.66,114.0,98570.0
