Latitude (decimal degrees): 46.170
Longitude (decimal degrees): 9.879
Elevation (m): 294.0
Irradiance Time Offset (h): 0.1774
month,year
1,2012
2,2009
3,2007
4,2023
5,2010
6,2020
7,2008
8,2010
9,2013
10,2010
11,2008
12,2017
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20120101:0000,-5.48,77.36,0.0,-0.0,0.0,243.74,1.08,14.0,83320.0
20120101:0100,-5.73,78.31,0.0,-0.0,0.0,244.85,1.12,14.0,83330.0
20120101:0200,-5.97,79.27,0.0,-0.0,0.0,245.97,1.15,15.0,83380.0
20120101:0300,-6.22,80.22,0.0,-0.0,0.0,247.09,1.19,15.0,83410.0
20120101:0400,-6.46,81.17,0.0,-0.0,0.0,248.2,1.23,16.0,83430.0
20120101:0500,-6.71,82.12,0.0,-0.0,0.0,249.32,1.27,17.0,83450.0
20120101:0600,-6.95,83.07,0.0,-0.0,0.0,250.44,1.3,17.0,83490.0
20120101:0700,-7.2,84.02,0.0,0.0,0.0,251.56,1.34,17.0,83540.0
20120101:0800,-7.6,80.9,27.0,0.0,27.0,246.55,1.31,17.0,83600.0
20120101:0900,-5.02,74.9,244.0,825.65,37.0,245.0,1.17,17.0,83650.0
20120101:1000,-0.43,67.0,317.0,801.44,58.0,242.5,0.83,17.0,83680.0
20120101:1100,2.1,62.35,315.0,553.07,119.0,242.3,0.55,8.0,83680.0
20120101:1200,3.38,60.3,232.0,201.61,163.0,242.1,0.34,327.0,83660.0
20120101:1300,3.67,65.2,195.0,215.61,133.0,248.1,0.28,316.0,83650.0
20120101:1400,3.05,67.7,85.0,0.0,85.0,252.75,0.21,320.0,83650.0
20120101:1500,2.18,73.0,22.0,0.0,22.0,252.35,0.41,2.0,83670.0
20120101:1600,1.03,75.75,0.0,-0.0,0.0,243.05,0.69,20.0,83680.0
20120101:1700,-0.29,81.75,0.0,-0.0,0.0,232.4,0.76,20.0,83710.0
20120101:1800,-1.31,84.95,0.0,-0.0,0.0,234.55,0.83,22.0,83740.0
20120101:1900,-2.73,88.25,0.0,-0.0,0.0,230.65,0.9,22.0,83790.0
20120101:2000,-3.72,88.2,0.0,-0.0,0.0,229.9,0.97,22.0,83800.0
20120101:2100,-4.67,88.15,0.0,-0.0,0.0,229.7,0.97,24.0,83780.0
20120101:2200,-5.42,91.7,0.0,-0.0,0.0,236.1,0.97,23.0,83750.0
20120101:2300,-5.95,91.7,0.0,-0.0,0.0,234.55,0.97,23.0,83720.0
20120102:0000,-6.86,95.45,0.0,-0.0,0.0,237.45,0.97,25.0,83690.0
20120102:0100,-9.11,95.35,0.0,-0.0,0.0,246.05,1.03,24.0,83640.0
20120102:0200,-9.65,95.35,0.0,-0.0,0.0,245.75,1.03,25.0,83630.0
20120102:0300,-10.05,95.3,0.0,-0.0,0.0,243.05,1.03,25.0,83580.0
20120102:0400,-9.58,95.35,0.0,-0.0,0.0,247.9,0.97,24.0,83540.0
20120102:0500,-8.8,95.35,0.0,-0.0,0.0,259.1,0.9,24.0,83510.0
20120102:0600,-7.77,87.9,0.0,-0.0,0.0,269.95,0.83,24.0,83500.0
