Latitude (decimal degrees): 45.070
Longitude (decimal degrees): 7.687
Elevation (m): 250.0
Irradiance Time Offset (h): 0.1762
month,year
1,2016
2,2006
3,2019
4,2023
5,2011
6,2012
7,2018
8,2006
9,2007
10,2005
11,2007
12,2016
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20160101:0000,1.14,84.85,0.0,-0.0,0.0,255.26,0.64,51.0,98190.0
20160101:0100,1.09,85.73,0.0,-0.0,0.0,258.81,0.62,34.0,98160.0
20160101:0200,1.04,86.61,0.0,-0.0,0.0,262.36,0.6,32.0,98160.0
20160101:0300,0.99,87.49,0.0,-0.0,0.0,265.91,0.58,26.0,98150.0
20160101:0400,0.94,88.37,0.0,-0.0,0.0,269.47,0.56,40.0,98130.0
20160101:0500,0.89,89.25,0.0,-0.0,0.0,273.02,0.55,40.0,98120.0
20160101:0600,0.84,90.13,0.0,-0.0,0.0,276.57,0.53,30.0,98140.0
20160101:0700,0.79,91.01,0.0,-0.0,0.0,280.12,0.51,297.0,98160.0
20160101:0800,1.5,82.0,55.0,36.61,50.0,260.1,0.41,302.0,98190.0
20160101:0900,2.53,88.65,92.0,7.93,90.0,279.45,0.0,54.0,98180.0
20160101:1000,4.57,79.2,83.0,0.0,83.0,259.3,0.55,104.0,98170.0
20160101:1100,5.86,73.65,73.0,0.0,73.0,263.0,0.76,110.0,98150.0
20160101:1200,6.56,73.7,121.0,2.74,120.0,274.8,0.97,111.0,98060.0
20160101:1300,6.72,71.05,68.0,0.0,68.0,270.95,0.97,111.0,98020.0
20160101:1400,6.69,71.05,129.0,133.31,99.0,269.95,0.97,97.0,97980.0
20160101:1500,6.29,73.7,49.0,118.85,37.0,296.3,1.03,78.0,98000.0
20160101:1600,5.19,79.35,0.0,-0.0,0.0,286.2,1.03,68.0,97990.0
20160101:1700,3.92,92.15,0.0,-0.0,0.0,285.65,0.97,59.0,98030.0
20160101:1800,3.03,88.7,0.0,-0.0,0.0,276.15,0.9,50.0,98010.0
20160101:1900,2.47,92.15,0.0,-0.0,0.0,294.35,0.76,57.0,97990.0
20160101:2000,2.45,92.15,0.0,-0.0,0.0,308.1,0.62,62.0,97980.0
20160101:2100,2.58,95.7,0.0,-0.0,0.0,311.2,0.48,65.0,97960.0
20160101:2200,2.58,95.7,0.0,-0.0,0.0,317.4,0.34,67.0,97910.0
20160101:2300,2.52,95.7,0.0,-0.0,0.0,315.65,0.34,83.0,97900.0
20160102:0000,2.36,95.7,0.0,-0.0,0.0,319.9,0.41,65.0,97810.0
20160102:0100,2.35,95.7,0.0,-0.0,0.0,320.95,0.48,60.0,97760.0
20160102:0200,2.25,92.15,0.0,-0.0,0.0,317.2,0.55,55.0,97690.0
20160102:0300,2.16,92.15,0.0,-0.0,0.0,318.35,0.48,52.0,97670.0
20160102:0400,2.04,95.65,0.0,-0.0,0.0,317.0,0.48,55.0,97600.0
20160102:0500,1.92,95.65,0.0,-0.0,0.0,315.85,0.41,79.0,97550.0
20160102:0600,1.78,95.65,0.0,-0.0,0.0,317.4,0.34,105.0,97510.0
20160102:0700,1.31,95.65,0.0,-0.0,0.0,317.55,0.48,49.0,97520.0
20160102:0800,1.42,95.65,37.0,0.0,37.0,316.8,0.41,46.0,97510.0
20160102:0900,1.57,95.65,0.0,0.0,0.0,314.3,0.34,52.0,97470.0
20160102:1000,1.82,95.65,53.0,0.0,53.0,316.4,0.48,70.0,97450.0
20160102:1100,1.75,95.65,58.0,0.0,58.0,315.25,0.69,70.0,97390.0
20160102:1200,2.12,95.7,84.0,0.0,84.0,319.1,0.9,57.0,97280.0
20160102:1300,2.18,92.15,59.0,0.0,59.0,316.6,1.1,68.0,97220.0
20160102:1400,2.17,92.15,77.0,8.81,75.0,308.85,1.17,71.0,97180.0
20160102:1500,1.94,92.1,26.0,0.0,26.0,316.05,1.17,63.0,97170.0
20160102:1600,1.46,95.65,0.0,-0.0,0.0,308.85,0.97,65.0,97130.0
20160102:1700,1.06,95.65,0.0,-0.0,0.0,305.4,0.55,63.0,97130.0
20160102:1800,0.82,95.65,0.0,-0.0,0.0,303.45,0.62,58.0,97090.0
20160102:1900,0.73,95.65,0.0,-0.0,0.0,302.5,0.41,93.0,97010.0
20160102:2000,0.63,95.65,0.0,-0.0,0.0,304.4,0.41,86.0,96960.0
20160102:2100,0.28,95.65,0.0,-0.0,0.0,287.6,0.41,83.0,96920.0
20160102:2200,-0.17,95.6,0.0,-0.0,0.0,284.3,0.21,350.0,96880.0
20160102:2300,-0.63,95.6,0.0,-0.0,0.0,267.05,0.48,347.0,96830.0
20160103:0000,-0.38,92.0,0.0,-0.0,0.0,267.85,0.48,348.0,96780.0
20160103:0100,-0.29,92.0,0.0,-0.0,0.0,262.15,0.34,332.0,96730.0
20160103:0200,-0.21,92.0,0.0,-0.0,0.0,264.15,0.34,338.0,96700.0
20160103:0300,-0.36,88.45,0.0,-0.0,0.0,245.4,0.41,359.0,96690.0
20160103:0400,-0.57,85.05,0.0,-0.0,0.0,239.95,0.41,348.0,96660.0
20160103:0500,-0.89,85.05,0.0,-0.0,0.0,240.95,0.34,298.0,96650.0
20160103:0600,-1.72,88.35,0.0,-0.0,0.0,241.15,0.48,276.0,96640.0
20160103:0700,-1.63,88.35,0.0,-0.0,0.0,239.4,0.62,269.0,96550.0
20160103:0800,-0.91,88.4,61.0,51.02,54.0,238.8,0.62,294.0,96530.0
20160103:0900,1.12,85.25,106.0,23.66,100.0,245.2,0.48,297.0,96530.0
20160103:1000,3.65,82.25,161.0,41.91,147.0,239.0,0.21,356.0,96540.0
20160103:1100,5.43,79.35,106.0,0.0,106.0,245.4,0.83,74.0,96520.0
20160103:1200,6.16,73.7,145.0,10.88,141.0,259.3,1.24,85.0,96420.0
20160103:1300,6.1,76.5,73.0,0.0,73.0,281.4,1.38,81.0,96360.0
