Latitude (decimal degrees): 45.667
Longitude (decimal degrees): 12.243
Elevation (m): 20.0
Irradiance Time Offset (h): 0.1768
month,year
1,2009
2,2008
3,2016
4,2019
5,2006
6,2020
7,2013
8,2021
9,2009
10,2019
11,2019
12,2007
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20090101:0000,0.49,87.73,0.0,-0.0,0.0,282.61,2.38,31.0,102610.0
20090101:0100,0.32,88.31,0.0,-0.0,0.0,288.11,2.46,36.0,102530.0
20090101:0200,0.15,88.89,0.0,-0.0,0.0,293.61,2.54,42.0,102470.0
20090101:0300,-0.03,89.48,0.0,-0.0,0.0,299.1,2.62,46.0,102370.0
20090101:0400,-0.2,90.06,0.0,-0.0,0.0,304.6,2.69,47.0,102290.0
20090101:0500,-0.38,90.64,0.0,-0.0,0.0,310.09,2.77,45.0,102260.0
20090101:0600,-0.55,91.22,0.0,-0.0,0.0,315.59,2.85,42.0,102270.0
20090101:0700,-0.73,91.81,3.0,0.0,3.0,321.09,2.93,40.0,102200.0
20090101:0800,0.6,88.5,22.0,0.0,22.0,293.95,2.62,28.0,102210.0
20090101:0900,1.37,85.25,22.0,0.0,22.0,291.45,2.34,14.0,102230.0
20090101:1000,1.95,78.95,32.0,0.0,32.0,291.45,2.14,360.0,102230.0
20090101:1100,2.71,79.0,51.0,0.0,51.0,301.1,1.86,337.0,102180.0
20090101:1200,2.84,79.0,40.0,0.0,40.0,299.2,1.72,305.0,102120.0
20090101:1300,3.12,79.1,97.0,3.54,96.0,301.1,1.52,279.0,102070.0
20090101:1400,3.08,82.2,111.0,186.0,77.0,278.85,1.79,268.0,102060.0
20090101:1500,2.41,85.35,17.0,58.48,14.0,246.95,2.21,266.0,102050.0
20090101:1600,1.36,88.6,0.0,-0.0,0.0,246.35,2.48,266.0,102060.0
20090101:1700,0.58,92.0,0.0,-0.0,0.0,245.4,2.21,270.0,102080.0
20090101:1800,0.23,95.6,0.0,-0.0,0.0,249.65,1.86,278.0,102070.0
20090101:1900,-0.21,95.6,0.0,-0.0,0.0,255.05,1.66,292.0,102090.0
20090101:2000,-0.88,95.6,0.0,-0.0,0.0,239.6,1.38,307.0,102080.0
20090101:2100,-0.98,91.95,0.0,-0.0,0.0,237.05,1.24,319.0,102080.0
20090101:2200,-1.17,91.9,0.0,-0.0,0.0,237.05,1.17,329.0,102080.0
20090101:2300,-1.36,88.35,0.0,-0.0,0.0,236.5,1.1,342.0,102080.0
