Latitude (decimal degrees): 45.650
Longitude (decimal degrees): 13.777
Elevation (m): 39.0
Irradiance Time Offset (h): 0.1767
month,year
1,2015
2,2018
3,2008
4,2020
5,2010
6,2014
7,2021
8,2023
9,2013
10,2015
11,2018
12,2005
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20150101:0000,-2.95,70.28,0.0,-0.0,0.0,262.84,1.93,58.0,98750.0
20150101:0100,-3.71,66.58,0.0,-0.0,0.0,253.48,2.1,58.0,98760.0
20150101:0200,-4.47,62.87,0.0,-0.0,0.0,244.11,2.28,55.0,98800.0
20150101:0300,-5.23,59.17,0.0,-0.0,0.0,234.74,2.45,52.0,98810.0
20150101:0400,-5.99,55.47,0.0,-0.0,0.0,225.37,2.63,53.0,98830.0
20150101:0500,-6.75,51.76,0.0,-0.0,0.0,216.0,2.8,54.0,98850.0
20150101:0600,-7.51,48.06,0.0,-0.0,0.0,206.63,2.98,55.0,98880.0
20150101:0700,-8.27,44.36,14.0,0.0,14.0,197.26,3.15,53.0,98930.0
20150101:0800,-5.59,60.6,142.0,488.88,54.0,238.4,2.41,54.0,98970.0
20150101:0900,-4.02,63.55,256.0,679.92,65.0,236.5,2.21,53.0,99010.0
20150101:1000,-1.73,61.55,317.0,666.4,88.0,242.65,2.0,48.0,98980.0
20150101:1100,0.06,61.9,328.0,601.82,109.0,254.1,1.86,45.0,98960.0
20150101:1200,1.3,57.45,264.0,358.5,142.0,262.2,1.93,45.0,98920.0
20150101:1300,1.6,59.95,252.0,706.8,58.0,258.15,1.93,43.0,98910.0
20150101:1400,1.39,64.8,128.0,427.17,55.0,269.95,1.72,42.0,98920.0
20150101:1500,0.95,67.3,8.0,0.0,8.0,286.4,1.72,41.0,98950.0
20150101:1600,-0.33,72.65,0.0,-0.0,0.0,267.25,1.66,40.0,98990.0
20150101:1700,-1.34,75.45,0.0,-0.0,0.0,260.65,1.72,45.0,99020.0
20150101:1800,-2.27,78.35,0.0,-0.0,0.0,254.5,1.93,48.0,99030.0
20150101:1900,-2.79,78.3,0.0,-0.0,0.0,258.35,2.21,54.0,99060.0
20150101:2000,-3.37,81.45,0.0,-0.0,0.0,250.2,2.28,54.0,99020.0
20150101:2100,-3.84,84.7,0.0,-0.0,0.0,247.9,2.28,52.0,98990.0
20150101:2200,-4.1,88.15,0.0,-0.0,0.0,248.65,2.41,59.0,98980.0
20150101:2300,-4.26,84.65,0.0,-0.0,0.0,248.3,2.41,65.0,98920.0
20150102:0000,-4.41,84.65,0.0,-0.0,0.0,249.65,2.34,64.0,98870.0
20150102:0100,-4.65,88.1,0.0,-0.0,0.0,249.95,2.28,65.0,98860.0
20150102:0200,-4.79,88.1,0.0,-0.0,0.0,250.6,2.28,71.0,98840.0
20150102:0300,-4.94,88.1,0.0,-0.0,0.0,251.0,2.21,72.0,98790.0
20150102:0400,-5.01,91.7,0.0,-0.0,0.0,251.0,2.21,74.0,98750.0
20150102:0500,-4.92,88.1,0.0,-0.0,0.0,253.3,2.14,76.0,98750.0
20150102:0600,-4.62,91.75,0.0,-0.0,0.0,257.6,2.07,79.0,98760.0
20150102:0700,-3.73,84.7,12.0,0.0,12.0,258.55,2.07,74.0,98850.0
20150102:0800,-2.03,84.85,134.0,399.11,62.0,265.5,1.79,77.0,98860.0
20150102:0900,2.33,76.0,226.0,440.28,102.0,269.2,1.24,80.0,98840.0
20150102:1000,6.44,70.95,308.0,606.31,99.0,266.85,0.48,88.0,98800.0
