Latitude (decimal degrees): 46.071
Longitude (decimal degrees): 13.235
Elevation (m): 117.0
Irradiance Time Offset (h): 0.1772
month,year
1,2020
2,2019
3,2005
4,2018
5,2010
6,2013
7,2020
8,2015
9,2011
10,2015
11,2018
12,2008
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20200101:0000,-1.49,80.07,0.0,-0.0,0.0,243.51,1.92,26.0,101260.0
20200101:0100,-1.51,81.32,0.0,-0.0,0.0,244.53,2.02,29.0,101070.0
20200101:0200,-1.54,82.56,0.0,-0.0,0.0,245.55,2.11,34.0,101100.0
20200101:0300,-1.56,83.8,0.0,-0.0,0.0,246.57,2.21,35.0,101140.0
20200101:0400,-1.59,85.05,0.0,-0.0,0.0,247.59,2.3,34.0,101140.0
20200101:0500,-1.62,86.29,0.0,-0.0,0.0,248.61,2.4,35.0,101150.0
20200101:0600,-1.64,87.53,0.0,-0.0,0.0,249.63,2.49,36.0,101180.0
20200101:0700,-1.67,88.78,11.0,0.0,11.0,250.65,2.59,37.0,101220.0
20200101:0800,-0.09,75.6,144.0,598.79,42.0,240.95,2.14,40.0,101280.0
20200101:0900,3.45,65.2,261.0,772.82,51.0,243.25,1.59,43.0,101340.0
20200101:1000,6.44,63.35,333.0,813.91,60.0,246.75,1.17,46.0,101350.0
20200101:1100,8.18,63.6,366.0,876.59,53.0,250.8,0.76,60.0,101310.0
20200101:1200,9.23,59.15,341.0,868.16,50.0,253.9,0.62,90.0,101270.0
20200101:1300,9.54,61.55,259.0,766.7,51.0,256.4,0.76,118.0,101230.0
20200101:1400,8.73,76.85,142.0,600.99,40.0,256.05,0.76,136.0,101220.0
20200101:1500,8.42,63.7,9.0,0.0,9.0,254.1,0.69,120.0,101260.0
20200101:1600,6.8,68.4,0.0,-0.0,0.0,250.6,0.97,60.0,101320.0
20200101:1700,3.78,79.15,0.0,-0.0,0.0,248.5,1.38,35.0,101380.0
20200101:1800,1.57,82.0,0.0,-0.0,0.0,245.6,1.72,23.0,101420.0
20200101:1900,1.01,78.8,0.0,-0.0,0.0,246.55,2.0,41.0,101350.0
20200101:2000,-0.03,81.8,0.0,-0.0,0.0,244.05,2.14,38.0,101380.0
20200101:2100,-0.58,85.05,0.0,-0.0,0.0,241.9,2.28,37.0,101400.0
20200101:2200,-0.83,85.0,0.0,-0.0,0.0,240.95,2.21,31.0,101420.0
20200101:2300,-1.13,81.7,0.0,-0.0,0.0,239.6,2.14,27.0,101430.0
20200102:0000,-1.41,84.95,0.0,-0.0,0.0,239.2,2.14,30.0,101410.0
20200102:0100,-1.63,81.65,0.0,-0.0,0.0,238.55,2.07,33.0,101380.0
20200102:0200,-1.8,84.85,0.0,-0.0,0.0,238.4,2.07,32.0,101380.0
20200102:0300,-1.93,84.85,0.0,-0.0,0.0,238.05,2.0,29.0,101350.0
20200102:0400,-2.06,81.55,0.0,-0.0,0.0,238.05,2.0,28.0,101300.0
20200102:0500,-2.12,78.35,0.0,-0.0,0.0,237.85,2.0,28.0,101290.0
20200102:0600,-2.17,78.35,0.0,-0.0,0.0,237.65,1.93,28.0,101290.0
20200102:0700,-1.97,78.35,10.0,0.0,10.0,238.8,2.14,28.0,101350.0
20200102:0800,-0.62,72.6,144.0,603.25,41.0,239.6,1.86,29.0,101370.0
20200102:0900,3.39,62.7,262.0,774.45,51.0,242.3,1.31,23.0,101380.0
20200102:1000,7.08,61.1,336.0,829.17,57.0,246.75,0.9,8.0,101370.0
20200102:1100,9.18,61.45,364.0,856.44,57.0,251.75,0.48,346.0,101290.0
20200102:1200,10.47,55.15,341.0,860.8,51.0,255.45,0.21,267.0,101180.0
20200102:1300,10.66,66.55,260.0,761.19,52.0,257.95,0.55,204.0,101120.0
20200102:1400,9.67,79.9,144.0,593.45,42.0,258.55,0.97,189.0,101080.0
20200102:1500,7.54,79.7,10.0,0.0,10.0,256.05,1.38,178.0,101070.0
20200102:1600,7.91,73.95,0.0,-0.0,0.0,252.55,1.1,159.0,101080.0
20200102:1700,7.39,73.9,0.0,-0.0,0.0,250.4,0.76,118.0,101130.0
20200102:1800,6.71,73.8,0.0,-0.0,0.0,249.25,0.97,69.0,101150.0
20200102:1900,4.76,73.45,0.0,-0.0,0.0,249.65,1.45,22.0,101150.0
20200102:2000,2.01,78.95,0.0,-0.0,0.0,249.65,1.66,32.0,101120.0
20200102:2100,0.77,81.9,0.0,-0.0,0.0,248.5,1.52,29.0,101100.0
20200102:2200,-0.02,81.8,0.0,-0.0,0.0,246.95,1.52,26.0,101070.0
20200102:2300,-0.62,85.05,0.0,-0.0,0.0,246.95,1.66,26.0,101040.0
20200103:0000,-1.03,85.0,0.0,-0.0,0.0,246.35,1.72,28.0,100990.0
20200103:0100,-1.26,84.95,0.0,-0.0,0.0,246.05,1.72,32.0,100960.0
20200103:0200,-1.34,81.65,0.0,-0.0,0.0,246.15,1.66,32.0,100920.0
20200103:0300,-1.59,81.65,0.0,-0.0,0.0,245.6,1.72,30.0,100880.0
20200103:0400,-1.75,84.85,0.0,-0.0,0.0,246.15,1.72,33.0,100870.0
20200103:0500,-1.86,84.85,0.0,-0.0,0.0,246.35,1.72,35.0,100860.0
20200103:0600,-1.95,81.55,0.0,-0.0,0.0,245.75,1.72,35.0,100870.0
20200103:0700,-2.3,84.85,2.0,0.0,2.0,244.6,1.72,28.0,100940.0
20200103:0800,-0.79,81.7,81.0,64.23,70.0,259.7,1.38,30.0,100950.0
20200103:0900,2.76,76.0,102.0,7.32,100.0,270.95,0.9,31.0,100940.0
20200103:1000,5.91,68.3,292.0,515.3,118.0,271.5,0.62,34.0,100920.0
20200103:1100,7.82,63.6,299.0,438.91,141.0,261.25,0.14,70.0,100850.0
20200103:1200,8.67,59.0,333.0,805.98,60.0,258.15,0.34,176.0,100770.0
20200103:1300,8.77,59.0,261.0,762.71,51.0,258.55,0.48,183.0,100730.0
20200103:1400,8.07,79.7,152.0,677.62,34.0,257.4,0.48,169.0,100690.0
20200103:1500,7.67,63.6,15.0,95.15,11.0,254.5,0.62,135.0,100670.0
20200103:1600,6.72,65.85,0.0,-0.0,0.0,252.35,0.55,69.0,100650.0
20200103:1700,5.91,65.75,0.0,-0.0,0.0,256.8,1.03,44.0,100660.0
20200103:1800,3.86,76.15,0.0,-0.0,0.0,263.95,1.38,45.0,100630.0
20200103:1900,3.15,76.1,0.0,-0.0,0.0,267.05,1.31,37.0,100600.0
20200103:2000,1.96,78.95,0.0,-0.0,0.0,262.2,1.31,30.0,100580.0
20200103:2100,0.91,81.95,0.0,-0.0,0.0,269.4,1.45,24.0,100570.0
20200103:2200,0.0,85.1,0.0,-0.0,0.0,268.05,1.66,32.0,100580.0
20200103:2300,-0.42,88.45,0.0,-0.0,0.0,265.9,1.72,37.0,100570.0
20200104:0000,-0.44,85.05,0.0,-0.0,0.0,265.1,1.66,38.0,100530.0
20200104:0100,-0.62,85.05,0.0,-0.0,0.0,255.55,1.59,34.0,100520.0
20200104:0200,-1.22,88.35,0.0,-0.0,0.0,248.3,1.72,29.0,100520.0
20200104:0300,-1.63,84.95,0.0,-0.0,0.0,246.15,1.72,26.0,100500.0
20200104:0400,-1.86,88.3,0.0,-0.0,0.0,244.8,1.72,22.0,100480.0
20200104:0500,-2.01,84.85,0.0,-0.0,0.0,245.4,1.72,22.0,100490.0
20200104:0600,-2.12,84.85,0.0,-0.0,0.0,246.15,1.72,20.0,100510.0
20200104:0700,-1.85,78.35,11.0,0.0,11.0,243.85,2.07,25.0,100490.0
20200104:0800,-0.51,75.55,142.0,581.74,42.0,246.15,1.79,25.0,100520.0
20200104:0900,3.65,70.5,196.0,280.75,119.0,249.45,1.31,22.0,100550.0
20200104:1000,6.81,68.4,257.0,324.51,147.0,260.3,0.97,18.0,100540.0
20200104:1100,9.03,66.25,302.0,456.28,137.0,264.15,0.76,6.0,100490.0
20200104:1200,10.17,66.45,255.0,308.23,150.0,275.4,0.48,346.0,100410.0
20200104:1300,10.59,71.7,116.0,21.62,110.0,283.1,0.28,286.0,100360.0
20200104:1400,9.87,79.9,94.0,113.31,74.0,280.05,0.62,232.0,100310.0
20200104:1500,8.99,74.15,12.0,22.47,11.0,294.35,0.83,230.0,100290.0
20200104:1600,8.57,74.05,0.0,-0.0,0.0,285.65,0.34,285.0,100290.0
20200104:1700,7.26,76.7,0.0,-0.0,0.0,266.1,0.9,28.0,100330.0
20200104:1800,3.69,88.75,0.0,-0.0,0.0,265.5,1.45,32.0,100340.0
20200104:1900,1.5,88.6,0.0,-0.0,0.0,258.95,1.86,19.0,100320.0
20200104:2000,0.29,92.0,0.0,-0.0,0.0,254.85,2.14,20.0,100340.0
20200104:2100,0.21,88.45,0.0,-0.0,0.0,252.95,2.28,22.0,100430.0
20200104:2200,-0.06,85.1,0.0,-0.0,0.0,249.25,2.28,20.0,100440.0
20200104:2300,-0.42,85.05,0.0,-0.0,0.0,245.4,2.28,22.0,100440.0
20200105:0000,-0.7,88.4,0.0,-0.0,0.0,243.45,2.21,23.0,100460.0
20200105:0100,-0.98,85.0,0.0,-0.0,0.0,242.2,2.14,20.0,100480.0
20200105:0200,-1.29,88.35,0.0,-0.0,0.0,240.95,2.14,19.0,100520.0
20200105:0300,-1.57,84.95,0.0,-0.0,0.0,239.75,2.07,20.0,100570.0
20200105:0400,-1.62,84.95,0.0,-0.0,0.0,242.5,2.14,23.0,100640.0
20200105:0500,-1.44,84.95,0.0,-0.0,0.0,247.15,2.14,24.0,100710.0
20200105:0600,-0.9,81.7,0.0,-0.0,0.0,261.05,2.14,25.0,100800.0
20200105:0700,-1.04,81.7,11.0,0.0,11.0,242.5,2.14,31.0,100790.0
20200105:0800,0.25,81.8,145.0,590.77,43.0,252.35,1.93,35.0,100870.0
20200105:0900,3.09,79.1,262.0,755.4,54.0,249.45,1.66,42.0,100960.0
20200105:1000,6.82,65.85,339.0,819.62,60.0,278.1,1.45,51.0,101050.0
20200105:1100,8.66,59.0,369.0,855.86,58.0,269.4,1.38,72.0,101070.0
20200105:1200,9.28,56.9,346.0,852.03,54.0,258.55,1.45,85.0,101070.0
20200105:1300,9.5,57.05,268.0,775.51,51.0,264.35,1.17,107.0,101110.0
20200105:1400,9.08,63.8,151.0,603.45,43.0,253.7,0.48,168.0,101120.0
20200105:1500,8.69,59.0,18.0,106.26,13.0,260.85,0.62,240.0,101160.0
20200105:1600,7.67,61.2,0.0,-0.0,0.0,248.3,0.48,294.0,101190.0
20200105:1700,6.38,65.75,0.0,-0.0,0.0,248.85,0.62,352.0,101280.0
20200105:1800,4.93,68.1,0.0,-0.0,0.0,249.25,0.97,9.0,101340.0
20200105:1900,4.69,73.45,0.0,-0.0,0.0,251.6,1.38,72.0,101270.0
20200105:2000,3.75,76.15,0.0,-0.0,0.0,250.4,1.24,61.0,101320.0
20200105:2100,2.37,79.0,0.0,-0.0,0.0,253.9,1.24,48.0,101340.0
20200105:2200,1.36,78.9,0.0,-0.0,0.0,251.2,1.31,43.0,101390.0
20200105:2300,0.7,81.9,0.0,-0.0,0.0,252.35,1.31,45.0,101390.0
20200106:0000,-0.05,81.8,0.0,-0.0,0.0,254.65,1.45,49.0,101390.0
20200106:0100,-0.74,85.0,0.0,-0.0,0.0,254.6,1.72,54.0,101400.0
20200106:0200,-0.19,85.05,0.0,-0.0,0.0,287.95,1.72,58.0,101400.0
20200106:0300,-0.35,81.75,0.0,-0.0,0.0,275.75,1.72,57.0,101390.0
20200106:0400,-0.33,81.75,0.0,-0.0,0.0,279.65,1.72,58.0,101370.0
20200106:0500,0.02,81.8,0.0,-0.0,0.0,293.2,1.59,57.0,101370.0
20200106:0600,0.46,78.75,0.0,-0.0,0.0,304.05,1.52,55.0,101380.0
20200106:0700,-0.05,78.65,5.0,0.0,5.0,280.8,1.86,55.0,101390.0
20200106:0800,0.39,78.75,89.0,92.2,73.0,285.65,1.66,56.0,101420.0
20200106:0900,2.72,73.1,132.0,43.39,120.0,296.1,1.17,60.0,101410.0
20200106:1000,4.1,67.9,171.0,49.71,154.0,277.5,0.9,62.0,101390.0
20200106:1100,5.42,56.2,352.0,741.95,81.0,278.65,0.55,75.0,101310.0
20200106:1200,5.91,52.1,351.0,878.57,48.0,263.0,0.34,146.0,101230.0
20200106:1300,6.04,54.15,270.0,776.0,51.0,266.5,0.69,189.0,101180.0
20200106:1400,5.82,58.45,154.0,627.98,40.0,267.65,0.9,203.0,101170.0
20200106:1500,4.66,73.45,20.0,100.61,15.0,257.95,0.76,214.0,101150.0
20200106:1600,4.62,60.5,0.0,-0.0,0.0,260.3,0.14,285.0,101140.0
20200106:1700,4.06,62.8,0.0,-0.0,0.0,265.1,0.55,27.0,101140.0
20200106:1800,2.85,70.3,0.0,-0.0,0.0,274.05,1.03,35.0,101120.0
20200106:1900,1.38,75.85,0.0,-0.0,0.0,266.85,1.24,29.0,101050.0
20200106:2000,1.15,78.8,0.0,-0.0,0.0,290.3,1.1,27.0,101030.0
20200106:2100,0.95,78.8,0.0,-0.0,0.0,282.75,0.97,24.0,100980.0
20200106:2200,1.28,81.95,0.0,-0.0,0.0,299.95,0.9,10.0,100950.0
20200106:2300,1.12,81.95,0.0,-0.0,0.0,294.35,0.9,7.0,100910.0
20200107:0000,1.03,78.8,0.0,-0.0,0.0,285.05,0.9,18.0,100860.0
20200107:0100,0.99,78.8,0.0,-0.0,0.0,275.3,0.9,28.0,100800.0
20200107:0200,1.03,78.8,0.0,-0.0,0.0,282.15,0.9,34.0,100800.0
20200107:0300,0.86,75.75,0.0,-0.0,0.0,275.95,0.9,45.0,100780.0
20200107:0400,0.16,81.8,0.0,-0.0,0.0,268.05,1.03,45.0,100740.0
20200107:0500,-0.45,85.05,0.0,-0.0,0.0,267.25,1.17,42.0,100700.0
20200107:0600,-0.56,81.75,0.0,-0.0,0.0,254.65,1.1,30.0,100680.0
20200107:0700,-1.21,84.95,14.0,49.27,12.0,249.25,1.31,43.0,100740.0
20200107:0800,0.5,78.75,135.0,446.91,57.0,275.0,0.9,47.0,100770.0
20200107:0900,2.89,73.2,247.0,608.16,78.0,247.7,0.48,25.0,100790.0
20200107:1000,5.08,65.55,340.0,814.85,60.0,247.15,0.0,351.0,100800.0
20200107:1100,6.74,61.0,366.0,819.61,65.0,254.85,0.41,249.0,100750.0
20200107:1200,7.39,63.5,151.0,23.04,143.0,250.4,0.62,239.0,100690.0
20200107:1300,7.64,63.6,87.0,0.0,87.0,258.15,0.69,231.0,100650.0
20200107:1400,7.53,68.6,57.0,5.43,56.0,268.6,0.55,223.0,100670.0
20200107:1500,7.02,68.5,18.0,57.22,15.0,281.0,0.28,209.0,100700.0
20200107:1600,6.09,73.7,0.0,-0.0,0.0,282.55,0.28,53.0,100740.0
20200107:1700,4.41,79.3,0.0,-0.0,0.0,275.4,0.76,14.0,100790.0
20200107:1800,1.28,92.05,0.0,-0.0,0.0,273.05,1.45,10.0,100820.0
20200107:1900,1.48,85.25,0.0,-0.0,0.0,297.85,1.86,20.0,100890.0
20200107:2000,1.23,85.2,0.0,-0.0,0.0,283.1,2.07,26.0,100910.0
20200107:2100,0.46,81.9,0.0,-0.0,0.0,252.55,2.28,32.0,100930.0
20200107:2200,0.05,81.8,0.0,-0.0,0.0,247.5,2.34,34.0,100970.0
20200107:2300,-0.17,81.8,0.0,-0.0,0.0,246.55,2.34,34.0,101010.0
20200108:0000,-0.36,81.75,0.0,-0.0,0.0,245.2,2.28,35.0,101000.0
20200108:0100,-0.57,81.75,0.0,-0.0,0.0,244.55,2.28,36.0,101030.0
20200108:0200,-0.87,85.0,0.0,-0.0,0.0,243.45,2.21,35.0,101060.0
20200108:0300,-1.24,84.95,0.0,-0.0,0.0,241.9,2.14,32.0,101060.0
20200108:0400,-1.56,84.95,0.0,-0.0,0.0,240.35,2.07,30.0,101070.0
20200108:0500,-1.81,84.85,0.0,-0.0,0.0,239.4,2.07,30.0,101090.0
20200108:0600,-2.01,84.85,0.0,-0.0,0.0,238.4,2.0,31.0,101120.0
20200108:0700,-1.94,84.85,15.0,96.62,11.0,236.85,2.21,34.0,101180.0
20200108:0800,-0.75,85.0,149.0,620.57,40.0,236.85,1.93,33.0,101230.0
20200108:0900,2.79,73.1,268.0,773.26,52.0,238.6,1.45,36.0,101250.0
20200108:1000,5.63,65.65,342.0,816.43,60.0,242.3,1.1,35.0,101210.0
20200108:1100,7.52,61.2,372.0,844.72,60.0,245.75,0.69,39.0,101180.0
20200108:1200,8.53,59.0,350.0,838.23,57.0,248.5,0.28,72.0,101090.0
20200108:1300,8.9,59.0,272.0,755.22,55.0,249.65,0.28,145.0,101070.0
20200108:1400,8.65,63.7,158.0,604.42,45.0,249.25,0.41,173.0,101050.0
20200108:1500,7.92,61.2,22.0,90.49,17.0,247.15,0.41,176.0,101060.0
20200108:1600,6.44,63.35,0.0,-0.0,0.0,246.75,0.41,59.0,101090.0
20200108:1700,4.83,73.45,0.0,-0.0,0.0,250.05,0.9,36.0,101110.0
20200108:1800,3.32,79.1,0.0,-0.0,0.0,264.15,0.97,18.0,101140.0
20200108:1900,1.02,81.95,0.0,-0.0,0.0,246.35,1.38,31.0,101110.0
20200108:2000,0.01,81.8,0.0,-0.0,0.0,248.85,1.52,24.0,101120.0
20200108:2100,-0.59,85.05,0.0,-0.0,0.0,246.75,1.52,26.0,101120.0
20200108:2200,-0.99,88.4,0.0,-0.0,0.0,250.05,1.59,25.0,101080.0
20200108:2300,-1.29,88.35,0.0,-0.0,0.0,249.05,1.66,27.0,101070.0
20200109:0000,-1.43,88.35,0.0,-0.0,0.0,248.3,1.66,25.0,101020.0
20200109:0100,-1.55,88.35,0.0,-0.0,0.0,249.75,1.66,26.0,101020.0
20200109:0200,-1.53,84.95,0.0,-0.0,0.0,250.8,1.66,27.0,100990.0
20200109:0300,-1.62,84.95,0.0,-0.0,0.0,250.4,1.66,25.0,100970.0
20200109:0400,-1.72,88.3,0.0,-0.0,0.0,252.95,1.72,25.0,100940.0
20200109:0500,-1.66,84.95,0.0,-0.0,0.0,255.05,1.72,27.0,100910.0
20200109:0600,-1.49,84.95,0.0,-0.0,0.0,255.25,1.66,26.0,100880.0
20200109:0700,-0.1,75.6,8.0,0.0,8.0,269.4,1.52,28.0,100890.0
20200109:0800,0.88,72.85,129.0,384.44,61.0,259.3,1.31,27.0,100910.0
20200109:0900,4.02,82.3,248.0,630.11,71.0,257.6,0.48,41.0,100910.0
20200109:1000,7.97,56.7,342.0,829.22,54.0,260.5,0.34,171.0,100850.0
20200109:1100,8.87,50.6,363.0,801.98,65.0,263.4,0.9,197.0,100790.0
20200109:1200,9.17,52.7,338.0,775.47,65.0,265.9,0.9,200.0,100710.0
20200109:1300,9.2,54.8,267.0,724.02,57.0,265.1,0.97,190.0,100690.0
20200109:1400,8.71,61.3,158.0,605.88,43.0,265.5,1.03,189.0,100640.0
20200109:1500,7.22,73.9,25.0,137.55,17.0,264.35,1.1,187.0,100660.0
20200109:1600,7.18,65.95,0.0,-0.0,0.0,261.45,0.62,171.0,100680.0
20200109:1700,6.59,68.4,0.0,-0.0,0.0,258.55,0.41,94.0,100690.0
20200109:1800,6.0,68.3,0.0,-0.0,0.0,256.8,0.9,56.0,100700.0
20200109:1900,5.66,68.2,0.0,-0.0,0.0,249.45,0.76,48.0,100630.0
20200109:2000,4.82,70.7,0.0,-0.0,0.0,247.3,1.17,46.0,100600.0
20200109:2100,3.43,70.5,0.0,-0.0,0.0,249.85,1.31,48.0,100580.0
20200109:2200,2.69,73.1,0.0,-0.0,0.0,247.7,1.38,46.0,100580.0
20200109:2300,2.23,73.0,0.0,-0.0,0.0,251.95,1.45,47.0,100550.0
20200110:0000,1.55,75.85,0.0,-0.0,0.0,249.25,1.59,46.0,100520.0
20200110:0100,0.64,78.75,0.0,-0.0,0.0,249.0,1.86,45.0,100510.0
20200110:0200,0.28,85.1,0.0,-0.0,0.0,264.75,1.86,43.0,100500.0
20200110:0300,-0.68,88.4,0.0,-0.0,0.0,247.15,2.0,38.0,100490.0
20200110:0400,-1.35,91.9,0.0,-0.0,0.0,247.15,1.93,35.0,100450.0
20200110:0500,-1.47,91.9,0.0,-0.0,0.0,253.7,1.86,34.0,100450.0
20200110:0600,-1.83,95.55,0.0,-0.0,0.0,245.4,1.86,32.0,100460.0
20200110:0700,-1.85,95.55,12.0,23.06,11.0,245.2,1.72,36.0,100510.0
