Latitude (decimal degrees): 45.821
Longitude (decimal degrees): 8.825
Elevation (m): 387.0
Irradiance Time Offset (h): 0.177
month,year
1,2010
2,2018
3,2009
4,2011
5,2011
6,2017
7,2021
8,2008
9,2017
10,2021
11,2008
12,2010
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20100101:0000,0.15,95.65,0.0,-0.0,0.0,279.8,1.18,7.0,94070.0
20100101:0100,0.07,95.76,0.0,-0.0,0.0,282.7,1.26,4.0,94030.0
20100101:0200,-0.02,95.86,0.0,-0.0,0.0,285.6,1.34,4.0,93960.0
20100101:0300,-0.11,95.96,0.0,-0.0,0.0,288.5,1.42,4.0,93850.0
20100101:0400,-0.2,96.07,0.0,-0.0,0.0,291.4,1.5,355.0,93760.0
20100101:0500,-0.29,96.17,0.0,-0.0,0.0,294.29,1.57,347.0,93750.0
20100101:0600,-0.38,96.27,0.0,-0.0,0.0,297.19,1.65,2.0,93770.0
20100101:0700,-0.47,96.38,0.0,-0.0,0.0,300.09,1.73,12.0,93740.0
20100101:0800,-0.08,88.45,69.0,101.92,55.0,276.15,1.38,14.0,93770.0
20100101:0900,1.2,88.55,169.0,240.83,109.0,277.5,1.17,14.0,93800.0
20100101:1000,3.24,85.4,192.0,116.99,154.0,279.05,0.9,14.0,93810.0
20100101:1100,4.97,73.55,175.0,41.75,160.0,286.05,0.62,8.0,93790.0
20100101:1200,5.89,68.3,303.0,519.79,121.0,283.5,0.34,341.0,93750.0
20100101:1300,6.28,68.3,212.0,268.42,132.0,288.35,0.34,245.0,93750.0
20100101:1400,6.18,70.95,158.0,421.26,71.0,287.0,0.76,229.0,93790.0
20100101:1500,5.75,76.5,45.0,219.97,27.0,286.2,0.9,225.0,93850.0
20100101:1600,5.21,79.35,0.0,-0.0,0.0,290.85,0.76,236.0,93920.0
20100101:1700,4.55,82.35,0.0,-0.0,0.0,289.5,0.48,269.0,93990.0
20100101:1800,3.99,85.5,0.0,-0.0,0.0,285.05,0.55,342.0,94040.0
20100101:1900,4.65,85.55,0.0,-0.0,0.0,273.85,0.34,4.0,94100.0
20100101:2000,4.42,85.55,0.0,-0.0,0.0,274.6,0.83,5.0,94170.0
20100101:2100,3.11,88.7,0.0,-0.0,0.0,269.75,1.31,342.0,94240.0
20100101:2200,1.04,92.05,0.0,-0.0,0.0,251.4,1.72,336.0,94290.0
20100101:2300,0.13,92.0,0.0,-0.0,0.0,250.8,1.72,340.0,94360.0
20100102:0000,-0.89,91.95,0.0,-0.0,0.0,243.05,1.93,340.0,94420.0
20100102:0100,-1.77,88.3,0.0,-0.0,0.0,239.1,2.21,339.0,94460.0
20100102:0200,-2.25,84.85,0.0,-0.0,0.0,239.6,2.55,336.0,94510.0
20100102:0300,-2.46,78.3,0.0,-0.0,0.0,231.05,2.97,337.0,94580.0
20100102:0400,-1.44,66.8,0.0,-0.0,0.0,235.15,3.45,340.0,94640.0
20100102:0500,0.0,54.8,0.0,-0.0,0.0,232.2,3.86,342.0,94740.0
20100102:0600,1.44,46.9,0.0,-0.0,0.0,230.85,4.14,347.0,94870.0
20100102:0700,1.48,46.9,0.0,-0.0,0.0,231.05,4.34,349.0,94880.0
20100102:0800,1.9,45.15,123.0,719.12,24.0,218.85,4.62,349.0,95000.0
20100102:0900,2.4,43.45,238.0,740.73,53.0,213.45,4.69,351.0,95120.0
20100102:1000,2.57,40.05,340.0,905.51,45.0,206.85,5.03,351.0,95220.0
20100102:1100,2.47,40.05,351.0,707.2,96.0,207.05,5.24,349.0,95300.0
20100102:1200,2.25,39.9,336.0,673.76,99.0,203.6,5.38,347.0,95360.0
20100102:1300,1.91,38.25,296.0,793.51,58.0,200.3,5.24,341.0,95410.0
20100102:1400,1.46,38.1,192.0,714.17,43.0,201.05,4.9,335.0,95540.0
20100102:1500,0.71,41.15,58.0,440.05,21.0,200.1,4.28,331.0,95620.0
20100102:1600,-0.11,39.3,0.0,-0.0,0.0,198.15,4.07,332.0,95740.0
20100102:1700,-0.7,40.85,0.0,-0.0,0.0,208.6,3.66,332.0,95880.0
20100102:1800,-1.42,42.35,0.0,-0.0,0.0,205.5,3.45,333.0,95990.0
20100102:1900,-1.53,40.55,0.0,-0.0,0.0,195.05,3.86,342.0,95990.0
20100102:2000,-1.88,42.2,0.0,-0.0,0.0,194.3,3.66,346.0,96070.0
20100102:2100,-2.45,45.75,0.0,-0.0,0.0,192.95,3.45,350.0,96140.0
20100102:2200,-3.23,47.6,0.0,-0.0,0.0,192.95,3.24,353.0,96250.0
20100102:2300,-4.27,51.55,0.0,-0.0,0.0,194.1,3.03,360.0,96320.0
20100103:0000,-5.3,55.8,0.0,-0.0,0.0,195.05,2.76,359.0,96370.0
20100103:0100,-6.09,58.1,0.0,-0.0,0.0,194.0,2.48,0.0,96400.0
20100103:0200,-6.95,60.4,0.0,-0.0,0.0,194.5,2.48,6.0,96440.0
20100103:0300,-6.74,58.0,0.0,-0.0,0.0,194.5,2.21,4.0,96470.0
20100103:0400,-6.57,58.0,0.0,-0.0,0.0,195.25,2.21,13.0,96470.0
20100103:0500,-6.25,58.1,0.0,-0.0,0.0,194.3,2.14,15.0,96490.0
20100103:0600,-5.41,58.2,0.0,-0.0,0.0,213.25,1.93,24.0,96490.0
20100103:0700,-4.05,58.6,0.0,-0.0,0.0,206.3,1.66,19.0,96460.0
20100103:0800,-3.42,61.1,69.0,79.66,58.0,217.15,1.59,28.0,96550.0
20100103:0900,-1.94,56.6,123.0,47.91,111.0,224.3,1.38,40.0,96610.0
20100103:1000,-0.67,52.45,133.0,12.24,129.0,229.9,1.1,59.0,96640.0
20100103:1100,0.74,54.95,179.0,41.44,164.0,228.95,1.1,90.0,96600.0
20100103:1200,1.33,45.0,207.0,96.18,173.0,233.95,1.1,107.0,96560.0
20100103:1300,1.24,50.75,130.0,19.87,124.0,244.4,1.1,106.0,96540.0
20100103:1400,0.85,55.05,100.0,47.43,90.0,239.6,0.97,100.0,96550.0
20100103:1500,0.53,48.6,44.0,138.84,32.0,240.15,0.69,102.0,96520.0
20100103:1600,0.01,44.6,0.0,-0.0,0.0,238.4,0.83,71.0,96510.0
20100103:1700,-0.01,41.0,0.0,-0.0,0.0,244.2,0.9,53.0,96530.0
20100103:1800,-0.53,42.6,0.0,-0.0,0.0,226.2,0.97,42.0,96520.0
20100103:1900,-0.28,40.85,0.0,-0.0,0.0,223.3,0.55,31.0,96510.0
20100103:2000,-0.73,42.45,0.0,-0.0,0.0,224.65,0.69,37.0,96510.0
20100103:2100,-1.08,42.45,0.0,-0.0,0.0,218.5,0.97,31.0,96490.0
20100103:2200,-1.19,40.7,0.0,-0.0,0.0,219.65,1.17,26.0,96490.0
20100103:2300,-1.12,40.7,0.0,-0.0,0.0,222.15,1.31,28.0,96480.0
20100104:0000,-1.11,42.45,0.0,-0.0,0.0,222.95,1.31,26.0,96450.0
20100104:0100,-1.06,46.2,0.0,-0.0,0.0,229.05,1.31,20.0,96420.0
20100104:0200,-1.08,48.15,0.0,-0.0,0.0,239.75,1.24,20.0,96400.0
20100104:0300,-1.07,52.35,0.0,-0.0,0.0,257.6,1.03,17.0,96350.0
20100104:0400,-1.0,52.35,0.0,-0.0,0.0,260.5,0.83,21.0,96310.0
20100104:0500,-0.96,54.55,0.0,-0.0,0.0,278.85,0.62,34.0,96300.0
20100104:0600,-1.07,54.55,0.0,-0.0,0.0,289.9,0.41,13.0,96300.0
20100104:0700,-2.11,61.45,0.0,-0.0,0.0,284.85,0.83,357.0,96340.0
20100104:0800,-2.28,66.6,71.0,100.99,57.0,285.05,0.76,4.0,96340.0
20100104:0900,-2.47,72.25,164.0,194.94,115.0,284.65,0.83,6.0,96360.0
20100104:1000,-1.55,69.55,134.0,15.24,129.0,283.3,0.9,5.0,96340.0
20100104:1100,-0.91,66.9,114.0,0.0,114.0,281.6,0.97,6.0,96270.0
20100104:1200,-0.68,64.35,113.0,0.0,113.0,282.55,0.83,2.0,96190.0
20100104:1300,-0.34,67.0,128.0,19.73,122.0,280.4,0.76,356.0,96090.0
20100104:1400,-0.24,69.75,80.0,14.07,77.0,276.75,0.62,335.0,96050.0
20100104:1500,-0.8,78.5,38.0,67.51,32.0,260.3,0.69,311.0,95980.0
20100104:1600,-1.87,75.3,0.0,-0.0,0.0,248.85,0.9,305.0,95960.0
20100104:1700,-0.99,66.9,0.0,-0.0,0.0,245.2,0.9,309.0,95950.0
20100104:1800,-1.07,69.65,0.0,-0.0,0.0,233.4,0.83,317.0,95920.0
20100104:1900,-1.82,69.45,0.0,-0.0,0.0,218.7,0.83,323.0,95890.0
20100104:2000,-1.86,72.3,0.0,-0.0,0.0,218.1,0.9,324.0,95860.0
20100104:2100,-1.85,72.3,0.0,-0.0,0.0,215.2,0.69,324.0,95830.0
20100104:2200,-1.87,72.3,0.0,-0.0,0.0,219.05,0.41,312.0,95810.0
20100104:2300,-1.92,72.3,0.0,-0.0,0.0,213.85,0.34,319.0,95780.0
20100105:0000,-2.0,72.3,0.0,-0.0,0.0,217.5,0.48,347.0,95720.0
20100105:0100,-1.96,75.3,0.0,-0.0,0.0,217.8,0.41,2.0,95650.0
20100105:0200,-2.02,75.3,0.0,-0.0,0.0,217.15,0.48,355.0,95620.0
20100105:0300,-2.0,75.3,0.0,-0.0,0.0,215.95,0.76,358.0,95530.0
20100105:0400,-2.03,78.35,0.0,-0.0,0.0,216.75,0.62,352.0,95460.0
20100105:0500,-1.96,78.35,0.0,-0.0,0.0,223.7,0.21,303.0,95450.0
20100105:0600,-1.86,78.35,0.0,-0.0,0.0,236.5,0.34,323.0,95420.0
20100105:0700,-2.22,81.55,0.0,-0.0,0.0,276.95,1.1,8.0,95400.0
20100105:0800,-2.3,84.85,30.0,0.0,30.0,278.1,1.17,10.0,95370.0
20100105:0900,-2.22,78.35,21.0,0.0,21.0,275.95,1.03,5.0,95370.0
20100105:1000,-0.55,75.55,148.0,27.32,139.0,276.55,1.03,357.0,95300.0
20100105:1100,0.69,69.95,163.0,24.64,154.0,259.5,0.97,351.0,95210.0
20100105:1200,1.08,72.85,176.0,44.78,160.0,247.7,0.55,338.0,95100.0
20100105:1300,1.57,67.4,102.0,3.26,101.0,252.75,0.41,305.0,95030.0
20100105:1400,1.67,70.1,86.0,18.55,82.0,251.0,0.48,296.0,94990.0
