Latitude (decimal degrees): 45.441
Longitude (decimal degrees): 12.316
Elevation (m): 2.0
Irradiance Time Offset (h): 0.1765
month,year
1,2011
2,2008
3,2014
4,2008
5,2021
6,2011
7,2015
8,2019
9,2014
10,2014
11,2021
12,2019
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20110101:0000,4.31,83.1,0.0,-0.0,0.0,17.92,2.68,35.0,102320.0
20110101:0100,4.02,83.28,0.0,-0.0,0.0,19.41,2.51,36.0,102280.0
20110101:0200,3.73,83.46,0.0,-0.0,0.0,20.9,2.35,32.0,102240.0
20110101:0300,3.43,83.64,0.0,-0.0,0.0,22.38,2.18,24.0,102230.0
20110101:0400,3.14,83.83,0.0,-0.0,0.0,23.87,2.02,23.0,102180.0
20110101:0500,2.85,84.01,0.0,-0.0,0.0,25.36,1.85,30.0,102140.0
20110101:0600,2.56,84.19,0.0,-0.0,0.0,26.85,1.69,41.0,102130.0
20110101:0700,2.26,84.37,9.0,0.0,9.0,28.34,1.52,41.0,102120.0
20110101:0800,3.42,85.45,77.0,52.63,68.0,1.9,1.31,41.0,102140.0
20110101:0900,4.26,88.8,120.0,29.02,112.0,8.1,0.55,44.0,102120.0
20110101:1000,5.65,82.5,144.0,20.43,137.0,-12.35,0.97,329.0,102110.0
20110101:1100,6.26,79.5,156.0,19.06,149.0,13.9,0.83,274.0,102040.0
20110101:1200,6.77,79.5,139.0,14.37,134.0,0.15,1.1,258.0,101960.0
20110101:1300,7.15,79.55,105.0,10.5,102.0,3.85,1.59,245.0,101880.0
20110101:1400,7.23,76.65,65.0,10.8,63.0,3.45,1.86,243.0,101840.0
20110101:1500,6.57,79.5,14.0,18.85,13.0,3.05,1.72,248.0,101820.0
20110101:1600,6.46,79.5,0.0,-0.0,0.0,-4.8,1.86,251.0,101790.0
20110101:1700,5.93,79.5,0.0,-0.0,0.0,17.0,1.52,258.0,101770.0
20110101:1800,5.42,82.5,0.0,-0.0,0.0,-11.4,1.24,275.0,101740.0
20110101:1900,5.12,85.6,0.0,-0.0,0.0,-5.2,1.03,288.0,101720.0
20110101:2000,5.0,85.6,0.0,-0.0,0.0,6.0,0.76,306.0,101700.0
20110101:2100,4.71,85.55,0.0,-0.0,0.0,0.35,0.55,323.0,101690.0
20110101:2200,4.04,92.2,0.0,-0.0,0.0,-20.5,2.07,6.0,101660.0
20110101:2300,3.88,88.8,0.0,-0.0,0.0,19.5,2.28,357.0,101630.0
20110102:0000,4.0,88.8,0.0,-0.0,0.0,0.75,2.14,356.0,101600.0
20110102:0100,3.89,88.8,0.0,-0.0,0.0,296.4,1.93,4.0,101560.0
20110102:0200,3.74,88.75,0.0,-0.0,0.0,1.35,1.66,19.0,101540.0
20110102:0300,3.83,85.5,0.0,-0.0,0.0,8.1,1.79,17.0,101520.0
20110102:0400,3.6,88.75,0.0,-0.0,0.0,3.05,1.86,16.0,101490.0
20110102:0500,3.53,88.75,0.0,-0.0,0.0,-0.15,2.14,13.0,101490.0
20110102:0600,3.56,88.75,0.0,-0.0,0.0,3.85,2.21,9.0,101480.0
20110102:0700,3.45,85.45,9.0,0.0,9.0,-20.5,2.28,7.0,101510.0
20110102:0800,3.99,85.5,90.0,105.03,72.0,-20.1,2.07,360.0,101540.0
20110102:0900,4.52,85.55,112.0,18.09,107.0,11.6,2.21,354.0,101570.0
20110102:1000,5.83,76.55,139.0,14.55,134.0,-9.05,2.55,347.0,101550.0
20110102:1100,6.66,76.55,138.0,8.14,135.0,-3.65,2.07,353.0,101480.0
20110102:1200,7.29,71.05,152.0,22.89,144.0,3.85,2.41,8.0,101450.0
20110102:1300,7.69,68.5,151.0,76.47,129.0,-10.6,2.48,32.0,101430.0
20110102:1400,7.94,66.05,79.0,37.36,72.0,0.35,2.48,46.0,101430.0
20110102:1500,8.02,63.6,10.0,0.0,10.0,6.15,3.03,55.0,101460.0
20110102:1600,7.68,63.5,0.0,-0.0,0.0,-2.1,4.48,60.0,101520.0
20110102:1700,7.32,65.95,0.0,-0.0,0.0,4.25,5.45,64.0,101560.0
20110102:1800,6.93,68.4,0.0,-0.0,0.0,8.7,5.93,65.0,101620.0
20110102:1900,6.76,70.95,0.0,-0.0,0.0,2.5,6.07,66.0,101660.0
20110102:2000,6.23,68.3,0.0,-0.0,0.0,-7.7,5.72,64.0,101700.0
20110102:2100,5.89,68.3,0.0,-0.0,0.0,-7.7,5.17,64.0,101750.0
20110102:2200,5.97,65.75,0.0,-0.0,0.0,-8.7,4.97,67.0,101760.0
20110102:2300,5.49,68.2,0.0,-0.0,0.0,-1.9,5.31,68.0,101780.0
20110103:0000,4.98,68.1,0.0,-0.0,0.0,-0.55,5.38,66.0,101810.0
20110103:0100,4.62,70.7,0.0,-0.0,0.0,255.0,5.66,63.0,101820.0
20110103:0200,4.54,70.7,0.0,-0.0,0.0,0.95,5.66,58.0,101870.0
20110103:0300,3.94,70.6,0.0,-0.0,0.0,-6.75,5.1,55.0,101890.0
20110103:0400,3.48,70.5,0.0,-0.0,0.0,-2.1,4.83,56.0,101920.0
