Latitude (decimal degrees): 45.921
Longitude (decimal degrees): 8.552
Elevation (m): 200.0
Irradiance Time Offset (h): 0.1772
month,year
1,2017
2,2006
3,2005
4,2006
5,2005
6,2020
7,2008
8,2007
9,2005
10,2018
11,2007
12,2007
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20170101:0000,0.74,87.24,0.0,-0.0,0.0,252.13,0.82,352.0,96860.0
20170101:0100,0.23,88.94,0.0,-0.0,0.0,254.8,0.89,353.0,96800.0
20170101:0200,-0.27,90.64,0.0,-0.0,0.0,257.47,0.96,352.0,96720.0
20170101:0300,-0.77,92.34,0.0,-0.0,0.0,260.14,1.04,351.0,96670.0
20170101:0400,-1.27,94.04,0.0,-0.0,0.0,262.81,1.11,354.0,96610.0
20170101:0500,-1.77,95.74,0.0,-0.0,0.0,265.48,1.18,356.0,96610.0
20170101:0600,-2.27,97.44,0.0,-0.0,0.0,268.14,1.26,357.0,96570.0
20170101:0700,-2.77,99.14,0.0,-0.0,0.0,270.81,1.33,352.0,96630.0
20170101:0800,1.8,82.05,112.0,635.15,27.0,226.6,0.9,352.0,96580.0
20170101:0900,3.18,82.2,235.0,776.48,44.0,227.6,0.48,6.0,96570.0
20170101:1000,5.37,68.1,323.0,844.09,51.0,230.5,0.28,90.0,96530.0
20170101:1100,6.98,50.2,367.0,878.56,53.0,232.2,0.62,132.0,96480.0
20170101:1200,7.32,50.35,354.0,859.42,54.0,231.05,0.83,143.0,96390.0
20170101:1300,7.22,54.3,295.0,829.37,48.0,232.05,0.83,148.0,96340.0
20170101:1400,6.65,60.85,188.0,714.53,40.0,232.8,0.55,153.0,96320.0
20170101:1500,5.71,76.4,26.0,0.0,26.0,231.05,0.48,142.0,96310.0
20170101:1600,5.21,70.8,0.0,-0.0,0.0,228.95,0.34,120.0,96320.0
20170101:1700,4.47,82.3,0.0,-0.0,0.0,228.35,0.34,74.0,96330.0
20170101:1800,3.98,82.3,0.0,-0.0,0.0,228.15,0.48,54.0,96350.0
20170101:1900,2.8,88.7,0.0,-0.0,0.0,228.75,0.76,19.0,96360.0
20170101:2000,2.68,92.15,0.0,-0.0,0.0,227.75,0.76,21.0,96370.0
20170101:2100,2.55,92.15,0.0,-0.0,0.0,228.55,0.69,23.0,96350.0
20170101:2200,0.79,92.05,0.0,-0.0,0.0,251.4,0.83,12.0,96350.0
20170101:2300,-1.59,95.6,0.0,-0.0,0.0,270.75,0.9,359.0,96340.0
20170102:0000,-1.96,95.55,0.0,-0.0,0.0,287.2,0.9,356.0,96340.0
