Latitude (decimal degrees): 45.320
Longitude (decimal degrees): 8.419
Elevation (m): 132.0
Irradiance Time Offset (h): 0.1765
month,year
1,2016
2,2012
3,2010
4,2023
5,2005
6,2011
7,2023
8,2021
9,2014
10,2005
11,2023
12,2015
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20160101:0000,1.25,91.8,0.0,-0.0,0.0,272.13,0.79,43.0,101480.0
20160101:0100,1.0,92.39,0.0,-0.0,0.0,271.36,0.76,14.0,101450.0
20160101:0200,0.75,92.98,0.0,-0.0,0.0,270.58,0.73,326.0,101450.0
20160101:0300,0.5,93.57,0.0,-0.0,0.0,269.81,0.7,314.0,101440.0
20160101:0400,0.25,94.17,0.0,-0.0,0.0,269.03,0.67,312.0,101430.0
20160101:0500,0.0,94.76,0.0,-0.0,0.0,268.26,0.64,316.0,101420.0
20160101:0600,-0.24,95.35,0.0,-0.0,0.0,267.48,0.61,300.0,101430.0
20160101:0700,-0.49,95.95,0.0,-0.0,0.0,266.71,0.58,239.0,101450.0
20160101:0800,-1.19,99.4,82.0,178.67,57.0,252.75,0.9,245.0,101490.0
20160101:0900,1.73,85.3,103.0,19.72,98.0,272.65,0.48,235.0,101480.0
20160101:1000,3.61,79.1,99.0,0.0,99.0,272.5,0.34,162.0,101480.0
20160101:1100,4.99,73.45,166.0,27.25,156.0,266.5,0.62,127.0,101450.0
20160101:1200,5.92,68.2,170.0,39.0,156.0,268.4,0.83,107.0,101360.0
20160101:1300,6.28,65.75,121.0,13.0,117.0,274.6,0.97,101.0,101310.0
20160101:1400,6.51,68.3,117.0,106.33,94.0,269.0,1.1,88.0,101270.0
20160101:1500,6.22,68.3,38.0,65.7,32.0,281.6,1.17,69.0,101290.0
20160101:1600,4.98,76.3,0.0,-0.0,0.0,266.85,1.86,59.0,101270.0
20160101:1700,3.64,82.25,0.0,-0.0,0.0,264.55,1.66,59.0,101300.0
20160101:1800,2.22,85.35,0.0,-0.0,0.0,256.4,1.38,53.0,101280.0
20160101:1900,1.49,92.05,0.0,-0.0,0.0,279.45,1.24,37.0,101270.0
20160101:2000,1.1,95.65,0.0,-0.0,0.0,271.1,1.1,34.0,101270.0
20160101:2100,1.07,95.65,0.0,-0.0,0.0,278.85,0.97,38.0,101240.0
20160101:2200,0.64,92.05,0.0,-0.0,0.0,269.2,1.03,37.0,101190.0
20160101:2300,0.54,95.65,0.0,-0.0,0.0,277.3,0.97,34.0,101180.0
20160102:0000,0.33,95.65,0.0,-0.0,0.0,281.95,1.03,29.0,101100.0
20160102:0100,0.43,95.65,0.0,-0.0,0.0,289.8,1.03,33.0,101050.0
20160102:0200,0.37,95.65,0.0,-0.0,0.0,286.4,1.03,27.0,100980.0
20160102:0300,0.68,95.65,0.0,-0.0,0.0,300.35,0.97,24.0,100950.0
20160102:0400,0.94,95.65,0.0,-0.0,0.0,303.05,1.1,17.0,100870.0
20160102:0500,1.27,95.65,0.0,-0.0,0.0,307.3,1.1,29.0,100820.0
20160102:0600,1.42,95.65,0.0,-0.0,0.0,310.05,1.03,40.0,100780.0
20160102:0700,1.64,95.65,0.0,-0.0,0.0,317.75,0.48,25.0,100790.0
20160102:0800,1.96,95.65,44.0,7.13,43.0,317.55,0.69,22.0,100780.0
20160102:0900,2.37,95.7,0.0,0.0,0.0,320.5,0.97,44.0,100740.0
20160102:1000,2.31,95.7,118.0,6.02,116.0,320.65,1.17,56.0,100730.0
20160102:1100,2.18,92.15,62.0,0.0,62.0,318.15,1.45,63.0,100670.0
20160102:1200,1.66,95.65,59.0,0.0,59.0,320.1,1.31,48.0,100560.0
20160102:1300,1.5,99.4,53.0,0.0,53.0,320.3,1.45,38.0,100520.0
20160102:1400,1.53,99.4,88.0,22.89,83.0,319.5,1.59,42.0,100460.0
20160102:1500,1.59,99.4,19.0,0.0,19.0,318.75,1.45,38.0,100450.0
20160102:1600,1.52,95.65,0.0,-0.0,0.0,317.4,1.31,35.0,100400.0
20160102:1700,1.4,95.65,0.0,-0.0,0.0,312.75,1.17,24.0,100380.0
20160102:1800,1.27,95.65,0.0,-0.0,0.0,313.3,0.97,3.0,100350.0
20160102:1900,0.95,99.35,0.0,-0.0,0.0,304.6,0.55,16.0,100270.0
20160102:2000,0.85,95.65,0.0,-0.0,0.0,311.95,0.34,351.0,100220.0
20160102:2100,0.71,95.65,0.0,-0.0,0.0,309.85,0.48,278.0,100170.0
20160102:2200,0.64,95.65,0.0,-0.0,0.0,310.4,0.69,268.0,100140.0
20160102:2300,0.51,99.4,0.0,-0.0,0.0,308.85,0.76,266.0,100090.0
20160103:0000,0.33,95.65,0.0,-0.0,0.0,306.15,0.69,260.0,100040.0
20160103:0100,0.21,95.65,0.0,-0.0,0.0,302.0,0.48,241.0,99990.0
20160103:0200,0.13,95.65,0.0,-0.0,0.0,306.95,0.48,208.0,99980.0
20160103:0300,0.06,99.4,0.0,-0.0,0.0,301.5,0.55,206.0,99960.0
20160103:0400,-0.01,95.6,0.0,-0.0,0.0,306.95,0.69,240.0,99920.0
20160103:0500,-0.04,95.6,0.0,-0.0,0.0,306.95,0.83,239.0,99900.0
20160103:0600,-0.14,95.6,0.0,-0.0,0.0,304.6,1.17,231.0,99880.0
20160103:0700,0.15,95.65,0.0,-0.0,0.0,298.6,1.52,216.0,99790.0
20160103:0800,0.43,95.65,53.0,21.34,50.0,302.1,1.1,201.0,99800.0
20160103:0900,1.0,95.65,69.0,0.0,69.0,298.8,0.83,157.0,99790.0
20160103:1000,1.83,95.65,69.0,0.0,69.0,293.55,0.55,149.0,99790.0
20160103:1100,2.7,92.15,78.0,0.0,78.0,301.5,0.28,123.0,99800.0
20160103:1200,3.67,88.75,98.0,0.0,98.0,299.75,1.45,84.0,99710.0
20160103:1300,4.24,88.8,178.0,102.73,146.0,281.75,2.0,82.0,99630.0
20160103:1400,4.53,88.8,33.0,0.0,33.0,299.95,2.21,77.0,99620.0
20160103:1500,4.16,85.5,28.0,10.43,27.0,290.1,2.28,71.0,99630.0
20160103:1600,3.48,92.15,0.0,-0.0,0.0,300.15,2.41,65.0,99610.0
20160103:1700,3.21,92.15,0.0,-0.0,0.0,309.85,2.69,55.0,99620.0
20160103:1800,3.08,95.7,0.0,-0.0,0.0,311.55,2.83,52.0,99610.0
20160103:1900,2.17,92.15,0.0,-0.0,0.0,308.85,2.34,52.0,99600.0
20160103:2000,2.19,92.15,0.0,-0.0,0.0,314.5,2.14,47.0,99510.0
20160103:2100,2.27,92.15,0.0,-0.0,0.0,318.75,2.28,39.0,99430.0
20160103:2200,2.17,95.7,0.0,-0.0,0.0,320.65,2.28,35.0,99390.0
20160103:2300,1.75,95.65,0.0,-0.0,0.0,321.05,2.14,34.0,99320.0
20160104:0000,1.39,99.4,0.0,-0.0,0.0,320.3,2.14,36.0,99240.0
20160104:0100,1.18,95.65,0.0,-0.0,0.0,319.6,2.14,32.0,99130.0
20160104:0200,1.02,99.35,0.0,-0.0,0.0,317.75,2.21,33.0,99050.0
20160104:0300,0.88,95.65,0.0,-0.0,0.0,315.25,2.34,31.0,98970.0
20160104:0400,0.8,95.65,0.0,-0.0,0.0,313.5,0.0,0.0,98870.0
20160104:0500,0.71,95.65,0.0,-0.0,0.0,308.3,0.0,0.0,98850.0
20160104:0600,0.68,92.05,0.0,-0.0,0.0,310.05,2.07,40.0,98850.0
20160104:0700,0.78,92.05,0.0,-0.0,0.0,310.4,1.17,21.0,98810.0
20160104:0800,0.93,92.05,60.0,42.52,54.0,301.7,1.1,28.0,98780.0
20160104:0900,1.43,88.6,120.0,43.01,109.0,298.05,1.24,20.0,98790.0
20160104:1000,2.08,88.65,143.0,20.94,136.0,302.65,0.97,29.0,98770.0
20160104:1100,2.86,82.2,169.0,26.94,159.0,311.95,1.17,47.0,98740.0
20160104:1200,3.18,82.2,102.0,0.0,102.0,306.55,0.69,44.0,98670.0
20160104:1300,3.48,82.2,122.0,12.75,118.0,302.5,0.55,54.0,98630.0
20160104:1400,3.6,79.1,92.0,26.91,86.0,291.05,0.14,73.0,98630.0
20160104:1500,3.31,79.1,72.0,498.19,23.0,289.5,0.14,85.0,98610.0
20160104:1600,2.45,82.15,0.0,-0.0,0.0,258.95,0.55,201.0,98600.0
20160104:1700,1.0,92.05,0.0,-0.0,0.0,260.65,0.9,237.0,98650.0
20160104:1800,-0.36,92.0,0.0,-0.0,0.0,252.95,1.03,244.0,98650.0
20160104:1900,0.0,95.6,0.0,-0.0,0.0,276.55,1.03,239.0,98650.0
20160104:2000,-0.38,95.6,0.0,-0.0,0.0,264.95,0.9,262.0,98650.0
20160104:2100,-0.5,95.6,0.0,-0.0,0.0,276.15,1.24,291.0,98640.0
20160104:2200,-0.99,99.4,0.0,-0.0,0.0,258.15,1.38,317.0,98630.0
20160104:2300,-1.47,99.4,0.0,-0.0,0.0,251.4,1.52,340.0,98630.0
20160105:0000,-1.14,99.4,0.0,-0.0,0.0,256.6,0.83,348.0,98600.0
20160105:0100,-0.83,95.6,0.0,-0.0,0.0,273.55,0.41,343.0,98590.0
20160105:0200,-1.11,99.4,0.0,-0.0,0.0,278.85,0.62,356.0,98620.0
20160105:0300,-0.92,99.4,0.0,-0.0,0.0,286.2,0.9,16.0,98610.0
20160105:0400,-0.46,99.4,0.0,-0.0,0.0,296.65,1.1,27.0,98580.0
20160105:0500,-0.52,99.4,0.0,-0.0,0.0,289.5,1.1,28.0,98610.0
20160105:0600,-0.62,95.6,0.0,-0.0,0.0,283.1,1.1,33.0,98660.0
20160105:0700,0.22,95.65,0.0,-0.0,0.0,287.95,1.66,43.0,98770.0
20160105:0800,0.96,95.65,65.0,63.49,56.0,309.05,1.66,48.0,98830.0
20160105:0900,1.62,88.65,67.0,0.0,67.0,302.5,1.66,50.0,98880.0
20160105:1000,2.35,88.65,61.0,0.0,61.0,289.9,1.24,61.0,98930.0
20160105:1100,3.03,88.7,135.0,5.36,133.0,299.0,1.17,42.0,98930.0
20160105:1200,4.01,85.45,57.0,0.0,57.0,298.8,1.38,34.0,98870.0
20160105:1300,4.46,82.3,91.0,0.0,91.0,305.2,1.86,46.0,98840.0
20160105:1400,4.87,79.3,93.0,26.62,87.0,299.2,2.0,59.0,98820.0
20160105:1500,4.72,79.3,40.0,49.56,35.0,296.65,1.59,72.0,98850.0
20160105:1600,4.0,85.45,0.0,-0.0,0.0,291.65,0.97,108.0,98870.0
20160105:1700,3.06,88.7,0.0,-0.0,0.0,288.35,0.62,184.0,98920.0
20160105:1800,2.94,88.7,0.0,-0.0,0.0,283.3,0.55,278.0,98940.0
20160105:1900,1.39,95.65,0.0,-0.0,0.0,281.95,1.38,321.0,98980.0
20160105:2000,1.36,95.65,0.0,-0.0,0.0,291.25,1.45,354.0,98980.0
20160105:2100,1.4,95.65,0.0,-0.0,0.0,295.9,1.38,30.0,98980.0
20160105:2200,1.82,92.1,0.0,-0.0,0.0,311.55,0.97,64.0,98980.0
20160105:2300,2.35,92.15,0.0,-0.0,0.0,317.4,0.48,100.0,99000.0
20160106:0000,2.42,92.15,0.0,-0.0,0.0,312.75,0.28,227.0,98970.0
20160106:0100,2.0,95.65,0.0,-0.0,0.0,309.15,0.9,276.0,98950.0
20160106:0200,2.11,95.65,0.0,-0.0,0.0,312.75,0.97,284.0,98940.0
20160106:0300,1.56,95.65,0.0,-0.0,0.0,293.0,0.97,287.0,98940.0
20160106:0400,1.47,95.65,0.0,-0.0,0.0,296.1,0.9,284.0,98920.0
20160106:0500,1.32,92.05,0.0,-0.0,0.0,282.95,0.76,272.0,98930.0
20160106:0600,0.5,95.65,0.0,-0.0,0.0,263.6,0.97,268.0,98940.0
20160106:0700,1.27,95.65,0.0,-0.0,0.0,310.6,1.24,260.0,98940.0
20160106:0800,0.88,95.65,112.0,512.25,39.0,267.45,1.38,276.0,98940.0
20160106:0900,2.99,95.7,236.0,682.71,60.0,263.0,1.1,284.0,98980.0
20160106:1000,4.82,92.25,328.0,774.55,67.0,260.3,0.76,273.0,98980.0
20160106:1100,6.18,82.55,378.0,835.48,65.0,281.2,0.55,245.0,98970.0
20160106:1200,7.13,76.65,370.0,831.02,64.0,283.3,0.41,187.0,98910.0
20160106:1300,7.58,73.9,302.0,729.18,70.0,277.1,0.62,151.0,98870.0
20160106:1400,7.65,71.15,195.0,583.64,62.0,277.9,0.83,177.0,98880.0
20160106:1500,7.23,73.9,64.0,280.14,35.0,281.0,0.97,176.0,98890.0
20160106:1600,6.12,82.5,0.0,-0.0,0.0,282.95,1.17,166.0,98900.0
20160106:1700,4.25,88.8,0.0,-0.0,0.0,271.5,1.17,155.0,98900.0
20160106:1800,3.7,88.75,0.0,-0.0,0.0,276.75,1.1,153.0,98900.0
20160106:1900,1.28,92.05,0.0,-0.0,0.0,242.3,2.14,238.0,98900.0
20160106:2000,0.63,92.05,0.0,-0.0,0.0,245.4,2.0,242.0,98900.0
20160106:2100,0.01,95.6,0.0,-0.0,0.0,240.55,1.86,237.0,98880.0
20160106:2200,-0.22,95.6,0.0,-0.0,0.0,238.8,1.66,243.0,98900.0
20160106:2300,1.2,92.05,0.0,-0.0,0.0,239.75,0.9,254.0,98940.0
20160107:0000,0.97,95.65,0.0,-0.0,0.0,237.85,0.21,350.0,98950.0
20160107:0100,0.13,95.65,0.0,-0.0,0.0,239.7,0.14,50.0,98970.0
20160107:0200,-0.96,99.4,0.0,-0.0,0.0,257.4,0.14,139.0,99020.0
20160107:0300,-1.43,100.0,0.0,-0.0,0.0,271.5,0.14,335.0,99070.0
20160107:0400,-1.34,99.4,0.0,-0.0,0.0,287.0,0.62,29.0,99040.0
20160107:0500,-1.23,99.4,0.0,-0.0,0.0,286.4,0.62,5.0,99080.0
20160107:0600,-0.69,95.6,0.0,-0.0,0.0,298.05,0.34,26.0,99080.0
20160107:0700,0.09,95.6,0.0,-0.0,0.0,300.55,1.24,32.0,99120.0
20160107:0800,0.64,92.05,51.0,13.95,49.0,303.65,0.97,50.0,99160.0
20160107:0900,2.05,92.1,102.0,15.44,98.0,307.9,0.9,50.0,99200.0
20160107:1000,3.73,88.75,97.0,0.0,97.0,297.85,0.97,55.0,99190.0
20160107:1100,5.45,82.4,150.0,10.62,146.0,303.65,1.03,42.0,99140.0
20160107:1200,6.27,79.5,139.0,8.1,136.0,304.4,1.31,29.0,99060.0
20160107:1300,6.15,88.9,133.0,18.71,127.0,310.4,1.52,22.0,99020.0
20160107:1400,6.06,92.3,99.0,30.37,92.0,323.75,1.86,14.0,99000.0
20160107:1500,5.73,92.3,10.0,0.0,10.0,327.45,2.07,17.0,99050.0
20160107:1600,4.97,95.75,0.0,-0.0,0.0,323.0,2.0,26.0,99100.0
20160107:1700,4.43,92.2,0.0,-0.0,0.0,320.85,1.72,37.0,99160.0
20160107:1800,3.99,92.15,0.0,-0.0,0.0,316.2,0.83,42.0,99200.0
20160107:1900,4.34,88.8,0.0,-0.0,0.0,307.1,0.34,18.0,99220.0
20160107:2000,3.04,92.15,0.0,-0.0,0.0,301.9,0.97,245.0,99240.0
20160107:2100,1.94,95.65,0.0,-0.0,0.0,286.8,1.52,245.0,99250.0
20160107:2200,1.68,92.1,0.0,-0.0,0.0,290.85,1.52,249.0,99290.0
20160107:2300,1.66,92.1,0.0,-0.0,0.0,295.7,1.38,278.0,99310.0
20160108:0000,1.22,92.05,0.0,-0.0,0.0,279.05,1.72,300.0,99340.0
20160108:0100,0.35,95.65,0.0,-0.0,0.0,261.55,1.79,321.0,99300.0
20160108:0200,-0.31,95.6,0.0,-0.0,0.0,271.5,1.72,338.0,99350.0
20160108:0300,-0.5,99.4,0.0,-0.0,0.0,276.55,1.38,328.0,99380.0
20160108:0400,-0.67,95.6,0.0,-0.0,0.0,276.95,1.24,299.0,99400.0
20160108:0500,-0.82,95.6,0.0,-0.0,0.0,276.15,0.97,275.0,99410.0
20160108:0600,-0.4,92.0,0.0,-0.0,0.0,269.6,0.55,275.0,99470.0
20160108:0700,-0.8,95.6,0.0,0.0,0.0,295.9,1.03,343.0,99510.0
20160108:0800,-0.29,95.6,69.0,76.2,58.0,285.05,1.52,8.0,99570.0
20160108:0900,1.31,95.65,111.0,26.89,104.0,291.85,1.38,40.0,99670.0
20160108:1000,2.57,95.7,130.0,8.82,127.0,299.95,1.59,53.0,99730.0
20160108:1100,4.13,92.15,149.0,10.57,145.0,310.2,1.93,52.0,99730.0
20160108:1200,5.56,85.6,99.0,0.0,99.0,283.3,2.07,55.0,99700.0
20160108:1300,6.48,79.5,89.0,0.0,89.0,282.55,2.0,55.0,99670.0
20160108:1400,6.84,76.65,64.0,0.0,64.0,291.05,1.93,48.0,99690.0
20160108:1500,6.63,79.5,9.0,0.0,9.0,292.6,1.59,34.0,99690.0
20160108:1600,5.74,82.5,0.0,-0.0,0.0,301.3,1.72,27.0,99700.0
20160108:1700,4.63,88.8,0.0,-0.0,0.0,285.65,1.79,18.0,99760.0
20160108:1800,4.32,88.8,0.0,-0.0,0.0,304.05,1.93,8.0,99790.0
20160108:1900,4.15,88.8,0.0,-0.0,0.0,321.85,1.45,21.0,99780.0
