Latitude (decimal degrees): 45.438
Longitude (decimal degrees): 10.992
Elevation (m): 67.0
Irradiance Time Offset (h): 0.1766
month,year
1,2017
2,2008
3,2021
4,2019
5,2010
6,2014
7,2006
8,2023
9,2013
10,2012
11,2022
12,2005
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20170101:0000,-0.89,83.39,0.0,-0.0,0.0,274.08,1.43,348.0,102710.0
20170101:0100,-0.93,84.59,0.0,-0.0,0.0,271.46,1.45,350.0,102660.0
20170101:0200,-0.96,85.79,0.0,-0.0,0.0,268.84,1.48,350.0,102600.0
20170101:0300,-1.0,86.99,0.0,-0.0,0.0,266.22,1.5,347.0,102550.0
20170101:0400,-1.03,88.19,0.0,-0.0,0.0,263.6,1.52,346.0,102480.0
20170101:0500,-1.07,89.39,0.0,-0.0,0.0,260.98,1.55,344.0,102470.0
20170101:0600,-1.1,90.59,0.0,-0.0,0.0,258.36,1.57,339.0,102430.0
20170101:0700,-1.14,91.79,0.0,0.0,0.0,255.74,1.59,329.0,102500.0
20170101:0800,-0.59,88.45,135.0,580.47,42.0,246.35,1.52,316.0,102480.0
20170101:0900,1.72,88.65,260.0,772.56,53.0,257.75,0.9,314.0,102470.0
20170101:1000,4.71,70.6,331.0,750.53,77.0,257.6,0.83,303.0,102400.0
20170101:1100,6.1,65.65,365.0,785.01,77.0,243.85,0.83,278.0,102320.0
20170101:1200,6.73,61.0,349.0,785.56,73.0,249.45,1.03,256.0,102220.0
20170101:1300,6.84,63.35,282.0,751.16,62.0,241.7,1.03,247.0,102170.0
20170101:1400,6.27,70.95,166.0,572.93,54.0,236.85,1.1,230.0,102160.0
20170101:1500,4.96,79.3,32.0,152.0,22.0,237.85,1.31,241.0,102170.0
20170101:1600,3.16,88.7,0.0,-0.0,0.0,231.85,1.03,293.0,102180.0
20170101:1700,1.87,85.3,0.0,-0.0,0.0,232.8,1.31,336.0,102190.0
20170101:1800,1.17,88.55,0.0,-0.0,0.0,233.4,1.45,344.0,102200.0
20170101:1900,-0.75,91.95,0.0,-0.0,0.0,234.15,1.79,348.0,102200.0
20170101:2000,-0.16,88.45,0.0,-0.0,0.0,236.85,1.59,343.0,102210.0
20170101:2100,0.0,88.45,0.0,-0.0,0.0,239.95,1.59,335.0,102200.0
20170101:2200,0.0,88.45,0.0,-0.0,0.0,235.9,1.52,340.0,102190.0
20170101:2300,0.28,85.15,0.0,-0.0,0.0,238.2,1.45,339.0,102170.0
20170102:0000,0.44,85.15,0.0,-0.0,0.0,249.05,1.45,335.0,102150.0
20170102:0100,0.9,85.2,0.0,-0.0,0.0,246.45,1.45,334.0,102110.0
20170102:0200,1.34,82.0,0.0,-0.0,0.0,248.5,1.38,331.0,102110.0
20170102:0300,1.78,78.95,0.0,-0.0,0.0,265.5,1.31,326.0,102070.0
20170102:0400,2.26,79.0,0.0,-0.0,0.0,283.9,1.17,322.0,102030.0
20170102:0500,2.43,79.0,0.0,-0.0,0.0,288.55,1.17,311.0,102000.0
20170102:0600,2.57,79.0,0.0,-0.0,0.0,281.75,1.17,310.0,101990.0
20170102:0700,1.24,82.0,0.0,0.0,0.0,268.4,1.24,314.0,102020.0
20170102:0800,1.78,82.05,135.0,597.94,39.0,267.05,1.1,315.0,102000.0
20170102:0900,3.52,82.25,249.0,699.93,61.0,270.35,0.62,300.0,102000.0
20170102:1000,4.88,79.3,330.0,760.1,72.0,270.15,0.34,283.0,101950.0
20170102:1100,6.05,73.65,361.0,765.85,79.0,279.65,0.34,258.0,101890.0
20170102:1200,6.55,70.95,346.0,781.87,70.0,276.75,0.62,231.0,101790.0
20170102:1300,6.74,71.05,271.0,664.83,75.0,278.3,0.69,225.0,101700.0
20170102:1400,6.19,79.4,131.0,242.89,83.0,281.95,0.76,194.0,101670.0
20170102:1500,5.02,85.55,35.0,176.33,23.0,272.5,0.9,174.0,101640.0
20170102:1600,3.95,85.5,0.0,-0.0,0.0,288.75,0.62,121.0,101650.0
20170102:1700,2.49,92.15,0.0,-0.0,0.0,270.75,1.17,60.0,101630.0
20170102:1800,1.62,95.65,0.0,-0.0,0.0,278.85,1.38,44.0,101640.0
20170102:1900,2.38,92.15,0.0,-0.0,0.0,303.05,1.17,38.0,101570.0
20170102:2000,2.31,92.15,0.0,-0.0,0.0,291.85,1.17,63.0,101540.0
20170102:2100,2.27,92.15,0.0,-0.0,0.0,299.2,1.17,66.0,101540.0
20170102:2200,1.82,92.1,0.0,-0.0,0.0,292.6,1.31,62.0,101560.0
20170102:2300,1.7,92.1,0.0,-0.0,0.0,300.75,1.45,54.0,101580.0
20170103:0000,1.5,92.05,0.0,-0.0,0.0,293.4,1.79,46.0,101570.0
20170103:0100,1.62,92.05,0.0,-0.0,0.0,291.15,1.79,44.0,101570.0
20170103:0200,1.68,88.65,0.0,-0.0,0.0,284.85,1.72,41.0,101600.0
20170103:0300,2.58,85.35,0.0,-0.0,0.0,280.05,1.31,26.0,101640.0
20170103:0400,1.44,85.25,0.0,-0.0,0.0,250.8,1.45,352.0,101680.0
20170103:0500,-0.57,91.95,0.0,-0.0,0.0,248.1,1.86,349.0,101740.0
20170103:0600,-0.98,95.6,0.0,-0.0,0.0,243.85,1.79,1.0,101840.0
20170103:0700,2.15,85.3,0.0,0.0,0.0,273.05,1.72,37.0,101840.0
20170103:0800,2.17,85.3,133.0,558.99,43.0,260.1,2.07,59.0,101960.0
20170103:0900,4.81,79.3,251.0,701.62,62.0,254.85,2.34,78.0,102060.0
20170103:1000,7.56,68.5,330.0,748.79,75.0,245.6,2.76,83.0,102160.0
20170103:1100,8.0,63.6,363.0,768.23,79.0,245.75,3.31,87.0,102190.0
20170103:1200,8.18,63.6,343.0,744.13,79.0,243.85,3.1,93.0,102170.0
20170103:1300,8.13,58.9,277.0,697.31,70.0,243.85,2.55,101.0,102160.0
20170103:1400,7.81,58.9,166.0,540.37,58.0,246.95,1.79,110.0,102140.0
20170103:1500,6.72,73.7,36.0,184.62,23.0,240.55,0.9,127.0,102150.0
20170103:1600,6.57,63.25,0.0,-0.0,0.0,238.4,0.28,272.0,102190.0
20170103:1700,5.02,70.7,0.0,-0.0,0.0,235.9,1.24,302.0,102200.0
20170103:1800,2.16,82.05,0.0,-0.0,0.0,236.1,1.66,303.0,102210.0
20170103:1900,1.86,78.95,0.0,-0.0,0.0,235.15,1.72,326.0,102170.0
20170103:2000,1.73,82.05,0.0,-0.0,0.0,233.0,1.66,318.0,102190.0
20170103:2100,1.53,85.25,0.0,-0.0,0.0,230.65,1.59,310.0,102170.0
20170103:2200,0.86,85.2,0.0,-0.0,0.0,228.95,1.66,305.0,102110.0
20170103:2300,0.19,88.5,0.0,-0.0,0.0,228.95,1.79,301.0,102080.0
20170104:0000,-0.37,91.95,0.0,-0.0,0.0,229.15,1.86,299.0,101990.0
20170104:0100,-1.41,95.6,0.0,-0.0,0.0,231.95,2.0,298.0,101940.0
20170104:0200,-1.8,95.6,0.0,-0.0,0.0,232.2,2.07,295.0,101870.0
20170104:0300,-1.95,99.4,0.0,-0.0,0.0,232.8,2.07,292.0,101780.0
20170104:0400,-2.08,95.55,0.0,-0.0,0.0,234.15,2.07,290.0,101690.0
20170104:0500,-2.12,95.55,0.0,-0.0,0.0,236.65,2.0,288.0,101580.0
20170104:0600,-2.15,95.55,0.0,-0.0,0.0,239.6,2.0,285.0,101490.0
20170104:0700,-2.09,95.55,0.0,0.0,0.0,230.5,2.0,284.0,101430.0
20170104:0800,-1.14,95.6,141.0,649.84,36.0,232.8,1.86,278.0,101350.0
20170104:0900,2.31,88.65,183.0,222.0,123.0,237.85,1.86,267.0,101270.0
20170104:1000,4.68,79.2,245.0,248.69,160.0,242.5,2.41,262.0,101180.0
20170104:1100,6.26,63.25,275.0,280.13,171.0,243.05,2.97,264.0,101050.0
20170104:1200,7.32,58.8,334.0,664.48,97.0,248.85,3.24,264.0,100880.0
20170104:1300,7.85,58.9,279.0,695.64,71.0,249.45,3.38,265.0,100740.0
20170104:1400,7.71,63.5,171.0,573.67,55.0,248.3,2.76,262.0,100650.0
20170104:1500,6.76,65.85,37.0,178.4,24.0,249.45,2.34,266.0,100610.0
20170104:1600,4.89,76.3,0.0,-0.0,0.0,248.1,1.59,279.0,100600.0
20170104:1700,4.54,76.25,0.0,-0.0,0.0,245.95,1.03,328.0,100580.0
20170104:1800,3.9,76.25,0.0,-0.0,0.0,238.4,1.1,9.0,100600.0
20170104:1900,-0.26,88.45,0.0,-0.0,0.0,241.3,2.14,55.0,100610.0
20170104:2000,-0.94,91.95,0.0,-0.0,0.0,237.65,2.14,56.0,100720.0
20170104:2100,-0.93,91.95,0.0,-0.0,0.0,232.4,1.86,61.0,100800.0
20170104:2200,-0.19,88.45,0.0,-0.0,0.0,228.35,1.38,59.0,100890.0
20170104:2300,1.57,85.25,0.0,-0.0,0.0,229.5,0.83,16.0,100950.0
20170105:0000,1.36,85.25,0.0,-0.0,0.0,224.3,1.03,286.0,100970.0
20170105:0100,-0.68,91.95,0.0,-0.0,0.0,221.5,1.72,273.0,101000.0
20170105:0200,-1.11,91.95,0.0,-0.0,0.0,218.7,1.86,282.0,100980.0
20170105:0300,-0.24,85.1,0.0,-0.0,0.0,215.2,1.59,320.0,100980.0
20170105:0400,-1.66,88.35,0.0,-0.0,0.0,215.6,2.07,347.0,101010.0
20170105:0500,-2.23,84.85,0.0,-0.0,0.0,215.6,2.21,348.0,101080.0
20170105:0600,-2.54,84.85,0.0,-0.0,0.0,216.35,2.34,345.0,101140.0
20170105:0700,-2.15,81.55,0.0,0.0,0.0,215.0,2.28,344.0,101150.0
20170105:0800,-0.5,75.55,141.0,616.26,41.0,217.15,1.93,351.0,101260.0
20170105:0900,3.34,60.3,266.0,770.37,57.0,218.1,1.24,9.0,101380.0
20170105:1000,6.21,49.95,343.0,775.15,77.0,208.6,0.97,50.0,101500.0
20170105:1100,7.24,36.6,380.0,809.73,78.0,208.6,1.24,56.0,101540.0
20170105:1200,7.28,31.1,325.0,549.24,128.0,208.8,1.59,47.0,101540.0
20170105:1300,6.8,30.95,286.0,683.78,80.0,211.15,1.66,37.0,101610.0
20170105:1400,6.23,50.05,189.0,708.52,44.0,212.1,0.69,43.0,101660.0
20170105:1500,5.81,36.2,51.0,411.05,20.0,208.8,0.07,73.0,101730.0
20170105:1600,4.42,40.45,0.0,-0.0,0.0,204.35,0.69,352.0,101800.0
20170105:1700,1.41,45.0,0.0,-0.0,0.0,202.8,1.66,358.0,101900.0
20170105:1800,-1.06,50.2,0.0,-0.0,0.0,198.15,2.07,2.0,102010.0
20170105:1900,1.2,27.1,0.0,-0.0,0.0,197.2,1.72,26.0,101990.0
20170105:2000,1.82,25.0,0.0,-0.0,0.0,196.05,1.52,37.0,102110.0
20170105:2100,2.42,24.05,0.0,-0.0,0.0,194.85,1.1,35.0,102200.0
20170105:2200,1.74,26.1,0.0,-0.0,0.0,193.9,1.1,19.0,102350.0
20170105:2300,0.43,30.55,0.0,-0.0,0.0,193.3,1.38,359.0,102430.0
20170106:0000,-2.16,38.7,0.0,-0.0,0.0,193.15,1.86,351.0,102480.0
20170106:0100,-3.22,43.75,0.0,-0.0,0.0,193.25,2.14,349.0,102540.0
20170106:0200,-3.74,47.45,0.0,-0.0,0.0,192.55,2.14,349.0,102600.0
20170106:0300,-4.13,51.55,0.0,-0.0,0.0,192.55,2.21,351.0,102610.0
20170106:0400,-4.37,53.75,0.0,-0.0,0.0,191.0,2.14,354.0,102640.0
20170106:0500,-4.48,55.95,0.0,-0.0,0.0,190.05,2.14,359.0,102650.0
20170106:0600,-4.75,53.65,0.0,-0.0,0.0,188.85,2.21,5.0,102700.0
20170106:0700,-3.25,45.65,0.0,0.0,0.0,189.65,1.86,20.0,102660.0
20170106:0800,-2.39,49.8,143.0,631.6,40.0,189.45,1.59,26.0,102760.0
20170106:0900,-0.17,48.45,265.0,745.12,62.0,191.2,1.17,32.0,102830.0
20170106:1000,2.65,35.35,350.0,800.82,74.0,194.5,1.24,58.0,102870.0
20170106:1100,3.32,26.5,381.0,789.79,85.0,198.15,1.31,77.0,102880.0
20170106:1200,3.51,26.5,366.0,795.46,79.0,200.7,0.62,113.0,102820.0
20170106:1300,3.61,27.7,296.0,737.73,72.0,202.4,0.62,194.0,102810.0
20170106:1400,3.45,30.1,185.0,617.77,57.0,203.4,1.24,208.0,102780.0
20170106:1500,2.62,40.05,45.0,230.61,27.0,203.0,1.45,204.0,102820.0
20170106:1600,0.4,46.6,0.0,-0.0,0.0,201.45,1.45,214.0,102860.0
20170106:1700,1.28,43.2,0.0,-0.0,0.0,200.1,0.69,243.0,102920.0
20170106:1800,1.05,44.85,0.0,-0.0,0.0,199.3,0.48,340.0,102960.0
20170106:1900,-0.06,50.5,0.0,-0.0,0.0,202.4,1.45,82.0,102890.0
20170106:2000,-0.58,52.45,0.0,-0.0,0.0,200.7,1.45,71.0,102930.0
20170106:2100,0.27,48.6,0.0,-0.0,0.0,199.15,1.1,64.0,102980.0
20170106:2200,0.37,48.6,0.0,-0.0,0.0,198.15,0.9,62.0,103030.0
20170106:2300,0.08,48.45,0.0,-0.0,0.0,198.35,0.97,51.0,103050.0
20170107:0000,-0.55,52.45,0.0,-0.0,0.0,197.75,1.1,42.0,103080.0
20170107:0100,-1.27,52.35,0.0,-0.0,0.0,198.25,1.03,37.0,103090.0
20170107:0200,-1.09,52.35,0.0,-0.0,0.0,198.55,0.9,26.0,103070.0
20170107:0300,-1.23,52.35,0.0,-0.0,0.0,198.95,0.69,4.0,103070.0
20170107:0400,-1.32,52.35,0.0,-0.0,0.0,199.3,0.62,332.0,103040.0
20170107:0500,-1.4,54.4,0.0,-0.0,0.0,199.3,0.69,292.0,103040.0
20170107:0600,-1.5,52.2,0.0,-0.0,0.0,199.9,0.76,269.0,103040.0
20170107:0700,-4.43,71.85,0.0,0.0,0.0,196.2,1.38,10.0,102970.0
20170107:0800,-2.76,66.6,138.0,579.25,43.0,200.3,0.97,22.0,103000.0
20170107:0900,-1.21,61.65,239.0,544.39,90.0,203.95,0.14,72.0,102990.0
20170107:1000,0.66,44.75,343.0,774.0,75.0,206.1,0.97,176.0,103010.0
20170107:1100,1.2,41.45,374.0,764.49,86.0,211.9,1.59,175.0,102980.0
20170107:1200,1.43,41.45,360.0,771.29,80.0,211.15,1.59,168.0,102910.0
20170107:1300,1.53,41.45,293.0,725.23,71.0,215.0,1.45,163.0,102890.0
20170107:1400,1.28,43.2,183.0,605.22,56.0,214.05,1.24,159.0,102850.0
20170107:1500,0.59,48.6,52.0,346.61,24.0,215.6,0.76,152.0,102860.0
20170107:1600,-0.26,50.5,0.0,-0.0,0.0,213.85,0.55,118.0,102880.0
20170107:1700,-0.4,52.45,0.0,-0.0,0.0,210.95,0.62,53.0,102890.0
20170107:1800,-0.9,54.55,0.0,-0.0,0.0,210.95,0.97,18.0,102900.0
20170107:1900,-1.32,56.85,0.0,-0.0,0.0,212.85,1.03,38.0,102780.0
20170107:2000,-1.65,61.55,0.0,-0.0,0.0,213.85,1.1,40.0,102780.0
20170107:2100,-1.93,64.0,0.0,-0.0,0.0,217.9,1.17,31.0,102760.0
20170107:2200,-2.13,66.65,0.0,-0.0,0.0,215.75,1.17,29.0,102760.0
20170107:2300,-2.67,69.35,0.0,-0.0,0.0,215.4,1.31,31.0,102720.0
20170108:0000,-3.08,69.25,0.0,-0.0,0.0,213.45,1.45,35.0,102650.0
20170108:0100,-3.87,71.95,0.0,-0.0,0.0,215.5,1.38,32.0,102630.0
20170108:0200,-3.79,69.15,0.0,-0.0,0.0,212.85,1.38,32.0,102580.0
20170108:0300,-3.77,72.05,0.0,-0.0,0.0,213.25,1.31,27.0,102540.0
20170108:0400,-3.41,72.05,0.0,-0.0,0.0,213.05,1.24,23.0,102460.0
20170108:0500,-2.92,69.25,0.0,-0.0,0.0,215.4,1.1,11.0,102430.0
20170108:0600,-2.27,66.65,0.0,-0.0,0.0,212.85,0.9,359.0,102370.0
20170108:0700,-2.55,66.6,6.0,0.0,6.0,214.6,0.83,296.0,102320.0
20170108:0800,-2.37,69.35,138.0,575.58,43.0,217.7,0.41,290.0,102340.0
20170108:0900,-1.18,59.2,256.0,687.07,67.0,216.95,0.41,112.0,102370.0
20170108:1000,0.12,50.5,337.0,732.81,82.0,220.05,1.1,112.0,102390.0
20170108:1100,0.91,46.75,372.0,752.43,87.0,219.05,1.38,107.0,102380.0
20170108:1200,1.43,46.9,356.0,741.71,85.0,221.75,1.31,109.0,102340.0
20170108:1300,1.63,46.9,292.0,712.7,72.0,226.05,1.03,113.0,102310.0
20170108:1400,1.5,48.85,182.0,583.31,58.0,222.95,0.55,106.0,102290.0
20170108:1500,1.01,52.85,49.0,263.16,27.0,228.15,0.76,110.0,102320.0
20170108:1600,-0.52,61.8,0.0,-0.0,0.0,218.85,0.76,97.0,102360.0
