Latitude (decimal degrees): 45.545
Longitude (decimal degrees): 11.535
Elevation (m): 39.0
Irradiance Time Offset (h): 0.1767
month,year
1,2015
2,2022
3,2008
4,2012
5,2008
6,2020
7,2018
8,2016
9,2021
10,2014
11,2007
12,2015
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20150101:0000,0.04,78.27,0.0,-0.0,0.0,244.38,1.03,265.0,101570.0
20150101:0100,-0.26,78.12,0.0,-0.0,0.0,239.58,1.0,249.0,101580.0
20150101:0200,-0.56,77.98,0.0,-0.0,0.0,234.78,0.97,244.0,101590.0
20150101:0300,-0.86,77.84,0.0,-0.0,0.0,229.98,0.95,244.0,101540.0
20150101:0400,-1.17,77.7,0.0,-0.0,0.0,225.19,0.92,250.0,101520.0
20150101:0500,-1.47,77.56,0.0,-0.0,0.0,220.39,0.89,252.0,101510.0
20150101:0600,-1.77,77.41,0.0,-0.0,0.0,215.59,0.86,253.0,101540.0
20150101:0700,-2.07,77.27,6.0,0.0,6.0,210.79,0.83,295.0,101650.0
20150101:0800,-0.72,78.6,116.0,342.82,60.0,230.85,0.48,289.0,101690.0
20150101:0900,0.74,72.85,172.0,178.02,124.0,234.75,0.34,245.0,101720.0
20150101:1000,2.28,70.3,257.0,324.93,147.0,237.05,0.48,217.0,101690.0
20150101:1100,3.27,70.4,287.0,358.57,156.0,240.75,0.83,209.0,101660.0
20150101:1200,2.77,79.0,258.0,292.9,156.0,243.05,0.97,219.0,101610.0
20150101:1300,3.74,73.3,226.0,388.35,114.0,245.95,0.9,226.0,101570.0
20150101:1400,4.95,68.0,145.0,426.58,64.0,246.95,0.83,220.0,101580.0
20150101:1500,4.49,73.4,28.0,168.31,18.0,245.4,0.83,186.0,101640.0
20150101:1600,3.95,76.15,0.0,-0.0,0.0,248.1,0.41,202.0,101690.0
20150101:1700,3.36,76.1,0.0,-0.0,0.0,248.85,0.48,292.0,101700.0
20150101:1800,2.87,79.0,0.0,-0.0,0.0,248.3,1.03,311.0,101710.0
20150101:1900,2.21,79.0,0.0,-0.0,0.0,250.6,0.97,312.0,101760.0
20150101:2000,1.51,82.0,0.0,-0.0,0.0,251.6,1.24,304.0,101730.0
20150101:2100,0.36,85.15,0.0,-0.0,0.0,245.75,1.31,300.0,101690.0
20150101:2200,0.17,88.5,0.0,-0.0,0.0,251.4,1.1,295.0,101660.0
20150101:2300,-0.61,91.95,0.0,-0.0,0.0,246.15,1.17,297.0,101590.0
20150102:0000,-0.58,91.95,0.0,-0.0,0.0,246.15,1.1,297.0,101540.0
20150102:0100,-0.72,91.95,0.0,-0.0,0.0,245.9,1.03,295.0,101500.0
20150102:0200,-0.81,88.45,0.0,-0.0,0.0,245.95,1.03,300.0,101480.0
20150102:0300,-0.92,91.95,0.0,-0.0,0.0,245.4,1.03,304.0,101430.0
20150102:0400,-0.89,88.45,0.0,-0.0,0.0,248.3,1.03,302.0,101380.0
20150102:0500,-0.73,88.45,0.0,-0.0,0.0,252.75,1.1,297.0,101370.0
20150102:0600,-0.68,88.45,0.0,-0.0,0.0,254.1,1.03,297.0,101380.0
20150102:0700,-0.27,85.1,7.0,0.0,7.0,252.55,0.83,304.0,101490.0
20150102:0800,0.28,85.15,130.0,507.02,47.0,254.65,0.69,316.0,101500.0
20150102:0900,2.57,85.35,196.0,295.96,116.0,247.7,0.34,295.0,101490.0
20150102:1000,5.05,76.3,259.0,329.85,147.0,250.6,0.34,230.0,101450.0
20150102:1100,6.75,68.4,251.0,209.98,174.0,251.2,0.83,213.0,101350.0
20150102:1200,5.67,73.65,262.0,308.65,154.0,253.9,1.24,214.0,101230.0
20150102:1300,5.21,76.4,140.0,48.22,126.0,255.85,1.45,215.0,101140.0
20150102:1400,6.62,76.55,94.0,72.91,80.0,257.4,1.24,203.0,101100.0
20150102:1500,6.21,76.55,25.0,97.27,19.0,257.75,1.17,183.0,101100.0
20150102:1600,6.31,79.5,0.0,-0.0,0.0,266.85,0.69,176.0,101100.0
20150102:1700,5.62,82.4,0.0,-0.0,0.0,274.4,0.14,184.0,101100.0
20150102:1800,5.22,79.35,0.0,-0.0,0.0,282.95,0.21,254.0,101070.0
20150102:1900,5.24,82.4,0.0,-0.0,0.0,300.35,0.76,268.0,101030.0
20150102:2000,4.97,85.55,0.0,-0.0,0.0,293.2,0.34,319.0,101050.0
20150102:2100,4.79,82.35,0.0,-0.0,0.0,285.85,0.28,29.0,101070.0
20150102:2200,4.46,82.3,0.0,-0.0,0.0,265.3,0.34,22.0,101050.0
20150102:2300,4.25,82.3,0.0,-0.0,0.0,259.5,0.41,350.0,101050.0
20150103:0000,3.97,82.25,0.0,-0.0,0.0,251.75,0.83,5.0,101020.0
20150103:0100,3.73,82.25,0.0,-0.0,0.0,251.1,1.03,21.0,101050.0
20150103:0200,3.55,82.2,0.0,-0.0,0.0,253.5,0.9,10.0,101050.0
20150103:0300,3.55,79.1,0.0,-0.0,0.0,254.3,1.31,341.0,101010.0
